text,time,votes,replies
"Que partidaça fez o Atlético-GO, hem! 
Você acha que o Dragão ainda consegue escapar do rebaixamento?",há 1 ano,182,23
jogou muito Fluminense ❤️ 💚 🏆🏆,há 3 meses (editado),1,
O Árbitro tá com sono kkkkkkkkkk,há 1 ano,0,
Meu dragon é gigante 🤣🤣🤣,há 1 ano,0,
"Os cara conseguem ganhar do flamengo é perde pro atletico goiniense , o Flamengo tem uma maldição contra o fluminense prrt",há 1 ano,0,
Fluminense é só fogo de palha. Nunca vi time mais decepcionante. Foi um milagre estar no G4 até aqui.,há 1 ano,0,
Parabéns ao Dragão malvadão do Centro Oeste! 🔥🐉,há 1 ano,0,
"parabens pro atletico go, daranco tem que trabalhar, parece que ele foi pra esse jogo so pra assistir televisao kkk",há 1 ano,0,
Parecia tudo acabado pro atlético goianiense mas como o fluminense e pequeno tomou uma virada,há 1 ano,0,
O atlético goianiense é muito forte,há 1 ano (editado),0,
“O Daronco ta num sono cara”,há 1 ano,0,
SRN!!!! GOL NELS! ADOREI!!!! MENGÃO : VINGADO!! DÁ-LHE ATLÉTICO NO FLU!!!!!!!!!,há 1 ano,0,
Nmrl os jogadores do ACG chutam muito bem de fora da area,há 1 ano,0,
"K pena,ganso!
Pork ñ teve piedade du Urubu",há 1 ano,0,
que partida foda de assistir! mó emoção kkkkkkkk,há 1 ano,1,
DINIZISMO TÁ TENDO ...,há 1 ano,0,
Eu acho que o Atlético GO não cai,há 1 ano,0,
O atletico  goianiense  é muito difícil de perder em casa,há 1 ano,1,
Kkkk,há 1 ano,0,
"O atlético go fez o seu melhor jogo do campeonato, ganharam jogando muito bem!",há 1 ano,0,
Há chances,há 1 ano,17,
Sim,há 1 ano,8,
Palmeiras não tem mundial,há 1 ano,8,
Eu acho que o flumerda não tem libertadores isso sim,há 1 ano,5,
FluminenC nanico timeco enganação,há 1 ano,0,
Sim tem chance de escapar,há 1 ano,7,
Como atleticano vou acreditar até o fim.,há 1 ano,10,
Eu acho que o fluzinho ainda vai passar os moranguinhos na tabela e mandar eles pra pré-libertadores,há 1 ano,2,
 @gremio2268  serie b falando KKAKAKAKA,há 1 ano,4,
"Não. Atlético GO, Avai, Juventude e Cuiabá vão se lascar",há 1 ano,2,
com certeza,há 1 ano,0,
Claro,há 1 ano,0,
"Se ele enfrentar o fluminense em todas as rodadas,  sim, ele tem chances",há 1 ano,4,
Sim,há 1 ano,0,
Antes achava que não mas agora sim,há 1 ano,1,
"Espero que sim
Deu neste ano muitas alegrias a nós, seus torcedores",há 1 ano,3,
"Time ridículo desse nem merecia está na elite , todo ano sobe pra passar vergonha kkkkkk",há 1 ano,0,
Se ganhar  as partidas que restam em casa e beliscar uns empates fora Tomara,há 1 ano,1,
PALPITES DE HOJE QUINTA-FEIRA JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!⚽️🔥,há 1 ano,0,
Volto novamente e pergunto qual a dificuldade de vcs deixarem passar a narração do gol toda? Minha opinião fica melhor revejam isso pfvr obrigado...,há 1 ano,0,
A   BOLA DESVIOOOOOOOOLLLLLLLL.,há 1 ano,0,
sim sou flamenguista mais torço pelo Atlético go,há 1 ano,0,
Torcemos que sim!!!,há 1 ano,0,
que virada parabéns 👏👏,há 1 ano,1,
jogo pra no mínimo saírmos com o 4 ou 5 gols,há 1 ano,0,
DRonco não dormiu kkkkk.,há 1 ano,0,
Não dava pro Fábio recuperar e defender? Parece que ele só ficou olhando a bola entrar no gol,há 1 ano,0,
"Excelente a vitória maiúscula do Atlético de Goiás diante da equipe carioca, que nos últimos jogos fica bem próximo da tua realidade, equipe frágil com um treinador mediano que se sente Guardiola ou Mourinho, isso porque tem uma televisão que não cansa de autovalorizar este profissional, chorem.",há 1 ano,0,
Meu amigo o que acontece com esses árbitros Brasileiros? Precisar do VAR pra marcar esse pênalti no ganso aff,há 1 ano,0,
Fluminense virgem das Américas,há 1 ano,0,
Fluminense virgem das Américas,há 1 ano,0,
Que virada do Dragão.,há 1 ano,0,
Pense no time que dar do esse time do fluminese se vacila nem vaga na libertadores vai ganhar,há 1 ano,0,
Flu tá bem ! Mas ocilaram muito,há 1 ano,0,
"Que cara chato sem graça esse no final dos gols, tem que tirar isso dai. Fluminense com Fábio no gol pode desistir de qualquer pretensão, inclusive ja deveria ter aposentado o cara quer jogar até 50 anos.",há 1 ano,0,
Muito obrigado por ajuda ro Corinthians,há 1 ano,0,
"Cadê o goleiro do fluminense   , goleiro mucho",há 1 ano,0,
"Pra torcer pro Fluminense tem q amar mesmo, q ódio.",há 1 ano,0,
"Toma Fluminense!
O Galão agora vem fungando querendo esse vice-campeonato...",há 1 ano,0,
Diniz é igual aquelas coca de 3 litros passou da metade perde o gás,há 1 ano,0,
Tricoletes baytolas se lascou de novo só joga contra o Flamengo,há 1 ano,0,
"Tem um bom ataque,mas tem uma zaga de merda",há 1 ano,0,
"Time sem vergonha esse do Fluminense.
Treinador prepotente, egoísta.
Domingo esse time tem que ser vaiado e não é pouco",há 1 ano,0,
Rodrigo,há 1 ano,1,
Eita FluminenC kkkkkkk,há 1 ano,0,
Fluminense entrou pelo Cano.,há 1 ano,1,
"O FLUZÃO NESSE CAMPEONATO CONSEGUIU PERDER 2 VEZES PARA O ATLETICO DE GOIAS, QUE ESTÁ NA ZONA DA DEGOLA, O TIME OSCILA DEMAIS, NÃO TEM A CATEGORIA NECESSÁRIA PARA FAZER RESULTADOS FORA DE CASA.",há 1 ano,1,
"Timeco esse Fluminense. Fora Fábio, Nino, Manoel, Felipe Melo, Welington, Marrony, Wiliam Bigode.. Tem mais pra barca hein? Que esse campeonato termine logo antes que se acumulem mais vexames. Ah! Ia me esquecendo, o comandante da barca tem que ser o Diniz. Começa bem, depois se revela fraco pra objetivos maiores. Triste ver isso que chamam de time...",há 1 ano,0,
"Um time dez vezes melhor que o goianiense, e o Fluminense faz dois e recua até tomar a virada!! Que timinho vagabundo esse",há 1 ano,1,
Sem ajuda do var daronco não consegue decidir ND 🤦🏽‍♂️,há 1 ano,0,
Se ganhar do Palmeiras eu acredito na permanencia do Atlético,há 1 ano,0,
Pé mole da porra.,há 1 ano,0,
Realmente o palmeiras está com a sorte,há 1 ano,0,
Fluminense jogou como nunca  e perdeu como sempre!,há 1 ano,0,
Atlético goianiense ensinou pro flamengo como se ganha do flumerda,há 1 ano,0,
Todos possíveis o Fábio pegou mas tá foda,há 1 ano,0,
"Fluminense o rei dos quase kkkk quase brasileiros,copa do Brasil e libertadores",há 1 ano,0,
"RAPÁ, VOU CONTAR UMA COISA , FALARAM PARA ESSE CIDADÃO QUE ELE É IMITADOR E ELE ACREDITOU... PÉSSIMO",há 1 ano,0,
"PIOR É NO FINAL DO VÍDEO, ESSE PSEUDO IMITADOR , QUE MAIS PARECE QUE ESTA COM UM OVO NA BOCA...E NÃO IMITA NADA",há 1 ano,0,
Tava assistindo o jogo Atlético tava mal mas quando vi o goleiro do Atlético quase sai no tapa com o companheiro senti que ia ganhar o jogo,há 1 ano,1,1
Dava pra ter pegado esse último chute Fábio a bola foi morrendo pro gol,há 1 ano,2,
Esse cano ta jogando muito !!!,há 1 ano,1,
0:45: 🤮PUTZ!!! PARECEU JOGADOR AMADOR AO TENTAR DOMINAR BOLA ALTA. ESSE TEM QUE TREINAR COM URGÊNCIA DOMÍNIO DE BOLA ALTA. ENTREGOU O GOL PARA O FLUMINENSE..,há 1 ano,1,
PALPITES DE HOJE QUINTA-FEIRA JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!⚽️🔥,há 1 ano,0,
"Que partida do Dragão, acordou depois do jogo contra o Corinthians, se mostra uma equipe competitiva, que luta até o apito final, que azar, essas bolas desviadas.",há 1 ano,1,
Continuem jogando bem só contra o Flamengo que VCS vão ganhar muitos títulos 👎👎👎,há 1 ano,0,
Pênalti Mandrake do atlético,há 1 ano,3,
Jogão pouraaa,há 1 ano,0,
Fábio parece um vinho 🍷,há 1 ano,0,1
"Falar o que desse time bizarro do fluminense. So faz ressuscitar morto. E vai perder a vaga na libertadores, vaga na fase de grupos igual ano passado. Agora vai entregar pra o america mineiro, podes crer desse time do fluminense se espera tudo.",há 1 ano,0,
"o Dragão com certeza bateria de frente com o Suco Del Valle  na final da Sula; São Paulo só vergonha, pensa que passado ganha jogo.",há 1 ano,0,
E tome a virada fluzin.,há 1 ano,0,
Kkk coitado do Fábio de costas,há 1 ano,0,
Fluminense entro pelo cano kkkkkk,há 1 ano,0,
Sorte do Corinthians q g eral empatou ou perdeu,há 1 ano,0,
Fluminense morre no final dos jogos,há 1 ano,0,
"esse juiz é um safado, foi pênalti no Léo Pereira, vagabundo",há 1 ano,0,
"Fábio deu muito azar cê é loko, só gol antológico",há 1 ano,0,
"Time de frouxo, Fluminense piada,",há 1 ano,0,
"Pior em campo: Anderson ""Darronco""😴😴😴.",há 1 ano,1,
"FlumiC...kkkkkkkk, dale Atlético-GO",há 1 ano,0,
Fluminense Clube mais Pipoqueiro da História!!! 😆😆😆😆😆😆😆😆😆,há 1 ano,1,
atlgo,há 1 ano,0,
"Entrei no estádio tava 2 a 0 pra eles,eu acredito até o fim meu Dragas",há 1 ano,0,
Motoboy*,há 1 ano,0,
PQP isso é o suco concentrado de fluminencismo,há 1 ano,0,
fluminense no g4 e igual vaca em cima da arvore ninguem sabe como vai parar la em cima kkkkkkkkkk,há 1 ano,0,
É palmeiras vai levar o brasileiro,há 1 ano,0,
meu dizinismo kkkkkk,há 1 ano,0,
Time que não desiste até o final são os q mais admiro 👏🏼,há 1 ano,5,
"Ué.. Cadê o Dinizismo? Esse é o melhor time de toque de bola? Kkk
Timão matou esse timeco é o Atl. GO enterrou kkkkk",há 1 ano,0,
Inacreditável como o Diniz nasceu para ser perdedor no futebol !,há 1 ano,1,1
"Não dar pro Felipe Melo ser titular
Diniz errou",há 1 ano,1,
Virada linda do atletico goianiense merecida viu,há 1 ano,2,
Palmeira ja ta com título,há 1 ano,0,
Estou torcendo pro Atlético Goianiense não cair,há 1 ano,0,
Valeu dragões,há 1 ano,0,
"🤣🤣🤣🤣🤣 corinthias tem muita sorte mano,empate com  o pior time e ainda continua em 4° vle atletico go",há 1 ano,0,
Flugays virou freguês do dragão msm kkkkkkkkk,há 1 ano,0,
Um goleiro mais novo chegaria mais perto naquela bola do terceiro gol,há 1 ano,1,
tipo de jogo do Fluminense não vai ganhar de ninguém goleiro frangueiro,há 1 ano,0,
"Não tirando os méritos do Atlético,mais o fluminense é fida cara, com 2x0 no placar e tomar a virada tá de brincadeira!!!",há 1 ano,0,
O fluminense não pode ver um atletico que abre as pernas 🤣🤣🤣 paguem a serie C,há 1 ano,0,
Só Falta O Palmeiras Perder Ou Empatar Agora.,há 1 ano,0,
Imagina esse jogo sem o VAR a desgraça que seria essa arbitragem do Daronco.,há 1 ano,0,
Gostei. Ele ganhou o quê? Pé frio.,há 1 ano,1,
Esse daronco só apita com o VAR mesmo não vai péssimo juiz,há 1 ano,1,
Vai entender o futebol né?! Jogo é jogo 👏👏👏,há 1 ano,1,1
Sou América e torcendo para o Atlético goianiense,há 1 ano,0,
Uma vergonha esse flu,há 1 ano,0,
Mt pequeno esse fluzinho,há 1 ano,0,
Fluminenses time minúsculo vergonhosa do Brasil kkkk,há 1 ano,0,
"O atlético afogou o ganso. 🤩🤩🤩😻Times grandes geralmente ganham, e foi isso o que aconteceu. Parabéns Atlético Goianiense.",há 1 ano,1,1
Depois da semifinal o fluminense não  e o mesmo oque será q aconteceu com o diniz em,há 1 ano,0,
Esse time de prostituta perdeu para o Atlético goianense.,há 1 ano,0,
Gostaria de entender qual o problema do Fluminense em relação ao Atlético Goianiense pra ser tão freguês. Não ganha nunca .,há 1 ano,0,
Que juiz ruim esse daronco,há 1 ano,0,
"Despois de 2 X 0.
😂😂😂😂😂😂😂",há 1 ano,0,
😂😂😂🤌🏽,há 1 ano,0,
Fluminense é freguês do Atlético-GO.,há 1 ano,0,
Ganhando de 2 a 0  é  ainda consegue perder ai vão falar que a culpa é  do técnico....,há 1 ano,0,
"O engraçado é que o Daronco está sempre encima do lance e não marca o q tem que ser marcado sempre deixando para o var , ridículo isso afeta a partida si para muito o jogo por um lance real onde o dono do jogo já poderia ter julgado o lance de primeira, a resposta deles são de que estavam coberto no lance, não vi toque etc , aquele palmeiras x atlético mg o juiz é pra estar na geladeira pq de casa se via os lances e a 5 metros presencial não se via ...muito estranho né.",há 1 ano,0,
"FLUMINENSE O VERDEIRO CAVALO PARAGUAI, CHINÊS, RUSSO E MAIS UM POUCO",há 1 ano,0,
Isso é um pênalti bem batido Chirin,há 1 ano,0,
Esse fluminense é muito nanico !!,há 1 ano,0,
"Vitória merecida , FluminenC não briga por nada além de uma libertadores , que se iludiu está vendo a realidade desse time série C",há 1 ano,1,
PALPITES DE HOJE QUINTA-FEIRA JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!⚽️🔥,há 1 ano,0,
Vc é vascaíno ou flamenguista kkkkkk,há 1 ano,0,
Esse é o Fernando Diniz. ..,há 1 ano,0,
"O palmeiras agradece ""Mesmo ja tendo ganha o porra toda"" Saldacoes Futebolisticas"" Vascaino passando vergonha em Pleno seculo XX ano da tecnologia.",há 1 ano,0,
O Flu é freguês do dragão 🐲🐉,há 1 ano,0,
Esse timizinho só é forte em Goiânia MSN 😂,há 1 ano,0,
Que pênalti mandrake esse pro Atlético Go.  Daqui a pouco o futebol não vai poder ter mais contato físico.,há 1 ano,0,
"INSCREVA-SE NO NOSSO CANAL, TUDO SOBRE FUTEBOL, GOLS E MELHORES MOMENTOS .",há 1 ano,0,
FLUMINENSE NANICOOOOOOO,há 1 ano,0,
😂😂😂😂,há 1 ano,0,
E a cara do Dinis perde assim,há 1 ano,0,
Os tropeços do Fluminense e do Corinthians para os rebaixados Atlético GO e JUVENTUDE é a prova de que não merecem a ponta da tabela!!!,há 1 ano,0,
Cara o daronco tá cada dia mais se enrolando e perdendo a qualidade e credibilidade como árbitro de futebol,há 1 ano,0,
Os coringa do Diniz levou um sacode do Atlético Goianiense quem sabe na reta final eles embale e consiga escapar do rebaixamento.,há 1 ano,0,
Dragão fez o flu de putinha😂😂😂,há 1 ano,0,
VERGONHA DO FLU,há 1 ano,0,
FORA DINIZ ANGIONI MÁRIO,há 1 ano,0,
"Dragão em casa, calango fora",há 1 ano,0,
Virada igual do meu Vascão,há 1 ano,0,
"Esse german cano mete muito gol ,o homem  deita ..",há 1 ano,0,
SOU PALMEIRAS MAS ESSE DARONCO E 99% DOS ARBITROS SÃO UMA BOSTA,há 1 ano,0,
"eu de longe vi o Pênalti, esses juízes são uma bosta",há 1 ano,0,
ne q tm time reagindo na briga do rebaixamento 🤔😳😉,há 1 ano,0,
Fabio é um monstro de goleiro,há 1 ano,0,
Fora Diniz! Fora Mário!,há 1 ano,0,
Não podem ver um time rubro negro que tremem,há 1 ano,0,
"Esse daronco é um péssimo árbitro, deve ter um padrinho muito forte na cbf.",há 1 ano,1,
Varmeira assim é fácil ser campeão,há 1 ano,0,
Esse  3º gol é gol de sorte de campeão pro Palmeiras,há 1 ano,0,
"Esse timinho da série C tapetenc é assim, só jogam o campeonato contra o Flamengo, o restante é isso aí derrota e mais derrotas, que sina deste clubeco.",há 1 ano,0,
o dragão é foda merecido a vitória mas também esse juiz sei não viu?,há 1 ano,1,
"Jogar nesse estádio é Difícil, espero que Palmeiras faça um bom jogo aí 💚🤍",há 1 ano,3,
"Atlético Go tem um bom time, o problema deles estarem na zona de rebaixamento é por terem priorizado por muito tempo a sul-americana e a copa do Brasil...

Faltou elenco pra equilibrar todas as competições",há 1 ano,0,1
"Fluminense joga com raça  e perde pro Atletico fluminense não ganha título  e ainda vem tirar onda com o Flamengo  , se liga Fluminense enquanto as Flores comemora vitoria em Fla Flu, o Mengão levanta títulos desde 2019 ou seja  o Fluminense so ta pra cumprir tabela e nada de títulos de grande expressão kkkkkkkkkk",há 1 ano,0,
"Futebol   , futebol",há 1 ano,0,
Fluminense virou freguês do Dragão kkkk,há 1 ano,0,
Obgd fluminense kkkk,há 1 ano,0,
E ainda querem o Diniz na seleção brazuca rsss,há 1 ano,0,
O posicionamento do cano no 2° gol do flu FOI DEMAIS,há 1 ano,1,
Palmeiras deveria oferecer algum jogador ao flu e trazer o kano,há 1 ano,0,
Ruf ruf kkkk,há 1 ano,0,
Q pênalti foi esse q deram para o Atlético kkkkkkkkk,há 1 ano,0,
Vou sim parabenizar o Dragão mas só se escapar do rebaixamento aí sim. Por enquanto a realidade é outra.,há 1 ano,0,
Por isso que o futebol é paixonante,há 1 ano,2,
Como pode ter um árbitro tão horroroso como o Daronco? Péssimo,há 1 ano,0,
"Jogaço, o time com mais vontade foi o vencedor",há 1 ano,2,
"Arbitragem tá dependendo muito do var, eles não marcam mais nada tudo esperando var, lance claro",há 1 ano,0,
Fábio ainda defende pra crlh cm 40 anos,há 1 ano,0,
Times do Diniz. Sem novidades.,há 1 ano,0,
O flamengo tem q renoVAR. Senão...,há 1 ano,0,
Flu esse ano mostrou que é uma máquina de passar vergonha com um repertório gigante.,há 1 ano,2,
