text,time,votes,replies
"E aí, o que achou dessa virada do Botafogo?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,82,18
KKKkKKK NEM SABE JOGAR,há 2 semanas,0,
Yes sir 🤩🤩,há 1 ano,1,
"59 pênalti todas gatito vai no lado esquerdo, é reserva do perri tranquilo",há 1 ano,0,
fogão jogando do rj,há 1 ano,0,
"Quantas vezes vou precisar repetir que existem dois tipos de regras no futebol brasileiro: as da FIFA, válidas no mundo todo, e as do VAR da CBF/Globo, que variam de acordo com quem esteja jogando contra quem?
Vocês parecem que não manjam de futebol!😆",há 1 ano,0,
Gostei do nosso Botafogo parabéns Grande jogo,há 1 ano,0,
Faltou 3 chances de gols do Botafogo nesse vídeo,há 1 ano,0,
Jogador  burro Junior Santos,há 1 ano,0,
Fogoooo🤍🖤⭐️🔥,há 1 ano,0,
"Esse marçal tem um gps no pé,  jogou muito , bela atuação do bota fogo !!",há 1 ano,1,
Fogão te amo,há 1 ano,0,
"Nem mostraram os melhores momentos direito, Jefinho perdeu dois gols e nem apareceu aí",há 1 ano,0,
Sou vascaíno mais fogão vai apanhar pro são Paulo e ainda é no Morumbi lascou,há 1 ano,0,
"Mesmo o VAR tentando marcar tudo contra a gente, vencemos! Pau no cú da CBF",há 1 ano,0,
No interior paulista tem muitos torcedores do Botafogo inclusive eu..aqui é Botafogo,há 1 ano,1,
Botafogo só pode estar sendo favorecido nesses jogos: em todas as faltas e escanteios o Marçal joga a bola com a mão pra área e o árbitro não faz nada. Absurdo.,há 1 ano,0,
O cuesta ja jogando muito tendo o mesmo sucesso q teve no inter,há 1 ano,1,
Ué... Não mostrou os gols que o Jeffinho perdeu. 😐,há 1 ano,0,
"Lembro de uma jogada de penalte semelhante em inter x coriantians , o juiz deu mas despois retirou o penalte sendo que tinha até video do gaciba falando do mesmo lance, vergonha essa arbitragem há anos",há 1 ano,0,
Hoje foi dia da virada.,há 1 ano,5,
"Marçal joga muito, se tivesse chegado no começo da temporada, talvez, seria convocado para a seleção brasileira.",há 1 ano,5,
E,há 1 ano,0,
Normal,há 1 ano,0,
"FOGÃO MAIOR DO RIO, AVAÍ É UMA PIADA KKKKKK",há 1 ano,2,
Chorafogo é do mesmo tamanho do Avaí,há 1 ano,0,
Aqui é Botafogo  pora 🔥,há 1 ano,1,
Vai toma nu cu Flamengo 😂,há 1 ano,0,
Volto novamente e pergunto qual a dificuldade de vcs deixarem passar a narração do gol toda? Minha opinião fica melhor revejam isso pfvr obrigado...,há 1 ano,0,
Vocês perderam os 2 gols feito que o JEFINHO perdeu ???,há 1 ano,0,
