text,time,votes,replies
"Quem tá feliz com esse resultado? e qual o seu time? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,99,36
Vamooo Amêrica-mg 💚🖤,há 3 meses,1,
❤ pela juliana bonde nois ganha até um mundial,há 11 meses,1,
Erraram até penalty kkkkkkkk,há 1 ano,0,
"cadê o outro gol Zé ruela? q  bobisse é  essa? maus respeito com o torcedor do América, seu Zé ruela",há 1 ano,0,
31 2t,há 1 ano,1,
"Essa cbf só faz bobagem seria muito mais emocionante os dois jogos no   mesmo horário!!
Pois teria comemoração no estádio em tempo real com gols de ambas partes MUITA burrice 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️👎👎👎",há 1 ano,1,
Qqqqqqqqqqqqqqqqqqqqqqq,há 1 ano,0,
"Sou cruzerense, mais estou muito feliz com os resultados que o América vem tendo. ano que vem o Cruzeiro vai poder jogar com esse time maravilhoso!, E com os frangos, não vejo a hora desse dia chega.",há 1 ano,3,
América pai de quem?,há 1 ano,0,
"Mano parece que o Jogo foi bom
E o America sempre surpreendendo",há 1 ano,0,
Torcida do América cada vez mais mostrando que tá crescendo a cada ano,há 1 ano (editado),1,
Inter e mediocre igual a Renata Fan 😂😂😂😂,há 1 ano,0,
43 aaaaaanos 😂😂😂😂😂,há 1 ano,0,
Q golaço,há 1 ano,0,
e campeão e campeão e hendeca aqui e palmeiras 🇧🇷🇧🇷🇧🇷⚽️⚽️🥇🥇🥇🐷🐷🐷🐷🐖🐖🐖🐖🐽🐽🐽,há 1 ano,0,
nosso america ta demais,há 1 ano,0,
"Cheirinho do Flamengo, agora das PEPAS kkkkk",há 1 ano,1,
Aaa vaiiii coelhadaaa,há 1 ano,0,
Sempre infelizmente  o inter sempre resbala e tropeça sempre no último tal vez da qui a 100.000 anos tal vez o inter ganhe um titulo nacional porque é uma vergonha sem mais comentários,há 1 ano,0,
"Obg América mg, o meu Verdão agradece, é campeão 💚💚💚💚💚💚💚💚🥳🍷🎊🎉🗿🍷🍾🍺🍻🥃🍷🥂🍸",há 1 ano,7,
Pipocanacional é nanico mesmo,há 1 ano,5,
"Vitória merecida do coelho 🐰
E torço pra o Atlético MG",há 1 ano (editado),8,
