text,time,votes,replies
"E aí Tricolores, quem se emocionou com o gol do Fred?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,658,115
esse 3° gol do flu do german cano lembra muito o gol dele na final da libertadores slk,há 19 horas,0,
Sempre volto😢,há 2 meses,0,
Alguém em 2024 vendo show do Wesley no Fluminense,há 3 meses,0,
Fluminense ganhando do Corinthians de goleada é brincadeira ksks,há 3 meses,1,
A conquista não foi à toa. Tudo soma.,há 6 meses,0,
corinthiano gosta de levar surra de cano kkkk,há 8 meses,0,
Jogando desse jeito o Corinthians vai cair para série B outra vez 😂😂😂😂😂,há 9 meses,0,
"Por causa dessa goleada no time reserva acharam que ia massacrar nois na copa do Brasil 😅, enfim...",há 11 meses,0,
"MANOEL
CANO
CANO
FRED",há 11 meses,0,
nesse dia quase morri no gol do Fred ❤️💚,há 11 meses,0,
Parabéns Fluminense ❤💚,há 1 ano,0,
"1 ano do último gol do Fred eterno 9 
Maior artilheiro do brasileirão na era dos pontos corridos 
Maior artilheiro da Copa do Brasil 
Ídolo 🇭🇺🇭🇺🇭🇺",há 1 ano,0,
Último gol do fred😭,há 1 ano,0,
"Fred, sempre terá nosso respeito!!! 🤝💚",há 1 ano,1,
"2:50 - 3:05 Que jogada, meus amigos! 🇮🇹",há 1 ano,1,
SEMPRE TRICOLOOOOR TMJ FLUMINENSEEEEE 😱❤️🔥,há 1 ano,2,
"Esse dia foi muito foda! Dia do meu aniversário ainda, jamais esquecerei. Fred Etern9.",há 1 ano,0,
Jabson bomdia,há 1 ano,0,
03:28,há 1 ano,0,
Curica vai levar muita chibatadas do Boca pode apostar🤣🤣🤣,há 2 anos,19,
"Cano 🤝 Calleri, ser argentino e bater no CorinthiansKKKKKKK",há 2 anos,19,
"Corinthians com literalmente todos os reservas e até mesmo divisões inferiores ( menos o Cássio )
Fluminense 4 x 0 Corinthians

Corinthians com a força total em campo
Corinthians 5 x 0 Fluminense
Corinthians 1 x 0 Fluminense
Corinthians 1 x 1 Fluminense ( arbitragem prejudicou um jogo que era para ser ganho )

Tenho é pena das tricolotes comemorando contra os reservas do Corinthians 🤣🤣🤣🤣🤣",há 2 anos,20,
Corinthians é muito nanico🤏🤣🤣🤣,há 2 anos,10,
Foi ótimo!,há 2 anos,5,
Ganhar dos espermatozoides do Corinthians é fácil,há 2 anos,1,
 @KumonoIseki  sem choro.,há 2 anos,11,
 @KumonoIseki  sem choro,há 2 anos,8,
"Também sou corinthians, mais expectativa minha é  zero pelo corinthians",há 2 anos,4,
Fluminense vs base do corinthians,há 2 anos,7,
" @luansilvail  pode anotar sua vergonha, teve nenhum titular hj por causa da liberta kkk",há 2 anos,2,
 @jonaspfc6331  sub 20,há 2 anos,1,
 @gabrielhenrique3780  seu time é mais,há 2 anos,1,
O elefante na árvore já desceu pra terceira colocação 😅😅😅😅,há 2 anos,4,
" @CRAQUEVEIGA  como ser menor de sp em um lugar que tem palmeiras? Seu time é pequeno e joga serie b, hoje foi a base",há 2 anos,1,
Cano entrou com tudo nos Gambás,há 2 anos,7,
 @luansilvail  o boca assim como o Corinthians jogou con reservas e levou 3 a 0,há 2 anos,5,
 @ThiagoPradoD  sou palmeirense,há 2 anos,1,
 @felipesouza3558  essa base reserva que jogou hoje é horrivel,há 2 anos,1,
 @KumonoIseki  né mn ganhar dos garotos do sub 20 é fácil kkkkkkkk,há 2 anos (editado),1,
"Chorinthians tinha que levar mais ainda, 4 foi pouco!",há 2 anos,3,
Brabo,há 2 anos,0,
Fred aposentado fez gol tava muito fácil,há 2 anos,5,
" @KumonoIseki  Então tu está dizendo que o time reserva do seu clube de coração é ruim? E outra, tinha Biro, Fábio e muitos outros que eram muito bons, Chorinthians",há 2 anos,2,
🔴🟢⚪,há 2 anos,0,
Eu😭😭,há 2 anos,0,
" @ThiagoPradoD  Palmeiras tem mais Brasileiro, mais Copa do Brasil, mais Libertadores e não tem Mundial, e tu pode ter 2 Mundiais, mas o Mundial de 2000 foi roubado. Tenho provas",há 2 anos,2,
" @gabrielhenrique3780  já tava ruim agora piorou 🤣, menor ainda",há 2 anos (editado),0,
" @jonaspfc6331  Não entendo, como esses dois não são convocados pela seleção da Argentina! Jogam demais.",há 2 anos,0,
" @estouconectado9045  corinthians tem mais mundial, brasileirão (fax não é brasileiro) mais paulista, 2000 é mundial e pronto, é reconhecido e feito pela fifa, e não teve roubo. Palmeiras caiu 2 vezes, palmeiras é menor e pronto.",há 2 anos,0,
Gambás time nanico kkkkk,há 2 anos,3,
 @KumonoIseki  Chora,há 2 anos,2,
" @estouconectado9045  Se fosse apenas o reserva aí sim poderia dizer que era ruim, mas havia até o terceiro banco e o sub-20 envolvido na brincadeira, apesar de ser humilhante, era apenas o esperado, diferentemente do 5 x 0 em 2020 que apesar do Fluminense ter desfalques por COVID, jogou contra um dos piores Corinthians da história do clube",há 2 anos,0,
" @gabrielhenrique3780  Sou Bangu Atlético Clube,não ganhamos de ninguém,mas hoje fiquei decepcionado com os gambás,coisa triste esse time alternativo do cu’ tinta,uma vergonha esses gambás..,,,",há 2 anos,2,
"Sou Corinthiano, mas eu tinha acabado de falar, que contra esse time ruim do Corinthians até o velho Fred faria gol,e foi o que aconteceu.",há 2 anos,1,
" @ThiagoPradoD  FLUMINENSE 04 cu’rintia 000.kkkklk.Tomem Gambás.,.kkkkk",há 2 anos,2,
 @KumonoIseki  Chorando pobre cortinas,há 2 anos,1,
Fred valeu o futebol agradece goleador nato ✌️,há 2 anos,1,
 @luansilvail  k,há 2 anos,0,
 @sergiogoncalves680  só o setor norte que ficou vazio😐,há 2 anos,0,
 @likas195  blz sem choro mas o flu ia ganha com o time titular do timão?,há 2 anos,0,
Eu nao,há 2 anos,0,
 @luansilvail  o que é dele está guardado,há 2 anos,0,
Corinthians com o time C ……. Fica fácil,há 2 anos,0,
 @paofeliz7428  Eu acho que sim,há 2 anos,0,
"Choram muito. Vou começar a falar que no 5x0 do Corinthians ano passado a gente também tinha desfalque, time em baixa com problemas internos, etc etc
Perdeu, perdeu. Aceita que é menos feio",há 2 anos,1,
Eu,há 2 anos,0,
 @likas195  não era empate ou vitoria,há 2 anos,0,
 @paofeliz7428  do Fluminense,há 2 anos,0,
Taca taca taca taca taca,há 2 anos,0,
Eu nao sou Torcedor do Fluminense nao sou Torcedor do Botafogo e Brasil mais eu Gostei muito do Gol de Fred do Fluminense,há 2 anos,0,
 @luansilvail  deixa de ser besta cara  isso time reserva,há 2 anos,0,
"imagina,aí tem santos x fluminense,8x0 pro flu kkkkkkkkkkkkk,mentira,eu só fazia essas conta a uns 4 anos atrás",há 2 anos,0,
"Kkkkkkkkkkkkkkkk, eu sabia que quando pegasse os grandes ia perder",há 2 anos,0,
" @KumonoIseki  cássio é praticamente um reserva,a gnt n ta em 2012,ele ´titular,mas tem nível de reservasso",há 2 anos,0,
Ele e o cara,há 2 anos,1,
 @gabrielhenrique3780   o filhão nois tava tava com o time mais alternativo possível mais no 2 turno se vai vê sem estádio do krlh,há 2 anos,1,
 @CRAQUEVEIGA   cala boca aí série b,há 2 anos,0,
 @estouconectado9045   prova aí ent diretor da FIFA vai sfd sem mundial bi rebaixado,há 2 anos,0,
 @joserodrigues7891   MN se e um comédia se torce pra um time q eu nunca nem vi e quer falar bosta toma no zoi vc já deve tá acustumado toma uns 7 gols né otário vai assistir série c que e melhor pra vc,há 2 anos,0,
"Arrepiei, pqp… Ídolo",há 2 anos,0,
" @KumonoIseki  continua com pena e prepara o saco, meu freguês!!!",há 2 anos,1,
Sou vascaíno mas alguns jogadores merecem essa reta final de carreira.,há 2 anos,1,
"CARACA LITERALMENTE O CANO ENTROU COM TUDO NAS GAYVOTAS
😂😂😂🤣🤣🤣",há 2 anos (editado),2,
 @KumonoIseki  lá vemKKKKK,há 2 anos,0,
Eu🥺,há 2 anos,0,
"Não sei se faço L ou F

Kkkkkkk",há 2 anos,0,
 @KumonoIseki  choro?,há 2 anos,0,
 @gabrielhenrique3780  nunca foi olha a quantidade de títulos até uma covardia tu fala isso.,há 2 anos,0,
 @CRAQUEVEIGA  tão pequeno que tem a Nike no peito é um mundial.,há 2 anos,0,
Poxa.....esse freddd e de mais..ele e muito ídolo.,há 2 anos,0,
Como não se emocionar ?,há 2 anos,0,
eu que sou Corinthiana achei q ele mereceu ... na força do ódio kkkk,há 2 anos,0,
Eu!!,há 2 anos,0,
 @KumonoIseki  Perder 4x0 é humilhante né?🤣🤣🤣🤣🤣 Chora mais corinthiano🇮🇹🇮🇹🇮🇹,há 2 anos,0,
Como é bom ver corinthiano mordendo a testa de raiva e de choro aqui,há 2 anos,0,
 @estouconectado9045  Sem falar do goleiro tbm,há 2 anos,0,
 @franciscosantiago3444  Até o Fred faria o gol? Cara o Fred é um excelente jogador,há 2 anos,0,
 @tiagoherique4333  Cala boca moleque chato.,há 2 anos,0,
emocionei com ele falando que fugiu pra roça de vergonha quando caiu pra série B kkkkkkkkkkkkkkkkkkkkk,há 2 anos,0,
Acho engraçado os caras emocionado derrotando um time 80% sub 20 kkkkkk no maximo se fosse o time titular seria um empate sofrido ou uma vitória cagada pra cada lado até um veio de andador mete gol fácil nesse Robson Bambu kkk,há 2 anos,1,
"@Ruan Martins
o Leão nanico perdeu pro Atlético Paranaense com time titular né ??",há 2 anos,0,
"@Ruan Martins
Com esse time sub 20 ??",há 2 anos,0,
"@Estou Conectado
Com esse time sub 20 está ótimo metemos de 5 a 0 nesse mesmo Fluminense com o time do Mancini se alguém cara não lembra",há 2 anos,0,
"@Estou Conectado
Ah é então vamos analisar temos mais títulos mais paulista,mais copinha,menos reibaxamento,maior goleada em clássicos 11 a 0,vitórias contra o Chelsea,então sem choro aceita que somos maiores se dúvida vê no Wikipédia que mostra que o Corithians tá em segundo lugar dos times  com mais títulos",há 2 anos,0,
