text,time,votes,replies
⚽Gol mais bonito da partida?,há 1 ano,574,105
Grande jogo,há 2 meses,0,
Muito mal anulado o gol do coxa é no gol de cabeça do tiquinho ele empurra o jogador do Coritiba,há 3 meses,0,
Saudade desse Botafogo ❤️😭..mas esse ano vai ser ótimo 🏆🥇,há 3 meses,3,1
vc sabe que o time é pequeno quando torcedor tem saudades de um time que jogou só meia temporada do brasileiro kkkkk,há 3 meses,0,1
Foi lindo de ver esse Botafogo de 23 jogar. 😢,há 4 meses,2,
Esse time dava orgulho,há 4 meses,3,
Alguém depois da pipocada?,há 4 meses,0,1
Já e campeão,há 4 meses,1,1
Simplesmente era outro Botafogo. Inacreditável kkkkkkkkkkkkkkkk,há 5 meses,1,
"Quem diria, o coritiba perdeu pro Botafogo, foi rebaixado mas quando o botafogo precisava vencer dele no jogo seguinte ele empata e impede o título, q ironia do destino.",há 5 meses,0,
Tem que ser assim mesmo que tu jogo do passado pô vamos lá nós passarinho 2024 vídeo tu tem que tu tem que tu tem queAí então vê isso aí porque o problema agora tá sério aproveita que tem jogando novo filho aproveitar que tem jogador novo para vocês esse cachorro assim você não quer ser campeão então vai ser campeão tem que ganhar no jogo,há 5 meses,0,
Parabéns Botafogo Diego Hernandez 😍😍,há 6 meses,0,
Quando o gol que o Coritiba fez que foi anulado o narrador explodiu 😅😅,há 6 meses,0,
Que saudade desses dias,há 7 meses,1,
Voltaremos mais forte ❤,há 7 meses,0,1
"Depois o Botafofo , pioocou",há 7 meses,0,
Arsenal 2.0,há 7 meses,1,
joga muito!,há 7 meses,0,
joga muitoo!,há 7 meses,1,
O gol de cobertura do cara do Coritiba,há 1 ano,107,
Esse Do coritiba foi muito lindo,há 1 ano (editado),44,
"Gol do coritiba o mais bonito, botafofo fez quatro gols cagados",há 1 ano (editado),32,
O do Coritiba,há 1 ano,15,
 @luanacam  mds gol Cagado foi coxa,há 1 ano (editado),38,
"​ @luanacam foi sim, todos cagados kkkkk. Chora amigo",há 1 ano (editado),30,
O do Coxa,há 1 ano,13,
​ @miraldo7 Do Bruno Gomes Você quiz Dizer?,há 1 ano (editado),3,
​ @luanacam para de choro Mn compara o botafogo com o galo um tá lá encima e o outro lá em embaixo 😂😂😂😂l,há 1 ano (editado),11,
​​ @luanacam Freguês t direito de opinar,há 1 ano (editado),5,
​ @DaviNacimentoRJ Foi nada! Foi muita Visão do Bruno,há 1 ano (editado),1,
B. Gomes do Coritiba,há 1 ano,1,
" @marialuizasoares3047  Sim, é que eu não sabia nome dele",há 1 ano (editado),0,
 @luanacam ent tu ta dizendo q os nossos foram cagados e o dele n foi? Eu confesso q realmente foi o mais bonito mas foi mt cagada o cara só chutou e orou,há 1 ano (editado),6,
"Dois times fracos. 
SRN",há 1 ano,1,
Bruno Gomes Coritiba,há 1 ano,1,
" @DaviNacimentoRJ  kkkk cara voces sao uma vergonha, todo gol e cagado, toda vitoria e sorte kkkkkkkk, chora meu fi, chora kkkkk",há 1 ano (editado),14,
Sou botafoguense mas o gol mais bonito foi o do Coritiba,há 1 ano,5,
O chutaço do Gustavo Sauer,há 1 ano,6,
​ @luanacam quatro gols trabalhadas não cagada só aceita,há 1 ano (editado),7,
 @fanaticoatleticano2844  chorao? segue o lider faco nao e seu time e vasco ne kkkkkkkk,há 1 ano (editado),3,
 @ialass  meu time bateu nesses dois timecos,há 1 ano (editado),1,
Do Coritiba,há 1 ano,1,
" @comunidade_q Gol do sauer foi bonito mesmo, mas esse gol do coritiba foi sacanagem, nao da pra ser clubista e nao dar parabens aos caras.",há 1 ano (editado),4,
 @ARES-nl5sm  ?? como assim o cara tem foto do botafogo e mete uma dessa kk,há 1 ano (editado),0,
​ @luanacam O quarto não foi cagado,há 1 ano (editado),0,
​ @DaviNacimentoRJ vdd,há 1 ano (editado),0,
"O narrador ser o Gustavo Villani, se fosse por mim narrava todos os jogos",há 1 ano,1,
O do Coritiba,há 1 ano,0,
Gol mais bonito do Brasil no ano,há 1 ano,0,
" @DaviNacimentoRJ  ue, o gol do coritiba foi Bonito mesmo, eu vou mentir e dizer que nao so porque foi contra o meu time?",há 1 ano (editado),2,
" @ARES-nl5sm  pensando bem pelo perfil dos jogadores o dele foi mais bonito 
Tá certo; mas eu fiquei empolgado com a reestreia do Gustavo",há 1 ano (editado),2,
