text,time,votes,replies
Se o cruzeiro pegar o amém em 2024 vai ser pêa,há 5 meses,0,
Juiz salvou o cruzerinho,há 9 meses,1,
Meteram a mão no América no final que triste,há 9 meses,0,
Que narração misericórdia,há 9 meses,0,
Merecia perder o cruzeiro,há 9 meses,0,
Goleiro ruin de mas do cruzeiro,há 9 meses,0,
"Coitado do Cruzeiro nao merece cair, Vou ajudar torcendo pra ficar em 8º lugar ainda da, Botafogo🤜 Cruzeiro",há 10 meses (editado),0,
"Engraçado ver os cruzeirenses reclamando SEMPRE do goleiro. Coitado do Rafael Cabral, sem culpa nenhuma nos gols (america e fluminense). Acho que o Cruzeiro fez mal em demitir o Pepa. Antes o time empatava e perdia jogando bem. Agora, perde e empata jogando mal.",há 10 meses,0,
"Pq ele apitou, era pra ter dado vantagem, dps aplicava o vermelho, e ainda aplicou amarelo antes",há 10 meses,0,
Juizão precipitou feio no lance da falta no Cazares em ... o jogador do América saiu na cara do crime ... mais uma vez as Marias deram SORTE KKKKKK,há 10 meses,1,
"Depois de a gente no Cruzeiro ter tido Pezzolano e Pepa como treinadores, Zé Ricardo é foda...",há 10 meses,0,
E vergonhoso saber que treinam a semana inteira pra apresentar isso pra torcida. JESUS NOS AJUDE.,há 10 meses,0,
O,há 10 meses,0,
O gol do Cruzeiro foi falta do Castan.Ele apoia no jogador do America,há 10 meses,0,
"America foi garfado.
No último lance o árbitro deveria ter dado a vantagem. 
O zagueiro dovfruzeiro escorrega",há 10 meses,0,
Incrível Como o Benítez é Diferenciado,há 10 meses,1,
Rafael Cabral como sempre entregando a paçoca,há 10 meses,0,
O COELHO FOI PREJUDICADO PODIA SAIR COM 3 PONTOS,há 10 meses,0,
Cruzeiro é mto freguês do América 😂,há 10 meses,0,
Dois times ruim do mesmo estado de coisas e futebol,há 10 meses,0,
"América foi roubado de tudo quanto é lado, no gol do cruzeiro o jogador usa apoio nas costas do jogador do américa para subir e não deixar ele subir, teve um lance no finalzinho que o jogador do cruzeiro recuou a bola para o goleiro que pegou com a mão e ainda o lance que deveria ter dado vantagem. E o pior a mídia não fala nada, nem mencionam.",há 10 meses,0,
"Pela baba que o América está,  eu até gostei do empate,  eu pensei que seria outra goleada,  o rebaixamento é  irreversível,  agora só  nos resta,  torcedores americanos,  esperar que o time consiga pelo menos alguns bons resultados",há 10 meses,0,
"A Saf mandou o Fabio embora pq nesse momento ele era o primeiro a pedir contrataçoes de peso, ai ja sabiam como ele era e o mandaram embora",há 10 meses,3,
"O América-MG perdeu muitos gols e merecia a vitória, mas o Cruzeiro com esse empate ficou no lucro!",há 10 meses,0,
Eu nao gosto de Rafael cabral ele tem o braco muito curto e um goleiro mediano ou entao ruim,há 10 meses,0,
"Só do cruzeiro nao estar na zona de rebaixamento, já é uma grande coisa...o elenco é muito fraco. Se não cair, os caras tem que ganhar medalha de honra ao mérito.",há 10 meses,0,
"Nikao é americano essa desgraça, Wesley pífio, time desgraçado",há 10 meses,0,
Time ridículo de vagabundos,há 10 meses,0,
"Cara, como que o juiz não deu vantagem naquele lance?o América foi bem melhor.",há 10 meses,0,
"Se não fosse o juiz ajudando o Bruzeiro, o América tinha sapecado bonito",há 10 meses,0,
Narracão Rogério corrêa,há 10 meses,1,
Dois times de série B..,há 10 meses,1,
Volta pepa,há 10 meses,0,
Esse goleiro peruzeiro,há 10 meses,0,
"Timinho feio demais, tô desanimado",há 10 meses,0,
"Como a arbitragem gosta de beneficiar as MARICOTAS, hein! Cruz credo! 
A lei da vantagem não foi respeitada, e prejudicou o América, que teria vencido a partida, uma vez que o jogador americano chegou marcar o gol, que seria o da vitória.",há 10 meses,0,
"Juiz ladrão. Gol do Cruzeiro foi falta, Castan subiu nas costas do zagueiro, parou o lance quando o América ia fazer o segundo gol e por fim, encerrou a partida num contra-ataque claríssimo do América.",há 10 meses,0,
O cara certo pra comprar o cruzeiro era o Pedrinho o interesse do Ronaldo é só financeiro essa gestão não tem sangue cruzeirense,há 10 meses,0,
mano...apesar de estar lá embaixo...hj o America é mais time que o Cruzeiro...sou vascaino...a briga pra nao cair vai envolver o Cruzeiro também ...mas o America acho que já foi,há 10 meses,0,
Eu não entendo o cruzeiro,há 10 meses,0,
Zé Ricardo é treinador de série b só o Ronaldo fenômeno não vê isso,há 10 meses,0,
Esse narrador nitidamente odeia o cruzeiro  e aqui só atleticano comentando kkkkkk,há 10 meses,0,
Benítez é muito foda,há 10 meses,0,
Foi muito no canto 🦖😅,há 10 meses,0,
Clássico dos dois menores de Minas,há 10 meses,0,
Cruzeiro da sorte que tem outras cananeia piores kkkkk😂😂😂😂😂😊pq tá perto do cheirinho da série b,há 10 meses,0,
Ho time feio desee cruzeirokkk,há 10 meses,0,
"Nesse jogo ,, e outros nessa temporada infelizmente não deu nem para sentir raiva do Cruzeiro , senti foi pena ou do dos jogadores, muito, mas muito incompetentes, nem eles mesmo demostram qualquer tipo de confiança.",há 10 meses,0,
Rafael Cabral tá osso,há 10 meses,0,
"Acho que realmente meu Cruzeiro acabou, no atual elenco não existe nenhum jogador o qual possa se confiar ou esperar alguma coisa!!",há 10 meses,0,
"Benítez chutou bem aquela bola,mais uma bola daquela o goleiro tem que pegar,a maioria dos goleiros pegaria aquela bola",há 10 meses,0,
Zeiro só ñ cai porque tem time pior,há 10 meses,0,
Juíz apitou antes do zagueiro escorregar.,há 10 meses,0,
Juiz safado ele sabia que o América iria marcar porque o atacante dicidiria a bola na frente sozinho canalha demais,há 10 meses,0,
"Se o Benítez não vivesse machucado, já estaria em uma boa equipe europeia...tem algum problema crônico, foi assim no Vasco, São Paulo...e antes de vir para o Brasil.",há 10 meses,0,
Passaram a mão na bunda do coelho. Operação Salva Marias.,há 10 meses,2,
O Cruzeiro tá dormindo no campeonato se continuar assim pode acordar na zona de rebaixamento . Para sorte deles que o juiz não deu vantagem nesta falta marcou e parou o lance se não  seria derrotado pelo América .,há 10 meses,0,
"Engraçado o ataque do cruzeiro não faz gol,  ou e a zaga ou são os laterais",há 10 meses,0,
Jogo chato 😮,há 10 meses,0,
"E esse gol roubado aí? era o segundo do América, esse vuaden sempre fraco na arbitragem.",há 10 meses,0,
🖤Atlético Mineiro obrigada parabéns América Coelho🐰 💚,há 10 meses,2,
O maior de minas venceu,há 10 meses,1,
"juíz de baixo nível igual ao jogo, só clubista pra dizer q o cruzeiro é o “maior” lá de minas KKKKKKKKK",há 10 meses,0,
"Zaga feia  ataque não tem, difícil",há 10 meses,0,
América pai das maria,há 10 meses,0,
Marmelada 😂,há 10 meses,0,
"Falta no gol do BBB. Pênalti no Mastriani não marcado. Bola recuada para o goleiro no chute do Pedrinho. Ele deu amarelo no lance do Cazares e não deixou o lance prosseguir. Faltando um minuto para terminar os acréscimos, contra-ataque do América, quatro contra dois, ele termina o jogo. A CBF É UMA VERGONHA!",há 10 meses,4,
Jogo de dois times que merecem o rebaixamento. O Cruzeiro merece até mais.,há 10 meses,1,
Achei falta do Luciano Castan no jogador do América 0:46 que golaço do Benitez esse argentino é craque joga muita bola o América foi muito prejudicado nesse jogo poderia anular essa partida!,há 10 meses (editado),10,
🅱️🅱️🅱️🅱️,há 10 meses,0,
"Pra mim o juiz interferiu no resultado, teve um lance de recuo de bola dentro da area do cruzeiro, um pênalti claríssimo pro América em um carrinho no jogador do América e ainda esse lance da vantagem nao dada ai .",há 10 meses,3,
Jogo pra ver qm é o menor de minas,há 10 meses,0,
"Joga contra o Benitez a 4 anos e nao sabe q a jogadinha dele e girar e chutar , pqp que draga essa zaga do cruzeiro, misericórdia",há 10 meses,0,
Quem é esse narrador?,há 10 meses,0,
"Foi um bom jogo, um bom clássico. Mas o cruzeiro não pode ficar empatando tanto assim, hein?! Perigoso...",há 10 meses,0,
"Entradas CRIMINOS/\S como a de hugo em /\R/\N/\, e a ocorrida nesse jogo, deveriam também ser punidas com multa e suspensão sem salário, caso a vítima precisasse ficar afastada. Apenas a expulsão é POUC/\ para C/\V/\LOS assim...",há 10 meses,0,
Rafael Cabral é seleção joga muito.,há 10 meses,0,
"nem perdeu nem ganhou ,só desperdiçamos vento!",há 10 meses,0,
"Boa madrugada de Sobral,,🌍📲💻🎥📹📷🍱🏆⚽👍👏🎆🎇",há 10 meses,0,
"Mesmo sabendo que o jogo ficou 1 a 1 ,o Cruzeiro tá tão ruim que  na hora de ver os melhores momentos eu fico com medo de tomar virada kkkk",há 10 meses,0,
Time feio esse do Cruzeiro.,há 10 meses,1,
Benitiz não jogou contra o Vasco pra fazer gol no cru cru 😂,há 10 meses,0,
goleiro do Cruzeiro é ruim demais kkkkk,há 10 meses,0,
Cruzeiro não jogou nada,há 10 meses,0,
