text,time,votes,replies
Parabéns América-MG nossaaaa 😍😍,há 7 meses,0,
💚⚪🇳🇬🐦👏🏽👏🏽👏🏽,há 7 meses,0,
José ❤🎉,há 7 meses,1,
"O G-4 tava bem disputado, mas o Z-4 era literalmente uma GUERRA",há 8 meses,0,
Mn ta parecendo liverpoll e chelsea em toda premier ligue ninguem liga mais todo mundo sabe que aconteceu,há 8 meses,0,
Jogo insignificante,há 8 meses,0,
América não vence nem de um time rebaixado tbm 😂😂😂😂😂,há 8 meses,0,
Goiás venceu em casa na despedida da Série A.  08/12/23,há 8 meses,0,
com certeza um dos jogos da história do brasileirão,há 8 meses,2,
"Meus sentimentos ao narrador VASCAÍNO Júlio Olivera "" narrar um jogo desse não é pra qualquer um",há 8 meses,0,
Jogo bosta da rodada merecem não voltar nunca mais pra serie A,há 8 meses,0,
Será isso ano que vem. Nível série B 😢😮😅,há 8 meses,0,
Playoff da serie b?,há 8 meses,0,
Top 1 dos melhores jogos da história dos pontos corridos,há 8 meses,1,
.,há 8 meses,0,
Uma das partidas mais horrorosas que assisti pqp. Parecia dois times de serie b. Não espera??,há 8 meses,0,
Dá pra escutar todos os xingamentos kkkkkkkkkk,há 8 meses,0,
"Quem foi Bahia e galo? Santos e fortaleza? Vasco e Bragantino? Flamengo e são Paulo? Não, o melhor jogo foi América e Goias",há 8 meses,1,
"JOGÃOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,APRENDEU BAHIA,ASSIM QUE SE FAZ",há 8 meses,0,
O jogo mais animado do brasileiro 2023 😂😂,há 8 meses,0,
O presidente do Goiás é um gordinho mimado que gasta o orçamento do clube com reforminhas inúteis no estado.,há 8 meses,0,
Bom jogo 😂,há 8 meses,0,
2ª força de GO X 3ª força de MG,há 8 meses,1,
Confronto de série B ano que vem,há 8 meses,0,
O ano do Goiás acabou o ano do dragão tá chegando 🐲🇦🇴2024 olha aqui nois de volta👏,há 8 meses,1,
2:16 isso sim é torcida euforica,há 8 meses,15,2
Prefiro ver horário político do que  esse jogo,há 8 meses (editado),0,1
Melhor jogo da última rodada,há 8 meses,1,
O goleiro do goias jogou sem.meias ou estavam sujas de barro ?,há 8 meses,2,
Começou a série B! América estreiou com derrota .,há 8 meses,0,
"Uai cadê a torcida pra apoiar vcs,sumiram ?😂torcida modinha é foda viu,vai aprender com a do vila e do Atlético go 😂😂😂",há 8 meses,1,
Goiás já é líder da Série B 2024,há 8 meses (editado),1,
"Esse jogo com certeza bateu o recorde de audiência, foi o jogo mais visto da noite.",há 8 meses,43,1
"Boa Vitória do goias contra o América, pelo campeonato brasileiro da série a 2023.",há 8 meses,0,
O SANTOS SE UNIO AOS AMIGOS 😂,há 8 meses,0,
"Duelo antecipado da Série B, Goiás vai forte contra o América",há 8 meses,10,
Quem está feliz com a Vitória do Goiás curte AQUI 👍,há 8 meses,5,
"Parabéns pela Vitória Goiás, vai vir forte pro campeonato ano que vem 🔥",há 8 meses,21,1
"Grande jogo 
De dois times que estão brigando na parte de cima da tabela",há 8 meses,5,
Tinha q ter era vergonha de comemorar um gol fei desse,há 8 meses,0,
E eles tem motivos para estarem alegre? Que comentario idiota,há 8 meses,0,
" @Gabribarbo eu sei,so to zuando mesmo kkkk",há 8 meses (editado),0,
Ate canal do boi é melhor kkkk,há 8 meses,0,
Sim...Visto Por 1000 Assinantes do Premiere 😂😂😂,há 8 meses,2,
Kkkkkk só se for na serie B,há 8 meses,1,
Tem besta q ainda compra ingresso pra ver um time sem vergonha desse gasta dinheiro pra ver esse timeco do goias,há 8 meses,0,
Nao era todos os jogos as 9:30 da noite,há 8 meses,0,
Que horas o jogo começou ?,há 8 meses,0,
O jogp acabou mais cedo???,há 8 meses,0,
"Depois que a vaca foi pro Brejo o saudoso Goiás ganhou  um jogo . Que  time Ridículo.  E os Pinheiros vão deixar mais da metade desses pernas de pau . Vamos cair pra série C . Todos os times dispensando e contratando e saudoso  Goiás dormindo como sempre . Ficam brigando pela presidência e esquece do time . Parabéns Edminho Pinheiro, Harley e todos os dirigentes 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼. Vocês acabaram com o nosso Verdao .",há 8 meses,2,
Ja comecou a serie b?,há 8 meses,0,
Os caras comemorarem esse gol só mostra que tão kgando pro Goiás,há 8 meses,2,
Jogo mais importante da história do Brasileirão,há 8 meses,40,
"Esse goias  é um time sem-vergonha  , fraco  .",há 8 meses,0,
Os dois times tem cada um bom goleiro mas possuem zagueiros horríveis com passes e marcação de jogadores amadores uma pena!!!Futebol em uma competição tão difícil mas os clubes não investem e querem fazer milagre com jogadores de baixo nível não da !!!!,há 8 meses,0,
"Se o Goiás tivesse um atacante top não teria caído,  porque esse Goleiro Tadeu salvou demais o Goiás, só ele foi a zaga. Goiás se arrastou no campeonato,  triste realidade.",há 8 meses,16,2
Jogo valendo uma coca,há 8 meses,1,
Um jogo digno de Série B,há 8 meses,61,2
"esses jogadores deveriam tomar vergonha na cara , em vez de comemorar o gol deveriam e pedir desculpa pra torcida por essa vergonha q fez a campanha do time , e no ultimo jogo resolveu jogar bola a vai pra pqp todos",há 8 meses,0,
"Nao última rodada todos jogos msm horário sei kkk BRASIL, BRASIL, BRASIL",há 8 meses,1,
Essa carnisa ai vence,há 8 meses,0,
Rebaixado 😂😂😂,há 8 meses,4,1
agr essa bosta desse time perde. Como deveria ter feito contra o bahia. tnc viu!!!!!!!!!!,há 8 meses,0,
Será que algum torcedor do Goiás pagou ingresso?,há 8 meses,3,5
Palmeiras tá perígoso,há 8 meses,0,
"Lembra do Pedro Raul,do Michael então",há 8 meses,1,
" @Pedrinocris e sempre assim, um ano arranja-mo alguém lá carregar nós, e no outro e cair porque não tem ninguém",há 8 meses (editado),0,
"Nada, série B foi melhor q isso",há 8 meses,5,
Digno de série c kkk,há 7 meses,1,
😂,há 8 meses,0,
Ainda tem doido,há 8 meses,3,
"5 reais o ingresso 😅😅😅
Igual o galo em 2010 fui no interior ver o jogo galo contra o Palmeiras, o ingresso era 5 reais, o galo não tava bem e ainda perdeu por 2x1 😅😅😅",há 8 meses,2,
 @joelbrad742  😂😂😂😂😂😂😂😂,há 8 meses (editado),0,
"​ @joelbrad742 acho que o ingresso foi 1 real,pra ter esse tanto de torcedor",há 8 meses (editado),0,
" @canaldovinao4194  eu contei 30 torcedores, só se tinha mais 10 no banheiro",há 8 meses (editado),0,
Goiás já é líder da série B com três pontos. 👍,há 8 meses,11,
Primeira rodada da Série B 2024 já começou 😅,há 8 meses,5,
Sou torcedor Goiás!! Maus  com administração que domina e melhor ficar na serie B aonde ele é competitivo...time do Goiás só foi forte na administração Raimundo  Gueiros ...fato,há 8 meses,4,
Nus.. jogão de futebol.,há 8 meses,4,
"Infelizmente o America MG se despediu da série perdendo pro Goiás 😢
melhoras coelho pra que em 2025 voltem firmes e fortes pra série A.",há 8 meses,45,7
Esse q é o time q não recebeu pix para dar a vida contra o Bahia?,há 8 meses,4,
"O América recebeu o 14 no último domingo, hoje foi só confraternização!",há 8 meses,11,
"Sem PIX, sem gol né America kkkkkkk",há 8 meses,10,
Jogo de Série B,há 8 meses,7,3
Terceiro,há 8 meses,1,1
e calem a boca!,há 8 meses,0,2
terceiro,há 8 meses,0,
"Melhor jogo da história do Brasileirão, e quem discordar tem toda a razão",há 8 meses,154,13
Segundo,há 8 meses,0,
"Infelizmente não irei ver esses clubes jogar a Série A em 2024, são equipes que eu gosto muito!",há 8 meses (editado),11,2
PRIMEIROOO,há 8 meses,0,
"O América já foi tarde, fez muito bem em ajudar o Vascão mas o lugar do América é na série B",há 8 meses,10,
​​​​​ @akinoribelvan  como n ajudou ? Perdeu os dois jogos é ainda ganhou do Bahia o deixando na zona do rebaixamento no lugar do Vasco e praticamente rebaixando o também já que vai enfrentar o Atlético kkkk,há 8 meses (editado),1,
"​ @kaike2776 Eu errei, eu confundi o Vasco com o Bahia. Vou apagar o erro",há 8 meses (editado),2,
​ @ian_sep666 Confundi o Vasco com o Bahia,há 8 meses (editado),1,
 @akinoribelvan   kkkk de boa mano,há 8 meses (editado),1,
 @kaike2776  o bahia foi la sapecou o atletico e rebaixou o santos kkk seu comentario envelheceu mal,há 8 meses (editado),1,
 @luke5267   glória kkkm foi melhor ainda eu tava torcendo pro Bahia é o Vasco escaparem kkkk ainda bem que o Atlético entregou o jogo kkkk,há 8 meses (editado),1,
Tecnicamente sim kkkkkkkkk,há 8 meses,2,
Literalmente kkkkkkkkkk,há 8 meses,0,
Óbvio né kkkk,há 8 meses,0,
Dois terceiro KKKKKK,há 8 meses,1,
