text,time,votes,replies
Eu amo Corinthians,há 3 meses,0,
Roger Guedes que falta vc faz pro timão,há 8 meses,0,
Tomara que  o Atlético ganha deste traste  do Corinthians  time que não joga só sabe derruba os contras,há 9 meses,0,
Tomara que o Atlético,há 9 meses,0,
Everson mais calvo que o Roger Guedes 😂😂,há 9 meses,0,
O Atlético Mineiro nem empatou só 1 a 0 para o Corinthians,há 11 meses,0,
Aqui é Corinthians 😎🖤,há 11 meses,0,
hulk e muito freguês do cassio mano kkk😂,há 11 meses,0,
Rodada 15?,há 1 ano,0,
Esse galo não passa de um pato😅😅😅😅😅,há 1 ano,0,
Lei do ex do Roger Guedes,há 1 ano,0,
"0:55 nesse o momento os culpados foram edenilson, Mariano e jemerson",há 1 ano,1,
VAI CORINTHIANS,há 1 ano,0,
ge eu vo pega a thumb e o vídeo emprestado mas vou te dar os créditos,há 1 ano,0,
"Mariano merece aumento, que passe!",há 1 ano,0,
"Depois que os pênaltis pro Patético MG acabou, nunca mais ganharam uma kk estranho isso né?",há 1 ano,0,
Roger guedes pai do galo,há 1 ano,0,
Belo passe do Mariano que isso tá de sacanagem o galo não tem lateral direito,há 1 ano,0,
Cassio voltou !,há 1 ano,0,
obrigado por ir pro generico felipao 🎉🎉,há 1 ano,0,
RG é CRAQUE!,há 1 ano,0,
"Cássio gigante em campo , Roger Guedes , sempre ele",há 1 ano,0,
Mariano tá bom de se aposentar,há 1 ano,0,
Cássio e fodão😂,há 1 ano,0,
Adoro ver essas frangas se fuderem,há 1 ano,0,
Aqui    é      timao,há 1 ano,0,
"Até que enfim ganhou, vamos embalar timão,  chega de sufoco",há 1 ano,0,
CASSIOS  🤠,há 1 ano (editado),0,
Corinthians ganhar é bom,há 1 ano,0,
A copinha o Corinthians de ganhar um campeão é campeão é ganho,há 1 ano,0,
Corinthians ganhar,há 1 ano,0,
"NEM FUTEBOL AMADOR FAZ UM PAPELÃO DESSE!

ISSO É UMA VERGONHA VIU.ABRAÇO!!
😢😢",há 1 ano (editado),0,
Freguês da porra,há 1 ano,1,
"Esse Mariano só pode estar envolvido em esquema de aposta kkkk , não tem jeito não",há 1 ano,0,
Mineirão em Belo Horizonte,há 1 ano,0,
"""Estou gostando tanto do YouTube, que até criei o meu Canal.""",há 1 ano,0,
"Coloquem sintético, interditem esse estádio PQ parece várzea um gramado desse todo remendado.",há 1 ano,0,
Na primeira  chance roge Guedes errou e pensou  não vou jogar mais no canto da proxima e kkk deu certo vitória do nosso timão,há 1 ano,0,
"O que cassio ta sauvando esse lateral esquerdo é brincadeira,os lances de perigo do galo foram todos por ali..",há 1 ano,0,
Galo freguês  do Corinthians 😂😂,há 1 ano,0,
Esse jogo foi na época da pandemia? Só 20% do estádio ocupado.,há 1 ano,1,
Dois times deste tamanho sendo comandados por ex técnicos em atividade...,há 1 ano,0,
"Tá complicado, o time ganha 1 jogo e perde outro.",há 1 ano,0,
Só deu Cassio ai kakakaka,há 1 ano,0,
FORA IGOR GOMES JOGA IGUAL CARANGUEJO SÓ TOCA DE LADO E PARA TRAZ.,há 1 ano,0,
Gigante Cássio,há 1 ano,0,
"Gaylo Patético Mineiro, menor de Minas 😂😂😂",há 1 ano,0,
"Guedes é lindo , joga muito e ainda mete gol 😎❤",há 1 ano,0,
Guedes melhor jogador do Corinthians ❤,há 1 ano,0,
Proximo jogo o Corinthians perde e volta ao normal,há 1 ano,0,
Roger Guedes  grande!,há 1 ano,0,
Por que o Galo ainda ainda está com esse bosta que conseguiu perder de 7 pra Alemanha?,há 1 ano,0,
Vai Corinthians!,há 1 ano,0,
É isso aí corinthians!,há 1 ano,0,
Patético no seu devido lugar,há 1 ano,0,
Grande passe do mariano puxando o contraataque do corinthians,há 1 ano,0,
2 times bosta,há 1 ano (editado),0,
Deixaram o gigante acordar,há 1 ano,0,
Choramm as 🌹  rosaaaas 🎼🎼,há 1 ano,0,
"Galinho da Márcia ta virando fregues do Corinthians ksks, cade a @LuanaCam pra zoar e perturbar agora?",há 1 ano,1,
"Esses caras que jogam aqui no Brasil deveriam ganhar no máximo 2 salários mínimo,os olhos sangram assistindo esses pernas de pau",há 1 ano,1,
"O Lemos e seu rabim de cavalo ficoy rebolando na frente do Roger, ao inves de chegar junto",há 1 ano,0,
Cássio sempre fazendo defesas difícil 👏,há 1 ano,0,
O Piu Piu sempre tem medo do gavião,há 1 ano,1,
Bru ti ti ti,há 1 ano,0,
15 rodada isso tá certo ge,há 1 ano,0,
Flamengo é maior SO OLHA Corinthians é maior da like demais,há 1 ano,3,
Agente n estava numa fase boa perdemos choramos mais o corintiano sabe como é mas uma coisa sabemos palmeiras pode esperar q agente vai chegar aí e vai curintia 🦅🖤🤍🖤🤍🖤,há 1 ano,1,
Deixa o Felipão trabalhar 😂😅😅,há 1 ano,0,
Todo time ganhando do Corinthians 😂😂 aí vem o Atlético MG e consegue perde 😂😂,há 1 ano,0,
"Rodada 15?????
























Ta no titulo",há 1 ano,0,
Cássio é um monstro.,há 1 ano,0,
TIMÃO RUMO AO HEPTA .😀😁😂😃😄😅,há 1 ano,0,
Time do galão fraquíssimo infelizmente horroso,há 1 ano,0,
O importante que o galo jogou bem,há 1 ano,0,
Quanto o galo recebeu da máfia Corinthiana pra entregar esse jogo???,há 1 ano,1,
Que gol ridículo os cara deu a bola pro Yuri Alberto 😂😂,há 1 ano,0,
❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉,há 1 ano,0,
Tabela de todos os jogos pode me dar um Corinthians,há 1 ano,0,
"Os caras sempre que falam que a demissão ou não do Luxa depende do próximo jogo o Corinthians ganha, tá bom de por já o cargo em prova todo jogo 😂😂😂😂",há 1 ano,0,
"Se o Palmeiras tem pacto com o capeta
O galo tem acordo com Deus

Pq krl, o galo fez o milagre de levantar defunto 😅",há 1 ano,1,
Vai Corinthians ❤,há 1 ano,0,
Parece que o linchamento do Luan deu certo os jogadores começaram a ganhar uma agora tem que ganha sul-americana,há 1 ano,0,
Kkkk chora frangas,há 1 ano,0,
O Galo fez várias contratações no início do ano mas parece que piorou kkkk,há 1 ano,1,
⚽⚽⚽,há 1 ano,0,
"E o tal do melhor de Minas, k.k.k",há 1 ano,0,
"Esse Mariano é, de fato, HORRÍVEL! Em muitos jogos ele só entrega o gol pro adversário! Nem deveria ter tido o contrato renovado!",há 1 ano,0,
🙏🦅,há 1 ano,1,
"Galão jogou a bola para o Corinthians,mereceu perde  kkkkkkkkk",há 1 ano,0,
GUEDES PAI DO GALO,há 1 ano,0,
Virou freguesão do Corinthians kkkkkk,há 1 ano,1,
Jogada ensaiada do Corinthians ... O lateral do Galo atrasa a bola para o Yuri Alberto que passa para o Roger Guedes.,há 1 ano,0,
"É...
Sem o Hulk, fica difícil.",há 1 ano,0,
Tamo com a moral lá em cima vamo contra o lanterna do brasileirão em casa,há 1 ano,0,
"Vergonha torçe pra esse galo kkkkk
Perde em casa logo pra um time ruim do campeonato kkk",há 1 ano,1,
"caraca ver o pedrinho jogando contra nois bate aql saudade =/... Mas que partida meus amigos,que partida",há 1 ano,2,
Kkkk os caras tem Igor Gomes como titular kkkkkkkk Igor Gomes kkkkkkk ainda bem a foi embora do SP,há 1 ano,0,
Galo penada sem meu pênalti não consigo 😢😂😂,há 1 ano,1,
Aqui é Corinthians,há 1 ano,1,
Que futebol horrível. Pra perder pro Corinthians em casa e pq o negócio tá feio. Kkkk,há 1 ano,3,
"O próximo título brasileiro do Atléticu só em 2051, sempre é de 50 em 50 anos",há 1 ano,0,
"Investiguem esse árbitro, podem investigar. Não é marcado um pênalti desses, nem aqui, nem na China. Ele, teve a chance de retificar e manteve o erro. É um verdadeiro absurdo. Foi uma tremenda de uma sacanagem. Tem alguma coisa por trás aí, não é possível que esse árbitro  teve essa decisão infeliz, sozinho......",há 1 ano,0,
esse gaylo é freguês do Corinthians.,há 1 ano,0,
"Esses argentino aí do Atlético jogam nada, mania de fica trazendo esses narigudo pra cá kkkkkk",há 1 ano,0,
Guedes titular em qualquer time do Brasil?,há 1 ano (editado),0,
Pode escrever aí morcardo já é uma realidade joga muito e parabéns ao Corinthians ganhou mais uma fora de casa,há 1 ano,0,
Sou palmeirense..mas nmrl..r.guedes tá merecendo uma chance na seleção.. já passou dhr n vdd,há 1 ano,0,
Gil e Fábio fora pelo amor de Deus,há 1 ano,0,
Uma ataque com Paulinho Roger guedes e Vitor roque. Seria coisa de louco,há 1 ano,0,
"Engraçado Gabriel moscardo acabou de subi pro profissional já e melhor que Roni, Maycon E todos volante do Corinthians, Uma jóia nn um ouro Vai ser craque",há 1 ano,0,
Esse Guedes fosse humilde Tava no Palmeiras..Vai terminar a carreira sem títulos importante,há 1 ano,0,
O curioso é que o Atlético só está a cinco pontos do Corinthians e tem gente aqui comentando como se o líder tivesse perdido para o último colocado😂😂😂,há 1 ano,0,
Bom passe do Mariano no gol do Corinthians kkkk,há 1 ano,0,
GALO CAVALO PARAGUAIO!,há 1 ano,0,
Galo é o maior de Minas 😢,há 1 ano,0,
"Mano que miseria, esse atlétiCU é muito freguês",há 1 ano,0,
Calvo guedes,há 1 ano,0,
Perder dá forma que perdeu e um time muito ruim ainda para os ganbas,há 1 ano,0,
O melhor goleiro do Brasil é o casio merece ser titular na seleção brasileira,há 1 ano,0,
Esses jogadores do galo não me representa tenho vergonha desses caras,há 1 ano,0,
Gil o melhor zagueiro do Brasil merece uma chance na seleção brasileira,há 1 ano,0,
Nossa cara que dureza o galo se permitindo mais uma vez perder pra essa baba do Corinthians...,há 1 ano,0,
Cássio é um monstro,há 1 ano,0,
Corinthians não tem jeito tem que respeitar gaviões fiel.🖤⚪🖤🖤⚪🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅😎😎😎😎😎👏👏👏👏👏,há 1 ano,0,
Goleiro do Atlético pega tudo,há 1 ano,0,
"Esse Atlético, só quer sangrar  a canela,quando 3 contra  o flamengo, cavalo paraguaio!",há 1 ano,0,
- Vai Corinthians.,há 1 ano,0,
Como sempre o galo fazendo a alegria do Corinthians 😂,há 1 ano,0,
"Ver a torcida do Corinthians se contentar com essa atuação do Yuri Alberta por causa de um passe simples desse (se ele errasse seria um absurdo) é lamentável. Mostra como o Corinthians está carente de um bom centro-avante. Esse cara é um pereba, inimigo da bola. Só canelada, parece um pia de prédio que tem velocidade.",há 1 ano,1,
"GALO,O VERDADEIRO LEVANTA DEFUNTO !!!",há 1 ano,0,
nóis torcedores do FURACAO  agradecemos muito ao GALO por terem tirado o FELIPAO daqui.. ja tavamos na agonia com ele aqui e de brinde saiu o Turra tbm meus muito OBG galo kkkk,há 1 ano,0,
O galo está no caminho certo. Continue assim!! Kk😂,há 1 ano,0,
🖤 ⚪⚫,há 1 ano,0,
"ATÉ HOJE NÃO ENTENDO PORQUE NARRADORES BONS SAEM DA GLOBO E FICA ESSE, MUITO RUIM A NARRAÇÃO.",há 1 ano,0,
Cássio goleirão,há 1 ano,0,
patético mineiro é nosso filho,há 1 ano,0,
Si existe um time que passa vergonha no futebol brasileiro esse e o Atlético,há 1 ano,0,
Essa dupla de ataque tem tudo pra engrenar se fizer o simples tocar um pro outro.,há 1 ano,0,
VAMOS MEU TIMÃO,há 1 ano,0,
"😂 Se não tem o tal Huck tanajura e o Felipe gagá na área técnica, não tem time e vira uma verdadeira porqueira mais um time comum como muitos por aí, só daqui a 50 anos que talvez irá levantar o Brasileirão novamente 😂😂😂",há 1 ano,1,
Atlético é filho de todos os times do Brasil kkkkkkkkk,há 1 ano,0,
Seu time na pior fase?? Chama o galo okkkk,há 1 ano,0,
"Vai Corinthians,boa vitória! 👍🏻👏🏻👏🏻",há 1 ano,1,
Esse gramado do Mineirão está um bosta! Olha como a bola quica no gol do Roger Guedes,há 1 ano,0,
O menor de minas já pode chamar o Roger Guedes de papai,há 1 ano,0,
"Roger Guedes faz a diferença tá de parabéns, e o Yuri Alberto também deu um bom passe, se os dois estivessem no nível do Roger o negócio era outro, parabéns Corinthians  🦅👏🙌",há 1 ano,1,
A,há 1 ano,0,
"Quando o corinthans ganha ninguem fala nada né, ninguem xinga o LUXEMBURGO, etc, parem de ser mimados crianças",há 1 ano,0,
Time ganhou mais falha muito,há 1 ano,0,
"Existia um motivo muito claro pq o Felipão estava aposentado, trabalhando apenas na parte administrativa.  O Atlético inventou e trouxe o grande técnico dos anos 90 pra um campeonato em 2023 😂😂",há 1 ano,0,
Venceu quem tem  mundial,há 1 ano,1,
Guedes tbm e foda tá sendo muito independente,há 1 ano,0,
Esse Fábio Santos é uma tragédia,há 1 ano,0,
Roger Guedes já virou pai do galo kkkkkk,há 1 ano,0,
Gaylo nanico 😂😂😂😂,há 1 ano,0,
Galo pipocou pra galinha,há 1 ano,0,
"se o corinthians perde esse roger guerdes, pode dizer a deus ao time… só ele joga kkkkkkkk",há 1 ano,0,
Kkkkkkkkkkkkkkkk,há 1 ano,0,
Freguês de carteirinha.,há 1 ano,0,
"Perder, em casa, para time de segunda divisão. É o que se pode esperar de time comandado pelo técnico do 10 a 1.",há 1 ano,0,
"O Gil é um zagueiro muito ruim, ele marca jogador que já tá sendo marcado, o Corinthians só tem um pouco de rigidez defensiva se jogarem com três zagueiros, mas isso iria ser resolvido facilmente se tirasse esse cara do time 🤌🏽",há 1 ano (editado),0,
Uffa vamos timão consegui uma vaguinha pra libertadores ❤,há 1 ano,0,1
"""Cascão solta o hino do Curinthia"" 🤣🤣🤣",há 1 ano,0,
Atlético decepcionou mais uma vez. Tudo normal em MG,há 1 ano,0,
"Esse galo é uma piada mesmo, ressuscitando os mortos sempre 😅",há 1 ano,0,
"Ele bate a Assa, ele faz Piu Piu mais tem muito medo e do gavião 🐔🦅",há 1 ano,0,
"Esse lateral do Atlético tá nos sites de apostas, pra dar um gol desses kk",há 1 ano,0,
Esse mariano tá velho e horrível,há 1 ano,0,
Não gosto do Corinthians mais ver ele ganhar do galo vale a pena😂😂,há 1 ano,0,
"Grande partida do corinthias, mereciam a vitória",há 1 ano,1,
Esse narrador é mineiro,há 1 ano,0,
