text,time,votes,replies
Nao asssiti mai tomou taca,há 2 meses,0,
"olha essa carniça do gil, ainda bem que saiu do time",há 4 meses,0,
Obrigado Red Bull Bragantino Eduardo Sasha ❤🖤,há 6 meses,1,
Sol Corinthians  até morre,há 9 meses,0,
Ganhou nova mente 😂😂😂😂,há 9 meses,0,
Vai cair kk,há 9 meses,0,
"""Mano do Menezis"" está na corda bamba !",há 9 meses,0,
"E aí Mano Menezes fanfarrão, falou que o Inter pensava em libertadores , e acabou atrás do Corinthians, fala agora seu fracassado,só fez merda aqui e tá fazendo aí também e se deixarem tu rebaixa o Corinthians, treinador ultrapassado.😡",há 9 meses,0,
Que golaço do Braga,há 9 meses,1,
"Pow tô puto ae no último lance mostra que o Wesley chutou no gol foram 10 finalização e não mostra que foram 10 
Na súmula do site Opta nem o nome dele tá mais tae geral vou que no último lance ele chutou e o goleiro defendeu mais mem tem o nome dele laa 
Wesley Ribeiro número 36 . Foda",há 9 meses,0,
Corinthians vai cair pra série B. Torcida é grande,há 9 meses,0,
Cú-rintia na série B 😄😄😄😄😄😄,há 9 meses,0,
Timinho muquirana. Kkkkk. Rumo a segundona. Kkkkkkkkk,há 9 meses,0,
"Ta dificil fazer gol imagina treinamento,  tatica e posicionamento.",há 9 meses (editado),0,
U Corinthians  vai pra série  B,há 9 meses,0,
Ser santista nessa hora é bom de mais,há 9 meses,0,
time horrívellllllllll,há 9 meses,0,
Anota aí 2x1 Corinthians,há 9 meses,1,
Hoje tem CORINTHIANS x bragantino fora de casa,há 9 meses,0,
Corinthians você não era assim,há 11 meses,0,
2:40 COMO QUE PERDE UM GOL DESSE VÉI 😤😤,há 1 ano,0,1
"Bragantino é muito.chato, este Eduardo Sascha bom jogador eim",há 1 ano,0,
A real é que o Corinthians marca muito longe os adversários encosta nos cara marca com intensidade e sai lento com a bola nos pés.,há 1 ano,0,
AVANTI PALESTRA 🇮🇹,há 1 ano,0,
A sombra atrapalhou os jogadores do Corinthians na hora do gol. Não é justo. 😂😅,há 1 ano,0,
A novela já passou terra e paixão? Alguém mi responde?? Por favor,há 1 ano,0,
🎉🎉,há 1 ano,0,
Esse jogo e top,há 1 ano,0,
"OU  COLOCA   UM  TECNICO   DE   PEZO  OU  DEIXA   O  LUXA  TROCAR  6  POR  MEIA  DUZIA  NAO  ADIANTA OK,",há 1 ano,0,
Obrigado cocorintians por nao me decepcionar,há 1 ano,0,
MENGÃO MALVADÃO-2023,há 1 ano,0,
mds que várzea,há 1 ano,1,
Gosto de jogos principalmente do Corinthians vai Corinthians,há 1 ano,2,
Queria q meu vasco perdesse mas pelo menos q jogasse futebol😢😢😢😢😢,há 1 ano,1,1
Gambás,há 1 ano,0,
""" o podero timão "" perdendo para red bull bragantino em plena arena ,é, os times estão fazendo da arena Itaquera salão de festa .",há 1 ano,0,
Pelo menos foi 1x0 e o Flamengo 4x0 sem direito a nem da chute no gol kkkk,há 1 ano,0,
A série B é logo ali..vamo acordar Corinthians..A Torcida não merece nem pagar oq cobram nos ingressos para assistir vcs maltratarem a bola.,há 1 ano,0,
Seria melhor o time reserva,há 1 ano,1,
vai cair hein....👀,há 1 ano,0,
O outro lance foi pior,há 8 meses,0,
Vdd,há 1 ano,0,
Narração do pes,há 1 ano,1,
Que time horrível,há 1 ano,0,
"Corinthians é uma vergonha ,  sem o Renato Augusto nao tem time , é a desgraça da diretoria não contrata alguém pra substituí- lo , zaga fraquinha  falta dum zagueiro de nome pra organizar essa bagaça.",há 1 ano,1,
Antigamente o Cássio pulava nessas bolas,há 1 ano,0,
Parabéns 🎉,há 1 ano,0,
🦅⚰️ 12/11/23,há 1 ano (editado),0,
😅,há 1 ano,0,
❤❤❤❤❤,há 1 ano,0,
Muito bom!,há 1 ano,0,
Time sem vergonha 🎤,há 1 ano,0,
O corinthians é o único time q joga pelo empate!!!,há 1 ano,0,
"Como um comentarista falou ... ""o time do corinthians é um catado""",há 1 ano (editado),0,
"Ae, o Corinthians vai jogar a serie B, kkkkkkkkk",há 1 ano,0,
NETO OLHOU PELO BINÓCULO E O TIMINHO NA SÉRIE,há 1 ano,0,
Vai Curintia!!!!!,há 1 ano,0,
O luxa falou que ganhar todas não dá mais perder todas sim 😢😢😢😅😅😅,há 1 ano (editado),0,
"Paulinho lenda do futebol brasileiro, eterno 7x1.  😂🤣😅",há 1 ano,0,
Só isso Tourão Vermelho?,há 1 ano,0,
Luxerburro  porque não me entra com time que jogou contra o Liverpool aí é  pedi pra perde mesmo  esse time titular não  dá.,há 1 ano,0,
Tá duro em lux nois desse ou ou não desse fora duilh burro hipócrita,há 1 ano,0,
"Jogando nada e perdendo como sempre. E tem comentarista aí que se diz corinthiano, defendendo Andres Sanches e Duílio. Ou gostam de apanhar ou são antis disfarçados!",há 1 ano,0,
Sasha arrebentando... O Corinthians errando gols incríveis... No final vai fazer falta.,há 1 ano,1,
"# AQUI NO BRASIL O DINHEIRO 💸 COMPRA TUDO#
Fora Luxa.
Luxa vai derrubar o Corinthians.
Preparado físico fraco do Corinthians.
Não renovar com esses jogadores velhos de casa é de idade.
Fagner tem que jogar bola é não brigar",há 1 ano,0,
"Na verdade foi realizado o seguinte jogo:
Amigos de Alguém X Bragantino",há 1 ano,0,
O Corinthians não tem personalidade pra jogar futebol e a culpa é sim do treinador até pq ele insiste em peças que não funcionam.,há 1 ano (editado),0,
Eu espero que caia!,há 1 ano,0,
Técnico medíocre time medíocre.,há 1 ano,0,
Engraçada ver os antis comentando 😅,há 1 ano,0,
"Existe a muralha amarela, do Bvb, e existe a muralha Alvinegra, atrás do gol, sempre presente, sempre fiel... Esse time vagabundo não merece essa torcida, esse apoio! QUE PAPELÃO!",há 1 ano,0,
Olha quantas chances de gols perdidos teve o Corinthians e querem culpar o Luxemburgo...dava pra sair com empate nesse jogo mas o caras não acertam o gol..ai fica difícil,há 1 ano,0,
Ererere Corinthians vai jogar Série B eeeeee😊,há 1 ano,0,
"Roger Guedes não cria uma jogada, fominha, não toca uma, tá arrebentando com o Corinthians,  daí sobra pro Yuri Alberto. Ninguém jogando nada no Corinthians.",há 1 ano,0,
Minha diversão é ver todo ano o Corinthians dar vexame.   Kkk😂😂😂😂,há 1 ano,0,
"Atacantes fominhas, ninguém toca pra ninguém..",há 1 ano,0,
"Como já dizia o poeta Dirceu Maravilha o corinthias é como vôo de galinha não vai muito longe,time pequeno .

A gora é conhecido como  gambá e vôo de galinha .

Kkkkk ok

Fica luxa para luxar mais o Corinthians na lama.

# FICA LUXA ..",há 1 ano,0,
Corinthians tá uma merda viu,há 1 ano,0,
"me lembro  que  quando o grêmio no ano 2021 estava mal rebaixou ele mesmo  contra o corinthians os torcedores levantou a placa  troco dado  kkk sendo  que ele mesmo  se rebaixou ,  hoje  quem pode cair é eles kkk",há 1 ano (editado),0,
"Yuri Alberto: goleador,craque!
😂😅😂😅😂😅😂😅  está no lugar certo, vai cúricaaaaa!!!",há 1 ano,0,
"TIME DE ""BOLEIROS VELHARADA"" GANHA UMA FORTUNA E JOGA ESSE FUTEBOLZINHO.",há 1 ano,0,
Mas o cruzeiro goleou o bragantino tbm,há 1 ano,0,
"Luxemburgo cara de pau,luan não tem vaga nesse time,pergunta a torcida,se o Luxemburgo não sair o Corinthians vai pra série B.",há 1 ano,0,
vem pro gremio roger guedes,há 1 ano,0,
Vai cai 😂😂😂😂😂🅱️🅱️🅱️🅱️👻👻👻👻,há 1 ano,0,
🅱️🅱️🅱️🅱️🅱️👻👻👻👻,há 1 ano,0,
Boa bragantino,há 1 ano,2,
"Que triste mano, nos outros jogos o bragantino fez 5 e 7 gols e nesse só 1 força bragantino",há 1 ano,0,
Pior que o timão perde jogando até bem ce e loco que zika torce pros 45 pontos pra cair aff😢,há 1 ano,0,
"Ta, agora me diz: por que o Gil saiu da marcação e foi pra cima da bola, no lance do gol do Braga? Ah, nao, mas o Corinthians é gigante, não precisa de zagueiro kkkkkkkkk",há 1 ano (editado),0,
O jeito é jogar com o time reserva que rendeu mto mais que o time titular,há 1 ano,0,
"Santos e cúritia unidos rumo a segundona, oh maravilha 🤗",há 1 ano,1,
"O bragantino é muito organizado, otimo time.",há 1 ano,1,
Vergonha o Corinthians e principalmente o Cássio,há 1 ano,0,
Curinquia de mula ruma á série B 2024.,há 1 ano,0,
vergonha oq nosso time esta sofrendo na arena!!!!! fora duilio!! fora luxa!!!!!!!,há 1 ano,0,
"0:50 Pause aqui e veja o belíssimo buraco defensivo do Corinthians, parabéns aos envolvidos... treinamento rendendo 👏👏👏👏",há 1 ano,1,
Nem a arbitragem salva o coringaum esse ano,há 1 ano,0,
Adeus apto qmigo,há 1 ano,0,
"O Corithians nao cansa de passar vergonha ainda mais jogando no seu estadio e pior, lotado.....",há 1 ano,0,
:face-blue-smiling::face-blue-smiling:🤣😂,há 1 ano,0,
sasha metendo gol pra crl,há 1 ano,0,
Amanha o Goias vence o Coritiba e empurra o curintia pra serie B. kkkk,há 1 ano,0,
"Curiquinha é tão pequeno que até o 15 de piracicaba é maior ,, e da mais trabalho de enfrentar",há 1 ano (editado),0,
Que faze que ta o Curintia 😂😂😂,há 1 ano,0,
O série B Pode esperar Que As Gaivotas Vai Chegar o Série B Pode esperar que as Gaivotas vai chegar😂😂😂😂😂😂😂😂 adorroooooooooooooooo fica Luxa 😂😂😂😂😂,há 1 ano,0,
"Esse ano cai nós,o vasco e a gambazada",há 1 ano (editado),0,
Corinthians precisa cair.,há 1 ano,0,
"Bragantino em três jogos ganhou de três times pequenos 4x0 no Flamengo, 7x1 no Tacuary e 1x0 no Corinthians esse era o mais fraco e ganhou de um placa mínimo que decepção imprevistos acontece força massa bruta.",há 1 ano,0,
😂😂😂😂😂😂,há 1 ano,0,
Toda vez a gente pensa que o Corinthians vai sair dessa situação mas não sai,há 1 ano,2,
Bragantino é o maior de São paulo,há 1 ano,1,
Parece que o time mais odiado do mundo é o curica 171. Por que será?,há 1 ano,0,
Narra muito mal o Milton Leite se é Loko.,há 1 ano,0,
Cássio fica só olhando aí dento,há 1 ano,0,
Corinthians e Santos na série B ? Estão pedindo.,há 1 ano,0,
Se próximo jogo ele entrar com maycon vai ser tiracao,há 1 ano,0,
Curintia vai cair de novo 😂😂😂,há 1 ano,0,
É muito satisfatório ver a galinhada 🐔 perdendo. 😂,há 1 ano,0,
Corinthians  tem que ser Vendido esses dirigentes só Roubam! Botafogo é um exemplo só é líder pq foi Vendido,há 1 ano,0,
Maravilhoso ver o Corinthians perder,há 1 ano,0,
Time bosta esse corinthians tah,há 1 ano,0,
ISSO É UMA VERGONHA O TIME LEVA O GOL NO PRIMEIRO TEMPO E NÃO TEM MORAL PRA IMPATA TENDO O RESTO DO PRIMEIRO TEMPO E O SEGUNDO TODO E NÃO CONSEGUE ISSO É UMA VERGONHA,há 1 ano,0,
"pois é gambá, não deu pra voce novamente >>>>  osso",há 1 ano,0,
O Curica tá doido pra jogar a Série B novamente...😅,há 1 ano,0,
Corintia sempre alegrando meu domingo 👉😎,há 1 ano,2,
Corinthians tem que voltar pro seu lugar de direito (Série B),há 1 ano,0,
"Tô chapado demais kkkkk tava vendo placar no mudo ai pensei pq a torcida do Corinthians tá tão calada dai aumentei o volume e só ouvi o narrador o comentaristas e os jogadores do braga o Corinthians ta muito pra baixo...

E o Brasil ta feliz pra caralho❤️‍🔥",há 1 ano (editado),1,
Valeu meu Braga ❤,há 1 ano,1,
Time Grande nao perde pra Timécos....já era esperado. Parabens Bragantino.,há 1 ano,0,
Triste a situação do Corinthians ! Espero qui piore !,há 1 ano,0,
O curica não pode ver uma vergonha que já quer passar!,há 1 ano,0,
"Caramba, 3 lances como melhor momento, mas com impedimento marcado, eu nunca vou entender isso.",há 1 ano,0,
"Corinthians jogou bem dms, só faltou a bola entrar",há 1 ano,0,
TMNC,há 1 ano,0,
"Sampaio X Corinthians 
Sampaio X Vasco 
Sampaio X Santos 
Sampaio X Bahia só clássico 2024 casa cheia castelao está esperando 😅",há 1 ano,0,
QUATRO a zero no meu flamengo um a zero no CUCURINYHIAS KKKKKKK to fora de energético 😂😂😂😂😂😂😂😂,há 1 ano,0,
Coriga cada vez mais perto do rebaixamento,há 1 ano,0,
"Pior que o Corinthians só o Vasco já pensou Vasco  Corinthians, Santos, Bahia na série B  Vai dar muito audiência 😅😅😅😅",há 1 ano,0,
Asistir o coringa é so passar vergonha com todos. Os times,há 1 ano,0,
", luxerburgo valeu pelas antigas , voltaaaaaaaaa carilleeeeeeeee",há 1 ano (editado),0,
"Tá jogando igual o Grêmio 2021, se não tirar o Luxemburgo e trazer um técnico estrangeiro, vai cair! Nem na arena estão ganhando, imagine fora de casa.",há 1 ano,0,
Falei pra colocar os jogadores da base... Não me ouviram.. Perderam..,há 1 ano,0,
Esse Corinthians é só desgosto,há 1 ano,0,
"Deu uma leve melhorada.  Mas tem que  calibrar o chute. 
Vai ser  o ano  todinho tomando  tromba",há 1 ano,0,
Triste nada😂,há 1 ano,0,
"O Corinthians perdeu hoje de novo. Por favor, alguém ajuda 😫😫😩😢😢😢",há 1 ano,0,
❤cheio de idiotas no estádio. 😂😂😂,há 1 ano,0,
O Corinthians precisa colocar os mundiais pra jogar senão vai ser rebaixado 😢😅,há 1 ano (editado),0,
"É fácil rir das Galinhas, difícil é parar 😂😂.",há 1 ano,0,
Só Matia Rojas pra salvar!,há 1 ano,0,
Só querem chutar bonito... AFF,há 1 ano,0,
"Corinthians sempre tem um
Plano B . 
Só não cai se o mensaleiro lavador de dinheiro ajudar com grana da Odebretch. 😂",há 1 ano,0,
Os corintianos reclamando q o time toma gol do filho da 😂😂😂😂😂 Xuxa,há 1 ano,0,
Se não fosse Roger Guedes e o Juiz a Galinhada era lanterna ! 🔦🔦🔦 No jogo contra o São Paulo foi um assalto !,há 1 ano,0,
Série  b logo ai,há 1 ano,0,
"O time ja é ruim jogando as 16 com clima bem fresco , agora imagina jogando as 11 :00 debaixo do sol . Varzea pura hahahahhah",há 1 ano (editado),0,
Yuri Alberto roger vej uns gol de Ronaldo  pra vcs se posicionar melhor,há 1 ano,0,
Rapaz se eu fizer 2 seman de trenó aí duvido eu N fazer um gol por jogo,há 1 ano,0,
Corinthians na série B ano que vem 🙏,há 1 ano,0,
"O Corinthians merecia vencer, tem que colocar a garotada pra jogar",há 1 ano,1,
"Só não tá a na zona prq no jogo contra o SPFC o juiz não deu gol do Calleri.
Torcida tá pagando o que fizeram com o Cuca, praticamente acabaram com a carreira dele, claro que não foram TDS os torcedores.",há 1 ano,0,
"Continue assim Cortinas, o povo brasileiro ama essa sua situação",há 1 ano,0,
"no gol do bragantino o erro foi o gil sair pra marcar deixou um buraco na zaga, basta, tem que ir pro banco",há 1 ano,1,
Reserva neles!!!!,há 1 ano,0,
Série B vai levar o Vasco e o Corinthians mais o Santos de brinde,há 1 ano,1,
Até entendo a faze do timão mas e pior não ter mundial 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,há 1 ano,1,2
Tá pedindo  para cair 😡,há 1 ano,0,
O Corinthians está um vergonha,há 1 ano,0,
"01:45
Está bola na trave será o motivo do Corinthians não cair pra 2a Divisão!",há 1 ano (editado),0,
Ô time sem gernência viu,há 1 ano,0,
Cortaram as asas do Curíntias.,há 1 ano,0,
Esse narrador me lembra muito do PES kkkkkkk,há 1 ano,0,
Como o Adson e reserva desse biro chuta fofo???,há 1 ano,0,
"Enquanto não se livrar dessa corja de veteranos e deixar os moleques que têm vontade de jogar vamos ver a segunda divisão cada vez mais próxima. Fora diretoria  nefasta, corrupta, omissa.",há 1 ano,0,
É duro saber que tá jogando pior no Corinthians.  No final do ano saberemos quem é o campeão entre os piores.  Kkk,há 1 ano,0,
Rumo ao título do Brasileirão de ponta cabeça🔥👺👏,há 1 ano,2,
Corinthians é sério candidato há rebaixamento esse ano 😂😂😂😂,há 1 ano,0,
"Só falta você Goiás, vença amanhã, e coloque essa porcaria do Corinthians na zona do rebaixamento.",há 1 ano,0,
"Nome  não  ganha jogo  meio de campo    de qualidade  manda muito q sab distribuir  t seu valor treinar  c chutes média e longa distância  com qualidades meia altura a bola,,?",há 1 ano,0,
"A Situação do Corinthians já está muito complicada,
Mas ainda o Poço tem fundo",há 1 ano,0,
Booooooooo de B hahahqhhqhqhq,há 1 ano,0,
Vai cair galinhada,há 1 ano,0,
Kkk Bi.rebaixado sem mundial kkkkk,há 1 ano,1,
Serie B 2028 ja é do curintia😂😂😂😂 vai e n volta mais gamba do krai,há 1 ano,1,
"Todos os jogos deveriam ser entre ás 9:30 e 10:39 da manhã, pois a imagem é muito nítida como a da Premier League.",há 1 ano,0,
De novo na segunda divisão 😂😂😂😂,há 1 ano,0,
"Que triste a situação do corinthians, tomara q piore 🎉🎉🎉💥💥💥",há 1 ano,0,
Foiiiiii curintias 🤣,há 1 ano,0,
