text,time,votes,replies
30/05/2024.,há 2 meses,0,
Eu nesse jogo eu tava no Maracanã,há 6 meses,2,
Fluminense.      👏👏👆😍🙌❤️🫅🥇🏀🎇🕛♥️💚 3.    0,há 7 meses,1,
Até quem não é torcedor gosta de ver o Fluminense jogar,há 8 meses,0,
Estádio do Maracanã no Rio de janeiro,há 11 meses,0,
Bora flu,há 11 meses,0,
Esse Kenedy joga DMS kkkk 😅,há 11 meses,0,
Qual nome desse narrador,há 11 meses,0,
"PAVILHÃO DO AMOR 

A SAUDADE APERTOU E EU VOLTEI ,E EU VOLTEI, PRA FICAR AO TEU LADO, MEU TRICOLOR, DA UM NÓ NA GARGANTA, MAS MEU PEITO NÃO CANSA, NÃO FICO CALADO, POIS É, POIS É, É QUE CORRE NA VEIA, O VERDE E GRENÁ!!!QUE ME FAZ EXPLODIR, QUE ME FAZ   QUE ME FAZ!! SE EU CANTO É ENCANTO, EU VISTO ESTE MANTO E VOU POR AÍ!!! FLUMINENSE É ISSO AÍ!!! SE EU CANTO É ENCANTO, EU VISTO ESTE MANTO E VOU POR AÍ!!!!!ÉH! A ESPERANÇA CONTINUA! AMOR, MEU TRICOLOR! SOU TEU POETA PELAS RUAS! O MEU CORAÇÃO, É TODO TRICOLOR, TU ÉS O PAVILHÃO DO AMOR! O MEU CORAÇÃO, É TODO TRICOLOR! TU ÉS O PAVILHÃO DO AMOR!!!",há 11 meses,0,
"PAVILHÃO DO AMOR 

A SAUDADE APERTOU E EU VOLTEI ,E EU VOLTEI, PRA FICAR AO TEU LADO, MEU TRICOLOR, DA UM NÓ NA GARGANTA, MAS MEU PEITO NÃO CANSA, NÃO FICO CALADO, POIS É, POIS É, É QUE CORRE NA VEIA, O VERDE E GRENÁ!!!QUE ME FAZ EXPLODIR, QUE ME FAZ   QUE ME FAZ!! SE EU CANTO É ENCANTO, EU VISTO ESTE MANTO E VOU POR AÍ!!! FLUMINENSE É ISSO AÍ!!! SE EU CANTO É ENCANTO, EU VISTO ESTE MANTO E VOU POR AÍ!!!!!ÉH! A ESPERANÇA CONTINUA! AMOR, MEU TRICOLOR! SOU TEU POETA PELAS RUAS! O MEU CORAÇÃO, É TODO TRICOLOR, TU ÉS O PAVILHÃO DO AMOR! O MEU CORAÇÃO, É TODO TRICOLOR! TU ÉS O PAVILHÃO DO AMOR!!!",há 11 meses,0,
Acho a situação do América dificílima na luta pra não ser rebaixado mas o time nunca ficava nem dois anos seguidos na Série A e está a três e ainda jogando competições sul-americanas,há 11 meses,0,
"Não é atoa que o Diniz é seleção, ele faz o time jogar, um time ofensivo e com posse de bola, fluminense joga muito, ops, sou são Paulo!",há 11 meses,1,
"Melhor escalação pra quinta feira seria essa: Fábio, SX, Nino, F. Mello e Diogo Barbosa: André, Martinelli, Jhon Árias, Léo Fernandez, Keno e German Cano. 🇮🇹 No 2° jogo lá: Fábio, SX, Nino, F. Mello, Marlon e Marcelo: André, Martinelli e Ganso; Jhon Ária e Cano. ( 3-5-2 ) 🇮🇹🏹",há 11 meses,1,
"América merece cair kkkk junto com coritiba, goias e Cortinas",há 11 meses,0,
0:57,há 11 meses,0,
com todo respeito mas odeio a narração desse cara. Voz chata,há 11 meses,0,
Aulas de como virar um jogo rápido!,há 11 meses,0,
Só pra lembrar esse ai é o lanterna,há 11 meses,0,
"DINIZ, CADA DIA TU ME SURPREENDE!",há 11 meses,0,
Não,há 11 meses,0,
Eu sou tricolor....a única coisa que eu quero é o Fluminense jogando assim fora de casa😅. No Maracanã a gente é o Manchester City e jogando fora de casa a gente parece o Vasco pô kskskskssksksksksksksksksksksksskskskkssksksksk,há 11 meses,0,
"Vai cair de novo América? Eu gostava de você, mas você está me traindo",há 11 meses (editado),0,
"A coisa mais idiota que vi na vida é  a repórter perguntando o que significava o gol do Arias no dia do nascimento da filha do Kano, que imprensa idiota meu deus....",há 11 meses,0,
Só eu flamenguista que tou torcendo pelo flu na libertadores,há 11 meses,0,
Fluminense campeão libertadores 2023,há 11 meses,0,
"Impressionante o Cano, artilheiro do Fluzão",há 11 meses,1,
Eu tava lá em,há 11 meses,0,
"Tropa, se liga nesse novo bug que tá rolando que tá geral aproveitando! Tô fazendo 200 todos dias com ele 🤑🤑🤑🤑",há 11 meses,0,
Que golaço do Jhon Arias,há 11 meses,0,
América vai cair.,há 11 meses,0,
Eu nao sou fogão .,há 11 meses,1,2
"Se todos os jogos do fluminense fosse no maraca,fluzão campeão de tudo",há 11 meses,0,
"Que azar o América MG foi bem na copa do brasil e ésta na sul americana, mais no brasileiro já está rebaixado",há 11 meses,0,
"JHON ARIAS, o motorzinho do Fluminense",há 11 meses,0,
Flu 3x1 ame,há 11 meses,0,
Faz o l de cano 👆,há 11 meses,0,
Flu,há 11 meses,0,
América e Vasco .. candidato a série b,há 11 meses,0,
18 rodada tem certeza ge globo burra é 20 rodada,há 11 meses,0,
O Fluminense é muito forte quando ataca para o lado da torcida .,há 11 meses,1,1
"Ainda bem, time sofredor e pequeno, que já está em rota de perder a liderança de forma patética.",há 11 meses,0,
 @Vnbrtl  vc acordou depois kkkk,há 11 meses (editado),1,
"O Fluminense é muito forte quando joga no Maracanã, o problema é quando joga fora de casa.

2021 foi assim! Jogava muito mal fora de casa, mas no Maracanã, o Fluminense jogava muito pelo fato de ter a torcida do lado.

Esse ano parece que teremos o mesmo filme.",há 11 meses,0,
Flu,há 11 meses,0,
"Esse América precisa ser rebaixado e nao voltar nunca mais. Fazendo o mesmo erro do ano passado: colocar um elenco limitado na Sula e no Brasileiro.
Tinham que focar em se manter na primeira divisao. Esse ano cai e vai demorar muito pra voltar",há 11 meses,0,
CONTRA O OLÍMPIA O FLUMINENSE BASTA ENTRAR EM CAMPO COM SANGUE NOS OLHOS RAÇA E GARRA QUE NÓS VAMOS GANHAR O JOGO.,há 11 meses,3,
Cara q narrador pífio kkkkkkkk,há 11 meses,0,
Esse Maidana é muito bom zagueiro do América dava para encaixar no Flu fácil,há 11 meses,2,
É FLUMINENSEEEE 👆🏼🇭🇺,há 11 meses,0,
Grande 👏😍 vitória do Fluminense,há 11 meses,1,
O América está vislumbrado com a Sula americana kkkkkk não ganha no Brasileirão ... Vamos ter um time disputando a Série B na Libertadores 😂😂😂😂,há 11 meses,0,
VAMOOOS TRICOOLORES CHEGOU A HORA VAMOS GANHAR A LIBERTADORES 🎶,há 11 meses,4,
"No Maracanã esse time é imbatível, nem deixa os adversários sonharem 😂",há 11 meses,3,
Que sufoco o Flu tomando do lanterna ein?! Placar mentiroso!,há 11 meses,0,1
Rebaixou o América,há 11 meses,0,
NENSEE 🇮🇹,há 11 meses,0,
Foi um jogao,há 11 meses,0,
Eu tava no Maracanã,há 11 meses,0,
Como pode o Marcinho continuar jogando profissionalmente...,há 11 meses,0,
Meu fluzao é um leão no maraca,há 11 meses,0,
NENSE PORRA !!!!!!!,há 11 meses,0,
Lima não pode ser titular nesse time nunca.,há 11 meses,0,
fluminense ta punido com os portões fechados?,há 11 meses,0,
mentiroso?? tá de sacanagem nekkkkkk,há 11 meses,0,
"O que Jhon Arias joga meu irmão, o cara bom, se ele jogasse assim no Flamengo diriam que ele é o melhor jogador no futebol Brasileiro.",há 11 meses (editado),57,6
Placar mentiroso,há 11 meses,0,
Domingo perfeito 🇭🇺🇭🇺🇭🇺❤️❤️❤️💚💚💚⚽⚽⚽,há 11 meses,8,1
Ja era...esse pode cravar....REBAIXADO.....TIME NO PAPEL INTERESSANTE MAIS É 1 TIME OFLINE,há 11 meses,0,
