text,time,votes,replies
Paulinho mostro. Joga muito,há 1 dia,1,
"cara, todo mundo fala do Serginho ter salvado o Vasco, mas olha a jogadaça do PH, esse cara é absurdo corre o jogo inteiro e dribla parecendo que tá com a bola na mão...",há 4 dias,0,
"obrigado ph, sdds paulinho",há 8 dias,0,
😍,há 10 dias,0,
❤,há 2 semanas,2,1
Aqui é Vasco pooorrrr 💢🇬🇬🇵🇹,há 2 semanas,1,
Alguém corinthiano que veio ver esse jogo por causa da sula?,há 2 semanas,1,
Vascão e pra que acreditar,há 3 semanas,0,
"Se não fosse esse gol do Serginho, hoje não veríamos Coutinho no Vasco.

Serginho pode ser ruim, mas fez um gol que pode ser um efeito borboleta.",há 1 mês,3,2
2024 Coutinho  de  volta.,há 1 mês,1,
Rapaz eu nem acredito que sobreviver a isso😅,há 1 mês,1,
"tnc chorei demais esse jogo pqp, vasco pra crl mané",há 1 mês,0,
🙌🏿🥇,há 1 mês,0,
"Gols:
Paulinho 0:26 
Ortiz 2:09 
Serginho 3:16",há 1 mês,2,
Jogo salvador 😅,há 1 mês,0,
"0:24  1°gol do Vasco
2:07  gol do bragantino
3:16  2°gol do vasco
Expulsão:
2:57 🟥",há 2 meses (editado),3,
"Atletico Mg e Red Bull bragantino jogaram querendo que o Santos fosse rebaixado. Não jogaram nada. Entregaram o jogo. Mas vai ter volta, ah vai ter volta quando o Santos voltar pra serie A",há 2 meses,1,1
Alguém por aqui,há 2 meses,1,1
meus olhos enchem de lágrimas toda vez que volto aqui…,há 2 meses,1,
Boa noite saudações vascaínas rumo a tilulos,há 2 meses,0,
❤❤❤❤❤❤❤❤❤,há 2 semanas,1,
Mesmo se o jogo tivesse saindo empatado o santos perdeu não mudaria o Vasco não cairia.,há 3 semanas,0,
" @vingadoresbr8164  mas o gol do Bragantino gera um contexto totalmente diferente

tava Santos 1x1 Fortaleza, o Vasco toma o empate e daí entra na zona

o que levou o Santos a tomar o 2° gol foi o desespero pós-gol do Serginho, que aí o João Paulo foi pro ataque e tudo mais",há 3 semanas,1,
"Kkkkk ces não ganha nem da cópia mostarda de vcs. Fiquem na B msm, o Corinthians vai lhes fazer companhia 😂😂😂😂😂",há 1 mês,0,
Opa,há 2 meses,0,
