text,time,votes,replies
Bora Athletico Agustín Canobbio ❤🖤,há 6 meses,1,
A sequência dos gols ta toda errada kkkk,há 1 ano,0,
Ligga Arena em Curitiba,há 1 ano,0,
O primeiro gol do jogo passou em último kkkkkkk,há 1 ano,2,
os caras esqueceu o 1 gol,há 1 ano,1,
Ordem fos gols completamente alterada,há 1 ano,0,
Pq tá sem a narração??,há 1 ano,0,
Faltou o primeiro gol do Cruzeiro. Que serviço porco esse GE faz nos melhores momentos. Não mostram nem a jogada do gol.🤦 Péssimo!!!,há 1 ano (editado),0,
"Penalty Maroto Demaisl, Juiz amador caiu na do Canóbio, GE como sempre errando as ordens dos Gols.",há 1 ano,0,
Cade o primeiro gol?,há 1 ano,0,
"ficou horrivel esse corte. Gols na ordem errada, e imagem super fora de eixo.",há 1 ano,0,
"O editor de imagens do GE é tão tendencioso que, depois do primeiro gol do Cruzeiro, mostra os gols do Athlético em sequência, como se fosse o 3X1. O Cruzeiro esteve sempre à frente no placar e cedeu o empate. Não mostra, também, o pênalti mandrake arranjado pelo juiz no final do jogo.",há 1 ano,0,
"quem foi o editor dessa merda só pode ta de sacanagem, um jogão de 6 gols o cara me coloca em 2 minutos, não coloca os gols na ordem certa e ainda corta vários lances, RIDICULO",há 1 ano,0,
"Gols todo fora de ordem. Começaram com o segundo gol da partida, depois o terceiro, depois o quarto, depois o quinto, depois o sexto e no fim veio o primeiro gol da partida.",há 1 ano,0,
video ta faltando gols,há 1 ano,0,
garfaram o cruzeiro,há 1 ano,0,
"Colocaram os gols errado, pois se claramente o Cruzeiro estava ganhando de 2x0 aí no vídeo mostra totalmente errado, faz um e toma a virada, e o último gol, foi do atlético paranaense e não do Cruzeiro kkkkkkkk",há 1 ano,2,
kd o primeiro gol da raposa?,há 1 ano,0,
Como vcs erraram a ordem dos gols mano que isso ?,há 1 ano,0,
CRUZEIRO  NÃO  GANHAR UMA OU TIME  CHOW CHOW,há 1 ano,0,
Nossa além de ter faltado lances a ordem dos gols está errada,há 1 ano,0,
Melhor jogo 🔵⚔️🦊,há 1 ano,2,
Parece que vidal ta si dado bem,há 1 ano (editado),0,
Inventaram um pênalti,há 1 ano,0,
Torço pro Paysandu. Mas toada vez que vejo sempre os melhores momentos do atlético Paranaense sempre tiram o áudio. Alguém me explica...😢,há 1 ano,1,
"Gostaria que a justiça fosse feita, no Mineirão quando alguém joga bebida nos jogadores o cruzeiro é punindo, as câmeras nitidamente filmaram o cara jogando um líquido nos jogadores do cruzeiro, "" ain mas o jogador comemorou na frente da torcida adversária "" fds, e outra coisa não sou clubista doente igual muitos aí não,  mas que o pênalti foi  forçado foi, o contato acontece pq o jogador do athletico já vai se jogando e esbarra no pé do goleiro, engraçado que já teve lances piores nesse campeonato brasileiro e não deram pênalti, outra coisa é essa arbitragem tendenciosa e ruim, pqp a arbitragem brasileira precisa urgentemente ser reformulada ou sei lá, e esses jogadores que gostam de se jogar e simular falta tipo deyverson, devem ser punidos perdendo jogos como punição pra aprenderem a parar de querer ser malandro toda hora, nada contra o athletico, mas que o pênalti foi roubado isso foi ....",há 1 ano,1,
Que varzea esse GE kkkkkk,há 1 ano,1,
O ventinho teve que jogar com 12 em campo pra conseguir empatar com o cruzeiro kkkkkkkkk,há 1 ano,1,
"o cruzeiro demonstrou futebol nesse jogo, tem que ter o mesmo espírito dentro de casa não adianta jogar bem fora de casa, é no Mineirão, independência entregar os jogos,espero que melhore isso no segundo turno.",há 1 ano,1,
"foi um jogaço, mas bem roubado tb, esse arthur gomes vai ser um belo atacante no cabuloso",há 1 ano,1,
Será que foi só eu que notei a ordem de gols ta errada?,há 1 ano,2,
3 a 3 o jogo e o canal coloca 2:18 de vídeo. 🤡,há 1 ano,1,
Melhor jogo do BR até agora,há 1 ano,2,
"os cara edita esses vídeos com má vontade, aprendam com a ESPN e com a TNT",há 1 ano,1,
Cruzeiro jogou muito merecia sair com a vitória mas como sempre a arbitragem roubando do meu Cabuloso,há 1 ano,0,
Oxe pulou pro segundo primeiro kkkkk q isso maluquice em Ge,há 1 ano,2,
"O Fernandinho fez o 3 gol e correu pra pegar a bola,era pra fazer mais é?kkk ou os gols tão fora de ordem?",há 1 ano,3,1
"Oxi, pelo q eu saiba o cruzeiro fez 2x0, aí empataram e depois  cruzeiro fez k 3° e depois q empatou, a edição está tendenciosa igual a arbitragem do jogo",há 1 ano,1,
Narração melhor que daquela mulher,há 1 ano,0,
Torcidinha porca do Pathetico 🐷 paranaense,há 1 ano,0,
"Fora da ordem. O CRUZEIRO abriu 2x0 o furacão empatou, dps o Cruzeiro fez 3x2 e o Fernandinho empatou",há 1 ano,0,
Zeiro valente quase leva os 3 pontos pra casa,há 1 ano,0,
Cap  3x3  cru,há 1 ano,0,
Wesley um golaçoooo,há 1 ano,2,
"Uai, pq o gols tao embaralhado?",há 1 ano,1,
"Que isso sem
Narração , gols fora de ordem  tá osso em",há 1 ano,2,
