text,time,votes,replies
Todo mundo zoando o inter pelo empate contra o america. Ja se esqueceram que esse mesmo time deu uma goleada no time da vila SANTOS,há 8 meses,0,
Que narrador fraco esse. Cadê os lances meu filho ? Parece q ta assistindo em vez de narrar,há 9 meses,0,
Nao america mg nao é Assim,há 9 meses,0,
Que golaço do Marlon. Deu Mandrake no goleirinho frangueiro dos 🍓,há 9 meses,1,
Se eu fosse o Corinthians contratava esse Marlon o mastriane eo benitez 🍀,há 9 meses,0,
"Poxa, a derrota do Grêmio nesse último GreNal vai salvar o Inter do rebaixamento!",há 9 meses (editado),0,
"VAI JOGAR NO COIMBRA, JORI",há 9 meses,0,
Só guê adiantou ganhar grenal e golear o santos,há 9 meses,0,
Guê vergonha ese time do inter desepicao,há 9 meses,0,
"Uma pena o América ter priorizado a Copa Sul-Americana, ao invés do Brasileiro. Não é um time ruim, nem joga feio. Vai cair, mas vai voltar no ano seguinte.",há 9 meses,1,
"Esse jogo foi do América,tem que valer 2 uma bicha dessas",há 9 meses,0,
"Tem time que perde chance, mas igual o INTER NÃO DÁ, é o time que mais perde chance clara de gol, tá fod@ véi",há 9 meses,1,
"Esse Enner Valencia Jogando Muito pelo Inter, caiu muito bem com a camisa do colorado!!! e que GOLAÇO do Marlon pelo América!!! Essa rodada 31 foi insana, pegou fogo!!! 🇧🇷 ⚽🔥",há 9 meses,3,1
VAMOS INTER GANHAR DO CRUZEIRO,há 9 meses,0,
"Sou Americano, mas preferia que o Internacional ganhasse, talvez assim este  técnico já ia embora logo,  se ganhar umas duas ele fica pro ano que vem , na serie B, com este técnico poderemos cair pra seria C. Também que espero que o América não seja time chato que após  cair pra Serie B, fica tirando pontos de uns, pra favorecer outros, e  o pior os times que menos gosto , ai o América tira pontos de: Palmeiras, Goiás e Bahia  para favorecer: Botafogo, Vasco e Santos. Gostaria de contar com Vasco e Santos  na serie B, ainda prefiro o Palmeiras Campeão. Talvez na ultima rodada o Goiás  precise de  uma  vitória para não cair no lugar do  Vasco e Santos",há 9 meses (editado),0,
NINGUÉM VAI FALAR DA TRETA DO TÉCNICO COM ALAN NO FINAL?GLOBO PASSA PANO!,há 9 meses,2,
Impressionante como o Inter pipoca contra o América 😂⚪🟢🐰,há 9 meses,2,
Internacional 1 x 1 América-MG Empate não nada 😂👏👏👏,há 9 meses,4,
Mds como o meu inter perde um caminhão de gol,há 9 meses,0,
Eu achava que o inter iria vencer de 3 a 0 ou 3 a 1 mas no final o colorado me surpreendeu empatando com ou time pequeno que ta em ultimo no BRASILEIRAO,há 9 meses,2,
Pipocou na libertadores,há 9 meses,1,
"""Vamos vencer o gauchão, vamos vencer a Libertadores AAAAA mas vamos passar o Grêmio na tabela""
QUE TIMECO PEQUENO PELO AMOR DE DEUS KSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSK",há 9 meses,0,
Depois do 7 a 1 o inter foi amaldiçoado 😂 como decepciona esse interzinho,há 9 meses,0,
RS x MG.    02/11/23,há 9 meses,0,
😂,há 9 meses,0,
Mais uma vz o inter perde de matar o jogo!!,há 9 meses,0,
O problema do Inter é o próprio Inter kkkk,há 9 meses,0,
Esse internacional só sabe fazer vergonha de empata com um time desse era melhor ter perdido,há 9 meses,0,
Nunca vi um time perder tantas chances igual esse Internacional,há 9 meses,8,
Temos de convir: a fase astral do Inter é algo assustador. E já beira a quase 1 década.,há 9 meses,5,
Nem td time tem Vladimir no gol,há 9 meses,0,
1x1,há 9 meses,0,
👍🤗♥️🙏,há 9 meses,1,
Inter 1x1 ame,há 9 meses,0,
Time ruin esse inter slc kkkk,há 9 meses,0,
Allan Patrick tá jogando muito véi...um jogador de nível mundial. Será muito importante na série B em 2024.,há 9 meses,47,4
paternidade kkkkkkkkkkk,há 9 meses,0,
América MG tá sendo subestimado😢,há 9 meses,0,
Inacreditável como é que um time que chega na semifinal da Libertadores empata com laterna do campeonato .,há 9 meses,4,1
Como que um gigante empata com um time feio desse... força América,há 9 meses,0,
"Com licença, o meu Corinthians ganhou do tal furacão 😎🔥🔥❤❤",há 9 meses,1,1
"Teu comentário é irônico mas do jeito que tá, não sei se ficaria pra uma série B",há 9 meses,3,
"Caraca maluco, tua cara é igual um círculo, se decapitassem, a cabeça ia embora",há 9 meses,0,
 @Eduardo-sw5rn  kkkkkk,há 9 meses (editado),0,
O torcedor do inter ainda não percebeu que Coudet é fraco ? Nunca ganhou nada .,há 9 meses,0,
"Falei em outro comentário - o meu time erra MUITO gol, assim, gols claríssimos. Vai na mão do goleiro, vai pra fora. Não é a toa que é o rei do vice e se não me engano, mesmo tendo participado de uma série B na era dos pontos corridos, é o QUARTO time que mais pontuou. Muitas vezes em segundo, terceiro e quarto lugares, quer dizer, faz boas pontuações mas nunca é campeão.",há 9 meses,2,
O furacão só ganha do flamengo,há 9 meses,0,
"Os comentaristas colorados já cantando vitória antes mesmo do jogo começar, dizendo que o Inter não tinha como perder, que o America era um time muito fraco e blablabla......como sempre, a soberba precede a queda.",há 9 meses,4,
Golaço do América,há 9 meses,4,
"Boaaa , escalei ener valência e Paulinho ontem no Cartola , iniciei ontem o Paulinho fez 16 pontos e o ener 8 e alguma coisa kkkkk boaa",há 9 meses,0,
"Bruno Henrique tá pensando o que que eu tô fazendo aqui,porq não fui pra o Palmeiras",há 9 meses,0,
"Olhando os melhores momentos o Inter perdeu muita chance e foi penalizado no final. Esse time do América apesar de está nessa situação dificulta todo jogo , é um time traiçoeiro.",há 9 meses,2,1
Esse time do Internacional e uma porcaria qnd se trata de jogar cm vontade 😂. Eterno filho do Gremio,há 9 meses,0,
Goleiro do Inter deixou o talento no Uruguai depois que serviu a Seleção.,há 9 meses,0,1
INTERNIC 🛳,há 9 meses,0,
KKKKKKKKKKKKKKKKKK.............Dá - lhe COELHO !!!!!!,há 9 meses,0,
Eu tenho do do América n ganha uma e tbm n tem torcida 😔,há 9 meses,1,
O Liverpool do sul não conseguiu ganhar 😂😂😂,há 9 meses,2,
Quando um jogador que se diz profissional  no inter vai aprender que chutinho cagado nao faz gol? Que inferno!!!!,há 9 meses,0,1
"O Inter eh o club que gosta de iludir os torcedores 7x1 contra o santos ai o torcedor iludido quero ver quem segura o inter agora, ai vem o Coritiba e acaba cm a alegria do torcedor kkkkkkk",há 9 meses,0,
Parabéns Inter por iludir o torcedor 😅,há 9 meses,1,
"Inacreditável ver um time desse empatando com um time pequeno! 
Força América",há 9 meses,106,1
Cliente do coelho kkkkkkkkkkkkkk,há 9 meses,0,
Como não mandar embora esse como mandar embora esse treinador ainda,há 9 meses,0,
Grêmio melhor do mundo mesmo 😮,há 9 meses,0,
O que aconteceu com inter depois do 7,há 9 meses,1,
Inter gastou todos os gols nos jogos contra Santos e Coxa kkk,há 9 meses,3,1
Sim,há 9 meses,0,
E olhe lá... Uruguai morreu em 1950 depois do Macaranã,há 9 meses,0,
"Só fizeram um gol na cagada, um cruzamento que caiu dentro do gol",há 9 meses,1,
Falou o jogador de Fogareu Grátis,há 9 meses,4,
Verdade kkkkk,há 9 meses,0,
Essa zaga do mequinha é horrorosa,há 9 meses (editado),0,
TIME NOJENTO SEM VERGONHA,há 9 meses,0,
Adiantou ganhou de sete,há 9 meses,0,
"E o mais engraçado e legal e passar pela frente do beira rio indo pra casa, e vendo um monte de retardado gritando e discutindo e chorando do meio da rua trancando o transito!",há 9 meses,2,1
E o COELHO sempre COMPLICANDO pro colorado.,há 9 meses,1,
Não entendi o goleiro do América,há 9 meses,0,
"Coitado do América, time dos caras até faz gol mas a defesa é péssima demais ...",há 9 meses,2,1
Já caíram na real que o 7x1 foi um acidente que está na conta do Vladimir?,há 9 meses,1,
Eu só sei o seguinte o Inter perdeu pro fluminense kkkkk,há 9 meses,0,
a verdade é que o inter tá sem ânimo p esse fim de temporada! é normal essa falta de vontade quando você tá focado na final da libertadores contra o boca,há 9 meses,1,1
Deu sorte o inter heinm ta louco,há 9 meses,0,
"“Mas que coisa, como sofre essa torcida do Internacional” - Aroldo de Souza",há 9 meses,59,6
"Vendo o grande Enner Valência jogar, eu só tenho a certeza que o maior jogador do Rio Grande do Sul tem nome, e ele se chama: Luis Suárez",há 9 meses,7,4
Inter brinca demais,há 9 meses,0,
Bintermunicipal nanico filho do Grêmio,há 9 meses,0,
Já pensou em ser torcedor do Inter? O quê sofre essa torcida? hahahahhahahha Maior vergonha do País!!! ...,há 9 meses,1,
BOCA VAI GANHA A LIBERTA EM PLENO MARACANÃBOCA VAI GANHA A LIBERTA EM PLENO MARACANÃBOCA VAI GANHA A LIBERTA EM PLENO MARACANÃBOCA VAI GANHA A LIBERTA EM PLENO MARACANÃ BOCA VAI GANHA EM PLENO BR,há 9 meses,0,
"Empatar com esse clube nanico ?!?!


Ta de brincadeira em América, tinha que golear no mínimo. Melhorar da próxima vez.",há 9 meses,0,
Gustavo 🦅🦅🤫💚💚🏅,há 9 meses,1,
"Eu fico tão preocupada que o time só tem o campeonato brasileiro como prioridade, consegue ser superior em praticamente o jogo todo contra os adversários e mesmo assim as vitórias não vem até hoje contra um adversário inferior. Mas tenho certeza que nessa reta final ainda vai dar a volta por cima. Força coelho 🙏🏻",há 9 meses,39,6
Kkk,há 9 meses,0,
"O América fez mais gols que: São Paulo e Fortaleza,Guiabá  que estão bem a frente dele na tabela, culpa do técnicos o atual e principalmente o anterior Mancini, que não trabalharam pra corrigir este bom fraco",há 9 meses,0,
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 9 meses,0,
😅,há 9 meses,1,
"Tá errado, Daniel. Quem sofre é a torcida do grêmio que desde a libertadores de 2017 só ganhou gauchão. A torcida do Inter nem sente mais nada, já tá acabada 😅😅😅 só vamos no embalo",há 9 meses,1,
​ @thaironecampos1380 2 times pequenos,há 9 meses (editado),0,
