text,time,votes,replies
"Fala, galera.
O que acharam da partida?",há 1 ano,236,74
Venceu quem tem tradição em copa do brasil 🇪🇪🏆🏆🏆🏆🏆,há 1 mês,0,
O calleri jogou muito o melhor jogador do São Paulo,há 1 mês,0,
o são paulo já tem uma copa do Brasil recente,há 2 meses,0,
Parabéns São Paulo iba ly 🤩🤩,há 7 meses,1,
São Paulo moeu com o grêmio 😂😂😂,há 9 meses,0,
Saudades desse gremio😢😢,há 1 ano,0,
"Minha versão gre 2 X 1 cor  
2 X 1 pro mosqueteiro gaúcho que virou para cima do mosqueteiro timão",há 1 ano (editado),0,
🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺😢🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺😢😢😢😢😢😢😢😢😢😢😢😢😡😢🤯😭😭😭😭,há 1 ano,1,
Mhlkhlh,há 1 ano,0,
Gremio queria ter pego são Paulo na cbr,há 1 ano,0,
A defesa do Gabriel é surreal,há 1 ano,0,
😊😊🎉🎉😊😊arrozuuyfe,há 1 ano,0,
Assisti esse jogo.,há 1 ano,0,
A partida do brasileirão podia voltar a ser como era antes ter a fase de soma de pontos e a fase mata mata com decisão por penaltis,há 1 ano,0,
"Esse Rafael salvou o SP de tomar uns 5 brincando kkkk slc, o Grêmio jogou muito 💙",há 1 ano,2,
"Vi o Barolo falando, habla muito, mas o são paulo até que jogou bem",há 1 ano,0,
Meio estranho ver o Grêmio jogando de branco em casa,há 1 ano,1,
Furbol BR que genios,há 1 ano,0,
O final de carreira do Suárez é muito mais grandioso que o final de carreira do CR7,há 1 ano,0,
Uma bela partida do Grêmio,há 1 ano,39,
"As trikas tavam iludidas só ganhando de galinha morta, pegaram o imortal e levaram rodo kkkkkk",há 1 ano,29,
Esse Rafael é um novo Jandrei e um Thiago Volpi da vida,há 1 ano,4,
Achei uma boa partida do Grêmio superior no 1 tempo porém no segundo tempo  foi mais equilibrado quase tomando o empate,há 1 ano,9,
Acho que o Grêmio foi mal no primeiro tempo mais no segundo tempo o Grêmio voltou bem no segundo tempo,há 1 ano,2,
​ @Freddinho-2455  isso pode ser ironia ne 😂😂 se não for inverte o contexto,há 1 ano,4,
"​ @Freddinho-2455  O Grêmio foi melhor no 1°, no 2° ficou mais equilibrado",há 1 ano,3,
"​ @luanacam  tomou um frango só, e tá falando mal",há 1 ano,1,
​ @ytallogfbpa2023  o são Paulo dominou no segundo tempo mn,há 1 ano,1,
Eu gostei desses três pontos 🇪🇪,há 1 ano,3,
Deu a Lógica...!!!,há 1 ano,2,
" @Freddinho-2455  tá Loko? Pqp nem assistiu o jogo claramente, primeiro tempo do Grêmio foi absurdo, muuuita intensidade, segundo grêmio foi mttt mal",há 1 ano,1,
​ @Rafa._  Ganharam do Corinthians aonde? Foi 1 x 1,há 1 ano,1,
GRÊMIO SUPERIOR O JOGO INTEIRO! SÃO PAULO NA RODA🤏,há 1 ano,2,
🎉Grêmio jogou muito,há 1 ano,1,
"Uma hora o grêmio batia,na outra o trikas apanhava",há 1 ano,3,
​ @Rafa._  o Grêmio só ganhou por causa do pênalti,há 1 ano,1,
" @jaquaja  O time que jogou um pouco melhor ganhou, ent é, deu a lógica",há 1 ano,1,
 @cidnyluansouza2838  chora mais 🤣🤣grêmio perdeu muitos gol era pra ter sido ums 5 x 0 pro tricolor.🇪🇪🇪🇪,há 1 ano,2,
Trikas iludidas voltou ao normal com outra derrota e com o frangueiro Rafael kkkkkkkk,há 1 ano,1,
Esse Grêmio é Ridículo kkkkk,há 1 ano,1,
"Foi um jogão de bola no primeiro tempo o grêmio amassou e poderia ter feito 3, 4 ou 5 mais no segundo tempo o São Paulo melhorou e jogou melhor e merecia o empate  😉👍❤🖤",há 1 ano,2,
"Em casa o Grêmio é forte, como o Inter e o Atlético do Paraná, já fora🙄😏",há 1 ano,1,
"A lei do ex     

Obs. Reinaldo fez gol contra seu ex clube",há 1 ano,1,
"​@edilson☇ pse cara e isso é incrível, bitello tomou um rapá e n foi nada e nos mal mal encostamos na gazela e amarelo sfd",há 1 ano (editado),2,
​ @edsonrosa7950  5x1**,há 1 ano,2,
Jogão foi melhor que Fluminense x Rede Bull Bragantino,há 1 ano,1,
​@edilson☇ concordo,há 1 ano (editado),1,
" @vitinhu01  sou São Paulino, mas Grêmio jogou mais bola!",há 1 ano,2,
Uma bela partida do Grêmio,há 1 ano,1,
Venceu o melhor time,há 1 ano,1,
🇧🇼🇧🇼🇧🇼🇧🇼🇧🇼🇧🇼,há 1 ano,1,
"​ @Rafa._  calma cara, nos vamos jogar de novo, e o Corinthians e galinha morta, o inter",há 1 ano,1,
​ @cidnyluansouza2838  AH ENTÃO GOL DE PÊNALTI NÃO VALE? PÉSSIMO ARGUMENTOS 🤣🤣🤣😭,há 1 ano,1,
Quero ver no Morumbi 😎😎,há 1 ano,1,
Bora ver no Morumbi 🙅🇾🇪🙅🇾🇪,há 1 ano,1,
​ @marcospetterss  o dó kkkkk,há 1 ano,1,
Uma partida digna de dois museus que não vão ganhar mais nada kkkk,há 1 ano,2,
​ @edsonrosa7950  deixa os 5 só pro flamengo quando vcs joga com eles kkkkkkk timeco do Grêmio faz isso aí com meu mengao kkkkk,há 1 ano,1,
timeco do chupaulo é muito fraco,há 1 ano,1,
"​ @Rafa._ SP nunca viu Serie B
.. imortal kkkkkkkkkkkkkkkkk",há 1 ano (editado),1,
 @VALT_SOLA  CALMA TRIKAS 🤣🤣🤣,há 1 ano,1,
"São Paulo merecia a vitória, jogou mais. Teve mais chances.. amassou o Grêmio em casa",há 1 ano,1,
"O Grando , goleiro do grêmio parece um amador. Toma cada gol bobo!! O adversário conseguiu fazer o gol quase em câmera lenta...tá loco .",há 1 ano,1,
"Boa!
❤",há 1 ano,1,
Melhor jogo do Brasileirão até agora muitas chances de gols desperdiçadas.,há 1 ano,1,
"​@edilson☇ sempre tem reclamação da arbitragem, até quando ela é boa.",há 1 ano (editado),1,
Muita bom,há 1 ano,0,
" @johnjones-vd6wi  O QUE VALE É BOLA NA REDE , NÃO QUEM JOGA MAIS OU NÃO,  CADA ARGUMENTOS DE KIDS , SE SÃO PAULO FOSSE MELHOR GANHARIA , MAS PERDEU DE VIRADA É ACEITAR E PRONTO,  O PRIMEIRO TEMPO VOCÊS QUASE NÃO VIRAM A COR DA BOLA , O SEGUNDO TEMPO GRÊMIO DEPOIS DA VIRADA SE RETRANCOU PRA SAIR SÓ NOS CONTRA-ATAQUE,  O QUE QUALQUER TIME SEM MUITA OPÇÃO NO BANCO E SEM VELOCISTA FARIA",há 1 ano (editado),0,
" @MarceloFerreira-yc3nm  CONCORDO, EU PREFIRO ADRIEL,  MAS NÃO SEI O QUE RENATO PENSA",há 1 ano,0,
 @SUAREZPAIDOBINTER  não é o que o Renato pensa e sim o que dirigentes e empresários pensam. Estão pensando em vender o Grando pra um time europeu cara e tu acha que vão querer comprar ele se ele estiver no banco? O Renato já sabe que o Adriel é titular mas lembre-se que quem manda mesmo no clube é o presidente.,há 1 ano,1,
uma bela bosta,há 1 ano,0,
​ @luanacam  ve a conta dele e olha a foto de cima kkkkkkkkkkkkkkk,há 1 ano,1,
Uma bosta,há 1 ano,0,
 @PopsTrap  parecia a sua e eu macetando a bucetinha dela fdp,há 1 ano,0,
 @PopsTrap  zua a mae dos outros autista,há 1 ano,0,
 @PopsTrap  pobre fudido,há 1 ano,0,
 @reginaldovieira3613  ENTÃO VAMOS TOMAR GOLS BOBOS SÓ POR CAUSA DISSO? VAMOS TERMINAR NO FUNDO DO POÇO COM ESSE GOLEIRO QUE ENTREGA TUDO,há 1 ano,0,
 @Rafa._  vc é corintiano???,há 1 ano (editado),1,
"​ @thunderbirdmcfly8657  acabamos de eliminar o Cruzeiro, 40 mil torcedores...fora. Athlético Paranaense, arena lotada em Curitiba, onde ninguém ganhava deles há 90 anos. Tá bom ou quer mais?",há 1 ano,0,
​ @VALT_SOLA  Athlético Paranaense e Cuzeiro que o digam.🇸🇻,há 1 ano,0,
"​ @agricultura1010  domingo tem nego...já pensou tomar uma pistolada do Suarez em pleno Maracanã? Aí vem Bitelo, ou Cristaldo, ou Villasanti, ou Carvallo, fora o paredão atrás. É jogo de gente grande e o momento do Flamengo não é dos melhores, Grêmio pode cometer o crime,",há 1 ano,0,
​ @johnjones-vd6wi  kkkkkkk....que jogo tu viu?😂,há 1 ano,0,
"​ @MarceloFerreira-yc3nm  velho tu já viu o tamanho de uma goleira? O cara cabeceou por cima lá no outro canto, no contra-pé, e quando quicou chicoteou pra dentro do gol, quando isso acontece ela pega mais velocidade ainda. Não tinha como ele buscar.",há 1 ano,0,
O gremio mereçia essa vitoria o gremio me deu um presente de aniversàrio,há 1 ano,0,
 @Freddinho-2455  está falando mal do Gremio em???😤😤😤,há 1 ano,0,
A comemoração do kingnaldo foi a melhor kkkkkk,há 1 ano,0,
"Sao Paulo jogou muito, mereceu No minimo empatar que pena.",há 1 ano,0,
​ @SUAREZPAIDOBINTER  Fica quieto rebaixado 🅱️🅱️🅱️,há 1 ano,0,
 @VALT_SOLA  SEM COPA DO BRASIL SEM MORAL PRA FALAR ALGO,há 1 ano,0,
 @tocamaey  É jogou muito bem mais ainda bem que o Gremio ganhou né 😤,há 1 ano,0,
​ @SUAREZPAIDOBINTER  Série 🅱️🅱️🅱️ 😭😭😭,há 1 ano,0,
"​ @SUAREZPAIDOBINTER  Quando teu time tiver 6 Brasileirãos,3 mundiais,3 libertadores é 1 sudamericana aí tú fala comigo",há 1 ano,0,
A lei do ex nunca falha ha segue normal em porto alegre ⚪⚫🔵,há 8 meses,0,
Oi São Paulo Como e seu nome vamos nos conhecer?,há 1 ano,0,
Te amoo Gremio sou Gremista de coração,há 1 ano,0,
força meu grêmio  que esse ano é tudo nosso !!💪🦾,há 1 ano,1,
"Mais uma falha do Grando no 1 a 0. Atrasado, pesado, mal posicionado. E, antes, falha do Uvini. E no gol, tinha de ter um zagueiro na cobertura pra tirar a bola fraquinha.",há 1 ano (editado),0,
So um pênalti pra salvar o Grêmio porque o resto kkkkk,há 1 ano,1,7
Soarez e diferenciado,há 1 ano,0,
"A eu não vou assinar, por que eu tenho TVbox",há 1 ano,0,
o q o  rafael ta tentando salvar n ta escrito!,há 1 ano,0,
Estou te mirando em São Paulo!,há 1 ano,2,
grando e um frango o andriel tenque ficar de titular,há 1 ano,1,
"Golaço do Calleri, seloco",há 1 ano,0,
Mano quando eu vi esse cara na tumb eu lembrei  do Phillipe  Coutinho,há 1 ano,0,
Esse São Paulo vai dar trabalho nessa temporada,há 1 ano,0,
SPFC achou para dar uns 4,há 1 ano,0,
É o GREMIO ⚫🔵⚪,há 1 ano,0,
A lei do ex nunca falei,há 1 ano,0,
2:23 Ficou meio sus😏😏,há 1 ano,0,
Arena do Grêmio em Porto Alegre,há 1 ano,0,
"São Paulo jogou demais slk, a baita partida do Rafael",há 1 ano,2,
Duas equipes boas sendo guerreiras.parabéns Grêmio Boa Vitória 👏,há 1 ano,1,
