text,time,votes,replies
🥾 HUGO,há 2 meses,0,
Esse time nao merecia cair,há 2 meses,0,
meu Deus que golaço,há 3 meses,0,
gol,há 6 meses,0,
"Que golaço, misericórdia",há 7 meses (editado),0,
Hugo já é do Corinthians ❤❤,há 8 meses,0,
Parabéns santos por ganhar do goias,há 8 meses,0,
Alison...que o São Paulo renovou até 2026 ...🤔,há 9 meses,0,
"Nunca mais ele faz um gol desse, cagada hein, mais esse Alisson é sonso, como perde uma bola dessa, acorda fi está desligado !",há 9 meses (editado),1,
Esse primeiro gol do Goiás é um tipo de gol que não se encontra nem culpados por uma  eventual falha de marcação.,há 9 meses,0,
"Sou são paulino, mas o são paulo n jogou nada nesse jogo, e o goiás jogou demais, e ainda meteu esse golaço nível puskas, parabens aos goianienses",há 9 meses,1,
Rafael não sabe o que significa a palavra antecipar jogada,há 9 meses,0,1
Que golaço do caralho esse primeiro! Parecia uma rebatida de baseball,há 9 meses,0,
Toma no seu ku sao paulo,há 9 meses,0,
Esse gol me lembrou do Pavard na copa 2018.,há 9 meses,0,
Goiás venceu em casa mais uma.  20/10/23,há 9 meses,0,
"Eu tava indo embora da casa da minha vó e tava passando esse jogo, eu vi esse golaço e fiquei só falando ""golaço"" de tão bonito que foi o gol",há 9 meses,0,
Malandro é o Goiás que jogou de verde só pra amedrontar as trickas 😂😂😂😂😂😂😂😂,há 9 meses,0,3
Tomou o VÉIO KK,há 9 meses,1,
SIMPLESMENTE GOIÁS 💚🤍,há 9 meses,0,
A copa do Brasil caiu do céu com esse elenco limitado.  Foi um presente de Deus,há 8 meses,1,
Quem foi campeão da copa do Brasil: palmeiras GAY  ou  SPFC  ?,há 8 meses,1,
 @museunaoganhanada6251  e quem apanhou de 5x0 ? Kkkkkk🤣🤣🤣🤣🤣 travecos defensor de trickas ?,há 8 meses (editado),0,
"A peppa pig tá bravinha e sem argumentos,  integrante da mancha Rosa porcada",há 8 meses,1,
Não sei como o flamengo perdeu pra essa merda do são Paulo,há 9 meses,1,1
Jogo bem estranho algumas falhas de jogadores do sp. Parece q abriram as pernas pra prejudicar o santos,há 9 meses,0,
Se esse primeiro gol do Goiás fosse de algum time europeu certamente ganharia o prêmio Puskás...,há 9 meses,0,
Eu ainda não sei como o Flamengo perdeu pra esses pernas de pau do são Paulo.,há 9 meses,0,
3 falhas na zaga provocaram o 2° gol do Goiás. O time está desligado após a conquista da Copa do Brasil? ACORDA PORR@ ⚠️,há 9 meses,0,
Que sacanagem de gol 🔞,há 9 meses,0,
Qui vergonha tricolor,há 9 meses,0,
"Que goleiro esse Tadeu, pouca mídia, muito futebol",há 9 meses,0,
"Aquela velha historia, jogar contra time que joga em casa no contra ataque é duro.  Sao paulo precisa ficar so tocando bola 90 minutos e levar 0x0 fora de casa. Ta brigando pra nao cair. melhor 1 ponto que nada.",há 9 meses,0,
"Na casa do Senhor não existe Satanás
Gol do Goiás
Gol do Goiás",há 9 meses,0,2
Que golaço,há 9 meses,0,
😂😂😂❤❤❤,há 9 meses,1,
Campanha péssima do senhor Dorival no brasileiro...tem que avisar esses bostas que a Copa do Brasil não garante permanência na A...Grêmio e Cruzeiro que o digam.,há 9 meses,0,
Esse 1 gol do Goiás foi ridículo como que o cara recebe dentro da área um escanteio sozinho??? Inacreditável,há 9 meses,0,
Diego costa pessimo zagueiro,há 9 meses,0,
Um chute raro 🔥,há 9 meses,0,
Gol belíssimo do Goiás!,há 9 meses,0,
"Um gol desse não é tão comentado devido ser de um ""desconhecido"" em um time mediano no Brasil, fosse lá fora de um dos ""Deuses"" do futebol séria Puskas. Merece muito concorrer ao prêmio.",há 9 meses,0,
"São Paulo será rebaixado esse ano , o cara não coloca o PATO",há 9 meses,0,1
Parabéns Goiás pela vitória mas com certeza vai cair,há 9 meses,1,
"Flamengo cheirinho  , vice do maior tricolor do Brasil  na CDB  2023 😅😅",há 8 meses,1,
"Goiabas só quebrou o tabu 3 anos que não ganhava do SP,   cúrintias a 4° força de SP",há 8 meses,1,
Ficou nervoso? 🤪,há 8 meses,0,
"Pato é ex jogador em atividade,  o SP já escapou do rebaixamento",há 8 meses,0,
Como o Fla perdeu a copa pra esse time medíocre 😅,há 9 meses,0,1
Esse gol do Goiás e o gol do Gilberto do Bahia são os melhores do campeonato até aqui,há 9 meses,0,1
E ainda teve pênalti claro roubado pro SP kkkk,há 9 meses,0,
"Que defesa bizarra do São Paulo no segundo gol,  difícil acreditar",há 9 meses,1,
Será que é mais um igual o lira que também era de Goiás?,há 9 meses,0,
"Como o Flamengo perdeu pro São Paulo a final da Copa do Brasil, São Paulo é muito ruim, acho que o Flamengo perdeu de propósito pra derrubar o técnico.",há 9 meses,0,
"Editor: quantas vezes vc viu o gol do Hugo ?
Eu: sim!",há 9 meses,0,
Tá malucooooo Puskás kkk,há 9 meses,0,
"Mano sou São Paulino e sempre serei, mas é cada vergonha que esse time faz , cê é lôco",há 9 meses,0,
Pavard esta jogando no Goias? Rsrs,há 9 meses,0,
"Quando pensávamos que, após título da CB não teríamos mais estresse no resto do ano, eis que vem o São Paulo e não nos dá sossego.",há 9 meses (editado),0,
Goiás 2 x 0 São Paulo não derrota 🤣,há 9 meses (editado),1,
O time do são Paulo é ruim demais,há 9 meses,0,
"Eu gosto de vê são Paulino sofrer 😂😂😂
Vergonha 😂 😂😂 
Ganhar do meu time em uma final e fazer caca em um jogo de brasileirão 😂😂😂😂  se brinca vai ser até rebaixado 😂😂",há 9 meses,0,
Não sei como o Flamengo perdeu a copa do Brasil pro São Paulo,há 9 meses,0,1
"Cara do são paulo desistiu da jogda pra pedir falta no segundo gol do goias, futebol ta acabando os caras so querem inventar as coias parece de papel não te, raça mais não briga não faz nada so quer apitar o jogo e ganhar na malandragem",há 9 meses,0,
"Com todo respeito ao time do Goiás, mas esse time é muito ruim, tomou 6 do Bahia em casa
Mas enfim, vitória merecida né... PARABÉNS",há 9 meses,0,
"O SP tem que comemorar, poderia ter sido de 4.",há 9 meses,0,
Que narrador ruim. Alias os dois que sairam do ESPN,há 9 meses,0,
Eu eu eu o são Paulo se fudeu kkkkkkkkkkkkkkkkkk,há 9 meses,0,
Obrigado  rubronécas do RJ por darem um título inédito ao São Paulo 😅😅😅😅,há 8 meses,1,
e os dois foi nesse estádio,há 9 meses,0,
Macumba kkkkk,há 9 meses,0,
"Goiás amassou com golaço, timeco das tricoletes",há 9 meses,0,
"Alisson , Luciano coloca na conta deles pela derrota 😂😂😂",há 9 meses,0,
"Coitados, quase se mataram pra vencer, há,  nada adiantou, terceiro de baixo para cima kkkkkkkkkkkkkrrrrrrrrrtrsssssssds",há 9 meses,0,
Volta Rogério kkkk será vexatório se o grande são Paulo perder para o Bahia.,há 9 meses,0,
Se esse gol não ganhar o Puskas pode acabar o futebol,há 9 meses,1,
"Calleri é o Dudu do time (exemplo para enfatizar a importância dele), sem ele, o time perde. Goiás vem crescendo muito ultimamente,  é um Goiás muito superior ao que era quando jogou nos jogos passados. A marcação era tão forte, que eles calculavam as possibilidades de bola enfiada que o São Paulo poderia fazer, eles atacavam com a bola no pé, pressionavam os adversários, tanto na zaga como no ataque, e deu no que deu. Parabéns ao Goiás.",há 9 meses,0,
"Não dá pra entender o SPFC, o time é de alto nível, e quando joga com time pequeno que era pra engolir, demonstra um futebol desses slk",há 9 meses,0,
ERA PRA SER UNS 4 OU 5 GOLS PRO ESMERALDINO,há 9 meses,0,
"FALA NAÇÃO TRICOLOR , ESSE BERALDO É O NOVO BRENO OU É UM RODRIGO CAIO ? PATO está no TRIKAS pra aposentar?",há 9 meses,0,
"2 foi pouco , era pra tomar 4 ou 5 gols ! TRIKAS comédia 😅",há 9 meses,0,
Quem diria o Goiás dando chou em cima do São Paulo,há 9 meses,0,
Ala Zidane,há 9 meses (editado),0,
Placa na Serrinha,há 9 meses,0,
No segundo gol quando o Alisson perde a bola ele dá um soco nas costas do jogador do Goiás,há 9 meses,1,
"Foi esse timeco do São Paulo ganhou a copa do Brasil ? Fala sério, a sorte deles pegaram o Mengão em má fase!",há 9 meses,1,
Ficou barato esses 2x0.,há 9 meses,0,
Esses caras não querem jogar mas vão nos levar a série b,há 9 meses,0,
Eu sou são paulino e estamos correndo riscos de rebaixamento,há 9 meses,0,
Mano olha o goias aee,há 9 meses,0,
"que sapataço, do Hugo, do Goiás! que golaço, o mais bonito do Brasileiro!,,",há 9 meses,0,
Só tenho uma coisa a dizer.😂😂😂😁,há 9 meses,1,
Golaço Ala Zidane 👻👿,há 9 meses,0,
são paulo ta poupando os jogadores pra disputar a serie b ano q vem,há 9 meses,0,
"Parabéns para o Goiás, foi merecido. São Paulo conseguiu ser pior q a “seleruim” contra Uruguai",há 9 meses,0,
Era pra ser 4x0 Góias,há 9 meses,0,
Ala Zinedine Zidane 👏,há 9 meses,0,
é incrivel como o trikas perde pra um time que levou 6x4 do bahia 😂😂😂😂,há 9 meses,0,
"O primeiro gol do Goiás foi o famoso gesto técnico perfeito ... Quase nenhum jogador brasileiro , incluindo seleção , possuiu qualidade para executar um movimento desses nos dias atuais ... A grande maioria nem tentaria e quem tentasse daria uma canelada na bola ou a mandaria fora do estádio ...",há 9 meses,1,1
Pontos que podem fazer falta ao São Paulo.,há 9 meses,0,
"São Paulo São Paulo falou de
Nos terça mais perdeou pro goiais",há 9 meses,0,
Gol do Hugo o mais lindo do campeonato brasileiro sem dúvida nenhuma,há 9 meses,0,
Linda canelada 👏,há 9 meses,0,
Gol do campeonato ate agora pqp que golaco,há 9 meses,0,
"Sinceramente esse time foi o pior time a ser campeão da copa do Brasil, não vem falar que é brasileiro e tal, esse time do São Paulo e ruim",há 9 meses,0,
derrota do tricolor pro Goiás kkkk,há 9 meses,0,
"até agora, dizem que lá pelos lados da vila sônia, ninguem sabe como ganharam a copa do Brasil...kkkk..lutando pra não cair......se não virar SAF vão SIFU....",há 9 meses,0,
Esse time dos trikas e muito caseiro so ganha no morumbicha,há 9 meses,0,
"Se o gol do Payet foi pro puskas, esse também deve ir",há 9 meses,0,
