text,time,votes,replies
Hj E Eles Que Estão Com 7 Pontos No Brasileirão,há 1 mês,0,
"02/03/2024
     Dia 17/03 a feira",há 5 meses,0,
Alguém tem esse jogo completo?,há 6 meses,0,
Você é bom Fluminense olha o gol olha o gol olha o gol GOOOOOOOOOOOOOOOOOOL é do Brasil,há 7 meses,0,
Bahia agradeceu,há 7 meses,0,
Fluminense 3 x 0 Santos não derrota 👆😂,há 8 meses,1,
"ESSE DODI DO SANTOS É AQUELE QUE NÃO QUIS RENOVAR COM O FLUMINENSE? SE FOR, BEM FEITO! MAIOR CANALHA! 🤣",há 8 meses,0,
O enredo do terceiro do Fluminense foi espetacular,há 8 meses,0,
O santos é um time merda que vive de passado.,há 8 meses,0,
Uma puta jogada no segundo gol e o editor faz pela metade.,há 8 meses,1,
Quem editou esse vídeo só pode ser Flamenguista.... Não é possível.,há 8 meses,0,
Qual top 5 gols mais bonitos dessa rodada ? Eu fiz um video com o top 5 gols dessa e das outras rodadas do Brasileirão =),há 8 meses,0,
"Primeiro tempo pra nunca mais e segundo tempo avassalador, 3 bolas na trave, zagueiro Nino tirando em cima da linha e o goleiro Fábio fazendo milagres, esse era pra ser a melhor virada do campeonato, mas infelizmente não deu. Agora se o ML não marca e quer sair não adianta mais deixar na vitrine, o Furch e o Maxi Silvera fazem muito melhor.",há 8 meses,0,
"O goleiro do Santos é uma mãe, qualquer torcedor do Santos nas arquibancadas teria evitado os dois primeiros gols,pode chutar de qualquer jeito que o goleiro do Santos aceita, o Fábio fez duas difíceis defesas e duas bolas fáceis o goleiro do Santos aceitou.",há 8 meses,0,
Como q o time toma um gol de linha de passe dentro da área?,há 8 meses,0,
"Em que pese a otima partida do Flu, do mesmo jeito que o time joga, tbm permite os ataques dos times adversários. Contra times muito mais fortes, se não ajeitar isso aí será um tiroteio atrás do outro no gol. Isso é mais mascarado pq o Fábio tem pegado demais, mas nem sempre o goleiro vai pegar todas...",há 8 meses,0,
Reforço do Santos...Patati e Patatá 😂😂,há 8 meses,0,
Sou fla papo reto flu tem que jogar o time titular contra palmeiras cm se  fosse uma final   vcs tem um mundial pela frente ñ pode vacilar todo jogo é importante sorte ❤❤❤❤❤❤❤,há 8 meses,0,1
"So leva chocolate esse time do Santos. Faça meu favor, sinceramente nao vsi a lugar nem um",há 8 meses,0,
"Sou santista, mas por favor essa zagua do Santos faça meu favor..... Ainda não aprenderam a marcar o adversário. Vergonha",há 8 meses,0,
"Nunca KKKKKKKKKKK, Fluminense já disse q vai entregar",há 8 meses,0,
Um clube do tamanho do Santos não pode jogar nessa escuridão. Amém?,há 8 meses,0,
"Não entrava a bola MESMO
SÓ DOS CARAS.HAHA",há 8 meses,0,
"Santos perdeu não é nenhuma novidade, o problema é que os outros times que estão na briga contra o rebaixamento, não conseguem ganhar, é pôr isso que o time do Santos vai escapar do rebaixamento.",há 8 meses,0,
"O Palmeiras tem que ir atrás do soteldo, o baixinho é brabo",há 8 meses,0,
"Time do Fluminense 2024:

Fábio
Samuel Xavier
Thiago Silva (Chelsea)
Antônio Carlos (Orlando City)
Diogo Barbosa
Martinelli
Alexsander
Marcelo/Ganso
Keno
Jhon Kennedy 
German Cano

Mesmo perdendo André, Nino e talvez o Árias... O time ainda é muito forte. Não precisa fazer loucura financeira pra manter o time competitivo. É continuar trazendo apostas e acreditar nas categorias de base. Se for certo de que nossa zaga será Thiago Silva e Antônio Carlos 😮 oloko, que time.",há 8 meses,0,
O Santos não mereceu perder,há 8 meses,0,
FLU,há 8 meses,0,
