text,time,votes,replies
"Grêmio tem chance de ser campeão do brasileiro?🔵⚪⚫
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,212,40
Sao tudo puto,há 1 mês,0,
Coritiba não tem copa do Brasil,há 2 meses,0,
"Sou Gremista mas morei em Erechim cinco anos torço pelo Ypiranga também fez um grande jogo dentro de suas possibilidades tão de parabéns obrigação de passar era do Grêmio muitos desfalques apenas um laboratório para oque vem pela frente,e o Ypiranga grande feito na Copa do Brasil grande trabalho de Luizinho Vieira e seu elenco vários jogadores bons Mateuzinho o goleiro Caique Gedeílson Barbio emfim o elenco todo tá de parabéns o Paulo Baio dá pra citar todos tem que continuar vai ter bons frutos e o Grêmio tem que ver pra evoluir porque Brasileirão serie A é outro nível tem que melhorar jogo mais rápido vamos aguardar a final!!!",há 4 meses,0,
"Eu tava lá, foi perfeito, foi uma honra ter Suarez no Grêmio",há 5 meses,0,
Ae  grêmio 🎉🎉🎉🎉🙏🙏,há 9 meses,0,
Uuu,há 9 meses,0,
Mano o suárez é o melhor do brasileirão série a,há 9 meses,0,
golaço foi do andre e bittelo vamo pra cima deles,há 10 meses,0,
Parabenizo o Grêmio jogou bem essa rodada,há 11 meses,0,
E na timaso,há 1 ano,0,
Aprendam a respeitar o Grêmio agora 😂😂😂😂,há 1 ano,0,
Como é lindo ver o Grêmio jogar!!! 🤩🥰,há 1 ano,0,
COMO É O NOME DESSE NARRADOR?,há 1 ano,0,
Se todos os gols que o Grêmio perdeu entrasse seria uma goleada,há 1 ano,0,
E Suárez é diferenciado mesmo.😮,há 1 ano,0,
Ei Grêmio vai tomar no seu cu,há 1 ano,0,4
Grêmio agora é vice.   28/06/2023,há 1 ano,0,
"gremio no segundo turno sempre cai de produção  e o Coritiba sempre cai , não sei pq fica voltando para séire A não sossega",há 1 ano,0,
O gol que vim aqui pra vê os caras mostram um replay e cortado ainda. ¨¬¬,há 1 ano,0,
"Sim, tá jogando bem regular",há 1 ano,13,
Sim,há 1 ano,9,
"Tem que manter o foco e tentar melhorar esse sistema defensivo! Com os pés no chão vamos seguindo subindo discretamente, vamos deixar o favoritismo para os considerados ""MELHORES"".",há 1 ano (editado),14,
"Com humildade é fé tem sim, mas vai ser difícil.",há 1 ano,9,
😂,há 1 ano,2,
"Sim tem 
Mas é uma meta por vez",há 1 ano,6,
Sim tem chances 👍,há 1 ano,6,
ÓBVIO.,há 1 ano,6,
​ @Tododiaumgolaleatorio pq ?,há 1 ano (editado),3,
​ @Tododiaumgolaleatorio onde seu time tá?  😅,há 1 ano (editado),5,
​ @Tododiaumgolaleatorio vascaíno n tem opinião 😢,há 1 ano (editado),5,
Não time racista não merece nada,há 1 ano,2,
"​ @Freddinho-2455 meu amigo o time nem a instituição é racista ,isso é meia dúzia de babaca q se diz torcedor, infelizmente o Time não pode ser tachado por causa destes otários o Grêmio sempre abriu a porta para todos ,não e justo pagarmos por meia dúzia de doente q tem ser banido de todos esportes",há 1 ano (editado),1,
Não,há 1 ano,1,
🤣,há 1 ano (editado),1,
Concerteza,há 1 ano,2,
quem sabe!,há 1 ano,0,
 @5888t  E quando é fácil para o Grêmio? Sonho com esse dia!,há 1 ano (editado),3,
 @Tododiaumgolaleatorio  e teu colorado?,há 1 ano (editado),3,
Óbvio que o Grêmio está na briga 🇧🇼,há 1 ano,1,
nunca,há 1 ano,1,
"Cara, só não tem chance quem não disputa. Pelo jeito, tem sim e muitas. Porém, o Botafogo está muito bem e não vão querer deixar escapar.",há 1 ano,2,
Muita chance sim,há 1 ano,0,
Sii.,há 1 ano,0,
 @adrianasoares4305  palmeiras ou Botafogo serão campeão..um dos dois,há 1 ano (editado),2,
"Levo um sufoco desse timisinho,vai se campeão,o placar não dis o que foi o jogo",há 1 ano,0,
SIM!GRÊMIO TÁ TIPO UM NINJA DO BRASILEIRÃO;VEM SUBINDO SORRAREIRAMENTE NA TABELA;QUANDO VÊ JÁ PASSOU O FOGÃO,há 1 ano,0,
"Do jeito que ta essa defesa,Vem mais derrota,campeão vai se,palmeiras ou flamengo",há 1 ano,1,
 @CesarPiongui-kw9xm  kkkk palmeiras TALVEZZZZ;mais varmengo?!tá de sacanagem cmg pqp kkkkkkk tem que rir pra num chorar de uma coisas dessas viu,há 1 ano (editado),1,
