text,time,votes,replies
"Fala, torcedor! 🤙
Botafogo já começou com 3 pontos! Vai brigar lá em cima?",há 1 ano,665,103
"Mano, como esse Botafogo conseguiu tantos pontos? kkkkkkkkk",há 3 semanas,1,1
Gramado espetacular,há 4 meses,1,
Botafogo.     É.   Melhores.   Momentos.     Botafogo.    Vai.  Ser.   Campão.    2024.        Tristriza.    Eu.  To.    Pedendo. 3.     Eu.    Carlos.     Gente.   Mercendo.       Eu.      Era.     Botafogo.    Sempre.   Pequena.  Eu. Tinha.   3. Anos.     Muito. Tempo.        Gente.  Vai.   Comemorar.    Grande.    Vitória.   Botafogo,há 6 meses,1,1
Parabéns São Paulo James Rodríguez 🇨🇴🇨🇴,há 7 meses,1,
Pipoca😂😂😂,há 7 meses,0,
Bota pipoqueiro,há 7 meses,0,
O sonho que virou pesadelo 🤦🏻‍♂️,há 7 meses,1,
Início de um sonho,há 8 meses,2,2
E aqui começou um verdadeiro inferno,há 8 meses,2,
Começo de um sonho,há 8 meses,2,2
😀😀😀😀😀😀,há 9 meses,0,
😲😲😲😲😲😲😲,há 9 meses,0,
muito bomm,há 9 meses,0,
2x1,há 9 meses,1,
pra cima campeão!!!!,há 10 meses,0,1
O começo de tudo 🥺,há 10 meses,1,3
🖤⚪Botafogoooo 🔥,há 10 meses,0,1
O início de uma fase!!,há 11 meses,1,
vai  sao paloooooooo,há 11 meses,0,
VAMOOOOOO.,há 1 ano,19,
BOTAFOGO 10° COLOCADO,há 1 ano,3,
"Ainda é a primeira rodada ou seja, vai ser rebaixado de novo",há 1 ano,9,
Mas São Paulo sempre perde pro Botafogo,há 1 ano,24,
"Campeão, de fato!",há 1 ano,12,
Jogo de pequenos os dois timecos vai brigar pra não caír,há 1 ano,8,
Sinceramente não sei.,há 1 ano,1,
​ @Kaue_sousah deve ser torcedor dos mulambos,há 1 ano (editado),1,
Só tradicional kkkkk,há 1 ano,2,
Não fica nem no meio da tabela kkkkk,há 1 ano,4,
Lá em cima não né,há 1 ano,2,
 @Kaue_sousah  onde só fala bosta po,há 1 ano,0,
 @BetoFernandes11  Até Fortaleza já terminou em 4,há 1 ano (editado),1,
 @Kaue_sousah  e tão kid e bota foto da Lazio que não joga Champions a anos kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 1 ano,8,
​ @xandiinhorodrigues2543  verdade kkkk,há 1 ano,2,
 @jorgejunior.1997  e eu te perguntei alguma coisa mlk!,há 1 ano,3,
 @BetoFernandes11  Come um chocolate que essa TPM passa.,há 1 ano (editado),2,
 @BetoFernandes11  E não se esqueça de usar interrogação mesmo quando à pergunta for retórica.,há 1 ano (editado),1,
