text,time,votes,replies
"Pow a torcida dos goiabas estão de parabéns, apoiaram o clube até o fim, serrinha sempre lotada 👏🏻👏🏻👏🏻👏🏻",há 8 meses,0,
Esse time do Grêmio e uma piada coitado do Suarez ganha uma e perde duas,há 10 meses,0,
❤️❤️,há 1 ano,0,
Estádio da Serrinha em Goiânia,há 1 ano,0,
Mas ninguem ve que o renato nao é treinador? Retranqueiro xarope. Vai treinar o Ibis...,há 1 ano,0,
O Maior do Centro Oeste x O Maior do Sul.,há 1 ano,0,
O pior qui eu torço prós dois.,há 1 ano,0,
Ffdftgfhgg hgggggggg ggggfghgbdcef fgffgfgfv,há 1 ano,0,
Grêmio,há 1 ano,0,
Grêmio,há 1 ano,0,
Maracanã tá chegando kkkkkkkkk,há 1 ano,0,
Goiás com a faca e o queijo na mão. A faca cortou os pulsos e o queijo comeu,há 1 ano,0,
Ok❤❤❤,há 1 ano,1,
"Acho que foi o pior jogo do Grêmio no ano, sou gremista e mesmo quando Grêmio tomou goleada do Flamengo e Palmeiras o Grêmio jogou melhor que isso.",há 1 ano,0,
Esse melhores momentos é o pior que eu já vi que o Grêmio teve muito mais chance de gol do que o Goiás não mostrou nada do Grêmio porque Colorado f**********,há 1 ano,1,
Quando forem tri da América e penta da copa do Brasil nos converssamos....tchau brigadu,há 1 ano,0,
Grêmio vem de série B se reforçando,há 1 ano,0,
André  é  aki  SC..time  Hercílio  luz ta emprestado  para gremio,há 1 ano,0,
Os guri caiu ao mesmo tempo kkkkkkkk no 01:08,há 1 ano (editado),1,
"Esse gol do Grêmio valeu 1450 no meu bolso , obrigado grêmio.",há 1 ano,7,3
Ambos marcam? 🤔,há 1 ano,1,
"Era múltipla, faltava só jogo do Grêmio.
Tinha um bilhete na vitória do Grêmio pagava 1.000 e outro  no empate pagava 1450.
Goiás foi e fez gol , quase morri de raiva. 
Ainda bem que grêmio salvou.",há 1 ano,1,
" @Ricardo-sn3vb  50 reais apostado múltipla de 3 jogos : empate do Grêmio, empate Aston villa , vitória do Palmeiras.",há 1 ano (editado),0,
Que tristeza ver essa zaga do grêmio jogar plantado no chão . O jogador do Goiás pulou sozinho .,há 1 ano,1,
matheus babi esse era promissor,há 1 ano,0,
vou ter contar um caba igual o Suarez que ganhou tudo no Barça tem como companheiro Messi neimar iniesta ...etc... ter como companheiro de ataque um caba por nome de Bitelo é muito sofrimento dá vontade de chutar o balde mesmo,há 1 ano,0,
"mateus Babi tinha tudo para virar craque , mais saiu pelo Botafogo pela portas do fundo",há 1 ano,0,
"Esse é o grêmio q eu conheço , esee é o grêmio q ia massacrar o Botafogo , esse ""massacre"" é tipo um cheirinho , para aquela outra torcida , não podemos esquecer dessa história , o "" massacre"".",há 1 ano,0,
Botafogo meio que agradece.,há 1 ano,0,
Mais um campeonato brasileiro fraco misericórdia,há 1 ano,0,
"Bremio coitado kkk Cadê o Renato que si gabou de está em 2° ?? CAIU PRA 4° JÁ ! kkkkkkk
Clubeco patetico que o fla amassou em casa 🤣🤣😂😂",há 1 ano (editado),2,1
"Contra o Grêmio se transformam em Manchester City. Se pega alguém do eixo, já abrem às pernas.",há 1 ano,2,
"Viu, se o Suarez pede, você passa pra ele. Simples assim. Time ruim esse do Grêmio",há 1 ano,0,1
"Grêmio ta fraco demais pqp, quase perdemo pro Goiás, desculpa Suarez 🥲",há 1 ano,0,
"Assim não dá, Grêmio...",há 1 ano,0,
Essa zaga do Grêmio e uma mãe kkkkkkkkkkkkkk,há 1 ano,0,
"Serrinha é uma boate.
Salão de primeira, mas a iluminação...",há 1 ano,1,
"Melhores momentos, primeiro lance aos 30 minutos! Meu deus que jogo sofrível!",há 1 ano,23,
"Não pode vacilar Goiás, mais o português arrumou o time.",há 1 ano,0,
"Parabéns Goiás, pelo trabalho, segue o líder!",há 1 ano,0,
"SAAAAAAACO MEU TRICOLOR GAÚCHO EMPATOU C ESSE TIMINHO RUIM CHATOOOO? 





VAI FLA, INTER, SANTOS, BRASIL, UNIVERSIDAD CATÓLICA, GRÊMIO, CORINTHIANS, CASCAVEL, SP E FURACÃO MEUS 10 TIMES 💖💖❤️💖💖❤️


QM TORCE PRA ESSES TIMES CLICA AQUI 👇",há 1 ano,0,1
Lance antes do escanteio q saiu o empate foi falta em cima do zagueiro do goiás! Porém o juiz nada marcou e em seguida o gol do adversário! Goiás em toda rodada está sendo prejudicado pela arbitragem... até qdo????,há 1 ano,4,
Obrigada por empatar,há 1 ano,0,
"O grêmio tem 1 jogo a menos, por isso",há 1 ano,1,
Ruin? Boa piada viu,há 1 ano,0,
Bora flamengo 😎🔴⚫,há 1 ano,1,
Mister Armando Evangelista o AE está organizando o bagunçado Goiás.  Mas quando a fase tá ruim num tem jeito . Tima o goll de empate na última bola ⚽️do jogo 😭😢😥. Tem compaixão do meu Goiás senhor .Vamos voltar pra série B .,há 1 ano,0,
"O Grêmio não ganha do flamengo, vai ganhar do Goiás",há 1 ano,1,
Bom jogo 🎉,há 1 ano,2,
Suárez nitidamente não tem ânimo pra jogar nesse time. Os caras não tem nem 50% de visão de jogo que o cara tem.,há 1 ano,0,
Goiás recuo foi pressionado e tomou gol nos acréscimos se tivesse mantido o ritmo provavelmente o resultado seria outro a vitória seria do Verdão.,há 1 ano,0,
Sério que goias tem torcida?? Pensei que la n tinha nem internet 🤣,há 1 ano,0,1
Grêmio e São Paulo chegaram como na semifinal da cdb ?,há 1 ano,0,2
"Os caras com pena do Suares, gente os clubes de melhor elenco do Brasil tentaram a contratação dele e ele quis ir por grêmio. Não tem esse negócio de pena não!",há 1 ano,0,
Grêmio 💙🖤,há 1 ano,1,
Goiás 1 x 1 Grêmio não derrota 🤬,há 1 ano,1,
"Jogo De Compadritos, Dois 2 Gols Na Origem Cobraça De Escanteios...",há 1 ano,0,
"Direção do Grêmio é uma vergonha, 3 contratações e nenhum dos 3 aptos para colocar em jogo 👏🏼👏🏼 parabéns Guerra babaca e seu vice sem noção 👏🏼👏🏼",há 1 ano,0,
Grêmio ta satisfeito com a vaga na libertadores,há 1 ano,0,
Dale Dale imortal nas vitorias nos empates e derrotas orgulho de torcer vamos tr😂,há 1 ano,2,
"Se eu fosse o Suarez, pagava multa, pagava o salario de todo mundo do grêmio e iria me embora desse time....😢😢😢 e muita incompetência do lado do cara meu Deus",há 1 ano,0,
"E o pessoal não  quer q fale de Grando..eu com 1,75m pegava aquela bola do escanteio..",há 1 ano,0,1
