text,time,votes,replies
Sou torcedor do flamengo,há 2 semanas,0,
Curintia tá bem.kkkkk só tem 17 na frente dele. Kkkkkk,há 1 mês,0,
1:53 desisti KK,há 2 meses (editado),0,
😮,há 4 meses,0,
Corinthians perdeu para o Atlético paranaense❤❤❤❤❤❤❤❤😂😂😂😂🎉🎉🎉🎉😢😢😮😮😅😅😅,há 4 meses,1,
Corinthians perdeu para o Atlético paranaense Corinthians perde em casa❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉😅😅😅😅😅😅😊😊 0:23,há 4 meses,1,
😂😂😂😂😂,há 4 meses,0,
Bora Athletico Agustín Canobbio ❤🖤,há 6 meses,1,
"Ru tava na torcida nesse jogo, e não sabia que o wesley tava jogando tao bem assim",há 6 meses,0,
*falhou bento olha o frangaço*gooooooooool do Corinthians,há 7 meses,1,
Quem é corintiano da o like,há 8 meses,3,
"Lembrando que ele vai pra seleção em, goleirao",há 8 meses,1,
Só assim pro caneludo fazer gol,há 9 meses,0,
Vai corinthians!!!🎉,há 9 meses,0,
😊,há 9 meses,0,
Vai Corinthians,há 9 meses,0,
O Próprio jogador deu o gol kkakkakak,há 9 meses,0,
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk bora se convocado para a seleção goleiro,há 9 meses,0,
"# AQUI NO BRASIL O DINHEIRO 💸 COMPRA TUDO#
Fora Dirigente ALESSANDRO NUNES, esse dirigente é a cara desse time, cara da derrota.
O presidente e o dirigente errou de novo de técnico
Mano não dá né.
O presidente vende os jogadores bons e fica com os ruins 
Mas o time é ruim demais
Nao tem atacante nem lateral, e os meias estão ruim.",há 9 meses,0,
Esse time tem pacto,há 9 meses,0,
Com 4 segundos do jogo a jogada ensaiada foi jogar a bola pra fora 😂😂😂😂 isso é uma vergonha acho que o torcedor deveria trocar de equipe 😂😂😂,há 9 meses,0,
Yuri tá se tornando mestre da cabeçada fantasma ❤,há 9 meses,0,
Do goleiro ao atacante todos podres 🤮🤮🤮🤮🤮🤮,há 9 meses,0,
Esse time do Corinthians não se aproveita nenhum ✍️🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,há 9 meses,0,
Vamos meu timão em busca de mais três pontos,há 9 meses,2,1
