text,time,votes,replies
"Eita Fogãooo 🔥
Craque da partida?",há 11 meses,683,71
0:25 😅,há 6 dias,0,
Esse jogo me iludiu muito😢,há 2 semanas,0,
"Relembrando esse dia histórioco...uma pena não ter vencido o campeonato.
EU estava Lá",há 1 mês,3,
So relembrando esses momentos,há 2 meses,3,
0:25  Quando o Goleiro tem TDAH:,há 2 meses,1,
"0:26 o melhor goleiro do brasileirão 2023, Que defesa e que Rebote😂",há 4 meses (editado),1,
"Volta e meia eu venho rever os vídeos de quando a gente amassava os rivais em casa
Foi um final muito triste, mas esses momentos eram de extrema felicidade",há 5 meses,2,1
Saudades desse Botafogo. Pqp 😢😢😢😢😢,há 5 meses,1,
Parabéns Botafogo Jeffinho 🤩🤩,há 6 meses,0,
Inacreditável esse 1 turno do Botafogo e conseguiram perder o título kkkkkkkkkkk,há 7 meses,1,
Saudades.....,há 7 meses,2,1
Pela primeira fez eu fui feliz com esse time,há 7 meses,1,
"No  gol do Inter  o goleiro do Botafogo já tava procurando a taça.  Coitado, foi muito hilario kkkk",há 7 meses,1,
Vim do futuro dize que o Botafogo não foi campeão.,há 7 meses,1,
Quem depois da pipocada histórica?,há 7 meses,0,
Alguém feliz com a pipocada do fogão?,há 8 meses,0,
"Quem percebeu uma coisa o Botafogo venceu de 3 a 1 na última rodada do primeiro turno, e no segundo turno foi ao contrário internacional 3 a 1",há 8 meses,0,
Quando já não vale o título o time de pipoca ganha😂😂😂😂😂😂,há 8 meses,3,
"qm imaginaria q o botafogo líder quase o  ano inteiro,na última rodada tá em quinto,kkkkkkk,eita fogo.Mas eu gosto do botafogo sem brinks",há 8 meses,0,
"Eu sou palmeirense, mas não é cedo para parabenizar o futuro campeão do Brasileirão, parabéns Botanocuzinhogostoso👏🏻",há 11 meses,23,
​ @DISCENDENTE-ITALIANO kkkkkkkkkkkkk,há 11 meses (editado),9,
Janderson,há 11 meses,8,
Luis Henrique,há 11 meses,17,
Var e Arbitragem Que Não Marcaram A Falta no Valência No 1° Gol do Botafogo,há 11 meses,5,
Textor,há 11 meses,12,
Luis Henrique,há 11 meses,8,
Janderson,há 11 meses,5,
" @DISCENDENTE-ITALIANO  ""Botanocuzinhogostoso"" kkkkkkkkkkkkkkkkkkkkkkkkk",há 11 meses (editado),5,
" @GilbertoLuisJunior  cai cai Po, se fosse homem e jogasse em pé talvez o juiz marcasse",há 11 meses (editado),0,
Sá,há 11 meses,3,
HUGO,há 11 meses,4,
Hugo,há 11 meses,4,
"​ @GilbertoLuisJunior chora torcedor do flananico, flacadela, Flacheirinho, flachachorra, varmengo, flapito, vice do Flu, roubador de times brasileiros e vc reclamando da arbitragem?",há 11 meses (editado),3,
​ @MS-fv1nj se o fla e nanico o teu time é o que ?kkk,há 11 meses (editado),2,
ROCHET,há 11 meses,1,
O narrador grase não narra o segundo gol do Inter não passava nem sinal Wi-Fi!!bbmp!!,há 11 meses,0,
