text,time,votes,replies
"Faaaaaaaala aí! Tava com saudade do Brasileirão?
🌟 Assine Premiere: 
https://gplay.la/ytgepremiere",há 1 ano,114,20
Vai tricolor pra cima.,há 1 mês,0,
😮+2+1,há 6 meses,0,
Vamos São Paulo iba ly ❤🖤,há 7 meses,0,
Hdfuf,há 8 meses,0,
Quero q o sp ganhe o de hj vamo sao paulo quem sao Paulinho ou sao paulina curte,há 9 meses,1,
Essa zaga do Sao Paulo é um fiasco.,há 9 meses,0,
"❤oskls🎉ldl😊aolaa
Ka❤❤❤🎉só
K
Kwl❤",há 9 meses,1,
A primeira vez que fui no morumbi😢😢,há 11 meses,1,
Eu fui nesse jogo mano fiquei tao feliz,há 1 ano,1,
😮😅,há 1 ano,0,
"PAUCHEIRAS ELIMINADO! 😂😂
SRN",há 1 ano,0,
1x2,há 1 ano,1,
🇾🇪,há 1 ano (editado),0,
Que gol do luciano,há 1 ano,0,
Esse Afletico é um gatinho jogando fora de casa.,há 1 ano,0,
"Cara a defesa do sao paulo e uma mae,todo mundo olhando a jogada ate os caras fazerem o gol",há 1 ano,1,
A jogada que resultou no segundo gol do São Paulo foi simplesmente uma obra prima.,há 1 ano,1,
Teve mais domínio no jogo e jogadores bem posicionado em campo e mais a vontade pra vencer parabéns SPFC,há 1 ano,2,
Cagada esse gol do Luciano kkk,há 1 ano,0,
O se estava manda ❤ ge,há 1 ano,1,
Sim e muito 👍,há 1 ano,1,
Sdds de ver os operários do Doriva jogar,há 1 ano,0,
Só tava com saudades do malvadão❤,há 1 ano,4,
são paulo virgem da copa do Brasil,há 1 ano,1,
 @jonaspfc6331  saudades de ver o São Paulo jogar e vencer,há 1 ano (editado),0,
Aqui é São Paulo maior do Brasil que grande vitória de virada,há 1 ano,3,
Meu São Paulo venceu de virada,há 1 ano,0,
 @flamengoterrordospaulistas52  Silêncio freguês do  virgem das Américas,há 1 ano (editado),1,
Tava com saudades do meu Tricolor isso sim ❤,há 1 ano,0,
Mostra que o time tem sim forças 💪 para sair atrás do placar e reverter Pedrinho voltou bem quero-lo jogando mais e as vezes de  titular bora Tricolor,há 1 ano,0,
"Sou flamengo e fico me perguntando: quando que esse museu vai tomar vergonha na cara,  e ganhar um título de expressão? Quando que esse patético chorão vai deixar de ser freguês do gigante flamengo? Duas torcidinha medíocre e regional, uma foi engolida no Equador, a outra não tinha 100 torcedores na Argentina na final da sul-americana 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅. Srn, a mais fodastica e fiel do Brasil.",há 1 ano,0,
São Trika não tem Copa do Brasil kkkkkkkk,há 1 ano,0,
São Paulo com esse futebolzinho 😂...quando enfrentar o FLAMENGO vai tomar uma surra inesquecível 😂,há 1 ano,2,
"​​​ @alexandremoraesalmeida33 Torcedor modinha só fala merda 😂😂

O time do museu é tri campeão do mundo e da libertadores. O time que jogou a final da libertadores ano passado é um clube maciço o Atlético Paranaense, sempre deu trabalho para o Flamengo.   Precisa ter mais respeito geração de modinha de merda...aposto que você não conhece nada sobre a história do Flamengo, nunca visitou a sala de troféus, e nem Clube...nem sabe aonde fica...só falou merda...vai torcer para outro time..vascaino...

Modinha não tem moral pra falar poha nenhuma...só fala merda 😂😂 só dá vergonha...




SRN 🔴 ⚫️ 🔴 ⚫️",há 1 ano (editado),1,
Rapaz seja bêm vindo dê volta Brasileirão 👍,há 1 ano,0,
Esse Rodriguinho sim lembra as arrancadas do Kaká não aquela lesma do Igor Gomes 🤔,há 1 ano,0,
"​ @alexfernandes135 kkkkkk , piada , ne ? Time que perde pro maringa sao paulo nao lerde nunca",há 1 ano (editado),0,
Eu quero ver meu Tricolor Ohhh Ohhh É Tricolor Ohhh Ohhh Ohhh É Tricolor 🔴⚪⚫,há 1 ano,0,
Aa❤á❤á11​ @TheRockaventureira1 ,há 4 meses (editado),0,
Ele e um cara que não compromete em nada parabéns gabi neves,há 1 ano,1,
"O tal do Rafinha com tanta experiência, jogou fora e tal, nem viu o cara passar nas costas dele. Essa jogada do cruzamento é clássica, qualquer Zé mané que não joga bola sabe que o cara vai cruzar, cabe ao zagueiro olhar em volta e chegar antes na jogada, não ficar aconpanhando a bola com os olhos, esses amadorismos que enterram o SP, bota tudo a perder. O cara joga bola todos os dias ha mais de 30 anos e caiu nessa, não sabe o básico. Faço melhor pela metade do preço, volta e meia ele comete ums erros inacreditáveis, o pênalti no Corinthians foi outra zerda recente dele. Esses caras não tem nem 5 neurônios, não é possível, quase 40 anos de idade tomando gol assim, só Jesus mesmo.",há 1 ano,2,
o estádio vazio kkkkkkkk,há 1 ano,0,
"O que joga esse Calleri, tá loco. Queria no meu time!",há 1 ano,1,
Que segundo gol foi esse em,há 1 ano,0,
Calleri mais uma vez dando assintencia jogador que briga o tempo todo,há 1 ano,0,
Dorival é pic@,há 1 ano,0,
Excelente pivô do calleri,há 1 ano,0,
"Vtnc essa zaga é uma mãe fim de carreira TH e PH, Cuello é muito ruim",há 1 ano (editado),0,1
Eu amo o SPFC lais dos santos,há 1 ano,1,
Luciano fominha demais,há 1 ano,0,
"Fiquei muito feliz com o gol do G. NEVES,  joga muito..Sempre achei uma injustiça quando CENI TEIMOSO não dava tanta oportunidades p ele..",há 1 ano,2,
"Rapaz esse roque tem muiri futebol e vai se desenvolver ainda mais, tá metendo gol direto",há 1 ano,1,
Sao paulino iludido kkk 15anos sem ganhar brasileirao libertadores 10ano sem ganhar Corinthians ta feio,há 1 ano,0,
O pivô que o Calleri faz é sensacional!,há 1 ano,0,
São Paulo ganhou ?😂😂😂,há 1 ano,0,
Segundo gol👏👏👏👏,há 1 ano,0,
Luciano lembra Neymar nas finalizações.  Mortal. Um golaço!,há 1 ano,0,
"O segundo gol do São Paulo é tudo o que a torcida sempre pediu: uma jogada bem pensada.

O chutão do Rafael se tornou num bom domínio e passe do Caio Paulista pro Rodriguinho, que por sua vez deixou o Calleri com a bola num giro genial pro Luciano.

Teve velocidade, habilidade, raciocínio rápido e um chute decente.

A torcida sabe que o time não é um primor técnico nem tem jogadores geniais, mas o simples bem feito ganha jogos e jogos esses difíceis como esse",há 1 ano,0,
"Trepunto, vmo Sampalo",há 1 ano,0,
"É os poodles  , não tem jeito   kkkkk",há 1 ano,1,
São Paulo transa tem nem como,há 1 ano,0,
Que chapada do meu mano Luciano 🥵,há 1 ano,0,
"Melhor jogador do São Paulo é a torcida! Dorival ta ótimo, rogegue ia derrubar o SPFC.",há 1 ano,0,
Mssm,há 1 ano,0,
São Paulo mereceu a vitória procurou mais o jogo,há 1 ano (editado),0,
Essa Zaga Tá Dando Muito Mole,há 1 ano,0,
São Paulo vence de virada.  22/06/2023,há 1 ano,0,
Muito bom narrador,há 1 ano,0,
S.P.F.C 🇾🇪❤,há 1 ano,2,
Thiago maia ia cair bem no sao paulo,há 1 ano,0,
TOCOU NO CALLERI É  GOOL . CALLERI TOCOU NO LUCIANO  É  GOOL ❤ 😊,há 1 ano,0,
Vitor roque ensina o endrick a fazer gol !,há 1 ano,0,
Precisamos melhorar mto aínda......mas o time melhorou mto com o Dorival em todos os aspectos que se refere em jogo......pra mim o Luciano voltou a ser o de antes jogando bem e decisivo.......aquele jogo contra o Palmeiras ele jogou demais e só perdemos o jogo por falha nossa e sorte deles......o Palmeiras foi amassado e o Caio Paulista colocou o Arthur no bolso como está jogando bem....... parabéns meu tricolor vamos pra cima e eu acredito em um título esse ano🇸🇾🥇🏆,há 1 ano (editado),0,
Estádio do Morumbi em São Paulo,há 1 ano,0,
Luan tá Mal,há 1 ano,0,
Se o segundo gol não foi treinado eu sou uma geladeira. Dorival Jr é MUITO BOM técnico!!!,há 1 ano,0,
"A base seria a salvação do São Paulo ter um time forte e competitivo sem gastar muito, mas o clube vende todos que se destacam e por isso vive na merda",há 1 ano,0,
Ganhar Classico contra palmeiras corinthians nada ne,há 1 ano,0,1
Vamos são paulo,há 1 ano,0,
Poxa o Mano deixou o rogue fazer sozinho mais ganhando támo de bia,há 1 ano,0,
"Infelizmente isso é fase,  o SP ficou 2 anos sem perder da gambazada",há 1 ano,2,
Contra o SPFC tem lei do ex até de assistencia kkkkk,há 1 ano,0,
"Golaço do sao paulo pqp, jogada bem trabalhada e um chute forte no ângulo do Luciano.",há 1 ano,3,
Da le SPFC,há 1 ano,0,
Na caixa luciano slc 🔥,há 1 ano,0,
Atlético paranaense sempre freguês do Dorival 😂😂😂,há 1 ano,2,
Nada demais,há 1 ano,0,
O sintetico pr gosta de apanhar pro Dorivaldiola,há 1 ano (editado),0,
Dorival recebendo ótimos 📢 ⚽ comentários 🙌 e espero que siga assim com atitude sempre 👏👏,há 1 ano,1,
Esse calleri monstro como sempre dois passes lindos que resolveram o jogo Calleri é monstro 💪💪💪💪💪,há 1 ano,1,
O segundo gol foi lindo! A jogada iniciou com o goleiro.,há 1 ano,0,
"O São paulo do meio campo pra trás ainda e fraco na marcação , se for observar geralmente 3 a 4 jogadores do adversários sempre fazem gol dentro da sua área contra 7 a 8 jogadores  do São paulo..",há 1 ano,0,
Spfc ganhou vai dormir secador,há 1 ano,1,
Caleri.participou.das.2.jogads.d.gol,há 1 ano,0,
Tem que comprar esse Caio Paulista!,há 1 ano,0,
Caleri joga de mais,há 1 ano,0,1
O camisa 9 da Seleção tem nome é Vitor Rock,há 1 ano,0,
"esse luciano é fominha demais, no primeiro gol o cara quer chutar sabendo que não adiantaria em vez de tocar pro gabi que vinha sozinho",há 1 ano,0,
Grande Dorival! ❤🎉,há 1 ano,0,
Jogos premier 2 jogos ontem um 7 da noite outro 9 da noite Do flamengo,há 1 ano,0,
Vem aí amistosos da seleção brasileira até 2024 ....,há 1 ano,0,
❤,há 1 ano,0,
Que Dominio do Caio Paulista e Que Passe ba Construção da Jogada Caio Paulista Ta calando a boca de Muitos q dizia q era Jogadozinho limitado inclusive a minha 😅,há 1 ano,0,
Dorival é muito bom treinador oque o trabalho dele no são Paulo é incrível,há 1 ano,2,
"calleri dá a vida! muito participativo, excelente pivô!",há 1 ano,1,
Athetico Paranaense Desde De 2005 É Freguês ! 🔴⚪⚫,há 1 ano,2,
"Gabriel Neves merecia demais esse gol, esse cara e diferenciado demais",há 1 ano,1,1
Muito feliz Bella Vitória,há 1 ano,0,
Além de toca no calleri qe é gol ..temos toca no calleri qe ele dah o gol..pivosao,há 1 ano,0,
Fica Luciano,há 1 ano,0,
"Otimo resultado e algumas ponderações, como acreditar que Cene quase sumiu com Gabriel, queimou o Luciano com a midia e parte da torcida pois não estava bem na posição inventada por RC, foi só sair e ambos estão jogando muito, pena que alguns estão destoando e isso está atrapalhando demais, ontem um jogo ruim do Rafinha, o Rato sumiu, o Nestor nada a ver e o Alisson não ajuda em nada, o que falar de Luan? Se esses caras voltar a jogar ajuda demais pois é um elenco limitado.",há 1 ano,0,
Tô feliz aqui da Espanha,há 1 ano,0,
"Vamos são Paulo vamos ser campeão!!!!
Como te amo, meu tricolor!!!",há 1 ano,2,
Vitória Importante.. contra um adversário muito difícil.. Gabriel Neves tava merecendo muito esse gol.. vem jogando muito bem.. olho no Rodriguinho.. mlk é bom de bola.. tenho certeza que trará muitas Alegrias a torcida Tricolor.. Vamos São Paulo! 👊🏽🇾🇪,há 1 ano,1,
Venceu o time grande,há 1 ano,0,
Vamos são paulo tmb ganhar do palmeiras na copa do brasil,há 1 ano,0,
O que esse Caio paulista joga n tá no gibi,há 1 ano,0,
"CALLERI mesmo sem fazer gol, é fundamental pra equipe, se doando, brigando, faz o pivô como poucos no futebol brasileiro 👏👏👏",há 1 ano,7,
Lindo tricolor 🇾🇪,há 1 ano,0,
5 jogadores com passes perfeitos em menos de 2 min ... gol,há 1 ano,0,
"Eu não sei se vcs notaram, mas a maioria dos jogadores do são Paulo são canhotos, isso sempre foi uma marca dos times do são Paulo.",há 1 ano,0,
🔴⚪⚫,há 1 ano,0,
Concordo com você amigão,há 1 ano,0,
Isso e o gol do fica do Luciano,há 1 ano,0,
"Cara, o são Paulo é outro depois que Dorival chegou",há 1 ano,0,
caio paulista colocou a bola pra dormir kkkk no lance do gol,há 1 ano,0,
"O que o Allan Franco é ruim, o céu nao tem de estrelas 😢",há 1 ano,0,
"Calleri como sempre se doando pra caramba, dando assistência etc! Ele é um monstro 🇾🇪🇾🇪",há 1 ano,12,1
Bom jogo ❤,há 1 ano,0,
