text,time,votes,replies
00:04,há 1 mês,0,
Que bela homenagem. Pro rei. Pelé. Um rebaixamento.  Vai corinthians,há 6 meses,0,
Aie so pra atualizar 2024. Rebaixado kkk,há 6 meses,0,
Jeferson Josué j,há 6 meses,0,
Vai Yuri 😮,há 9 meses,0,
Esse jogo aí foi pra ver qual time é pior,há 9 meses,1,
"Jogo bom é assim que já começa com um ""filho da puta""",há 9 meses,0,
"Neste Brasileirão 2023; Corinthians venceu as Sardinhas no Clássico Alvinegro, e o Palmeiras venceu as TRIKAZADAS no Clássico Choque-Rei",há 11 meses,1,1
"Olha só o tanto que o Corinthians é odiado por todos,o santus perde pra todo mundo em sua casa,quando perde pro Corinthians a torcida se revolta. Kkkkkkkk
Amo ver isso",há 1 ano,1,
"Já se cogita vender Yuri....pqp, fizeram a puta cagada pra negociar ele e agora já podem aceitar apenas 209 milhões de reias por ele....e detalhe, só 50% disso será do Timão......é muita cagada viu....parabéns diretoria.....mas um show de horrores na conta",há 1 ano,0,
"The Brasilirao Serie A is such a underrated league. To watch, I feel it is one of the most entertaining league. I feel people prefer watching the european leagues because all the big name players are there. If however people start watching some smaller leagues like Brasileirao Serie A , Argentine Primera Division and J League they will be hooked as it is much more entertaining. Even though I was not watching football then, around 2007-2008 India also had a very competitive and lively league called the I-League.....I wish I lived in Brazil man, to watch such entertaining games around passionate fans.",há 1 ano,0,
O prantos da vila ja foi bom no passado na era Pelé e neymidia. Mas hj em dia n passa de um nanico. De uma verdadeira piada em campo. Perde pra todo mundo na vila. Até de fora do br vem e bate igual cachorro neles kkkkkk,há 1 ano,0,
"00:04 ""Fdp"" kkkkkkk😂",há 1 ano,0,
"Essa torcida do Santos se revolta demais quando o Corinthians vai jogar na vila 
É uma vergonha pra própria torcida uma atitude dessas e também o fato dessa lata de sardinha não ter nenhuma segurança, mas enfim, cada um tem o que merece.",há 1 ano,8,
Qual nome desse narrador ?,há 1 ano,0,2
"O time com a História do Santos,era pra ser um dos  melhores times do Brasil.
Hoje é uma vergonha no futebol.
Por  causa da História que tem.",há 1 ano,0,
Que vergonha esse time do Santos meu deus,há 1 ano,0,
"Mais o problema do SANTOS i TODOOOO futebol mundial hoje não é culpa dos técnicos i nem jogadores , ELES mudaram totalmente a forma do futebol agora é como falou o satanista casa grande é a NOVAAAAAAAA ORDEMMMMMM 👁️ DO FUTEBOL É VCS OBSERVAREM O TROFÉU DO CAMPEONATO BRASILEIRO O FUTEBOL FOI DESTRUÍDO COMO ERA DO PASSADO ACORDEMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM",há 1 ano,1,
milagre o yuri marco cara kkkkkkk,há 1 ano,0,
Corinthians aproveitou dois lances e fez o gol mas o santos criou chances !!! Foi bom o jogo tirando a bagunça no final,há 1 ano,0,
"Em 2023 São Paulo campeão da copa do Brasil e as trikas de Itaquera  não ganha título há 5 anos,  gambazada",há 8 meses,1,
Milton leite ele torce para o São Paulo,há 1 mês,0,
Mas ele começa a narrar um jogo por exemplo tipo Flamengo Atlético Mineiro muito mais,há 1 mês,0,
Esse Mendonça é bom mesmo hein,há 1 ano,0,
Tomei um café Zinho 😅😅😅,há 1 ano,0,
Essa diretoria fila da puta do Corinthians está vendendo nossos melhores jogadores a preço de banana isso tem que acabar por bem ou por mal esses cebosos não podem continuar no Corinthians,há 1 ano,0,
Vaiiu CORINTHIANS 🖤🤍,há 1 ano,1,
CORINTHIANS CARALHOOOO🦅🦅🤬🤬🤬🤬🤬🤬,há 1 ano (editado),2,
Corinthians ganhou com dois gols contra do Santos. Foi só sorte mesmo!,há 1 ano,1,
O esquema defensivo do Santos e medíocre! O goleiro é só enganação! O jogador Mendonça foi um dos únicos que merece ser mencionado pois mostrou intenção e chutou a gol pelo menos ! O técnico mereceu ser demitido! Não houve evolução nenhuma neste time de jogadores abaixo do nível ! Vai lutar para não ser rebaixado!,há 1 ano,1,
amo o Corinthians jogando assim,há 1 ano,0,
"Sou corintiano mas essa vitória não foi grande coisa, bater em time morto é fácil. O Corinthians errou muitos passes e amoleceu muito no 2° tempo, tanto que o santos começou a crescer bastante após os 20min. Ruan jogou muito, só falta dar mais oportunidade para o Cristian.

Se fosse um time melhor aí, teria metido 4-0, mas o Corinthians é uma mãe e tem dó dos adversários.",há 1 ano (editado),1,
O gigante Felca fechou o gol,há 1 ano,0,
Mesmo numa façe ruim 😢,há 1 ano,1,
O jogo ja comeca com um grito amoroso,há 1 ano,7,
Duilio combina com Dualib e Dilma,há 1 ano,1,
"Cadê o dinheiro do clube Duilio? 
Aonde você depositou o dinheiro?
Vou elencar para você de onde vem o dinheiro que não é seu e nem do Andres Sanches.
1- Patrocínio da Nike
2- Patrocínio das empresas
3- Arrecadação dos jogos
4- Arrecadação dos estacionamentos da Arena
5- Neo Química arena ( direitos do nome)
6- Vendas de produtos
7- Vendas de jogadores
8- Cotas de Tvs
9- Dinheiro de premiações
10- Dinheiro da CBF e FPF
São bilhões de reais, cadê o dinheiro Duilio?
Você é o Pior Presidente do Corinthians desde 1977, não fez nada de bom para o clube, afundou em dívidas.
Você não contratou jogador de peso, montou um time fraco, não conseguiu nenhum patrocínio impactante, não apresentou as contas da Arena, não conseguiu sequer quebrar o contrato com a Nike que causa escravidão de mais de 20 anos refém de uma empresa de material esportivos que só suga o clube. Paga 30 milhões, ganha mais de 100 milhões em vendas de produtos oficial do clube e só desenvolve camisas horrível. Não faz uma ação de marketing fora do Brasil para o Corinthians. Agora você Duilio Monteiro Alves renovou o contrato até 2029 em troca de receber dinheiro adiantado. Se você ama realmente o Corinthians entrega o cargo e saí fora, já fez um monte de merda já, deixa alguém competente assumir a presidência.
Não adianta querer afundar o clube em dívida só para depois dizer que só virando SAF para salvar o clube, o Corinthians jamais virará SAF seus mercenários.",há 1 ano,0,
"Melhor coisa foi a saída do Fausto. Morto em campo, não marca e não cria",há 1 ano,0,
Tá na hora do Cassio ser titular da seleção!,há 1 ano,0,
"O coisa ruim voltou, vai Corinthians 🖤🤍",há 1 ano,0,
Palmeiras perdendo e Corinthians ganhando clássico. Atípico... rsrs,há 1 ano,0,
Jogo é jogado o baiacú é pescado e a freguesia é eterna 👊🏾,há 1 ano,0,
BATEU EM BÊBADO,há 1 ano,0,
Quem esteve na série B não é gigante Nunca!!,há 1 ano,0,
O melhor time do mundo Santos está ruim mesmo 😢 perder pro curintias😮,há 1 ano,0,
Mwkkq,há 1 ano,0,
R.I.P Urbano Caldeira 1916-2023...,há 1 ano,0,
Tem CANELADA HJ??? Só quero ver a cara do Pilhado kkkk,há 1 ano,0,
eu amo muito o Corinthians meu timão vai povo 0:09,há 1 ano,1,
eu amo muito o Corinthians meu timão vai povo,há 1 ano,0,
Yuri Alberto quando faz gol tem que chover pedra,há 1 ano,0,
A maré ta cheia,há 1 ano,0,
Corinthians venceu fora de casa.    22/06/2023,há 1 ano,0,
Faltou narrar os gols 😂😂,há 1 ano,0,
"00:29 mbappe, é vc ?",há 1 ano,0,
Yuri Alberto é muito pai do PRANTOS,há 1 ano,0,
Te espero santos😇,há 1 ano,0,
Ganhou quem teve Mais MEDO de apanhar da própria Torcida !!✅,há 1 ano,0,
Steve Medonza deu trabalho.,há 1 ano,0,
Olha quem está servindo de meia dando passe para o Yuri o lateral FAGNER kkkk pq os meias do Corinthians não são meias kkkk,há 1 ano,0,
Como essa zaga do santos conseguiu jogar no profissional kkkk nen pra tirar o gol do yuri bem fraquinho 😂😂😂,há 1 ano,0,
"Olha aq seus santistas🖕🖕🖕🖕

Aq é corinthias🖤🤍🦅!!!",há 1 ano (editado),2,
Torço pelo Corinthians.mais não vie nada demais.tem que melhorar muito ainda.,há 1 ano (editado),0,1
"Meu pai também torce, ele também é corinthiano",há 1 ano (editado),0,
Estádio Urbano Caldeira em Santos,há 1 ano,0,
"Fora gil,Fagner,Fábio santos",há 1 ano,0,
mesmo o corinthians  ganhando  ainda  não está bom  está  uma bosta porcaria não  dão raça não jogaram pela torcida   vitoria  com gosto de derrota,há 1 ano,0,
Esse ano a velharada vai chorar com o rebaixamento do santos,há 1 ano,1,
"""Santos é o time da piada, Santos é o time do meu vô""",há 1 ano,1,
Tem que interdita esses merda perna de pau jogar num estádio desse tão fomozo manda embora todos esses carra ruim não salva um da dó ve esses jogadores usando a camisa do Santos,há 1 ano,0,
esse Yuri Alberto eh ruim de mais soh assim pra fazer gol mesmo uahhuauhauha,há 1 ano,0,
Até o morto do Yuri fez gol que vergonha esse Santos 🤬,há 1 ano,0,1
2:40ckkkkkkkk,há 1 ano,0,
"O vídeo já começa com ""filho da puta"" KKKKKKKKK",há 1 ano,0,
"ja começa com um "" filha da puta"" kakakakakak",há 1 ano,0,
Isso é uma vergonha o santos perder para uma porcaria dessa!!,há 1 ano,0,
"Tem que interditar mesmo essa Vila Belmiro! É uma várzea isso aí! É chinelo voando, bengala, dentadura, bombas, sinalizadores...
Torcedor invadindo pra agredir jogador adversário! Um absurdo!",há 1 ano,1,
O GE tem um dos piores cortes de melhores momentos do YouTube. Simplesmente não adicionam diversos momentos de perigo no vídeo. Conteúdo preguiçoso,há 1 ano,0,
"Yuri ainda perdeu o gol kkkk, quem fez foi o sardinha",há 1 ano,0,
Pra vc ver como está ruim a situação do santos 😂😂😂😂😂🐔🐔🐔🐔🐔,há 1 ano,0,
O começo me quebrou man kkkkkkkkkkkkkkkkkk,há 1 ano,0,
0:04 que torcida amorosa 😅,há 1 ano,1,
Os caras perderam pro Corinthians 😂😂😂a situação tá feia msm!,há 1 ano,0,
"😂 O futebol é menos importante das coisas mais importantes que temos em nossas vidas, que coisa horrorosa essas cenas lamentáveis misericórdia 😂😂😂",há 1 ano,1,
Morto é o soteldo,há 7 meses,0,
Bela partida do ruan,há 1 ano (editado),1,
"Sou santista,  oh time ruim dos infernos,  nem os times tomará que vá disputar a segunda divisão. Não sei o que passa na cabeça de um torcedor para ir no estádio ver esse time!",há 1 ano,0,
O SANTOS ESTA RUIM MESMO PERDE PRA ESTE TIMEVDO CORINTHIANS,há 1 ano,0,
"Enquanto não punir as pessoas diretamente nunca irá parar de acontecer, mas não se aprende!",há 1 ano,0,
"Bater em morto e facil, agora contra o são paulo tomaram um amasso da porra",há 1 ano,0,
Quando nois vai ganhar umas,há 1 ano,0,
A torcida esta certa ....,há 1 ano,0,
02:44 é só o cara começar a elogiar que os caras fazem uma cagada 😂😂😂,há 1 ano,0,
santos virou nosso filho,há 1 ano,0,
Cassio salvando pq a zaga é uma mãe espaço de 2 metros do adversários sempre.,há 1 ano,0,
"O vídeo já começa como ""filha da put@@@""😂",há 1 ano,1,1
O MAIO DE SAO PAULO PERDEU KKKKKKKKKKKKKKKKKKKKKKKKKKKK,há 1 ano,0,
Vaiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii Corinthians  aaaaaa,há 1 ano,0,
Por favor alguém vende o Yuri Alberto pra comprar um atacante pra ajudar Calvo Guedes?,há 1 ano,0,
"Eu já vi o Corinthians sofrer muito com santos em 2005 Robinho não tinha aliviado na minha infância não , deixo menino aqui bem revoltado kkkkkkk então Fodase",há 1 ano,0,
"Vai corinthians, aqui é Corinthians",há 1 ano,0,
"ESSE YURI ALBERTO É RUIM
TEM QUE ATRAVESSAR O CAMPO DE JOELHO MESMO.",há 1 ano,0,
O TAL DO TORCEDOR É UM IDIOTA MESMO. BRIGANDO POR CAUSA DE MACHO KKKKKKK.,há 1 ano,0,1
RECEBAAAA CORINTHIANS NA AREA PRO GOL O TIMAO NAO DESISTI OLHA QUE SORTE AINDA SANTOS FEZ UM GOL E NAO VALEU. KKKKK BORA TIMAO AQUI TEM UM BANDO DE LOUCO LOUCO POR TI CORINTHIANS CÁSSIO FEZ TAM BEM UM MONTE DE DEFESA E OS TORCEDORES NAO ACEITA A PERCA,há 1 ano,0,
Que MANÉ  gigante as galinhas do pq sao jorge kkk,há 1 ano,0,
Yea kkkkkkkk😂,há 1 ano,0,
Kkkkk,há 1 ano,1,
Apoiem seus jogadores😢,há 1 ano,0,
Já começa com uma pessoa com a voz parecida com a da mc pipokinha soltando um palavrão. 😂,há 1 ano,0,
"PARA EVITAR MAIS ACIDENTES COMO ESSE, O PRESIDENTE PODERIA FAZER MAIS ASILOS",há 1 ano,0,
Mais uma daquelas vitorias para dar falsas esperanças ao corintiano.,há 1 ano,1,
"0:04 ""fdp"" KKKKKKK",há 1 ano (editado),0,2
tam em crise ? chhama o santos,há 1 ano,0,
"P.... nos cariocas so tem briga de jogador e festa da torcida quando a torcida faz aquele mosaico e canta sabe, agora em são Paulo tem isso ai o, atorsida e qm encerro o jogo kkkkk",há 1 ano (editado),0,
Idosos e furiosos!,há 1 ano,0,
Atlético xflu,há 1 ano,0,
Brasileira ao 2023,há 1 ano,0,
Ancelotti entrara na seleção até 2024...,há 1 ano,0,
"No começo do video o cara faluu ""filho da puta"" kkkk",há 1 ano,0,
Yuri voltando,há 1 ano,0,
"O Corinthians está melhorando,nas ainda precisa chutar mais a bola no gol 😊",há 1 ano,11,
DEPOIS QUER JOGARAM PEDRA NO ÔNIBUS DO CORINTHIANS TIME MELHOROU,há 1 ano,0,
FILADAPUTÁÁÁÁ😅,há 1 ano,0,
"Pergunta que não quer calar, como entra tanta bomba num estádio? Poderia ter entrado uma AK 47 que tava de boa, entra durante ou antes eu não sei, mas é algo tenebroso.",há 1 ano,1,
"Torcedor do Corinthians com fogos: Bandido, maloqueiro, sem vergonha e vagabundo.
Torcedor do Santos com fogos: Ah deixa eles, já são velhinhos, nem lembram mais o que fazem, tão no fim da vida, deixa eles brincarem.",há 1 ano,1,
GANHAMOS ALELUIA,há 1 ano,0,
Santos vai cai pra serie b😅,há 1 ano,1,
Kkkkkk,há 1 ano,0,
 @isadoracristina8277  kkkkkk,há 1 ano (editado),0,
"É impressionante como o corinthians sofreu após o segundo o gol. Tudo bem que ganhando de 2x0 é normal um time limitado recuar. Mas ofereceu muito espaço ao Santos e só não tomou gol pq o Cássio fez boas defesas. E o Yuri Alberto é muito ruim. Um gol completamente cagado, sem habilidade nenhuma. Estando livre na área, conseguiu dar um chute fraco e que o zagueiro do santos só não tirou pq é outro jogador ruim.",há 1 ano,0,
O melhor ganho vai corinthians,há 1 ano,0,
Que jogo meus amigos 🖤🤍,há 1 ano,0,
Timinho mesmo esse santos kkkk,há 1 ano,0,
QUANDO A FIEL COBRA FRACÁSSIO E PANELINHA JOGAM❗️🤣🤣🤣,há 1 ano,0,
Já estou conseguindo ver o primeiro rebaixamento do santos na série a que time ruim da porra véi kkkk😂,há 1 ano,0,
"Normal, o gigante venceu o time pequeno",há 1 ano,0,
Era pra ser 7x1 😅😅😅,há 1 ano (editado),0,
Pressão fez efeito 😂,há 1 ano,0,
Enquanto tiver Blaze na camisa do Santos já sabe né.,há 1 ano,0,
"Yuri Alberto pra comemorar gol é um leão né ? Coitado , sabe que é um evento demorado ao longo do ano",há 1 ano,0,
Chora santinho chora kkkkkkk chorar 😭,há 1 ano,0,
It is sad being a Santos fan this year....,há 1 ano,0,
Esperamos que agora possamos engrenar e conquistar várias vitórias. E saímos definitivamente desta Zica que nos vinha perseguindo. Vai Corinthians,há 1 ano,3,
Confronto direto ai pra ver quem não é rebaixado 😂😂😂,há 1 ano,0,
"caramba esse Mendoça é fominha hein, toca neim... ainda bem que nao quis vir pro sao paulo",há 1 ano,0,
"MSM COM ESSE GOL, VENDE O YURI PFVR",há 1 ano,0,
No começo do vídeo o cara xingando kkkkkkk😂😂,há 1 ano,1,1
Santos vai de mal a pior vai ser rebaixado.,há 1 ano,0,
Time sem vergonha,há 1 ano,0,
Kkkk,há 1 ano,0,
Sempre foi assim não tem como muda só uma segurança mosnttra mesmo,há 1 ano,0,
"mano esse cara que edita esses melhores momento merece uma pizaaaaa, o cara tira a parte que o cara grita gol, kkkkkkkkkkkkkkkkk",há 1 ano,1,
"Bicho, esse time do Corinthians é uma bagunça.
Como jogam mal.
A vitória valeu, mas o desempenho foi terrível. 
Uma hra vai precisar jgar bem pra poder ganhar, aí que vai da merda.
O Santos não cai, certo disso.",há 1 ano,0,
CURICA ROUBANDO COMO SEMPRE ROUBOU ATÉ O SANTOS FC KKK🦜VAI CURICA,há 1 ano,0,
Jogo de foice e facão kkkkkkk,há 1 ano,0,
"Dois times bostas
Jogo horrível",há 1 ano (editado),1,
Santos já era ! Timinhu de serie B,há 1 ano,0,
Aqui é Corinthians pó,há 1 ano,0,
"Classico paulista entre o ruim e o pior,...mostrou q o Santos é o pior, mas seu elenco custa muito menos q o Kurintia, time rico, porém pobre.",há 1 ano,0,
Vai Corinthians ❤❤❤❤,há 1 ano,0,
Sensacional ❤❤❤,há 1 ano,1,
Lamentável o quê aconteceu ontem na vila Belmiro não sou nenhum dos 2 muito importante essa vitória do Corinthians.,há 1 ano,0,
"Jogador mais ingrato que o Bagre Alberto não existe 
Quando fizer gol contra o Corinthians um dia vai se matar comemorando tbm",há 1 ano,0,
"Perder pro Corinthians é feio
Mas tomar gol do Yuri Alberto já é humilhação",há 1 ano,0,
Corinthians,há 1 ano,0,
Corinthians tirou o pé,há 1 ano,3,
Cadê o lance do Biro? Melhores Momentos ridiculo.,há 1 ano,1,
"Sou Corinthiano 🖤
Mano o Corinthians ganhando fora de casa num clássico
Com gool de yuri Alberto é pra fechar o caixao mesmo 
Louco pra ver esse peixe 🐟 morto na série b 👻💀🤣🤣",há 1 ano,1,
"O video ja começa com alguem indignado ""filha da put4"" lkkķkkk",há 1 ano,0,
Parabéns Corinthians 🙌👏🦅,há 1 ano,0,1
"Ganhar do Santos é fácil, o difícil é perder",há 1 ano,0,
Agora a diretoria vai esperar outros entrar na concorrência para contratar o Juan,há 1 ano,0,
"Santos e um grande clube, sei Que está numa sintuaçao ruim mas aqui é Corinthians sempre! Cássio pegou muito esse jogo, pra cima coringao🦅🖤",há 1 ano,2,2
"Primeiro tempo timão foi melhor, segundo tempo tava mais fácil sair o primeiro do Santos do que o terceiro do Timão, mesmo assim, fizeram a lição de casa ❤",há 1 ano,2,
"Pão e circo.
Prestem atenção no que a política está fazendo,no próximo semestre vamos estar todos lascados",há 1 ano,0,
0:28 olha esse domínio e essa finalização. Não dá para acreditar que é o mesmo Yuri Alberto. Se um cara domina uma bola fácil dessa desse jeito e dá esse chute em um rachão de amigos já seria motivo de risada. Mas aí você olha e vê que quem fez foi o 9 titular do Corinthians.,há 1 ano,5,
Vai Corinthians 🤍,há 1 ano,1,
"Estão ecomomizando na pra poder pagar a conta de luz, que fase...",há 1 ano,1,
Mano que arrancada do Fagner slc,há 1 ano,0,
É uma vergonha essa torcida de véio,há 1 ano,0,
E mais uma vergonha para a nossa coleção. Já vou ter que comprar um novo lugar para guardar tantas e tantas vergonhas que esse time tem feito nesses últimos anos,há 1 ano,0,
