text,time,votes,replies
Disputa acirrada! Curtiram a partida?,há 1 ano,299,27
"Hoje o placa foi o ao contrário, e na casa deles
BBMP 🩵❤️🤍",há 3 meses,1,
Parabéns Botatogo Patrick de Paula 🤩🤩,há 6 meses,1,
Bahia e lider da copa do Nordeste,há 9 meses,0,
muito bom fogão!!!,há 9 meses,0,
Ver esse  time é lindo demais!!!,há 9 meses,0,1
Fui o ultimo a comentar,há 9 meses,0,
"Os dois gols do Botafogo saíram de tabelas feitas com perfeição pelo Tikinho Soares, que não fez nenhum gol nesse jogo, mas que foi fundamental.",há 11 meses,0,
Botafogo sempre botafigo 🖤🖤,há 11 meses,0,
"Não sou Botafogo, mais depois dessa vitoria em cima do Bahia o Botafogo disparou até hoje é líder",há 11 meses,0,
Eu to amando esse Brasileirão cada jogão foda e com os times jogando bonito,há 1 ano,0,
SE Ô BAHIA CONTINUAR DESSE JEITO COM ESSES PERNAS DE PAU JOGANDO MAL VAI VOLTAR PARA SEGUNDA DIVISÃO DE ONDE NÃO DEVIA TER SAIDO E VERGONHOSO DEPOIS Ô TÉCNICO E QUÊ NÃO PRESTA QUE NA VERDADE SÃO OS JOGADORES QUÊ SÃO PERNAS DE PAU SE NÃO MELHORA VAI CAIR CEDO SEM REN REN REN.,há 1 ano,0,
Esse timinho do Bahia num ganha nem do fraco bota fogo magina dos times que já anos Tam na elite vai vouta pra b de novo,há 1 ano (editado),0,1
Bahia não eh time  de respeito  😂😂,há 1 ano,0,
sou um torcedo do bahia e duro ver um inicio de campeonato assim desde que agente foi eliminado da copa do nordeste sabia que no brasileirao A nao seria facil pra nos mas o time ta bem montado e vamos mostra um melho resultado nas proxima partida Bora baheaaa💙,há 1 ano,0,1
O maior do rio ganhou de novo,há 1 ano,2,
Botafogo é pequeno 🤏,há 1 ano,1,1
"O time do Bahia é bom , so que perde muitos gols",há 1 ano,0,
OH botafogo pode esperar a sua hora vai chegar!,há 1 ano,0,1
😢 Corinthians tá ruim mano,há 1 ano,0,
"Não, péssima partida de dois elencos limitados",há 1 ano (editado),5,
"Sabia q ia ser difícil, mas o importante são os 3 pontos",há 1 ano,18,
Curti não pois jogaram dois times pequeno 😂😂😂😂,há 1 ano,5,
" @caganel  Para de geme, tá gemendo muito alto",há 1 ano,0,
"Partida mais ou menos, toda via valeu demais pelos dois golaços do glorioso Botafogo. A partidas nem sempre vai ser espetacular, no final das contas e do jogo o que interessa são os 03 pontos praça. Estamos juntos e fogo neles !🔥🔥🔥🔥🔥🔥🔥🔥🔥",há 1 ano,9,
