text,time,votes,replies
"E aí, a vitória do Bahia foi boa pro seu time? 👀👀👀 
🌟 Assine Premiere: 
https://gplay.la/ytgepremiere",há 1 ano,319,107
Borabahia,há 2 semanas,0,
Nesse dia a bola entrou mano,há 3 semanas,1,
😅kkkkkkkkkkk,há 1 mês,0,
Nossa o Bahia ta parecendo a roupa do fortaleza,há 1 mês,0,
Go e do bahia,há 2 meses,0,
Quero o gol do Thaciano no jogo do Bahia x Palmeiras na 11° rodada do campeonato brasileiro de 2023,há 4 meses,0,
Baheeéa tem treinar laçamentos medievais,há 6 meses,0,
😢,há 6 meses,0,
"Obrigado, Deus",há 7 meses,0,
quem acreditava no título?,há 7 meses,0,
"Por causa desse jogo, onde teve pênalti não marcado, atacante do Palmeiras perdendo gol na cara e aquele lance que ninguém sabe até hoje se a bola entrou ou não... Por causa desse jogo o Santos foi rebaixado",há 7 meses,0,
"Meu Deus que 2 zagueiro ruins nós temos , canu e Vitor Hugo como batem cabeça , se posicionam mal pra burro , só dar bote errado",há 7 meses,0,
FOI    GOL,há 7 meses,0,
0:45 já pararam pra pensar que esse gol poderia ter salvo o Santos no final do campeonato?,há 7 meses,0,
Parabéns Palmeiras Rony 🇧🇷🇧🇷,há 7 meses,1,
Foi gol para o Palmeiras,há 8 meses,1,
Gol roubado do palmeiras 0:47 0:58,há 9 meses,0,
Eu vil a bola entra quando u arthur  chuto,há 9 meses,0,
"hehe brasimeirai7sem juiz pra fasrr merd.. não vale
meteram a mão no verdão na cara lisa de sempre foi golasso 
cde o var 
e uma piada esses árbitros",há 9 meses,1,
Tudo normal ganhou o maior,há 1 ano,39,
e Claro Vencemos O Melhor Elenco da America,há 1 ano,12,
"Já tinha Palmeirense falando que o palmeiras ia amassar o City no mundial, mas se não conseguiu amassar o Bahia - City, imagina o City do guardiola🤣",há 1 ano,53,
Esperando a porcaiada😂,há 1 ano,16,
Palmeiras não tem mundial o 51 é pinga kkkkkkkkkkkkk,há 1 ano,14,
"nenhuma surpresa, o que tem copa do nordeste ganhou kkkkkkkk",há 1 ano,7,
"É triunfo, TRIUNFO 
T R I U N F O
T-R-I-U-N-F-O",há 1 ano,30,
Sla kkkkk,há 1 ano,1,
Tranquilo o maior venseu,há 1 ano,8,
Palcachorra gosta de ver ó Malvadão atrás deles,há 1 ano,14,
"Vim parabenizar a torcida fodastica do gigante flamengo, que comprou em poucas horas todos os ingressos do seu setor lá em Brasília, bem diferente da torcidinha regional do porquinho, que ficou sobrando 10mil ingressos. Vide no Uruguai, em que a torcida fodastica do gigante flamengo era 3 pra 1. Isso mesmo 3 pra 1.o dia que esse porquinho dependente da crefisa, depender dessa torcidinha medíocre, vai morrer de fome 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂. Srn, a mais fodastica e fiel do Brasil.",há 1 ano,4,
varmeira só ganha com ajuda da arbitragem esse nanico,há 1 ano,0,
Foi,há 1 ano,1,
*Triunfo,há 1 ano,3,
Sim com certeza 👍,há 1 ano,1,
Vitória é time cú aqui é Triunfo,há 1 ano,0,
​ @DrecaJr flamengo atual campeão da libertadores man,há 1 ano (editado),5,
​ @DrecaJr Bahia é gigante!,há 1 ano (editado),8,
"Peppa não tem Mundial, Bi-Rebaixado, ótima derrota kkkkkkkk",há 1 ano,4,
"Vitória não, Triunfo 😂",há 1 ano,2,
Trinfo vu,há 1 ano,2,
"TIMÃO GANHA DE 2 X O E AS PEPAS PERDE DE 1 X 0 É MARAVILHOSO KKKK 
E AINDA NÃO DERAM 1 GOL....TÁ LINDO AMANHÃ TEREMOS MUITA RESENHA NA RENATA FAN KKKK😂",há 1 ano,3,
Triunfooo!,há 1 ano,2,
B 🔥 O 🔥 T 🔥 A 🔥 F 🔥 O 🔥 G 🔥 O,há 1 ano,5,
Triunfo,há 1 ano,2,
Triunfo**,há 1 ano,2,
"TRIUNFO ADM, TRIUNFO.",há 1 ano,1,
"TRIUNFO

T - R - I - U - N - F - O",há 1 ano,1,
Foi bom pro malvadão,há 1 ano,2,
"Vitoria nao por favor, TRIUNFO!",há 1 ano,1,
É triunfo sua desgraça,há 1 ano,0,
