text,time,votes,replies
1:35 volta logo😢😢,há 2 semanas,2,
Sou do futuro o vasco em 2024 tá em nono,há 3 semanas,0,
as vezes eu volto aqui só pra lembrar como tudo começou… obrigado vegetti,há 1 mês,0,
Que narração espetacular,há 1 mês,0,
Camisa negra do Vasco fazia falta nesse tempo 😢,há 3 meses,0,
Do palmeiras vcs não ganharam né? Título 1 a zero no Grêmio 😂clube de piscina,há 3 meses,0,
Vasco  2 x 1 Grêmio,há 4 meses,2,1
Vasco 1 x  0 Grêmio,há 4 meses,1,
A partir dessa frase o Vasco não caiu mais e ficou na série a em 2024,há 4 meses,1,
vascooooo,há 5 meses,0,
"E foi desse jogo que voltou as glórias do Vasco
 em 2023 e 2024",há 6 meses,1,
O vasco é pra quem acredita.,há 6 meses,1,
Dia 30 de dezembro e eu comemorando esse gol igual no dia do jogo kkkkkk,há 7 meses,4,
"Que giro do pistoleiro,  mt rápido!      
Mas graças a Deus  deu Vasco 😅😅😅",há 7 meses,2,
Nesse dia eu voltei acreditar no meu vasco,há 7 meses,3,
aí começou a virada de chave do vascão,há 7 meses,4,
TUDO COMEÇOU AII,há 7 meses,0,
O Vasco e o time da virada do amor e nosso❤,há 7 meses,0,
"Revendo hoje dps do fim do campeonato, o vasco é pra quem acredita!",há 7 meses,0,
"Apartir desse jogo começou a verdadeira luta do Vasco contra o rebaixamento , esse gol essa narração entra para a história do Vasco e de arrepiar !!",há 7 meses,0,
O mano acertou.,há 3 meses,0,
onde tudo começou....,há 7 meses,0,
Fui às lágrimas com esse gol e com a narração 😭,há 8 meses,0,
"E foi aqui que o vasco Acordou

Primeiro gol do centro avante Vegetti, que foi um dos melhores do Campeonato.

O esquema do novo técnico começa a se encaixar melhor nesse jogo, apesar do empate até os 46 minutos (levando em consideração que o jogo foi contra o time que acabou como vice colocado, é normal).

Pec e Léo Jardim dando o sangue, assim como foi em todo o campeonato. 

Esse time do Vasco só brigou tanto lra não cair, por que ficou um turno inteiro perdendo quando o principal problema claramente era o técnico Barbieri. Apesar disso não se contratavam novos jogadores nem se demitia o técnico.

Foi difícil, mas o vasco não caiu.",há 8 meses (editado),1,
Depois desse jogo muita coisa mudou 😍❤,há 8 meses,32,1
"O inicio da caminhada, e no bajo",há 8 meses,0,
É pra acreditar mesmo essa narração não dá pra esquecer,há 8 meses,0,
"Vamo,vamo gremio❤",há 8 meses,0,
"Vegetti, Payer, Lucas Orellano e alguns outros são bons, só que este Grêmio tem ótimos jogadores também.",há 8 meses,0,
Apareceu o vídeo e Achei q o Vasco tinha ganhado do Grêmio 🤣,há 8 meses,2,1
A cobrança de lateral aos 2:50 não tem que ser com os dois pés encima da linha?,há 8 meses,1,
Precisamos de vcs de novo jogadores do gremio 1a0 pro VASCO tabom,há 8 meses,3,
Fui,há 9 meses,0,
O início da remontada💢,há 9 meses,1,
Até hj eu arrepio com essa narração,há 9 meses,0,
Foi Nesse Jogo Que Tudo Mudou,há 10 meses,3,1
Que narrador foda❤,há 10 meses,1,
2:21 GOOOOOOOOOOOOOL DO VASCO! 💢 VEGETTI 💢 O VASCO É PRA QUEM ACREDITA!,há 10 meses,3,
Eu Sou Cruzeirense Mas Desejo Que O Vascão  Tenha Muito Sucesso No Futebol ⚽,há 10 meses,2,
"Nunca vou esquecer esse jogo, no dia do meu aniversário eu tinha viajado atrasei a volta pra ver esse jogo que dia ficou marcado na minha vida...",há 10 meses,3,1
Meu timão,há 10 meses,1,
Muita coisa MESMO,há 8 meses,8,
Haha;,há 8 meses,0,
vim ver esse comentário kkk,há 10 meses,0,
"Que legal mano felicidades, bom q nosso vasco ganhou ne",há 10 meses,0,
Geman cano deveria ficar no vasco,há 11 meses,0,
RESPEITO H...!!!🤍🖤💢,há 11 meses,3,
O Vilanni já pode narrar todos os jogos do Vasco 😁,há 11 meses,2,
o impossivel aconteceu ent o mbappe pode ir pro flamengo?,há 11 meses,0,
Essa bruna ferraz não pode ver um clube do sudeste que já abre as pernas,há 11 meses,0,
02:46 quase foi replay de 1996,há 11 meses,2,
Pra cima CONTRA TUDO E TODA ESSA MIDIA SUJA GIGANTE.💢👊🏻😎💎,há 11 meses,3,
É  hoje dia 14,há 11 meses,0,
"46 minutos do segundo tempo o Vasco ganhando de 1 X 0 afundado na última posição,  escanteio para o grêmio e o Miranda com as mãos nos joelhos só olhando o movimento e quase o Vasco leva o gol do empate.  Se sai o gol do grêmio tinha que pegar esse Miranda e mandar sumir do Vasco.",há 11 meses,1,
por que o Vasco tá sem torcida?,há 11 meses,0,1
Aqui é Vasmeiras!,há 11 meses,0,
VASCO 💢🖤🤍,há 11 meses,2,
Vascooo valeu time  🎉🎉🎉🎉🎉🎉🎉🎉🎉 feitoooooooooooooooo kkkkkkkk kk k,há 11 meses,1,
"# AQUI NO BRASIL O DINHEIRO 💸 COMPRA TUDO#
Renato Gaúcho olha ai seu flamenguista.
Aprendi com o Olímpia do Paraguai como ganha do flamengo, vc em casa perde de 2x0 para o Flamengo.
Renato Gaúcho é muito flamenguista.",há 11 meses (editado),1,
Vegetti combina com o Vasco!,há 11 meses (editado),2,
Grêmio 🍿 vendido!,há 11 meses,1,
Grêmio perdeu muitas chances vivas . Esse centroavante foi uma boa para o Vasco.  O resultado foi bom para o vasco,há 11 meses,1,
Que narrador...,há 11 meses,0,
Sim o vasco e pra quem acredita,há 1 ano,0,
Estamos todos felizes agora vai Vascão 💢,há 1 ano,0,
Tu mora numa caverna e? Devia tá sabendo das notícias,há 10 meses,0,
Valeu meu vascao em 2011 ganhou dele la em cima e esse ano ganhou dele de novo 2023 com o time melhor esse que eo time desconhece dificuladades,há 1 ano,0,
eu sou vascaíno,há 1 ano,0,
0:24 AUAUAUAUAUAU,há 1 ano,0,
Oh campeao voltou valeu vascao,há 1 ano,0,
Te amo Vasco 🖤🤍,há 1 ano,0,
Cremio ta fraco😂😂,há 1 ano,0,
