text,time,votes,replies
O que acharam da partida?🤔,há 11 meses,108,47
Feliz por ter ido neste jogo e estar no minuto 1:49 bem no cantinho 😊,há 4 meses,0,
O que esse goleiro do Vasco joga e um absurdo que goleirao o Léo jardim,há 4 meses,0,
Parabéns VASCO 2025 Nenê,há 8 meses,1,
Ate hoje eu fico incrédulo com o daronco ficando SEIS MINUTOS no var olhando um chute claro no pé do vegetti,há 8 meses,1,
O Vasco Tá Melhorando.,há 10 meses,1,
Maluco o Daronco de frente pro lance kkkkkkkkkkkkk,há 11 meses,0,
Vasco vai da trabalho 2° turno,há 11 meses,1,
Vasco é invejoso e quer jogar no Maracanã tira inveja😮,há 11 meses,0,
RBB 1X1 VAS,há 11 meses,0,
Gigante da colina se reergendo,há 11 meses,0,
"Vasco, lider em levar gol nos ultimos minutos.",há 11 meses,1,
Vasco tá evoluindo,há 11 meses,6,
O Orelano do Vasco perdeu uma chance clara de ampliar o placar,há 11 meses,0,
Pelo menos o Vasco saiu de Bragança com um empate,há 11 meses,1,
Grande Vegetto,há 11 meses,0,
Louco e sonhador,há 11 meses,0,
Ue geracao que nao sabe um fundamento basico de futebol nao se corta pro meio da area ( saconteca o que acontecer se vira e nao corte pro meiobda area )nao se inverte bola no sru Campo de defeat etc,há 11 meses,0,
"Eu sou de Minas, mais zoei muito o vasco.",há 11 meses,0,
"Rapaz , se não o goleiro do Vasco , o time ia ser goleado",há 11 meses,0,
Vergonha um time de tradição como o Bragantino empatar com esse timeco do 🅱️asco,há 11 meses,7,
Bragantino empatando com o vasco kkkkkkkkkk time ruim da porra,há 11 meses,5,
​ @CalebePereira-ty7zx oxe o flamengo perdeu de 4x0 😐,há 11 meses (editado),27,
Horrível,há 11 meses,1,
​ @luanacam esse timeco do Vasco ganhou de vcs na primeira rodada,há 11 meses (editado),7,
ruim,há 11 meses,0,
​ @maxwell.the.youtube por isso mesmo como que o bragantino ganha do varmengo e empata com essa merda do 🅱️asco,há 11 meses (editado),0,
Jogo do tetra rebaixado contra um série C,há 11 meses,2,
Bom jogo. Vasco melhorou um pouco mais. Ramon Diaz fez maus experimentos.  Creio q no próximo jogo o time titular será finalizado.,há 11 meses,13,
 @luanacam  E NOS GANHAMOS DE VOCÊS COM ESTÁDIO CHEIO NO MINERAO KKKKKKKKKKKKKKKK 😂🤣🤣🤣 E VAMOS GANHAR NO MARACANÃ,há 11 meses (editado),1,
@@amanda.a. flamengo 4x1 bragantino  campeonato brasileiro 2022,há 11 meses (editado),2,
Eu acho que o Daronco nunca mais deve apitar o jogo do Vasco. Vergonha!,há 11 meses,8,
" @luanacam  GALINHAS....VCS ESTÃO NO MESMO NÍVEL DO BRAGANTINO MESMO!!! SEM HISTÓRIA E SEM TORCIDA!KKKK
LEVARAM 50 ANOS PRA GANHAREM O SEGUNDO BRASILEIRO!KKKK
COMEMORARAM BODAS DE OURO NO SEGUNDO TÍTULO BRASILEIRO!
GALINHAS, VCS APANHARAM DENTRO DO GALINHEIRO EM MG!KKKK",há 11 meses (editado),0,
​ @luanacam vc não tá querendo dizer q o bragantino é maior q o Vasco não né? E nem mto forte é o elenco do bragantino,há 11 meses (editado),2,
​ @rangCRF isso não muda o fato de vcs ter tomado 4a0  q não muito tempo,há 11 meses (editado),2,
 @rangCRF  tem moral d zoa meu  sobre série b não série b de 95 que mamãe cbf mudou o regulamento pra vcs não cai sem estádio e sem mundial copa Toyota não é mundial e sim marca de caro,há 11 meses (editado),2,
 @evertoncantor9919  quem disse que não temos mundial? Os campeoes da copa toyota de 1960 a 2000 são considerados campeoes mundiais pela fifa e a cbf mudou o regulamento mas não estava ajudando o flamengo.,há 11 meses (editado),2,
DARONCO LADRAO,há 11 meses,0,
Foi um jogo fraco,há 11 meses,1,
Vasco volto da uma animada no time,há 11 meses,1,
​​ @CalebePereira-ty7zx ganhou do gremio esse time ruim ta evoluindo pra  bom,há 11 meses (editado),1,
​ @luanacam vasco e maior do que seu galo e o bragantino,há 11 meses (editado),2,
 @rangCRF  lembrando que o flamengo perdeu de 4 a 0,há 11 meses (editado),2,
"​ @luanacam Verdade!
Teve um certo time aí,  que levou de 4 😂",há 11 meses (editado),2,
 @luanacam  Que venha o menor de Minas agora!,há 11 meses (editado),0,
@@amanda.a. e vcs perderam de 4 a 1. Kkkkk,há 11 meses (editado),1,
Ótima,há 11 meses,0,
 @givanildosouza6343  Vai dar empate. Um time ruim contra o outro 😂😂😂,há 11 meses (editado),0,
Bragantino é só um estorvo 😂😂😂,há 11 meses,1,
 @Daniel__2  o pior ainda é um idiota como tu comentando.,há 11 meses (editado),0,
 @vanildafelix6600  lembrando que o flamengo meteu 4 no vasco,há 11 meses (editado),0,
