text,time,votes,replies
"Vamooooooooooooo papmeiras
❤❤❤❤❤❤❤❤❤",há 1 mês,0,
𝙿𝚊𝚕𝚖𝚎𝚒𝚛𝚊𝚜,há 3 meses,0,
Palmeiras 🌴,há 5 meses,0,
VAI VERDĀO💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚 PALMEIRAS,há 6 meses,1,
O Palmeiras e o melho de todos o times,há 8 meses,1,
LuisA19,há 8 meses,0,
Palmeiras 💚,há 9 meses,0,
"😊
_○❤
¡  \
1:59",há 9 meses,0,
"IMPÉRIO ALVIVERDE, JOGADORES VAGABUNDOS",há 9 meses,0,
Vamo Palmeiras,há 9 meses,0,
"Sir Gustavo Gomes perfeito. Enquanto algum só que fazer gol de bicicleta. Outro volta da seleção medíocre com o ego inflado , ele Sir Gustavo Gomes vai fazendo seus gols.",há 9 meses,0,
"Gol de bola parada e outro com um chute que nem o goleiro acreditou , ainda acho que o Palmeiras precisa melhorar no ataque",há 9 meses,1,
Câmera seca de longe nem mostra os replays,há 9 meses,0,
Deliciosa a apresentação do grande espetáculo futebolístico  exibido pelo Palmeiras. Emoção pura ! 😎❤👩‍🦰😎❤👩‍🦰😎❤👩‍🦰😎❤👩‍🦰,há 9 meses,2,1
"O Palmeiras se apertar os adversários pode ainda ser campeão brasileiro, depende deles,  ou todos com bragantino ser campeão, melhor coisa que poderia acontecer.",há 9 meses,0,
L,há 9 meses,0,
"Verdão vence fora de casa
   24/10/23",há 9 meses,0,
Piqueres ta jogando de mais sempre atento focado ate antes das liberta ❤,há 9 meses,3,
💚GG MANO GANHAMO PARA SEMPRE🗿,há 9 meses (editado),0,
"O maior verde infelizmente perdeu, forças Coritiba",há 9 meses,0,
Pelo visto vc ama a palavra espetáculo kkkkkkk 😅,há 7 meses (editado),1,
E a vergonha continua,há 9 meses,0,
Do Coritiba ate o time da interclasse ganha 😂,há 9 meses,1,
Palmeiras 2 x 0 Coritiba não derrota 🤦,há 9 meses,1,
Palmeiras sufocado pelo Curitiba 😅,há 9 meses,0,
"É uma vergonha esse time. Estamos numa fase onde atacantes não fazem gols. Palmeiras virou um aterro sanitário com porcarias como Marcos Rocha, Luan, Breno Lopes e o megaenganador Rafael Veiga, um morto em campo.",há 9 meses,0,
Vai palmeiras,há 9 meses,0,
Time caiu muito de produção,há 9 meses,0,
O Veiga surgiu pro futebol atuando pelo Coxa.,há 9 meses,0,
"Breno Lopes, melhor zagueiro do Coritiba 😒",há 9 meses,0,
Como ta jogando mal o Palmeiras que fase,há 9 meses,0,
"Coritiba é time morto, nem to surpreso que o Palmeiras tenha vencido.",há 9 meses,0,
Até que emfin né uma alegria pra nois 😅😅😅,há 9 meses,0,
Ataque do Palmeiras é uma piada. Responsa cai toda nas costas dos nossos zagueiros.,há 9 meses,0,
Vitória do Palmeiras 💚💚💚🤍🤍🤍,há 9 meses,0,
Pelo menos ela tá pegando uma vaga para libertadores 💚💚💚🤍🤍🤍,há 9 meses,0,
Golaço de piquerez 💚💚💚🤍🤍🤍,há 9 meses,0,
Vai verdão 💚💚💚🤍 🤍🤍,há 9 meses,0,
💚🤍,há 9 meses,1,
Foi só o rony ganhar um banco q o time volta a fazer gol,há 9 meses,1,
Vamo verdão 💚💚 e que golaço do piquerez,há 9 meses,0,
"Cara, esse time do Palmeiras é só cruzamento chuveirinho na área... Lembra MUITO o São Paulo de Rogério Ceni.",há 9 meses,0,
Gol legal do coxa,há 9 meses,0,
"qm mais fazem  gols nesse time é lateral e zagueiro , kd os ''atacantes'' desse time ? rony é uma piada , b.lopes faz gol á conta gotas ,  jogador de serie B ,   temq passar uma vassourada nesse time , começando pelo ataque , mas com leila e anderson barros ?  tamo é mt fodidos mesmo , se vier um campeonato paulista ano que vem ,  lambam os beiços",há 9 meses,0,
A meta desse ano pro Palmeiras é garantir vaga na libertadores e botar os cara pra jogar bola de verdade igual antes,há 9 meses,0,
"feliz natal e um prospero ano novo ,  esse é o feeling , palmeirense",há 9 meses,0,
"Cara incrível como o ataque do Palmeiras tá peeeesssimo 
Se não fosse o Gomes pra resolver... Um zagueiro né... Nos tava lascado",há 9 meses,0,
"nossa sorte que esse time do coritiba e horroroso, palmeiras ganhou na cagada",há 9 meses,1,
E nois nação sempre,há 9 meses,0,
"Espero que o Coritiba nunca mais volte para série A, sobe e desce igual um oi oi , time sem planejamento de gestão de futebol ⚽.",há 9 meses,0,
Dddfttt,há 9 meses,0,
"Eu acho incrível como vocês não botam todos os lances, estão com medo de ficar grande o vídeo?
Eu gosto demais de assistir os melhores momentos, ver lances bonitos e todas chances criada, mas quem assiste só os melhores momentos perde muita coisa do jogo.",há 9 meses,0,
nao é possível.....precisa contratar um centroavante.,há 9 meses,0,
Esse 10 do coxa parece ser muito bom jogador 👏👏,há 9 meses,0,
"Eu não sei como desaprendi a jogar futebol,e outra coisa o time não tem jogada insaiada o treinador não sabe mais o que fazer",há 9 meses,0,
❤🐝🎂👹💚💚💙,há 9 meses,0,
"O São Paulo poderia tentar contratar o Slimane pro ano que vem, já que precisa se um outro centroavante além do Calleri.
Seria provável?",há 9 meses,0,
"O Palmeiras tem um problema serio no meio campo os 2 gols saindo de escanteio, isso é uma bosta😢",há 9 meses,0,
E essa bola que o Luan cortou no início do jogo. Cê é loko.,há 9 meses,1,
Pode vender Breno Lopes e Ronny pela mor de Deus não sabe fazer um gol e são secos pra fazer gol mais não sabe nem fazer gol pqp,há 9 meses,0,
Avantiii Palestraaa 💚,há 9 meses,0,
Que golaço do piquerez!,há 9 meses,0,
verdão 💚,há 9 meses,1,1
Meu Palmeiras teve mais sorte q qualidade kkkk,há 9 meses,1,1
Nunca pensei que o Breno Lopes seria Melhor do Palmeiras 😊,há 9 meses,0,
"Se tirar Gomes e Veiga desse time do Palmeiras, é brigar pra não cair",há 9 meses,1,1
"Agora o Palmeiras é bom, a bruxa do 51 é boa... É cada uma kkk",há 9 meses,0,
coxa foi roubado kkkk,há 9 meses,0,
Só ganha de time fraco 😂😂😂😂😂😂,há 9 meses,0,
Só o Galo 🐓 mesmo pra perder pro Coxa,há 9 meses,0,
Coritiba e América MG já estão planejando ano que vem na série B,há 9 meses,0,1
Meu Corinthians empatou com o último colocado 😔😔,há 9 meses,1,
