text,time,votes,replies
Parabéns Goiás Yan Souto 😍😍,há 6 meses,0,
Eu nem sou Bahia mas esse time do Bahia quando quer bota medo,há 9 meses,0,1
Goleiro do bahia mais preocupado com a barreira do q com defender o gol KKKKKKKK,há 1 ano,0,
Até o Gramado ta melhor agora que o Bahia virou Saf.,há 1 ano,0,
"Dois Times  que sempre  vão  brigar  para não  cair..😂😂😂😂😂
Não  sei pq disputam a Série  A..😂😂",há 1 ano,0,
Dava pro meu verdão ter ganhado.,há 1 ano,0,
Os jogadores do Baêa tem quer jogar com amôr é dedicação e garra pelo Esquadrão de aço BBBP City 🇨🇵🇨🇵🇨🇵🇨🇵,há 1 ano,3,
Arena Fonte Nova em Salvador,há 1 ano,0,
Renato Paiva saia do meu time d&sgr@çad0,há 1 ano,0,
Respeita o maior do centro oeste,há 1 ano,3,
DAVYD KEWSTHON DA ROCHA MAGALHÃES CANAL ge BAHIA 1 X 1 GOIÁS 7ª RODADA BRASILEIRÃO SÉRIE A 2023,há 1 ano,0,
Goiás,há 1 ano,0,
Enquanto isso...O meu Bahia segue perdendo muitos gols e pontos no Brasileirão 2023.... Pontos esses que podem fazer muita falta no Final do Campeonato.,há 1 ano,2,
certeza que o Bahia cai.,há 1 ano,0,
"Esse jogo ficou barato pro Bahia, Goiás teve chances demais...",há 1 ano,0,
GOIAZ 🔋,há 1 ano (editado),0,
🇧🇷  🇧🇷,há 1 ano (editado),0,
Bahia ta decepcionando e Parabéns ao Goiás pelo empate,há 1 ano,0,
"Coritiba perdeu ' Goiás e Bahia empatou meu timão 🖤🦅 ganhando amanhã ta ótimo 
Graças esses nanicos ai talvez nois não caia pra série b",há 1 ano,0,1
COMO PERDE UM GOL DESSE CARA A CARA COM O GOLEIRO MANO ???,há 1 ano,0,
Tu fala eu nem sou Bahia mas tá com a foto do tricolor,há 7 meses,0,
É mesmo é? Kkkkkkkkk,há 1 ano,0,
Bah 1x1 goi,há 1 ano,0,
Já passou da hora desse técnico sair.,há 1 ano,0,
Bola parada contra o Bahia tá sendo um veneno,há 1 ano,0,
Esse técnico do Bahia é horroroso,há 1 ano,0,
Série b 24,há 1 ano,0,
Com essa zaga horrível o bahia vão descer os cara e ruim de mais pqp,há 1 ano,0,
"O limite dos times das regiões Norte, Centro oeste e Nordeste é ganhar apenas títulos de campeonatos locais.
Quando jogam campeonatos nacionais são apenas coadjuvantes, simples figurantes.....",há 1 ano,2,3
"As pessoas que moram nas regiões Norte, Centro oeste e Nordeste tem motivos de sobra pra torcer para os times paulistas, cariocas, gaúchos e mineiros.                           
Porque são times protagonistas e por isso sempre se revezam no domínio do futebol brasileiro.....",há 1 ano,2,
Goleiro não pega uma,há 1 ano,0,
Se o Goiás nao perde os gols com esse horrível Gabriel novaes era pra ter sido uns 3x1,há 1 ano,1,
Esse gramado tá lindo,há 1 ano,0,
Barreira do Bahia vacilou hein!,há 1 ano,0,
