text,time,votes,replies
"Goleada do Palmeiras!🟢⚪🐽🐷 Palmeirense ainda acredita no título do Brasileirão?
🌟Assine o Premiere: https://gplay.la/ytgepremiere",há 9 meses,450,75
Goleada istorica do Palmeiras sobre São Paulo tomra que o Palmeiras da Goleada no flamengo amanhã também seria bom de mais,há 3 dias,0,
Eu gosto de ser palmeirense eu sou palmeirense,há 5 dias,0,
Pura manipulação,há 5 dias,0,1
Wdcfv. X❤ bebê Fofã,há 5 dias,0,
Como sempre adorando tomar sapecada e de 4 😂😂😂😂😂,há 8 dias,0,1
Freguês do palmeiras,há 9 dias,0,
O goleiro do São Paulo é frangueiro demais KKKKKKKK,há 10 dias,0,
GOLEADA HISTÓRICA INESQUECÍVEL A HUMILDADE VENCENDO A SOBERBA  FOI LINDO 💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚🐷💚,há 2 semanas,4,
O Palmeiras fazendo os gols com maior facilidade PALMEIRAS E PRA SEMPRE 💚💚,há 2 semanas,0,
Abel nao viu o baile que o caio paulista pegou,há 2 semanas,0,
"Besta é esses torcedores que gastam dinheiro, o emocional e ficam brigando por causa desses jogos de futebol todos combinados.",há 3 semanas,1,2
"Sem sacanagem, vc pode odiar, discordar, debochar e qualquer outra coisa do John Textor, mas assistir esses 3 lances (00:50 01:15 02:06) varias e varias vezes e em camera lenta é simplesmente a síntese do que ele fala sobre manipulação de resultados. A falta do Adrielson ser pra expulsao e essa do Raphinha não ser é um escárnio kkkkkk",há 3 semanas,0,2
1:13 no segundo gol do Palmeiras o narrador ia falar pra fora kkkkkkk,há 3 semanas,0,1
"2021 libertadores, Palmeiras 3x0 trickas ,2022 final do paulistinha Palmeiras 4x0 trickas ,2023 campeonato brasileiro Palmeiras 5xo trickas, 2024 Palmeiras 6x0 trickas? Kkkkk carregando....",há 3 semanas,0,
"2021 libertadores, Palmeiras 3x0 trickas ,2022 final do paulistinha Palmeiras 4x0 trickas ,2023 campeonato brasileiro Palmeiras 5xo trickas, 2024 Palmeiras 6x0 trickas? Kkkkk carregando....",há 3 semanas,0,
Vim aqui assistir novamente pra analisar se os jogadores do São Paulo entregaram mesmo... kkkkkkkkkkk,há 3 semanas,0,
Só mais um show no Allianz kkkkkkkkkkk😂😂,há 3 semanas,0,
voltando em 2024 só para apreciar mais uma vez a Pintura do gol do Piquerez!! Coisa Linda,há 4 semanas,1,
Piquerez e seus golaços 👏🏻👏🏻👏🏻,há 4 semanas,0,
"Varmeiras timeco só no apito amigo, deu sorte que jogou contra time pequeno",há 9 meses (editado),19,
"​ @luanacam cala boca torcedor do átomo mineiro, time que tá devendo até cueca.",há 9 meses (editado),25,
"Pra mim o Palmeiras não tem chance de título por enquanto, o foco é a vaga na libertadores ✌🏻",há 9 meses,14,
Pelo jeito o Palmeiras vai brigar pelo título do brasileirão 😥,há 9 meses,5,
Eu não mas estou feliz para caramba💚 avanti palestra,há 9 meses,4,
A única coisa que eu sei é que as casas de apostas ganharam e sempre ganham.. até que um dia elas desapareçam do mapa do nosso país do futebol,há 9 meses,3,
Esse piqerez joga demais,há 9 meses,4,
Mas e ai? Quem é o pai dos trikas? Piquerez ou Breno Lopes? Tem que fazer teste de DNA.,há 9 meses,4,
"VSF, ge!!! Vcs passam uma eternidade pra postar o jogo do Palmeiras, quando a gente ganha. Sabe nem disfarçar.",há 9 meses,5,
"eo 6 x 1?
eo 6 x 0?
eo 3 x 1?
eo 2x1 1x0 na copa do brasil?",há 9 meses,4,
​ @luanacam clb sabe nem nossa história do que esse teu time uma merda comparado ao cruzeiro,há 9 meses (editado),0,
"DORIVAL FICA INVENTANDO. LEVOU GOLEADA. GABI NEVES, PESSIMO. DORIVAL ACHA QUE MENDEZ IA RESOLVER O POBLEMA. NAO DÁ PRA ENTENDER O SÃO PAULO. SÓ JOGA QUANDO QUER.",há 9 meses,0,
"Mesmo assim,o Palmeiras continua freguês kk",há 9 meses,1,
É claro que ñ dá mais.,há 9 meses,1,
​ @luanacam time pequeno e o Palmeiras não tem mundial o sao paulo tem tres😮,há 9 meses (editado),1,
​ @luanacam sou flamenguista mas não teve nada de errado pela questão de arbitragem não,há 9 meses (editado),1,
"Não, o botafogo vai ser campeão🎉",há 9 meses,2,
 @hmmp72  vai mesmo e sou palmeirense.,há 9 meses (editado),0,
Palcadela deu sorte de jogar com atomo,há 9 meses,5,
Esse é o Palmeiras que todos os torcedores querem ver jogando dando shows e goleadas... trikas kkkkkk.,há 9 meses (editado),0,
​ @wilsonsantossilva1093 goleaaaaada nos trikas kkkkkk,há 9 meses (editado),1,
Palmeiras5X0 trikas kkkkk 😂😂😂😂😂 X😢,há 9 meses (editado),1,
cd o lucas o james e o Rafael?? kkkkk,há 9 meses,0,
 @corinthianssccp10  Falou o que empatou com lanterna em casa 🤣,há 9 meses (editado),0,
 @luanacam  Tu é torcedor dos galinhas não é?,há 9 meses (editado),0,
"Tomara que o Palmeiras, passa o trator no botafogo",há 9 meses,0,
​ @luanacam ganharam na cagada do Palmeiras 😅,há 9 meses (editado),1,
Ficou barato era pra ter sido 10 😅,há 9 meses,1,
​ @corinthianssccp10 Kkkkk vcs vão cair,há 9 meses (editado),1,
​ @Futedits924 só penalty.... expulsão,há 9 meses (editado),0,
Choque dos nanicos as Peppas chicoteou as Tricoletes,há 9 meses,0,
Que goleada boa verdão esse e meu time 💪💪,há 9 meses,0,
Kkkkkkkk com reserva e mais fácil,há 9 meses,0,
​ @isaquemartins1110 Fica quieto série B,há 9 meses (editado),0,
"Diferença entre palmeiras X São Paulo
São paulo 3 mundial palmeiras 0
São paulo 1 título esse ano palmeiras 0
Torcedor do palmeiras dando risada do 5 a 0
😂😂😂😂😂😂😂😂😂😂",há 9 meses,0,
No próximo jogo a gente ganha,há 9 meses,0,
E o mundial? Kkkkk,há 9 meses,0,
vai Corinthians,há 9 meses,1,
"​ @DISCENDENTE-ITALIANO nenhum é pai 😂onde tava eles na copa do Brasil? Caio paulista manda um abraço suas porquinhas 😂🤏🏻time nanico é assim quando ganha do maior do Brasil se acham tanto, continuam sendo nossos freguês 🤣🤣sem mundial 🤏🏻🤏🏻🤏🏻",há 9 meses (editado),0,
​ @luanacam falou o torcedor do Atlético mineiro kakakakakakaak,há 9 meses (editado),0,
"​ @luanacam  falou a torcedora do time que é nosso freguês na libertadores , vou ficar quieto pq o freguês tem sempre razão.",há 9 meses (editado),0,
Eu Acredito No Título Do Brasileirão 🙌👋💚,há 9 meses,0,
"Me impressiona a falta de vergonha na cara do Rafinha. Depois de dar uma cotovelada no rosto do adversário (o que já era motivo de expulsão), toma dois amarelos, é expulso e sai dizendo que o árbitro é palmeirense. É muito mau perdedor.",há 9 meses,0,
​ @luanacam irmão sou palmeirense sp e maior time do brasil cara,há 9 meses (editado),0,
​ @MuriloCRVG12 e os 7 títulos a 4 em cima de vcs?,há 9 meses (editado),0,
Golaço de piquerez,há 9 meses,0,
 @williampereira6935   tem tituli serie b,há 9 meses (editado),0,
"kkkkkk
 @luanacam ",há 9 meses (editado),0,
". 9
😅",há 9 meses,0,
"Sou flamengo e fico me perguntando: como que pode uma torcidinha do estado mais rico e populoso do Brasil, ser engolida pela torcida do gigante flamengo no Uruguai e no mane garrincha? No Uruguai era 3pra 1, que vergonha kkkkkkkkk. Como que pode um clube, ter ganho 4 brasileiros da mamãe CBF, sem ter jogado 4 jogos no total? Como que pode um clube ser alguma merda, graças a crefisa e Parmalat? Como que pode um clube ficar 20anos sem ganhar um mísero título? Como que pode um clube dizer que tem estádio, mas,  quando os verdadeiros donos precisam, tem que jogar no estádio dos outros? Como que pode um clube ter fama de academia, mas, nunca formou ninguém que presta? Como que pode um clube dizer que é grande, mas, é bi rebaixado? O dia que esse porquinho dependente da crefisa, depender dessa torcidinha medíocre e regional, vai morrer de fome 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂.",há 9 meses,0,
🏆🇳🇫🏆,há 9 meses,0,
 @luanacam  e o seu que ganhou um brasileiro com a maioria dos  gols em pênaltis,há 9 meses (editado),0,
Avanti palestra 💪🏻🇧🇷🇮🇹,há 9 meses,1,
​ @italoflamenguista1940 kkk vai tomar sacode lá no Rio 😂😂,há 9 meses (editado),0,
00:49 gol de videogame,há 9 meses,1,
​ @isadoracristina8277  sim,há 9 meses (editado),0,
​ @luanacam para Man se torce pro Atlético 🤣,há 9 meses (editado),0,
Sem Mundial,há 9 meses,0,
 @BetoFernandes11  cara torce pro Corinthians ksksksk isso é uma piada igual seu time,há 9 meses (editado),0,
 @emersonsilva-qg2im  eu vi o sacode kkkkkkkkkkkkkkk,há 9 meses (editado),0,
 @palzaoterrordananicada2395  vim do futuro para dizer que sua cueca é Rosa né amigão kkkkk,há 9 meses (editado),0,
​ @MuriloCRVG12 passado,há 8 meses (editado),0,
 @minielgamerlobo8805  cade o mundial? e os 2 rebaixamento ? e a sul america?,há 8 meses (editado),0,
" @MuriloCRVG12  agente tem sul americana, e denovo digo, PASSADO
se agente vivesse do passado

Pal 6 x 1 bor
Pal 7 x 1 fla
Pal 4 x 0 spfc
Pal 8 x 1 Ind 
Pal 5 x 0 Ind
Pal 1 x 0 juventus
Pal 4 x 3 fla
Pal 8 x 0 cor
Pal 4 x 0 bot
Pal 4 x 3 bot
Pal 4 x 0 bol
Pal 4 x 0 dp
Pal 5 x 0 goi
Pal 5 x 0 spfc
Pal 3 x 1 itu
Pal 3 x 0 Int 

E o seu spfc que n ganha nada

São paulo:

Copa do Brasil

Palmeiras:

Supercopa
Paulistão
Copinha",há 8 meses (editado),0,
1,há 8 meses,0,
"O VAR que n chamou o árbitro pra expulsar Raphinha, foi preso???",há 8 meses,0,
"Nossos clientes estão revoltados. Também coitados, é goleada no paulista 4x0. Goleada no brasileirão 5x0.  2024 vai pra 5 e 6?",há 7 meses,1,
campeaooooooooo,há 7 meses,0,
"camepao
 @ian_sep666 ",há 7 meses (editado),0,
Foi todos do brasil sao pequenos porque todos apnharam​ @luanacam ,há 7 meses (editado),0,
A arrancada pro título começou nessa goleada,há 6 meses,0,
Hhgcdt​ @williampereira6935 ,há 6 meses (editado),0,
Ik​ @williampereira6935 jgg😊😊😮😢,há 6 meses (editado),0,
❤❤❤❤❤😂😂😂😂​ @user-kx4ck1qr6x ,há 5 meses (editado),0,
^^,há 2 meses,0,
Verdade,há 1 hora,0,
Com esse nome ridiculo quem toma sapecada e vc 😂😂😂peppa,há 1 hora,0,
Ah lá mais um burro que bebeu mijo do Textor,há 2 semanas,0,
​​ @fpsqt aceita que esse hj foi manipulado sim,há 1 hora (editado),0,
Olha aí mais um burro lobotomizado pela cretinice do Textor,há 2 semanas,0,
​ @fpsqt foi manipulado sim seu chorao,há 1 hora,0,
"Justificável, era o Breno Lopes",há 2 semanas,0,
O narrador pra fora olha o gol ksksksksk,há 1 mês,0,3
SP soube ser um time apostólico como seu padroeiro. Apanhou e deu a outra face para apanhar mais,há 1 mês,0,
Acho que Piqueres  tomou um gole do liquido dos deuses do futebol e breno lopes deve ter feito um algum pacto jogar o que jogou e olha que perdeu 2 gols rsrs,há 1 mês,0,
Acho que foi o melhor jogo do Breno lopes...,há 1 mês,0,
O jogo mau começou os cara já meteru foi pipoco,há 1 mês,0,
O tempo inocentou o john textor kkkkk,há 1 mês,0,
A choradeira do Jontex tá fazendo desse jogo histórico kkkkkkkkkk como se fosse novidade o sao paulo tomar goleada no Allianz!,há 1 mês,0,
Voltei hj só pra ver essa pintura de novo,há 1 mês,0,
Más fácil q da tapa em bêbado,há 1 mês,0,
Eu tou cuasi chegano air,há 1 mês,0,
"Rafinha, fez de tudo pra ser expulso. Descontrolado e estranho, então sei lá cara. Um jogo estranho realmente",há 2 meses,0,2
"O que pegou nesse jogo, foi os dois gols. Que passa pela zaga. E ninguém mete o pé, realmente muito estranho. Porque passa e ninguém põe o pé. Mas nesse jogo eles sobraram, mas que esses dois gols foram esquisitos, ah se foram",há 2 meses,0,
Culpa do James que nesse jogo era titular depois desse jogo nunca mais foi,há 2 meses,0,
"Antes do tal do Textor falar sobre manipulação eu ja havia percebido algo estranho nesse jogo, de fato o cara tira o pé no primeiro e no quarto gol. Muito estranho Rafinha duas faltas desnecessárias, o pênalti me pareceu de propósito 😢.",há 2 meses (editado),0,
Ksksksksks eu sou saopaulino mas esse jogo foi meio suspeito em skksksk,há 2 meses,0,
suspeito,há 2 meses,0,
Realmente o primeiro gol o Diego Costa nem esforço fez,há 2 meses,0,
"Vou te falar, teve quatro lances estranhos,pareceu que O São Paulo tirou o pé nos lances do gol,😮😮",há 2 meses,0,
O PALMERAS É RUIN,há 2 meses,1,
"PODE FALAR QUE A GENTE NAO TEM MUNDIAL QUEM SE IMPORTA PELO MENOS TEMOS DOM BRILHO DIFERENTE DE SÃO PAULO, CORINTHIANS, SANTOS, NAO INPORTA O MUNDIAL INPORTA O TIME JOGAR BEM GANHAR AS PARTIDAS MOSTRAR QUE MESMO NAO TENDO MUNDIAL PODE SER O TIME QUE BRILHA QUE FAZ O SEU TRABALHO ELES FICAM FALANDO PALMEIRAS NAO TEM MUNDIAL E DAÍ? O PALMEIRAS TA FAZENDO O TRABALHO DELE UM TRABALHO DE TIME DIGNO QUE BRILHA NAO PRECISA DE MUNDIAL PRA VIRAR UMA ESTRELA MANO UM TIME TA FAZENDO O TRABALHO DELE TRABALHO DE TIME DIGNO GANHOU 3 ANOS SEGUIDOS O BRASILEIRÃO GANHOU PAULISTAO 2023 2024 DEIXA ELES FALAR PALMEIRAS NAO TEM MUNDIAL NAO ME INPORTO!",há 2 meses,0,2
vc e muito Linda 😍,há 1 mês,0,
​ @user-oh2kp1qj9q n sou eu menina e e a Charli d'amelio,há 1 mês,0,
 @Mu_ofc  to falando dela mesmo 😍,há 1 mês,0,
