text,time,votes,replies
"E aí, gostou da partida? 😎⚽ 
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,97,10
Everaldo Marques Narrando Atlético Mg X Internacional,há 2 semanas,0,
"Esse comemoração do Vargas tem uma história kkkkkk foi vargas, maidana,   e o mlk da base do grêmio todos provocaram os moranguinhos",há 5 meses,0,
Parabéns Atlético-MG Hulk 🇧🇷🇧🇷,há 7 meses,1,
Quem tá feliz com a vitória da galinha,há 8 meses,1,
Aqui minas o galo nao tem rival muito tempo cru cru tri rebaixado sem teto,há 10 meses,1,
Paulinho tá com a peste fazendo gols direto...tá de boa,há 10 meses,0,
Teinador tem que ficar no time pelo menos 1 temporada para encaixar o time. E deixar o cara livre para trabalhar. O problema dos times é patrocinadores e contrato que deixam os técnicos de braços amarrados.,há 10 meses,0,
Grêmio e Gallo unidos sempre tamos juntos.,há 10 meses,0,
Parabéns atlético,há 10 meses,0,
Dalhe Inter! O Grêmio vai ser campeão. Endrick crack,há 10 meses,0,
Grêmio e Galo TamuJuntoSempre!!!!,há 10 meses (editado),0,
Galo é o Rei de Minas 👏🏻👏🏻👏🏻,há 10 meses,0,
As raposas devem estar morrendo de inveja 😂😂😂,há 10 meses,0,
Galo do Felipão é Brabo 💪🏻,há 10 meses,0,
Galooooooo,há 10 meses,0,
Obrigado Felipão!,há 10 meses,0,
Atlético vai ganhar todas brasileiro e libertadores 🐓🖤🤍,há 1 ano,0,
Os mineiro são ruim a gente pode ter perdido no estádio que nem é de nenhum time mas duvido que ganhasse no Beira Rio que aí sim é do Inter! Kkkkkkkkkk,há 1 ano,0,
.,há 1 ano,0,
Bora pra cima saudações Palestrina ou maior de minas,há 1 ano,5,
Estou sem time agora que eu faço te novo,há 1 ano,1,
 @scooby-doo6525  Cabuloso💙💙,há 1 ano,1,
Binter já pode pedir música no fantástico 3 derrotas seguidas e as 3 por 2 a 0 ainda,há 1 ano,3,
Pp,há 1 ano,1,
Gostei que ó 🅱️inter perdeu,há 1 ano,2,
Sim gostei,há 1 ano,1,
tenho que ver no youtube pq o o link do globoplay ta travando!,há 1 ano,1,
Sim,há 1 ano,1,
"Inter pequeno em queda livre 3 derrotas consecutiva, tá ótimo kkkkkkkk",há 1 ano,1,
Galooooooooooooooooooooooooo,há 1 ano,0,
1:13 que chutaço e que defesa,há 1 ano,3,
Vamos meu Galão da Massa!,há 1 ano,1,
O CAMpeão voltou !,há 1 ano,0,
everson sempre salvando nosso galao,há 1 ano,0,
Maior de Minas é cruzeiro,há 1 ano,0,
Internacional perdendo para um clube sem tri,há 1 ano,0,2
que alegria ver a duplinha de poa se ferrar!,há 1 ano,0,
BORA FAZER GOL HYORAN,há 1 ano,0,
"Todo mundo ve que esse Hyorram e uma carniça mano , como que essa bosta e titular do galo pelo amor de Deus",há 1 ano,0,
"O Maior e mais tradicional e gigantesco clube de Minas Gerais Clube atlético mineiro,  mais uma vitoria para nos mineiros .Tamo Junto Galao",há 1 ano,6,
1:56 não tenta segurar não 😂😂😂,há 1 ano,0,
Parece que o galão reagiu vamo galoo,há 1 ano,0,
"Galão , campeão.",há 1 ano,0,
🐓🔥⚡,há 1 ano,0,
Os melhores em campo foram os goleiros,há 1 ano,0,
O galo mais lindo do mundo!,há 1 ano,0,
"Esse goleiro do Atlético Mineiro é bravo, olha essas defesas, isso é nível de seleção!",há 1 ano (editado),1,1
Acho que Nathan Silva está merecendo ser titular.,há 1 ano,0,
"Eu teria era vergonha de torcer pro internacional 🤣🤣, time lascado 🤣🤣",há 1 ano,1,
Galo continua crescendo,há 1 ano,0,
​ @howtobruh3057  chega longe não,há 1 ano,0,
"Impressionante torcedores de outros times como você elogiarem o Everson enquanto grande parte da torcida do Galo tá querendo ele longe. Eu critiquei muito em 2020, mas desde 2021 eu sou a favor da permanência dele",há 1 ano,0,
Acho que o Internacional desse esse ano!,há 1 ano,0,
O Atlético-MG jogou bem demais era pra ser goleada mas perderam gols demais,há 1 ano,0,
"E o Hulk, de garçom, só distribuindo Raios Gama, lá na frente...",há 1 ano,0,
NÃO O KEILER NAO DA MAIS!!!!,há 1 ano,0,
"O Inter está se resguardando para 2024! Se não for rebaixado, já estamos no lucro!😃😃😃😃",há 1 ano,0,
Esse goleiro do inter tem as mãos de alface...,há 1 ano,0,
Que podres esse time nossa senhora tão pior que varzeano,há 1 ano,0,
Até  q enfim esse muito ruim desse Paulinho desencanto.kkkll,há 1 ano,0,
"❤ PARABÉNS GALO DOIDO 🐓 POR MAIS UMA VITÓRIA EM CIMA DE UM DOS NOSSOS MAIORES RIVAIS, GOSTEI MUITO DA VITÓRIA PRINCIPALMENTE POR TER SIDO EM CIMA DO TIME DO MANO MENEZES, VALORIZOU E ILUMINOU AINDA MAIS  A VITÓRIA E OS TRÊS PONTOS, FOI MUITO MAS MUITO IMPORTANTE ESTÁ VITÓRIA, 🐓 DIGNA DE APLAUSOS  : AVANTE 🐓 CLUBE ATLÉTICO MINEIRO 🐓",há 1 ano,2,
Esse Paulinho é muito ruim,há 1 ano,0,
O que vai no gol o Keiller toma,há 1 ano,0,
Muito bom,há 1 ano,0,
"O que Hulk joga é brincadeira, c tá doido.
Os mano fala mal dele por inveja de não estar no time deles kkkk, aqui é galo porra 💥",há 1 ano,1,
Cam 2x0 inter,há 1 ano,1,
😅😅😅😅,há 1 ano,0,
"aqui acabou, keiller joga menos que a minha tia no gol, e olha que a minha tia é cega",há 1 ano,0,
Jogarão muito atlético ontem. Hulk e brabo de mais diferenciado meu Corinthians vai pra cima em,há 1 ano,0,
Esse hyorran é uma ameba,há 1 ano,0,
O Paulinho fez mais sabe perder gol não tem malícia de matador.,há 1 ano,0,
"FUTEBOL ACABOU
FUTEBOL É SUJEIRA.
FITEBOL É MENTIRA.
FUTEBOL É CORRUPÇÃO.
JOGADOR DE FUTEBOL É IGUAL POLÍTICO.",há 1 ano,0,
O inter ganhou do flamengo ja é titulo pra eles😂😂😂,há 1 ano,0,
