text,time,votes,replies
o fortaleza tirou o Pikachu do Vasco,há 2 meses,1,
Será que John e o IA vao dizer que a vitoria foi manipulada tambem kkkkkkkkkkkkkkkkkkkkkk,há 4 meses,0,
Eita goleirinho do Fortaleza,há 4 meses,0,
Richard Ríos pai do fortaleza,há 4 meses,0,1
😂😂😂😂😂kkkkkkkkk,há 6 meses,0,
SIM  É MUITO  .💚💚💚💚💚💚⚽️,há 6 meses,0,
Que timaço!,há 7 meses,0,
Gol roubado 0:48,há 7 meses,0,
Fortaleza virou putinh@ do Verdao ⬜️🟩🐽🐖⚽️🏆😎✌️🟢⚪️🇮🇹,há 7 meses,1,
Euuuuu,há 7 meses,0,
Eu tou,há 8 meses,0,
Gustavo 🏅🏅🦅💚🏆 o Palmeiras tá bem né agora,há 8 meses,1,
Eu,há 9 meses,0,
😞,há 9 meses,0,
Tava.  Esperándo.   Iso,há 9 meses,0,
Eu,há 11 meses,0,
Fortaleza faca,há 1 ano,0,
"Fortaleza foi muito melhor que o Palmeiras, muito mais chances claras e um gol mal anulado. Placar justo, Fortaleza ou empate. Mas futebol é isso. De fato Palmeiras tem melhor elenco, mas em campo a realidade foi essa.",há 1 ano,0,2
Já torcetoura Rocha do Palmeiras ainda torço  (Bya)😎😂🌵🌻🍀🎵✌,há 1 ano,0,
Gente eu queria ser jogadora de futebol como faço pra ser ?,há 1 ano,0,1
Lucerooo,há 1 mês,0,
Foram melhor com menos chutes ao gol e com 35% de posse de bola? Pq mal anulado? Não é claro o toque no braço quando tem o primeiro contato da bola aérea?,há 1 ano (editado),0,
" @sransyy248  chutes a gol n quer dizer nada, chances criadas sim, Fortaleza teve as melhores chances. Me refiro ao lance do lucero, dominou no ombro e fez o gol e foi anulado, pelo ângulo da câmera n achei mão. O placar n diz o que foi o jogo, palmeiras tem mais time sim, n sou lunatico, mas vinha mal e ainda está, e o fortaleza desperdiçou 4 chances cara a cara, o ewerson salvou muito. Fortaleza tb n vem numa maré de sorte boa. Contra o cuiaba levou um gol besta( de falha individual) meteu 3 bolas na trave, sendo duas seguidas, teve mais perto de 70% de posse... Coisas do futebol.",há 1 ano (editado),0,
a pia ta cheia de louça,há 8 meses,0,
adeus crise 💚🤍💚🤍💚🤍💚,há 1 ano,0,
"Dizer que esse time não precisa de reforços só pode tá de brincadeira,!!!",há 1 ano,0,
"Fico impressionado como os goleiros atuais são mal treinados, eles ficam debaixo do gol, não antecipam, não visualizam a jogada com antecedência. Goleiro q fica debaixo do travessão não pega nada, não dá tempo de reagir.",há 1 ano,0,
SS,há 1 ano,0,
🎉 é hoje em Palmeira,há 1 ano,0,
Tão virando amigo do apito tb,há 1 ano,0,
"2:15, 4 contra 2 e os caras perderam o gol, meeeee, esse Palmeiras está preocupando 😢",há 1 ano,0,
"Chances claras de gol ⚠️⚽️

PALMEIRAS 4
FORTALEZA 3

Palmeiras volta a jogar bem, mas ainda apresenta alguns erros defensivos que precisam ser corrigidos. Caso fosse uma equipe mais qualificada essas 3 chances teriam sido convertidas.",há 1 ano,0,
Unico time que pode tirar o titulo do Botafogo,há 1 ano,0,
"Pra mim tinha que treinar o Breno Lopes de centroavante,  deixar ele jogar.. acho que daria mais resultados do que o menino Endrick no momento.",há 1 ano,0,
Vamooo,há 1 ano,0,
Que golaço do VEIGA!,há 1 ano,1,
O problema que o povo emporta até com jeito de Abel sentar o povo tá está com inveja de Abel,há 1 ano,0,
Palmeiras ganhou de 3 a 1,há 1 ano,0,
"Eu ,kkk",há 1 ano,0,
Varmeiras soberba choradeira freguês,há 1 ano,0,
Não tô alegre pela vitória do palmeiras mais muito feliz com a derrota do bistaleza,há 1 ano,0,1
Essa camisa do Fortaleza é muito bonita.,há 1 ano,0,
"Eu já assisti esses lances 10 vezes , tava com saudade de uma vitória do meu Palmeiras ✅💚☺️😀",há 1 ano,1,
Até que fim que o Palmeiras ganho,há 1 ano,0,
Bostaleza,há 1 ano,0,
"Fortaleza jogou demais, o placar surpreende pq o qie o fortaleza teve de chances. Palmeiras é muito cagado.",há 1 ano,0,1
Feliz pelo Pai do Flamengo ter feito um gol... e que golaço!,há 1 ano,0,
