text,time,votes,replies
"👀A estagiária acha essa história INACREDITÁVEL!
E vocês?",há 8 meses,235,26
Parabéns Botafogo Diego Hernández 🤩🤩,há 6 meses,0,
O Botafogo empata para o Cruzeiro mais um 0 x 0 para o Botafogo e o Cruzeiro.,há 7 meses,0,
😅😅😅❤❤😅❤😅❤😅❤😅😅❤😅❤,há 7 meses,0,
🤗🙃🤗🙃🤗🙂🙂🤗🤗🤗😐🤑🤗🤑🤗🤑🤗🤑🤑🤗🤑🤗🤑🤗🤗😋😋🤗😋🤗😋🤗🙂🤐🙂🤐🙂🤐🤐🤐🤐😉🤐😉🤐🤐😉😉🤐😉🤐😉🤐😉🤐😉🤐😉🤐😉🤐😉🤐😉🤐🤐😉🤐😉😉🤐🤐😉🤣😉🤣😉,há 7 meses,1,
😅❤❤😅😅❤😅❤😅❤😅❤ 0:15 ❤❤❤😅❤😅❤😅❤😊❤❤❤😊😊❤❤😊,há 7 meses,1,
"Botafogo 0 x 0 Cruzeiro Empate não nada preguiçoso não derrotas 8 🤣

Tiago Nunes Técnico
Burro Burro Burro 🫏🤣",há 8 meses,2,
botafogo o pipoqueiro de 2023 kkkkkkkkkkk kkkkkkkkkkk,há 8 meses (editado),1,
Botafogo campeão dez de 1910 😂 que vergonha hj palmeiras campeão brasileiro,há 8 meses,0,
"É inacreditável um time grande desses favorito ao título não conseguir ganhar o brasileirão e ainda empatar com um time pequeno, Forças Cruzeiro 💙🤍",há 8 meses,0,
O que esse time fez de pipocada é simplesmente histórico.,há 8 meses,1,
"😂 Bota fora cavalo Paraguaio kkkkkkk x Cruzeiro junta junta futebol clube misericórdia, vai ficar pra história esse fogo amigo que liderou o campeonato quase inteiro e entregou a rapadura para os concorrentes misericórdia 😂😂😂😂😂",há 8 meses,1,
Faltou só um tiquinho pra o botafogo ganhar esse jogo e o brasileirão,há 8 meses,0,
Ganhou o troféu fralda cheia!,há 8 meses,0,
quem acredita que esse campeonato estava cheio de influência de aposta?,há 8 meses,0,
Meu deus 😂,há 8 meses,0,
"Caiu no TAPETINHO...😂😂😂😂😂😂😂😂😂😂 Depois que perdeu nesse estádio com grama de MENTIRA, só foi ladeira abaixo...😂😂😂😂😂😂😂😂",há 8 meses,0,
2:20 ??? O que foi isso aqui?,há 8 meses,1,
O Botafogo só não foi rebaixado por causa da campanha do primeiro turno!😂😂😂,há 8 meses,0,
Botafogo pode se sentir lisonjeado por ter chegado tão longe no Brasileirão. Muitos irão guardar boas recordações de suas vitórias épicas em 2023!,há 8 meses,0,
Pipofogo 🍿🍿🍿🍿🍿🍿,há 8 meses (editado),25,
"Já esperava isso, não me surpreendeu",há 8 meses,7,
🍿🍿🍿,há 8 meses,7,
Botafogo deu a maior pipocada da história do Brasileirão,há 8 meses,13,
Eu quero o número da estagiária😂,há 8 meses,6,
28 anos sem título brasileiro vai continuar mesmo 😂😅,há 8 meses,8,
 @kevinlukas9159  da historia do esporte mundial,há 8 meses (editado),0,
 marceloeduardo7005  e o Brasileirão de 95 🤔 apito amigo vc esqueceu 🤔,há 8 meses (editado),4,
Aqui é Palmeiras vai verdao 😎💚🤍,há 8 meses,4,
Botafogo time mais pipoqueiro do Brasil kkkkkkkk,há 8 meses,2,
"Vcs deveriam parar de fazer graça e arrumar lá no site. Maior site do país com um ""RAPOZA"" na capa é brincadeira! O certo é RAPOSA!",há 8 meses (editado),2,
Botafogo 🐴🐎🐎 paraguaio 😂,há 8 meses,2,
Nanicofogo,há 8 meses,2,
​ 1:01,há 8 meses,0,
A maior pipocada dá história do Brasileirão 😂,há 8 meses,2,
