text,time,votes,replies
Obrigado Red Bull Bragantino Matheus Fernandes ❤🖤,há 6 meses,0,
EU SOU BOTAFOGUENSE,há 7 meses,0,
IMPÉRIO + FORÇA JOVEM GOIÁS / energético,há 9 meses,0,
Goiás vai cai 🅱️🅱️🅱️👻👻👻👻,há 9 meses,0,
Red Bull Bragantino vence mais uma fora de casa.  05/11/23,há 9 meses,0,
Campanha muito boa do Redbull Br  bom jogo,há 9 meses,1,
"Quem é corintiano,mas está torcendo pelo título do BRAGANTINO RDB?",há 9 meses,0,
😮,há 9 meses,0,
Tadeu bom goleiro,há 9 meses,0,
Sou Corinthiano mas tomare se n for o botafogo tem q ser o rb bragantino,há 9 meses,0,
"Sou flamenguista, mas a verdade é dura. Bragantino merece muito mais esse título brasileiro que o Botafogo. Demonstrando resultados mais que sólidos, resultado está ai na posição do campeonato.",há 9 meses,2,
"O Goiás joga bem, mas tá muito zicado, tudo da errado pro Goiás, até quando o zagueiro vai ser expulso tinha um impedimento antes rsrs",há 9 meses,0,
RBB camelão BR de 2023!,há 9 meses,0,
"Não entendo esse Tadeu, bom goleiro em time pequeno",há 9 meses,0,
"Bragantino 2 x 0 Goiás Vitória 
😂👏👏👏",há 9 meses,1,
Tadeu só é pequeno mas é monstro.,há 9 meses,1,
Impedimento safado esse kkkkk,há 9 meses,0,
"Se o Goiás for rebaixado o Thadeu tem que sair, não é goleiro de segunda divisão",há 9 meses,0,
"Bragantino tem agora dos times que estão de férias: Corinthians e São Paulo. 


E ainda tem um jogo a menos.",há 9 meses,0,1
Assisti esse jogo,há 9 meses,0,
"Corinthians está de férias aonde? tem 40 pontos, precisa ganhar pelo menos mais 6 pra ficar seguro.",há 9 meses,0,
"Pobre Goiás, mais um rebaixamento a vista.",há 9 meses,0,
Nenhum time vai alcançar meu verdão na tabela!,há 9 meses,0,
"Rapaz esse goleiro Tadeu não merece jogar a série b , se o Goiás cair .",há 9 meses,0,
Campeão!,há 9 meses,0,
O Goiás vai cair. Não tá jogando nada. O meio de campo é uma piada. Muito bagunçado.,há 9 meses,1,
essa defesa do cleiton no 2:07 foi linda,há 9 meses,2,
"4 pts do Líder, com 1 jogo a menos, obg Mister Caixinha! 🙏🏻🖤🦁",há 9 meses,11,
Braga campeão brasileiro,há 9 meses,0,
sou sport recife 🦁❤️🖤 mais tô torcendo pró bragantino ser campeão 🏆  👍,há 9 meses,1,
RB Bragantino tá surpreendendo excelente campanha,há 9 meses,1,
Se o Helinho jogasse em um time midiático estariam pedindo ele na seleção,há 9 meses,1,
Sou gremista mas se não der Grêmio espero que dê Bragantino ou Botafogo,há 9 meses,0,
Moxé ja caiu..surra no estádio da surrinha 😅😅a,há 9 meses,0,
Se eu não me engano o jogo que o bragantino tem a menos é contra o falecido flamengo,há 9 meses,0,1
"é incrivel como ninguem fala desse time do bragantino, os caras jogam muita bola",há 9 meses,3,1
RB Bragantino vai ser campeão 🎉🎉🎉,há 9 meses,1,
que time bem treinado do braga sempre taticamente arrumados linhas de ataques e defesas parabens pelo trabalho sendo feito,há 9 meses,0,
Esse tá deu é um ótimo goleiro... so tá no time errado,há 9 meses,0,
Caia pra segundona goias,há 9 meses,0,
"Na torcida pelo Bragantino que tem um jogo a menos, ou Palmeiras levar esse Brasileiro 2023 ! tiveram boas arrancadas e botafoguinho pipoqueiro não leva kkkk é o Arsenal do brasil eles kkkkkkkkkk",há 9 meses (editado),0,
"já tomou 4 a 1 do Flamengo, não é.",há 9 meses,0,
"Tudo culpa do Marketing, a Globo não falam tanto dele já que no nome do clube há praticamente o nome de uma empresa que não paga pela sua divulgação. Aí a globo nem fala do assunto.",há 9 meses,1,
A imprensa quase não fala da boa campanha do bragantino,há 9 meses,2,1
"Vamos Braga, vamos tentar ser campeão",há 9 meses,1,
"O Bragantino é um exemplo para todo o futebol brasileiro . Nada de "" estrelas "" que ganham salários altíssimos e que não produzem . Os jogadores jogam com uma garra incrível e são altamente competitivos . Isto sim é gestão profissional . Se o Botafogo não for campeão ( vergonha total ) gostaria que o Bragantino ganhasse o campeonato . PARABÉNS , BRAGANTINO !!!!!",há 9 meses,8,
A Redbull merece ser campeão,há 9 meses,0,
"No ano que vem vai ser muito interessante ver, bragantino na libertadores, e Cuiabá na Sulamericana",há 9 meses,5,
"Esse VAR tá estranho, o gol impedido do Bragantino não tava e o primeiro gol do Vasco contra o CUIABÁ tava impedido",há 9 meses,1,
"AINDA SÃO OS EFEITOS DA PANDEMIA.. BRAGANTINO, BOTAFOGO, ATLETICO MINEIRO, ATLETICO PARANAENSE..KKKKKKKK",há 9 meses,0,
"Tá na cara que a CBF quer dá esse titulo pro Palmeiras,ja que seu filho favorito anda mal das pernas (Flamengo),prejudicaram o Botafogo ontem e tentaram de tudo pra arrebentar com o Bragantino nesse jogo,e se o Grêmio encostar mais, vão prejudicar o tricolor gaúcho também.",há 9 meses,0,
Goias vai caai 😂😂😂 chora seus moxé 😂😂😂😂,há 9 meses,0,
TADEU É UM TIME MELHOR IRIA SE DESTACAR AINDA MAIS,há 9 meses,0,
O Energético vai com tudo em busca da taça 🏆,há 9 meses,3,
Com ctz o Bragantino vai para libertadores e também vai lutar pelo título até o fim. Abram o olho pq vai dar trabalho...,há 9 meses,3,
"Sou flamenguista, vou torce pro bragantino ganha o titulo",há 9 meses,1,
Sou corinthians mas o bragatino tá dando exemplo a todos,há 9 meses,3,
