text,time,votes,replies
"O que achou da atuação do Bragantino? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,55,5
Vendo o João Ricardo no gol com esse uniforme me lembra o mesmo jogador que foi o histórico goleiro de Angola na copa de 2006 🇦🇴🇩🇪,há 11 meses,0,
Bostaleza na serie B 😂😂😂,há 1 ano,0,
Arena Castelão em Fortaleza,há 1 ano,0,
Deixem suas risadas para a Stella 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,há 1 ano,0,
Jogo equilibrado. Uma hora o Bragantino batia e outra a Stella apanhava 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,há 1 ano,0,
O gás da Stella acabou kkkkk,há 1 ano,0,
E os 6 x 0 não se tira 😂😂,há 1 ano,0,
"Uma decepção o Fortaleza, 3 derrotas seguidas. Começou perdendo para o Cuiabá, no Castelão, por 1 x 0, não se justifica perder aqui dentro para o Cuiabá. Depois que o Moisés foi embora o Fortaleza se acabou. Envergonhando a torcida. Este goleiro  João Ricardo vai levar o Fortaleza a Série B do Brasileirão. O treinador precisa agir, antes que seja tarde demais!",há 1 ano,0,
O Júnior Capixaba desmoralizou Marinho com o bloqueio.,há 1 ano,1,
Stella vai jogar série b 2024,há 1 ano,1,
"Pior jogo da temporada, Fortaleza irreconhecível 😢",há 1 ano,0,
"RED BULL DE PARABÉNS!!!!
Pq o ""des"" presidente Ruedao da massa e, o ""des"" gerente Falcão não se espelham nessa equipe para ""tentar"" salvar o PEIXEEEEEE da B?????
Pq, caminha a passos largos e, na velocidade da luz para a 2.a divisão. 
E mais: 1 vez na B, vai ser um ""parto"" para sair. 
😡😡😡",há 1 ano (editado),0,
pq esse goleiro nao foi na bola no primeiro gol do bragantino?,há 1 ano,0,
vai Braga,há 1 ano,0,
Impedimento claro no 2° gol do braga,há 1 ano,0,1
Marinho chegou com uma zica que é capaz do Fortaleza cair,há 1 ano,1,1
"Próximo jogo do stela é contra o Goiás, que empatou hoje contra o Grêmio. Vai ser peia de novo.  Goiás 1x0, gol de Bruno Melo.",há 1 ano (editado),0,
Maldiçao de quem tem o marinho no elenco. Kkkkkk,há 1 ano,0,
Virou saco de pancada o Fortaleza,há 1 ano,0,
Acabou o gás do Fortaleza,há 1 ano,0,
Perfeita,há 1 ano,0,
Espetacular,há 1 ano,0,
Humm mas que goleiro rrrrrruuuimm,há 1 ano,0,
😂😂😂😂,há 1 ano,0,
vai braga,há 1 ano,0,
"Fale isso não, que deu na diretoria trazer uma p..... dessas pro fortaleza o homem só joga sentado no chão,  chute ninguém ver.",há 1 ano,2,
Cadê o maior do nordeste😂 s fumo marinho pipoqueiro,há 1 ano,0,
Mandem Romarinho logo la pra ilha do retiro 🙏🙏🙏,há 1 ano,0,
"Tem que trocar de técnico , o voyvoda ir pro flamengo e o Sampaoli ir pro Fortaleza ok",há 1 ano,0,
"Valeu João Ricardo, agora estou entendendo pq o Ceará caiu para segunda divisão",há 1 ano,0,
❤❤❤,há 1 ano,0,
Melhores momentos sempre mal feito,há 1 ano,0,
Infelizmente eu acho que o Leão(Fortaleza) vai virar um gatinho e dar lugar ao outro Leão (Sport) na Série A.,há 1 ano,1,
Bragantino se vingou da goleada que eles sofreram do Fortaleza por 6a0 ano passado.😂😂😂😂😂😂,há 1 ano,0,
"Com todo respeito ao bom time do bragantino, o Fortaleza perder em casa nesse placar ficou feio demais. Em casa o Fortaleza sempre foi imbatível.",há 1 ano,0,
Massacre,há 1 ano,0,
Marinho é patético de ruim,há 1 ano,1,
"Futebol é um esporte estranho mesmo, o Tricolor de Ferro jogando um campeonato redondinho, aí vem o Braga na tabela de baixo da classificação e ganha de 3x0?!",há 1 ano,0,1
"Bragantino só perdeu pro fogão como a maioria,está surpreendendo",há 1 ano,0,
RED BULL TE DA ASAS,há 1 ano,0,
"Os caras falam que esse goleiro é bom, bom de que?",há 1 ano,0,
"Agora tá voltando tudo ao normal, Fortaleza time pequenino",há 1 ano,0,1
😂😂😂😂😂😂,há 1 ano,0,
Cândido joga muito,há 1 ano,0,
"Quê situação triste 😢




Espero que piore 😂😂😂😂😂😂",há 1 ano,0,
Hoje não foi o meu leão 🦁 😢 que jogou nada. Triste 😢 e muito puto,há 1 ano,0,
Tabela de baixo? O time tá no G-6,há 1 ano,0,
Sempre foi KKKKKKK,há 1 ano,0,
Uuuuuuuuuuuu perdeu até pro Redbull,há 1 ano,0,
Bragantino não têm Mundial!!,há 1 ano,0,4
time ruim esse fortaleza 😂😂😂😂😂,há 1 ano,1,
Oque aconteceu com o leão 😡,há 1 ano,0,
Aa,há 1 ano,0,
Eu fui nesse jogo ainda bem que nem torço pro fortaleza,há 1 ano,0,
Fortaleza ruim demais kkkkkkkkkkk,há 1 ano,0,
"Red Bull Bragantino vai ir para a Libertadores 2024,que campanha",há 1 ano,1,
Bostaleza,há 1 ano,0,
Pior jogo do Fortaleza no ano.,há 1 ano,0,
"Powered By:

Red Bull Energy Drink",há 1 ano,0,1
O Leão tá doido pra jogar com o Vozão na série B. Que amor é este?,há 1 ano,2,
Krl o leão foi atropelado,há 1 ano,0,
Fortaleza perdeu o juninho capixaba mostro,há 1 ano,0,
Bragantino Máquina de Gols is Back!,há 1 ano,0,
"Não adianta ter boa gestão, tem que ter camisa de expressão. 
O Maior do Norte e Nordeste  está voltando...
Leão só existe um - Sport Club do Recife 87 08! 🔴⚫",há 1 ano,1,3
Obg por terem recebido Marinho 😂😂😂,há 1 ano,0,
fortaleza foi atropelado 😂😂😂,há 1 ano,0,
Ganha do fortaleza e facil quero ver perder,há 1 ano,0,
Graças a Deus esse marinho não veio p são Paulo livramento,há 1 ano,0,
varmengo também não,há 1 ano,0,
 @Hawkyxpp  Varmeiras também não,há 1 ano (editado),0,
" @severinajose6973 uau, vc acabou de dizer o óbvio",há 1 ano (editado),0,
 @Hawkyxpp  Vdd,há 1 ano (editado),0,
desde 1920,há 1 ano,1,
"Sou Bahia, mas eu simpatizo com o Sport. Até pelo contrário, odeio mais o Bostaleza que o Sport! Saudações tricolores",há 1 ano,0,
" @Sensatokiko  isso é um fato raro!
Tmj! Meu parceiro ✌🏽",há 1 ano (editado),0,
Bahia também tem 2 titulos nacionais de relevancia. Bahia e Sport Unicos Maiores.,há 1 ano,0,
"Kkkkkkkkkkkkkkkkkkkkkkkkkkk, respeita o bragantino stella",há 1 ano,1,
For 0x3  RBB,há 1 ano,0,
Toda desgraça é pouca pra esse time o Fortaleza,há 1 ano,0,
"Rsrs, foi muito Redbull no caneco do Liaun e depois Mari Fernandes sem Fim pra comemorar, e teve open de Redbull.",há 1 ano,1,
faltou energético no vestiario do Fortaleza kkkk,há 1 ano,0,
3a 0 kkkkkkkkkk,há 1 ano,0,
O Leão virou gatin2,há 1 ano,1,
"Esse segundo gol, estranho demais, não vi o jogo, mas nesses melhores momentos não mostra a linha!! E até mesmo com a paralaxe, achei impedido!!",há 1 ano,0,
@Abner,há 1 ano,0,
"Cara, que gramado ruim é esse?",há 1 ano,0,
Que fase que tá o Braga hein 💪🏼🐮🔴⚪️,há 1 ano,10,
"liao jogou muito bem, boa estreia do machuca",há 1 ano,0,
Oque está  a acabando com com o Fortaleza é o galhardu é o jogador mais caro e não está jogando nada e pra piorar leva o marinho  que pegou o vírus do Neymar só veve nó chão  tudo isso faz com que todo o elenco esmoresçao e porque não dizer sirevolten,há 1 ano,0,
"O Fortaleza era um time organizado, até começar a ganhar dinheiro, vendeu um jogador por muito dinheiro e depois disso deu gastou quase todo com Marinho, que é bom jogador mais só teve três temporadas boas na carreira.",há 1 ano,0,
Daqui a pouco eles vão estar pedindo Rogério Ceni  de novo 😅,há 1 ano,0,
Fortaleza até joga razoavelmente mas perde muitos gols,há 1 ano,0,
Quem não  faz toma o que vale é  bola na rede parabéns pelo vídeo,há 1 ano,0,
"O Fortaleza tá de sacanagem !!
Sinto em dizer , mas daqui prá frente é só prá trás . 😂😂",há 1 ano,0,
"Que que isso Fortaleza 😢
O Red Bull Bragantino tomou um drink de sua bebida e ganhou asas e agora continua voando nas alturas o Palmeiras que abra o olho pois o Bragantino tá chegando!",há 1 ano,2,
Rapaz como é facil fazer gol no Fortaleza eu sou torcedor mais confesso que eu tou com pena do Fortaleza provavelmente vai ser o saco de pancada da primeirona...lamentavel,há 1 ano,0,
Parabéns braga,há 1 ano,0,
É nanico Laion,há 1 ano,0,
Da-li Bragantino,há 1 ano,0,
O voyvoda tem medo de tirar o Thiago galhardo teve uma vez que ele tirou o galhardo achou ruim tem nos vídeo deste esse dia ele focou com medo.,há 1 ano,0,
Fúria independente. Cabo de st. Agostinho. 😮😮😮😮😮,há 1 ano,0,
A leoa tá voltando 😂,há 1 ano,0,
O Fortaleza tem que saber que seu lugar e na segunda divisão.,há 1 ano,0,
"O Fortaleza também faz contratação merda. Não é só o Vozão. Vejam Guilherme e Marinho. Esses dois não jogam nem no Ferroviário. E ainda tem o Thiago Galhardo e o Romero, ambos ganhando muito dinheiro e não jogando nada.  Meu Vozão também tá fraco. Não sobe pra série A este ano. Com esse time, jogando o que está jogando, não tem nem perigo.",há 1 ano,1,
"Perder para o Palmeiras é uma coisa, para o Bragantino e pelo placar que foi, outra totalmente diferente. Alerta ligado.",há 1 ano,1,1
Parabéns para o Red bull .   👍👍👍👍,há 1 ano,2,
Foi uma combinação de horrores. A zaga simplesmente não fez marcação nenhuma e o ataque é inofensivo e incompetente. Se continuar jogando nesse nível vai ser eliminado é no jogo de ida da Sulamericana contra o Libertad.,há 1 ano,0,
KKKKKKKKKKKKKKKKKKKKKKKKKKK...............................,há 1 ano,0,
Foi lapada pra comer sabão. E lapada pra saber que sabão não se come ☹️,há 1 ano,0,
Obrigado João Ricardo. Vejo o Lion na B.,há 1 ano,1,
Submarino  vai afunda  a CARNIÇA. 😅😅😅,há 1 ano,1,
8 C kkkkkkkkk,há 1 ano,0,
"quem será o sortudo que vai pegar esse tecnico, um talento desperdiçado, ja fez até demais nesse time fraco, dificil ficar",há 1 ano,0,
"O lyon está com síndrome de abelha 🐝 pensa que é rainha, más na realidade é um inseto 😅😮",há 1 ano,1,1
"Dps q o Marinho chegou, o fortaleza ganhou quantos jogos ?",há 1 ano,2,1
"Rapaz passei perto do estádio, parecia jogo sem torcida pqp, muito diferente do jogo do ceara sempre da pra escutar a torcida i a bateria do lado de fora",há 1 ano,3,
Bragantino meteu 4 no Flamengo faz nem 2 meses,há 1 ano,0,
"Fortaleza é aquele clube que tem grande torcida arrogante, mas o clube minúsculo",há 1 ano,0,
"Hum, ..deixa eu ver...vice nenhuma só peia😅",há 1 ano,2,
Pediu o pra machucar tai quais levava de 4 kkk,há 1 ano,0,
Red Bull te dá asas 😂,há 1 ano,0,
marcação tá uma mãe,há 1 ano,0,
Ainmmmmm é o Laion 😂😂😂😂😂😂😂😂😂😂😂😂,há 1 ano,0,
As Barbie tomaram de Redbuunda 🏳️‍🌈🦁💃👡💞🎀,há 1 ano,0,
Marinho parece uma galinha,há 1 ano,0,
Sou Ceará e torço pro rival ir bem na Série A. Essa derrota no momento foi até boa pra que alguns torcedores do Fortaleza ficarem mais humildes pq á nossa guerra não é entre nossos times do Nordeste. Nosso problema maior é vencer os times do Sudeste e Sul.,há 1 ano,2,2
"Tenha vergonha Marcelo paz , vc e esse treinador fuleragem , tá metendo o nosso time na merda",há 1 ano,0,1
O marinho kkkkkkkk,há 1 ano,0,
Massa bruta massacrou o Fortaleza na sua casa e se aproxima do g4 .,há 1 ano,0,
"Como um time fica tão ruim desse jeito, eu tenho vergonha desse time",há 1 ano,0,
"Jogo foi equilibrado, uma hora a Estela ficava em cima , outra hora a Estela ficava em baixo e foi muito fumo!",há 1 ano,0,
Bostaleza voltando as origens???,há 1 ano,2,
"Esse time do fortaleza e orrivel  kkkk
Isso era pra ta disputando a terceirona",há 1 ano,1,
"Impressionante como o Bragantino ta com um time bom e organizado, fez um jogaço contra o Fortaleza",há 1 ano,22,
"Machuca machuca chuca chuca chuca kkkk
Parece ate a música  da grete 😂😂😂",há 1 ano,1,
Time vagabudo di carai,há 1 ano,0,
"Peia na Leoa kkkkkk, 3 seguidas, ja pode pedir música no Fantástico 😂😂😂😂",há 1 ano,3,
O marinho Vai afundar o Fortaleza! 😮😮,há 1 ano (editado),2,
"De olho nesse time em aos poucos , vai vai tomando espaço, logo logo ninguém segura",há 1 ano,3,
kkkkkkkkkk,há 1 ano,1,
"Eu quero mais que o Bostaleza se foda, eles não tem humildade nenhuma só arrogância, toma aí a arrogância!",há 1 ano,0,
Eu rezo todo dia para que o fortaleza SE LASQUE MAIS AINDA 😂😂,há 1 ano,0,
Vai comendo Estella,há 1 ano,1,
Vamo LAAAION 😂,há 1 ano,0,
o meu vazão pode ater não subir pra série A mais também não cai pra C aliais nunca caiu agora o bostaleza passou 8 anos na C é vai cai pra B,há 1 ano,1,
"Na casa do Fortaleza, o Bragantino poderia pelo menos ter colocado camisinha.",há 1 ano,1,
Red BULL BRAGANTINO venceu fácil fora de casa.   29/07/23,há 1 ano,0,
"Fortaleza time de putaa, vai toma no cuuuu kakakakkaaa",há 1 ano,1,
o Fortaleza daqui pra frente é só sola se perde só mais uma fica ali bem pertinho da degola,há 1 ano,1,
LEOA ENCHEU O BUCHO DE RED BULLL E VOOOOOUUUU 😅😅😅,há 1 ano,0,
a sere Bbbbb está chegando,há 1 ano,1,
Fortaleza time podre,há 1 ano,0,
Esse bragantino é um timeco de bosta...joga porra nenhuma....um magote de zé buceta...,há 1 ano,0,
Massa bruta acabou com o leão do pici,há 1 ano,1,
"Esperto foi o São Paulo ….Deixamos de fechar com o Marinho pra trazer o James, vendemos o Léo Pele pra deixar o Beraldo de titular e abrimos mão do Reinaldo pra trazer o Caio Paulista…. Kkkkkk",há 1 ano,2,1
Acabou o gás do leão 😲😢😅,há 1 ano,0,
Stela Perdeu Foi Kkkkkkkkkk,há 1 ano,3,
Tudo normal 😂😂o fortaleza voltando ao que era time pequeno kkkkkkkkkkkkkkk,há 1 ano,2,
"tá na hora do Fortaleza começar a investir em jogadores com nome e não só em promessas ou jogadores a lá Marinho. A filosofia do clube é boa, mas não é sempre que vai conseguir tirar leite de pedra com esse elenco limitado .",há 1 ano,1,1
Essa uniforme do Braga branco e vermelho parece o 2 uniforme do Internacional😁,há 1 ano (editado),0,
É o laion não tem jeito kkkk,há 1 ano,1,
Vojvoda já não é mais o mesmo. Hora de sair,há 1 ano,3,
"esse marinho não dá, pelo amor de Deus",há 1 ano,0,
"Concordo, esse tempo já passou, ou pega patrocínio maior pra conseguir mais investimento ou o time vai começar a ficar pelo caminho, não é todo ano que o fortaleza fará sucesso com esses jogadores, tá na hora de jogador de peso.",há 1 ano,0,
Muita sola nesse laion e do energético,há 1 ano,1,
Fortaleza vai ser rebaixado 😊,há 1 ano,2,
Roubado,há 1 ano,0,
Time que tem no medíocte Tiago Galhardo o seu craque não pode dar certo.😮,há 1 ano,5,
Porque o goleiro n pulou nesse primeiro gol estanho,há 1 ano,1,
Bateu no série C😂,há 1 ano,1,
