text,time,votes,replies
Bragantino tem chance de chegar no líder Botafogo?,há 9 meses,345,72
Não foi pênalti!,há 5 meses,0,
Obrigado Red Bull Bragantino Matheus Fernandes ❤🖤,há 6 meses,0,
Santos apanha de todo mundo kkkk,há 9 meses,0,
"OS SANTISTAS DEVEM ATÉ TÁ TOMANDO MEDICAMENTOS, POIS NÃO ESTÃO ACREDITANDO NO QUE ESTÁ ACONTECENDO 😂😂😂",há 9 meses,0,
"É UMA PIADA ESSE TIME DO SANTOS, ATÉ O CORINTHIANS GANHA DELES KKKKK",há 9 meses,0,
PASSANDO AQUI PRA LEMBRAR QUE O SANTOS TOMOU 7-1 PARA O MEU INTERNACIONAL 🤣🤣🤣🤣🤣🤣,há 9 meses,0,
Santos está muito azarado. Tomara que a maré mude,há 9 meses,0,
João Paulo ta merecendo perder a vaga o goleiro ta perdido agitado,há 9 meses,0,
Sempre demoraram pra por o Furch,há 9 meses,0,
"Santos não tem mais qualidade para ficar na série A. E se cair para a série B, levará tempo para voltar. Time horrível",há 9 meses,1,
"que triste a situaçao do Santos,que piore maiskkkkkkkkkkkkkkk",há 9 meses,0,
"Santos tem que cair pra perder a mania de achar que é ""Grande""...Grande foi o Pelé",há 9 meses,0,
Nesse jogo o nanico da Venezuela não quis subir na bola,há 9 meses,0,
"VAMOS SER HONESTOS,O SANTOS NÃO MERECEU ESSA DERROTA NÃO,PERDEU JOGANDO MUITO BEM..",há 9 meses,0,
"o santos deu azar dentro e fora de compo, os times q nao podiam ganhar ganharam, e o gol do santos nao saia nunca",há 9 meses,0,
Que lindo! Dá-lhe Bragantino! Tomara e muito que o Santos CAIA!!!,há 9 meses,0,
Não quis pisar na bola esse jogo não soteldo kkkkkkkkkk,há 9 meses,0,
ASSISTI ESSE JOGO.,há 9 meses,0,
É impressão minha ou o gol do Santos estava impedido na assistência?,há 9 meses,0,
Provalmente não,há 9 meses,28,
Sim com certeza 👍,há 9 meses,20,
Não,há 9 meses,17,
DEPENDE DO BOTAFOGO SO SE ELE VACILA MUITO,há 9 meses,34,
Não tem elenco pra isso 👍,há 9 meses,15,
Tudo normal ganhou o maior de São Paulo,há 9 meses,11,
"Bragantino na terceia colocação, flamengo campeão e botafogo em 8 fora da libert",há 9 meses,6,
​ @user-ni2zm1jw4n  vice já moral.,há 9 meses (editado),2,
"Bragantino eu não sei, agora o mengão chega e vai ser campeão.",há 9 meses,8,
Não,há 9 meses,2,
 @user-ni2zm1jw4n   dai tu acorda,há 9 meses (editado),0,
" @Flameeennngooo  Só o Bota não vencer 5 jogos e 2 empates de 11 jogos, ai o fla pra ser campeão teria que continuar a vencer sem parar dando uns 8 a 9 vitórias. Se o Bota vencer 5 jogos e 2 empates abraços amigão.",há 9 meses (editado),5,
