text,time,votes,replies
Por que quase todas as vezes o jogos do meu Atlético MG ninguém narra,há 11 meses,0,
🥰,há 11 meses,0,
que porra é essa que o fernandinho arrumou gente kkkkkkk,há 11 meses,0,
"Pedrinho pelo meio é um jogador, sendo ponta direita é outro.",há 11 meses,0,
Vitor Roque no Palmeiras ou Flamengo teria uma marca de 1.7 gols por partidas facil.,há 11 meses,0,
"Felipão arruma está defesa, então!!!.",há 11 meses,0,
pq o cara não pode comemorar? Jogador não respeita o momento mais importante do outro,há 11 meses,0,
"O Atlético montou a equipe perfeita
Diretoria covarde
Jogadores covardes
Técnico covarde
Clube covarde
Agora é só um covarde passar a mão na cabeça do outro e tá tudo perfeito 
Bando de incompetentes
Parabéns aos envolvidos",há 11 meses,0,
O galin só tem mercenários e enganadores. E o Vítor Roque não pode ver o galin na frente que adoooooooora meter gols nelas! kkkkkkkkkkkkkkkkkkkkkkk,há 11 meses,0,
"Impressionante que elenco sem compromisso esse do Galo,os caras estão fazendo o que quer dentro do clube,que diretoria medíocre, omissa e desrespeitosa com nós pobres torcedores , porque fomos gostar e amar essa cachaça estraga que é esse tal de futebol?Vou parar de torcer é muta sacanagem.",há 11 meses,0,
Só eu vi o Fernandinho indo lá buscar o Roque que estava querendo comemorar por uns 30s,há 11 meses,1,
Everson goleirao!! E ainda tem gente que tem a coragem de critica- lo,há 11 meses,0,
GALOOO,há 11 meses,0,
"C tá doido, o galo jogou muito",há 11 meses,0,
video sem áudio,há 11 meses,0,
"Po mano dava pro Atlético MG ganhar esse jogo, o Atletico pr no 1 tempo criou poucas oportunidades",há 11 meses,1,
"Alguém sabe dizer,porque os jogos do atlético Paranaense não tem narração nos vídeos.",há 11 meses,0,1
Uu78,há 11 meses,0,
Atlhetico Pr foi massacrado em casa,há 11 meses,0,
narração top essa,há 11 meses,0,
Ele não assinou com a Globo,há 11 meses,1,
"Hoje ficou claro o quanto a arbitragem brasileira sofre; Olha esse jogador do Atlético Mineiro o Huck, é o cara que mais reclama da arbitragem no Brasil, depois dá um péssimo exemplo desses; nitidamente o time está sem comando algum; estava escrito que o time iria levar um gol, esse técnico é o maior retranqueiro do Brasil.",há 11 meses,0,
😂 Esse furacão aí e horroroso modinha futebol clube misericórdia 😂😂😂,há 11 meses,1,
"Não sei pq o Hulk quis cavar aquele cartão amarelo, brother o próximo é contra o Botafogo. Galo jogou o primeiro tempo uma maravilha, mas não teve intensidade para continuar no segundo tempo!",há 11 meses,1,
a crise deve ter chegado ao Ge.Não tem sequer narrador.Cazé tv.agradece,há 11 meses,0,
Parabéns atlético ganhou um ponto melhor que nada,há 11 meses,1,
Enquanto tiver a panelinha na malfadada CBF os melhores não deram chamados😅😅😅,há 11 meses,0,
Também com esse ex técnico Felipão fica difícil mesmo conseguiu perder uma libertadores mais fácil de ganhar de todos os tempos com o furacão😅😅😅,há 11 meses,0,
Vitor roque respeitando bandeirinha do Atlético paranaense chutando 😅😅😅,há 11 meses,1,1
Jogo Bem Equilibrado 😮,há 11 meses,6,1
O patético mg perdeu um caminhão de gol... Sorte do patético pr....,há 11 meses,0,
tem gente que ainda vai culpar o weverson pelo gol de empate,há 11 meses,0,
Aqui e cruzeiro adoro empate,há 11 meses,0,1
então vcs dirigentes para de procurar jogadores de nomes e vão atrás de jogadores que querem jogar futebol blz porque nome não manda nada oque manda e entrar no campo e jogar futebol é oque está faltando no nosso time,há 11 meses,1,
na minha opinião mais uma vez sobre o Atlético mg é porque tem um defeito muito feio que faz um gol e acha que está ganho o jogo tem que melhorar muito sobre isso sobre a zaga meio de campo e um camisa 10 que até hoje não vi no galo quantos jogadores que estão com salário alto e não jogam tanto assim é melhor procurar melhorar antes que seja tarde e depois quer colocar culpa no técnico os jogadores também tem que fazer sua parte se eles são titular essa é a minha opinião sou galo doido mais como torcedor quero melhoraria,há 11 meses,2,
Me explica porque todos os jogos do atletico paranaense no brasileirao nao tem narracao ? Estou sem entender isto desde 2020,há 11 meses,0,
"Pra mim foi uma jogo equilibrado. No primeiro tempo, o galo teve suas vantagens, e no segundo o furacão se ajeitou e entrou pro jogo quando o ritmo do galo caiu. Portanto, 1 a 1 foi relativamente bom para os dois.",há 11 meses,11,
Nao tem condições o Jemerson ser titular nessa zaga 🤦🏾‍♂️,há 11 meses,0,
Nenhuma narração ligada a narração desligado,há 11 meses,0,
Vitor roque é o terror do galo kkk,há 11 meses,0,1
Este ano se o furacão não classificar pra libertadores é um vexame.,há 11 meses,0,1
"Esse negócio de juiz dar cartão pra jogador que chuta bandeirinha acho um absurdo, futebol tá muito mimizento",há 11 meses,0,
"Esse Vitor Roque não passa em branco contra o galo, tem que mandar ele pra Europa logo",há 11 meses,1,
👍🏼,há 11 meses,0,
Sim! Só que ele mais perdeu para o galo que ganhou,há 11 meses,0,
"Vexame, isso é o normal de toda a história. Vexame é um time já campeão de libertadores não classificar.",há 11 meses,0,
O Time tá um sono danado.,há 11 meses,0,
"Atlético Mineiro é Gigante  ✅
Atlético Paranaense é pequeno 😂
Sou Boca Juniors é gigantesca 🇦🇷",há 11 meses (editado),3,2
Essa. Feiticeiro não Conseguir  Pegar.   OK,há 11 meses,1,
"Roque sempre faz gol no galo, incrivel.",há 11 meses,7,
Ta em choque mais um gol do Vitor roque,há 11 meses,0,
Victor Roque salvou o time da derrota.,há 11 meses,0,
Narração top gostei mt 👏🏻👏🏻👏🏻,há 11 meses,27,
"a torcida xingou os dois tecnico de burro e tem razão, dois incompetentes, um com medo do outro em cada tempo, o furacão levou vantagem, porque a torcida mete medo, o galo mineiro continua o mesmo, ruim de bola, so porque bateu no santos pensou que tinha tomado vergonha, dois time mentiroso",há 11 meses,0,
Jemerson entregou o galo. Esse fdp,há 11 meses,0,
"Está em choque? Chama o Vitor Roque.  
Mlk joga fácil 🔥",há 11 meses,1,
Jemersom e ruim com força 😂😂😂,há 11 meses,0,
Vitor Roque é carrasco do Atlético Mineiro. Pelo amor de Deus,há 11 meses,0,1
Vitor Roque salvando o Athletico-PR,há 11 meses,4,
Jemerson sempre levando nas costas e chegando atrasado! Fora!,há 11 meses,0,
