text,time,votes,replies
"Marinho sempre foi carrasco do SP, muito raro até hoje ele perder para o SP, EU pelo menos nunca vi¡!!",há 3 meses,0,
Achei que era esse jogo,há 3 meses,0,
FORTALEZA VEZ DE NOVO ELE FEZ DE NOVO,há 3 meses,1,
Parabéns Fortaleza ec 🦁 🇫🇷🇫🇷,há 7 meses,2,
🤐😍😍🤐😍😙😙😍🥲🥰😙🥰😙🥰🙂🥰🙂🙂🤪🤪🙂🤪🙃🙃🤪🙃🤪🤪🙃🤪🙃🥰🙃🥰🙃🙃🥰🥰🥰🥰🥰😉😃😃😄😄😄😃🙃😍🥲🤐🤑🤐😙🤩🤩😙🤩🤐😍🤐🤐😝🤪🤐🤪🤐🤐😇🥲🥰🥲🥰😋😇😛😇😊,há 7 meses,0,
😙😍😙😙🥰🥰😙🥰🙂🥰🙂🥰🙂🥰🙂🥰🙃🥰🙃🥰🙃🥰🙃🥰😉😉🥰😉😃😊😃 1:54 😄 1:54 1:54 😄 1:54 😄 1:54 😍 1:54 😍 1:55 😍 1:55 😍 1:55 😍🙂😄🙂😄🥰🙂🥰🙃😀😋😀😉😋😍🤐🤩🤐😙🤩😙🤩😙😝😙😍🥲😍🥲🥰🙃🥰😉🥰😉😉🥰😃😊😃😊😃😉😃😉😄😙😍😙😍😙🥰🥲🥰😋😇😋😇😋😇,há 7 meses,0,
🤐😍😍😙😙😍😙😙😙🙂🥰🙂🥰🙃🥰🙂🥰 1:21 1:21 1:21 🥰 1:21 🥰 1:21 🥰 1:21 🥰 1:21 🥰🙂😄🙂😄🙂😄🙂😄🙂🙂😄🙂🙂😍😍🙂🥰🙃🥰🙃🥰😉🥰😉🥰🥰😉🥰😄😃😊😃 1:24 😃 1:24 😃😅😄🙂😄😙😄😙😙😍😙😍😚😍😚😍😚😍😙😍😙🥰😙😙🥰🙂😀🙃😀🙃😀😉😇🥰😉🥰😉🥰😋🥰🥰😉🥰😊🥰,há 7 meses,0,
O que vocês não fazem o vídeo dos melhores defesas do João Ricardo,há 7 meses,0,
Os caras estão vendo vídeo de 10 dias atrás 😅,há 10 meses,1,1
ATENÇÃO TRICOLORES: SOMOS UMA TORCIDA BRANCA E ELITISTAS? PERGUNTE AO PSOL OU PT. 🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️🖕🖕🖕 COM CERTEZA SOMOS PARA A GLOBO. A MESMA QUE NEM MOSTRAVA O SÃO PAULO NA TRANSMISSÃO...,há 10 meses,0,
*2:06*Lucero parabéns arthileiro,há 10 meses,0,
*0:33*golllllllll do Fortaleza,há 10 meses,0,
Estou aqui só pra ver o pênalti encima do Marinho. E o Pênalti que o árbitro não deu justamente encima do Marinho em Itaquera. Caiu em Itaquera o  Juiz Opera. Sempre roubo lá.,há 10 meses,0,
James não pode bater pênalti é fraco já é o segundo pênalti,há 10 meses,0,
EU ACREDITO NO SÃO PAULO FUTEBOL CLUBE FORTEMENTE MAIS AÍ DOIS PÊNALTI PERDIDO 😢😮😢😢😢 OLOKO JAMES UMA FOI A CLASSIFICAÇAO E O LUCIANO SO CARTÃO AMARELO 😢😢😢E VOCÊ ME PERDE MAIS UM PÊNALTI TA COM MEDO JAMES 😢😢😢😮😮😮,há 10 meses,0,
"James fez um gol de muita inteligência, batida impossível do goleiro pegar, faz lances diferentes e não acerta pênalti. Bizarro.",há 10 meses,1,1
1:51 penalti ? onde isso ?,há 10 meses,0,
James Rodrigues tá de brincadeira,há 10 meses,0,
E o medo que as triKAS estão de ver o verdão tetra ?😂😂😂,há 10 meses,0,2
"Fala aí pessoal, Aqui é o PAI DO QUIZ, postamos vídeos de entreternimento sobre resenha de FUTEBOL em formato de Quiz! Não perca tempo e venha se DIVERTIR com a gente!",há 10 meses,0,
"Heheheh.
Tô maratonando as lives do Arnaldo & Tironi e vendo os melhores momentos com 2 semanas de atraso. Ainda nem cheguei no jogo do título da CdB.",há 10 meses (editado),0,
"A culpa não é dele,é os goleiros que já tão ligado onde ele vai bater",há 6 meses (editado),0,
"Ninguém aqui tá ligando pra isso mano, temos coisas mais importantes pra se preocupar. 
Não viaja kkkkkkk",há 10 meses,1,
"Peppas  eliminadas pelo o SP  na CDB , eliminadas pelo o campeão",há 7 meses,1,
pra quem quer ganhar a CDB   nãopode ser assim emcasa!,há 10 meses,0,
São Paulo virou nosso freguês,há 10 meses,1,
Esse lateral do São Paulo é morto,há 10 meses,0,
Kkkkkkk trikas e pepas perdendo e bom demaisi,há 10 meses,0,
"Time do São Paulo não ganha no brasileiro há 2 meses, espero que o flamengo consiga levar pelo menos pros pênaltis no domingo, tem grandes possibilidades.",há 10 meses,0,
Fortaleza tá jogando muito torcendo pra eles na Sul Americana o Vojvoda merece um título,há 10 meses,11,
James joga muito mas tem que falar pra ele não bater os pênaltis,há 10 meses,0,
Saudades nenhuma do Jandrei. 😅,há 10 meses,0,
"DAR NELES FORTALEZA, PARABÉNS.",há 10 meses,3,
"Na próxima troca o cobrador, vi que bater pênalti não é o forte do James, juvenil demais esse Michel Araújo, fez um pênalti desnecessário.",há 10 meses (editado),0,
Parecia a casa do fortaleza 😂😂😂,há 10 meses,1,
Já sabe... tiver penalti... é melhor colocar o gandula pra bater... aff,há 10 meses,0,
"Se continuar assim daqui a alguns anos estará disputando titulo o Fortalezas, disparado o melhor do Nordeste.",há 10 meses,3,
"A bola viajou muito no primeiro gol do Fortaleza, acho que o jandrei poderia ter saído pra dar o soco...",há 10 meses,1,4
James Rodrigues é jogador bom ele só precisa jogar bem o futebol parece que ele desaprendeu ele jogou bem a copa 2014 depois disso mais nada ele fica jogador médio até eu fazia esse gol que ele fez...,há 10 meses,0,
"oxi, cade a narração da globo?",há 10 meses,0,
"Cara, até agora me pergunto como a final da copa do Brasil está sendo entre flamengo e são Paulo 😂😂😂😂😂😂

Dois times simplesmente ridículos, principalmente o flamengo de Sampaoli.",há 10 meses,0,
