text,time,votes,replies
Coritiba jogou muito 💚💚💚,há 6 meses,0,
"Arena Pantanal
27 De Maio
18:30
Premiere",há 1 ano,1,
o Cuiabá fez no início do primeiro tempo e o Coritiba fez gol no início do segundo tempo,há 1 ano,0,
🅱️🅱️🅱️🅱️👻👻👻👻 acorda Coritiba a série 🅱️ e logo ali,há 1 ano,0,
Dois times que vão cair kkk,há 1 ano,0,
"Da pra mandar prender uma pessoa aí 
A Rosana servelin igual.
Que mora em Cuiabá.
Essa mulher quis destruir minha vida
Tá lacrando minhas contas desde que se mudou pra aí.",há 1 ano (editado),0,
Jogão em CU x CU,há 1 ano,0,
Só o coxa leva um gol desse 😢,há 1 ano,0,
Cuiabá e Coritiba foi bom resultado pros concorrentes,há 1 ano,0,
DAVYD KEWSTHON DA ROCHA MAGALHÃES CANAL GE CUIABÁ 1 X 1 CORITIBA 8ª RODADA BRASILEIRÃO SÉRIE A 2023 LIBERTADORES 2024,há 1 ano,0,
Coxa agente tem que conversar seriamente.....COMO CARALHOS VAI GANHAR DO PALMEIRAS PELO AMOR DE DEUS,há 1 ano,0,
Cui 1x1 cor,há 1 ano,0,
"gosto muito do Welliton Silva aqui no Cuiabá, muito rapido e vai pra cima, sempre entra na área buscando o drible e a finalização",há 1 ano,1,
"O Cuiabá tem melhorar o ataque, do meio para trás não está ruim, mas o taque não pode perder gols dentro de casa que fará falta depois, na elite cada ponto perdido faz muita falta",há 1 ano,0,
Dois time horroroso não tem como um ganhar do outro mesmo.,há 1 ano,0,
Gol  de quem bate forte em direcção  ao gool adiversario  nervozo  mais  para o bem que  de ganha e ganha garra  (nao e facil todos clubes tem os bon tambem mais o  cuiaba tem como entrar  jogando logo de cara e com Piti e Deivison e bagunça qualquer defeza adivesaria,há 1 ano,0,2
Isso que eu falo o cuiaba te. Que manda pauláda de loge  os rebotes que tem os rebotes mais uma veis deixo de fazer teve oportunidade,há 1 ano,0,
MT    X    PR     28/05/2023,há 1 ano,1,
Jogo de dois candidatos ao rebaixamento,há 1 ano,0,
Tá tão feio o coxa que a bola custa entrar no gol,há 1 ano,0,
Piti e  rapido Deivisom tabem e sabe mata.coragem ATÉ  otreinador tem que te  em  um  campeonato aue precizamos potua e  o  elenco e reduzido  ontem se esta os dois dentro de casa ..a dife ca mair no primeiro tempo tinhamos saido  com2  x 0,há 1 ano,0,
Se tivece entrado esses dois cetravate  fazendo a pegadas de saida do coxa  o cuiaba tinha ampliado placar eu ainda quero ver os dois jogando juntos .,há 1 ano,0,
Briga direta contra o rebaixamento kkkk,há 1 ano,0,
Assisti esse jogo.,há 1 ano,0,
O COXA É MUITA ZARADO VTNC KKKKKKKKK OLHA O GOL AOS 2 MINUTO DO CUIABÁ KKKKKKKKKKK,há 1 ano,0,
Sport Club Kuyabá 💚. 🤍. 💛,há 1 ano,0,
Hhuuuu777888,há 1 ano,0,
Uuu778,há 1 ano,0,
Cui,há 1 ano,0,
Gol ala Maicon,há 1 ano,0,
Antônio Oliveira reencontrou seus antigos comandados.,há 1 ano,0,1
Cuiabrasa,há 1 ano,0,
"Bom resultado para o Coritiba!
mais um ponto para o Coxa faltam só mais 42 pontos e aí o Coritiba se livra do rebaixamento",há 1 ano,1,
Arena Pantanal em Cuiabá,há 1 ano,0,
F R A N G U E I R O,há 1 ano,0,
Graças a Deus coloquei o Fernando sobral no meu time do cartola,há 1 ano,6,
Frangaço do Walter,há 1 ano,0,
Esse vai ser o gol mais bonito do brasileirão  pode marcar 0:27,há 1 ano,0,
Esse foi jogo das falhas onde os goleiros erraram.,há 1 ano,0,
Que maravilha de gol lindo 👏😍👏😍👏👏👏👏😍,há 1 ano,6,
Esse time do Cuiabá e enjoado velho.,há 1 ano,0,
Duelo dos dois times mas sem graça do campeonato kkkkk,há 1 ano,0,
Que o coxa melhora,há 1 ano,0,
o gol mas cagado do brasileirão ptqp,há 1 ano,0,
Mais uma vez a defesa do Cuiabá fa rata é brincadeira,há 1 ano,0,
"torcendo muito pela queda do coritiba, primeiro time a querer um jogador envolvido em apostas !!!!!",há 1 ano,0,
"Eu nao sei os quatro rebaixados, mais esse curitiba é certo.",há 1 ano,0,1
Tomar Cuiaba indo B,há 1 ano,1,
Esse rogerio correa narra muito achei que era ele q ia narrar flamengo x cruzeiro,há 1 ano,0,
Os time ruim sempre empata,há 1 ano,0,
Coritiba morto em campo e o Cuiabá  me toma esse gol pqp,há 1 ano,0,1
Pombo sem asa do Sobral,há 1 ano,0,
Meu amigo estava sem dinheiro no cartola botou o Sobral e ganhou 14 pontos,há 1 ano,3,
Esse sobral e bom de bola em deus maior trabalho pro Cruzeiro aqui na arena foi pra min melhor jogador em campo era pro Ronaldo pensa em trazer ele em fica esperto Ronaldo,há 1 ano,13,1
