text,time,votes,replies
Parabéns América-MG Felipe Azevedo 🤩🤩,há 7 meses,0,
Que zaga de merda essa do américa em? essa zaga enterrou o time.,há 9 meses,0,
Oi tudo bem,há 9 meses,1,1
"América time bem arrumado , mas sem sorte. Acho que cai",há 9 meses,0,
América tá lutando mas a situação é muito dificil!,há 9 meses,1,
Desisto de ter expectativas que o furacao um dia vai perder na arena da baixada.,há 9 meses,0,
Vitor Bueno o melhor na posição de 10 no Brasil .,há 9 meses,0,
"O time do América é melhor
Q Corinthians
Santos 
Coxa
Vasco e Goiás!
Uma pena estar onde está",há 9 meses,1,
"Golaços, América Mineiro rebaixado",há 9 meses,0,
"Mastriani é um baita atacante, me lembra o Cano no Vasco kkkk se esse cara cair num time arrumado vcs vão ver o estrago",há 9 meses,1,
Atlético-PR 3 x 2 América-MG não derrota 🤦‍♂️🌪,há 9 meses,1,
nossa como furacao perde gols mais tem melhorado muito nos ultimos jogo,há 9 meses,2,
Jogaram bem dois Golaços anbas as equipes jogaram com tudo o que tinham ❤❤❤,há 9 meses,5,1
Essa zaga do América me lembra a zaga do Flamengo batendo cabeça 😅,há 9 meses,1,
"essa jogada do CANÓBIO é de jogador diferente, que joga de cabeça levantada ! lindo passe pro gol.",há 9 meses,3,1
Que tava narrando um jogo era atocida,há 9 meses,0,
Mas o América vai ganhar do Atlético.,há 9 meses,0,
Cap  3x2 ame,há 9 meses,1,
É o Furacão!🌪️🌪️🌪️🌪️🌪️,há 9 meses,6,
corinthains titular e arena lotada suou muito pra empatar a partida e o atletico ganha do america e sacanagem esse corinthans mesmo,há 9 meses,0,
Tudo bem e vc Oxi 😂😂,há 9 meses,0,
COXA NN FALANDO MAL DO CAP? ALGO DE ERRADO N ESTA CERTO,há 6 dias,0,
Ele é um bagre,há 9 meses,0,
"Maravilha de assistir, melhor que narrador da globo...",há 9 meses,1,
Esse Mastriani joga muito. Seria uma boa pro São Paulo.,há 9 meses,4,
"O América  sente a síndrome da Virada.  Se fosse um time de torcida,  certamente  sairia melhor nas competições.",há 9 meses,2,
Melhor narrador da globo,há 9 meses,1,
QUE ISSO AMÉRICA?,há 9 meses,0,
