text,time,votes,replies
"🌟 Confira todos os melhores momentos com mais replays em ge.globo: https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/01-10-2023/santos-vasco.ghtml

🌟 Assine Premiere: 
https://gplay.la/ytgepremiere",há 10 meses,118,12
Soltedo pai do Vasco,há 12 dias,1,
"Bem feito pelo rebaixamento, tomara que nunca mais volte. Depois desse jogo eu passei a odiar esse time!",há 2 semanas,0,1
2:08,há 2 semanas,0,
"Jogo foda, depois desse jogo nunca mais parei de assistir jogos do santos",há 1 mês,0,
Oi,há 1 mês,0,
Kkkkk o tamanho do soteldo kkkk,há 1 mês,0,
"Por mais q caimos pra B aprende ai são paulo😂😂 msm com o time ruim 4x1 p nois, o pai ensina mas o filho nn aprende não msm",há 1 mês,2,
"Por mais q caimos pra B aprende ai são paulo😂😂 msm com o time ruim 4x1 p nois, o pai ensina mas o filho nn aprende não msm",há 1 mês,0,
Sou carioca eu toso pra o santos,há 1 mês,1,
Dois sacos de pancada brigando Vasco e Santos,há 1 mês,1,
Viúvas do Pelé 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,há 2 meses,1,
Venho informar q i final foi triste 😅😅😅,há 3 meses,0,
2:08,há 3 meses,0,
"Nesse dia o Santos foi rebaixado, por falta de humildade. 😊",há 4 meses,0,
"Aqui eu tive 100% de certeza que não íamos cair, po Santos era só uma única vitória nos últimos 5 jogos, 1 Vitória 😭😭😭",há 7 meses,0,1
Vasco perdeu a cabeça depois do segundo gol do santos😢,há 7 meses,1,
No final o Santos realmente pisou na bola com a torcida kkkkkkkkkkkk,há 7 meses,1,
"O sinal da pisada na bola do jogador do Santos foi um aviso , Santos pisou direto pra série b",há 7 meses,2,2
Amazonas x santos quem diria kk,há 7 meses,1,
👍,há 10 meses,3,
Ninguém fc só na retranca deu sorte que jogou contra time pequeno,há 10 meses,3,
Bascaum nunca decepcionar em decepcionar 😂,há 10 meses (editado),4,
"Sou vascaíno, e espero que eles melhorem na tabela",há 10 meses,2,
Pelo jeito o Santos não vai cair 👍,há 10 meses,1,
Prantos jogou com um acabado nanico igual ele,há 10 meses,1,
"Vcs sabiam que o maior público da arena pantanal é flamengo e santos?foi em 2016, o mediano santos mandou o jogo pra lá, mas, 99 por cento da torcida, pertencia a torcida fodastica do gigante flamengo. Lembrando que Mato Grosso fica bem mais perto de São Paulo, do que do Rio. Santos nunca foi grande, foi invenção da mídia Paulista e da mamãe CBF. Como que pode um clube ter ganho 1brasileiro, 1 libertadores e um mundial, jogando apenas 10 jogos? Que piada é essa? Só Brasil mesmo 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",há 10 meses,0,
A cada resposta no meu comentário o Vasco faz 1 gol 😂😂,há 10 meses,0,
​ @alexandremoraesalmeida33 Fala oque n sabe Varmengo vulgo cheirinho só ganha se for roubado sem o var eu n consigo,há 10 meses (editado),0,
​ @luanacam não sei quem é mais pequeno vasco ou teu patetico mineiro fica quieto galinha,há 10 meses (editado),0,
​ @isaquemartins1110 obrigado por nós dar views e engajamento seu tonto,há 10 meses (editado),2,
rede globo: vtnc,há 10 meses,0,
Por qual motivo ?,há 4 dias,0,
"Santos merece cair até pra série D, time sem torcida 🅱️🅱️🅱️🅱️🅱️",há 5 meses,1,
Ele tinha que ter pisado na sua cara,há 6 meses,0,
Soteldo nem no santos tá mais,há 6 meses,0,
Eu so tive uma ilusao nesse jogo que o santos n seria rebaixado,há 7 meses,0,
arere o santos vai jogar a serie b pisa na bola agora seu merda kkkkkkkkkkkkkkkkkkkkk,há 7 meses,1,
"Era gol para cada rebaixamento, os 4 gols do Santos em homenagem aos rebaixamentos do Vasco, e o gol do Vasco em homenagem ao rebaixamento do Santos agora kkkk",há 7 meses,1,
"parabéns Soteldo! 
Subiu em cima da bola pra cair direto pra Série B! 
kakakaka'",há 7 meses (editado),2,2
Sobe na bola aí Soteldo,há 7 meses,2,
Muito bom estar aqui após o rebaixamento de vocês! 😅,há 7 meses,2,
qual o próximo time jogar no vila rebaixada?,há 7 meses,2,
"pras pessoas que falaram que o santos fez um gol pra cada rebaixamento do vasco


eu acho que o gol do vegetti foi um sinal",há 7 meses,3,
Um gol pra cada rebaixamento literalmente,há 7 meses,2,
"E caiu...
Kkkkkkkkkkk",há 7 meses,3,1
Voltando aqui só para dizer que no final do Brasileirão quem foi humilhado foi o Santos.,há 7 meses,4,
Quem está rindo agora?,há 7 meses,1,
Faltou humildade...,há 8 meses,3,
"Venho do dia 6 de dezembro pra dizer que o Santos caiu pra série B😅😅😅, os salários estão atrasados , a vila Belmiro virou palco de guerra,ônibus foram queimados,,parecia faixa de Gaza. Ah! O Soteldo não subiu na bola dessa vez😅😅😅😅😅😅😅😅😅😊",há 8 meses,5,
Comemoram um rebaixamento  com os 7x1 sofrido do  Inter,há 8 meses,2,
Um gol pra cada rebaixamento dos clubes 🤣🤣,há 8 meses,2,
SOBE NA BOLA AGORAKKKKKKKKKKKKKK,há 8 meses,3,
Quem caiu????? 😂😂😂😂😂😂 bbbbbbbbbb sobe na bola agora 👻🅱️,há 8 meses,3,2
Agora o Vasco continua na serie A e o Santos vai desfrutar a série B !!! 😂😂😂😂😂😂😂😂😂,há 8 meses (editado),3,2
Mal sabia que ele seria rebaixado kkkk,há 8 meses,3,
"Se seu medo é enfrentar o Soteldo, se prepara que ele vem agr com o grêmio de Suárez",há 7 meses,0,
" @Gabriel1206  Medo eu tenho é do meu pai, prr de soteldo kakakak.",há 7 meses (editado),0,
Firmeza rei dos rebaixamentos,há 6 meses,0,
Teu time é o rei dos rebaixamentos fique quieto,há 6 meses,0,
 @LucasGoncalves-xc1bk  Um mês depois ainda chora 😂😂😂😂😂 b👻,há 6 meses (editado),0,
Vasco é o rei dos rebaixamentos penta rebaixado 👍🏻,há 6 meses,0,
 @LucasGoncalves-xc1bk  Então o rei da série B tá na série A e vcs estão na série B. Boa série B trouxa !!! 🤣🤣🤣🤣,há 6 meses (editado),0,
O soteldo ninguém mandou fazer isso com o indefeso do vasco pra fazer que eles tavam no g4  agora tá  vocês na crb,há 8 meses (editado),0,1
E agora José?...,há 8 meses,1,
E agora e so pisar na bola na Serie B!!!,há 8 meses,2,
Santos fez gol a carta e rebaixamento do Vasco e o Vasco fez gol a carta rebaixamento do Santos😂,há 8 meses,0,
