text,time,votes,replies
"Torço pro Santos, mais pra mim o Cruzeiro é o maior de Minas, lembro de 2013, 2014 o Cruzeiro naquele ano o time era uma máquina.",há 5 meses,0,
Bora Bahia Éverton Ribeiro ❤💙,há 6 meses,0,
"E o cruzeiro é roubado todo jogo e ninguém fala nada. Mesmo ganhando o cara do Bahia deu uma cotovelada que se fosse do cruzeiro era expulso na hora, os caras da direção precisam protestar mais tb.",há 9 meses,0,
"Por que a torcida do Cruzeiro cantou o refrão da música ""prefixo do verão""? Era provocação pro Bahia?",há 9 meses (editado),0,
ERA PARA SER 4X0 VIU,há 9 meses,0,
Goleiro do Bahia fraco de mais 😂,há 9 meses,0,
o gigante voltou e vai brigar pelo titulo,há 9 meses,0,
⁰,há 9 meses,0,
3 gols sem querer,há 9 meses,0,
O cabuloso arrasou,há 9 meses,0,
Assisti esse jogo,há 9 meses,0,
Sou flamengo mais Namoral cruzeiro precisa contratar 5 jogadores pro ano que vem 2 zagueiro 1 meia armador e Centro avante e mas um ponta e um pq se o Cruzeiro continuar assim não vai adiantar ano que vem precisa de reforços o ataque e a defesa e o defeito do cruzeiro mais parabéns pela vitória MAIOR DE MINAS 💙🤍💙🤍,há 9 meses (editado),0,
"Primeira vitória do ano no Mineirão, e que vitória, time se comportando muito bem em campo com esse esquema de 3 volantes, Mateus Pereira jogando o fino da bola, e nesse esquema Arthur Gomes e Bruno Rodrigues recendo a bola com liberdade na infiltração e no mano com os marcadores, Zé Ricardo encontrou a forma desse time.funcionar em campo",há 9 meses,0,
"Obrigado goleiro do Bahia, conseguiu falhar em todas. Meu cruzeiro deveria pegar goleiro assim toda rodada",há 9 meses,0,
"É impressão minha ou olhando assim rápido, o Zé Ricardo tem uma parecença com o Guardiola?",há 9 meses,1,
"Além do bom jogo ! Do Cruzeiro, a saga do Bahia bateu a cabeça demais",há 9 meses,0,
"jogo horrível, era pra ser 0x0",há 9 meses,0,2
1hd x  xc,há 9 meses,0,
Esse camisa 9 do cruzeiro é muito fraquinho coitado!,há 9 meses,1,1
Os gols foi meio chorado tem que melhorar mais pra te eficiência em jogos mais défices,há 9 meses,0,
Tenho certeza que vc viu o jogo inteiro 😅,há 9 meses,1,
"cruzeiro perdeu gol demais, n fosse a ruindade seria uns 5x0",há 9 meses,0,
Bom é o do seu time né kkkkkkkkkk😂😂,há 9 meses,0,
Essa zaga do Bahia é uma piada,há 9 meses,0,
Bahia tem que cair mesmo perder para um time feio desse do cruzeiro,há 9 meses,0,
"Se for reparar bem , os 3 gols na cagada 😂. Mas gnahou ner .",há 9 meses,0,
Meus Deus jA n aguento mais vê o Bahia perde,há 9 meses,0,
Oq o willian é-o marlon tá jogando é brincadeira pó,há 9 meses,1,
Venceu o maior de Minas 🦊,há 9 meses,1,
"Esses laterais jogam de mais ,cabuloso",há 9 meses,1,
Só o Inter pra perder pra esse timeco do Bahia,há 9 meses,0,
"Sou torcedor do athletico pr , mas admiro muito a história do maior de minas avante cruzeiro vc é gigante nao pode cai não",há 9 meses,4,
"Pelos ""melhores momentos"" o jogo foi Ataque do Cruzeiro x Defesa do Bahia. 
Abre olho Rogério Ceni!",há 9 meses,0,
O EC.BAHIA E ASSIM MESMO NÃO TA NEM AÍ PARA A REPUTAÇÃO DO TIME DEVE TER SIDO MEDO DE RONALDO QUÊ DEVE ESTÁ ASISTINDO O JOGO FICARAM NERVOSOS E DEIXARAM Ô CRUZEIRO VENCER POR 3X0 ISSO ATE E NORMAL PARA OS JOGADORES DO EC. BAHIA QUÊ SEMPRE ESTÁ PERDENDO JOGO JÁ VIROU TRADIÇÃO DO EC. BAHIA SE NÃO PERDER NÃO FICAM SATISFEITOS.,há 9 meses,1,
"A PARTIR DE HOJE, E PELO RESULTADO DOS 2 ÚLTIMOS JOGOS . . . . NUNCA MAIS DEIXEM O RONALDUCHO, ESTAR PRESENTE NOS JOGOS DO CRUZEIRAÇO !  O GORDO PÉ FRIO DOS  INFERNOS . . . .  PROIBE ESSE GORDO VIR ASSISTIR JOGO DO CLUBE . . . .",há 9 meses,0,
