text,time,votes,replies
"Vitória do Vasco no Maraca! O Gigante da Colina vai conseguir ficar na Série A? 💢 ⚫⚪
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 11 meses,254,38
O YouTube me recomendando esse video faltando poucas horas da partida de Vasco e atlético 😂😅,há 2 semanas,0,
"Que gol! Se quiser mudar de vida com programação, meu canal tem conteúdos legais!",há 1 mês,0,
Esse foi um dos melhores jogos que eu ja assistir no Maracanã,há 5 meses,0,
Essa vitória foi fundamental concernente à motivação!,há 7 meses,0,
Vasco,há 8 meses,0,
Quem Diria serginho um tempo depois ajudando o vasco e Santos indo pra serie B,há 8 meses,1,
Obrigado VASCAO,há 9 meses,1,
Vascao o verdadeiro campeao brasileiro 2023 eo futuro campeao brasileiro 2024,há 11 meses,0,
1 hora e meia de jogo só presto 3 minutos,há 11 meses,1,
E hoje o vasco viro cozinheiro e frito galinha frita,há 11 meses,0,
Estádio do Maracanã no Rio de janeiro,há 11 meses,0,
Respeita meu galo tri campeão brasileiro 🏆🏆🏆😉,há 11 meses,0,2
Freguês né fazer o que,há 11 meses,1,1
👏,há 11 meses,0,
"Mais se o Vasco não ganhasse deste time, aí seria uma vergonha .",há 11 meses,0,
Vasco vai cai agora vai pega logo o Palmeiras vai se amassado 🅱️🅱️🅱️🅱️🅱️👻👻👻👻👻👻👻👻👻👻👻👻,há 11 meses,0,2
eu torco pro atlhético pr,há 11 meses,0,
Gabriel PEC precisa urgentemente acertar essas decisões erradas no contra ataque,há 11 meses,0,
"Olha o juiz cabeceando junto com o vegette no travessão no sg 0,52",há 11 meses,0,
DEPOIS DESSE JOGO EU TENHO CERTEZA ABSOLUTA QUE O VASCO VAI INICIAR UMA ARRANCADA E SER CAMPEÃO! (OBS: SOU FLAMENGUISTA RUBRO-NEGRO DE CORAÇÃO). O VASCÃO ESTÁ DEMAIS... 😵‍💫,há 11 meses,14,
Eu acredito que vai cair 😢,há 11 meses,4,
"VAMO VASCO, GIGANTE NÃO CAI",há 11 meses,6,
O Vasco tá melhorando.Quem vai cair é o time de várzea do Santos,há 11 meses,6,
"Se depender do narrador e comentarista o vasguinho já tá,eu guero saber deles se eles preferem receber lá neles a de payt na zona ou fora da zona!!",há 11 meses,2,
Sim e aínda da pra pega uma sula,há 11 meses (editado),9,
AGENTE VAI BUSCA UMA VAGA NUMA COM PETIÇÃO INTERNACIONAL AQUI E VASCO 🔥🔥,há 11 meses,3,
Sim,há 11 meses,1,
​ @torcedor2737 fala estressadinho,há 11 meses (editado),0,
​ @ThonnySKT Ser campeão? Kkkkkkkkkkkkkkkkkkk tá viajando? Os times que vão brigar por esse título é Palmeiras e Botafogo,há 11 meses (editado),1,
acho difícil,há 11 meses,2,
" @EdsonsimpliciodeCarvalho-du7xh  lá ele kkkkkkkkkkkkkkkkkkk Que porra de nome é esse? Não vou falar mais com você porque eu sou é macho, inclusive eu sou o mais macho desse canal",há 11 meses (editado),0,
😮😮 obrigado vasco por coloka menor do brasil no seu lugar,há 11 meses,2,
