text,time,votes,replies
"Quem foi o craque do jogo?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 8 meses,34,14
Obrigado Bragantino ❤🖤,há 6 meses,0,
O Valencia é muito frio. Lembrou a cobrança de penalti contra o River Plate,há 8 meses,0,
O time do energético lembrou o Grêmio: Ambos sem mundial,há 8 meses,0,
braga foi virjão  e quando viu a pata de camelo da morena não soube oq fazer e quando ela disse : me faz gozar gostoso ...e no ajeitar do pau pra enfiar ele gozou a propria mao.,há 8 meses,0,
Inter vence em casa mais uma.  29/11/23,há 8 meses,0,
"Que gigante vitória do maior do Sul...nao é faci ganhar do Bragantino, greminho que o diga kkkkkkkkk",há 8 meses,1,
Dá-lhe inter!!!,há 8 meses,0,
"Acabei de postar o video com o TOP 5 GOLS MAIS BONITOS da rodada 35 do Brasileirão, confere la e vê se concordam?",há 8 meses,0,
Bragantino voltou já a perder tb!,há 8 meses,0,
eu sou colorado e eu asisti esse jogo o ener  faz penalti com facilidade,há 8 meses,1,
"Q Deus abençoe imensamente o senhor Augusto Melo pra q ele faça um bom trabalho pelo Timão e não seja mais uma ilusão, vai Corinthians 🔥🔥🔥🔥🔥",há 8 meses,0,
VALENCIA...O ATACANET DOS GOLS SEM IMPORTANCIA...QUANDO PRECISOU ...ERROU 2 RIDICULOS CONTRA O FLOR,há 8 meses,0,
"Internacional 1 x 0 Bragantino não derrota 🤬

Gaúcho Feminino 2023 🏆❌️
🇮🇩 Internacional 3 x 1 Grêmio 🇪🇪
🏆 Final 🏆 

Campeão: Internacional 🇮🇩🏆
😭

🇪🇪 Grêmio preguiçoso não derrota 🤬

Tchelo Técnico Burro Burro Burro 
Demitido 🫏🤬❌️",há 8 meses,1,
"Esse Valença é bom de bola, so q perder muito gol",há 8 meses,1,
Enner valência joga muito,há 8 meses,1,
Bate bem na bola.,há 8 meses,1,
Monstro sagrado,há 8 meses,0,
"Esse é o problema de time pequeno, quando tem a chance de conquistar algo inédito no fim sempre pipoca, o caso do fortaleza, chegou numa final pra no fim perder, claro que time grande tbm pipoca, mas a diferença é que o time grande ja tem várias conquistas. O bragantino podia ganhar o titulo e tirar dos grandes q tão lá em cima tipo flamengo ou palmeiras, mas não, eles vai e perdem pro internacional kkkkkkkkkk pqp",há 8 meses,0,
Que pênalti foi esse?kkkkkkkkkkkkk,há 8 meses,0,
Assaltaram o bragantino,há 8 meses,0,
"Que demora pra postar hein Dona globo,já foram + rápidos.",há 8 meses,5,
​ @henriquesalemaraposo8610 kkk,há 8 meses (editado),0,
"Uma pergunta dona globo:
Vocês odeiam o Inter?
Parece q vcs não ligam pra ele e tipo ""Oh esse time perdeu, que triste:[ e o Inter existe""",há 8 meses (editado),4,
Pra que palavra dessas????????,há 8 meses,1,
Porque demorou pra postar essa pohaaa!!!!,há 8 meses,3,
​ @BetoFernandes11 se for time fora do eixo eles demoram 1 hora tranquilo para postar,há 8 meses (editado),0,
​@@edi-73x0🐔🐔🐔🐔,há 8 meses (editado),0,
"O árbitro foi o craque, jogou muito",há 8 meses,1,
Árbitro 😂😂😂,há 8 meses,1,
 @henriquesalemaraposo8610  acho que não não jogam nada só chutao e cruzamento ruins demais mesmo vendedores de linguiça nunca irão ganha um título tão cedo ... só sonho são ruins demais ... o energético e paraguaio,há 8 meses (editado),0,
Igor gomes,há 8 meses,0,
​ @henriquesalemaraposo8610  kkkkkkk confia,há 8 meses (editado),1,
Jonny do Internacional,há 8 meses,3,
Jogasso,há 8 meses,0,
Essa camisa do RBB é muito bonita 🎉🎉🎉,há 8 meses,2,
Aqui é inter,há 8 meses,0,
"Cadê o tal de Pedro Caixinha agora? Disse que tava ganho no Beira Rio, o que aconteceu?",há 8 meses,0,
Esse enner valencia joga mt bola. Bela contratação do inter,há 8 meses,11,
"Valência joga muito. 
Será que continua no inter no próximo ano?",há 8 meses,0,1
O último lance de perigo do jogo foi aos 6 minutos do segundo tempo?,há 8 meses,0,1
Jogo foi tão bom q os melhores momentos foram só no segundo tempo,há 8 meses,3,1
Kkkkk esse energético nem em 50 anos chegarà perto do maior do brasil SPFC isso è FATO,há 8 meses,0,
"O Bragantino, assim como o Botafogo, pipocou no 2º turno. O Braga teve só 3 derrotas no 1º turno, mas teve 5 derrotas no segundo turno. E tem a terceira melhor defesa (levou 31 gols), atrás apenas do Atlético-MG (27 gols) e do Cruzeiro (30 gols).",há 8 meses (editado),0,
"Ué segundo o tal de caixinha eles iriam ganhar usando seu grande mental kkkkkkkkkkkkkkkkkkkkkkkkk
Quem quer ganhar no Brasil primeiro tem que fechar a boca e respeitar!",há 8 meses,0,
Apesar da vitória o time Inter está horrível  muito ruim ...ali só salva Valência e o Rochet ...o resto pode mandar embora...quase perde o jogo .....isso q é um clube grande ....se entrar com esse time ano vem ...com certeza vai para série B......lutando pra não ser rebaixado uma vergonha....no final jogo   comemorando como se ganhasse um título vergonha.,há 8 meses,0,
Jogo de arder os olhos,há 8 meses,1,
"Que seja dada uma bola pro Wanderson e fique em casa dando embaixadinhas. Não faz uma assistência, quer entrar por dentro de 2, 3, 4 adversários. Perde sempre as melhores chances do inter. E o Enner já chegou bichado. Quem está contratando no Inter ?",há 8 meses,0,
Eu sou flamenguista mas o bragantino tava jogando muito,há 8 meses,0,
"🐓 3 X 0 🦌
Choraaaaa gazelada da poltrona 36!

😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂",há 8 meses,0,
1:49 será que tem a ver com as casas de apostas ou o back é lento?,há 8 meses,0,
"Meu medo que o Inter não chegasse aos tres pontos,mas chegou.
A probabilidade de cair é dificil agora,porque os demais de baixo,são piores.
Tenho medo ainda,mas enfim,que ano e que acabe de uma vez.
Boa sorte para todos nós colorados.",há 8 meses,7,2
Pprt o Inter fez a boa e conseguiu vencer o Bragantino🔥,há 8 meses,2,
Falta algo a mais para o RB Bragantino ir mais longe nos campeonatos e ganhar títulos.,há 8 meses,0,1
Uma dúvida sobre isso do valência ficar se o jogador assinou contrato por 4 anos e quiser sair do time atual ele têm quê pagar a multa,há 8 meses,0,
Kkkkkkk...o editor tava com preguiça de colocar mais lances no segundo tempo,há 8 meses,1,
kkkkkkk,há 8 meses,0,
Pra te tranquilizar... Ninguém nunca foi rebaixado com 46 pontos somados no brasileirão na era dos pontos corridos. Somente 45 pontos e isso foi uma exceção a regra.,há 8 meses,1,
" @user-yh8so4lj9t  O famoso 45 pontos irmao,eu estava dando uma olhada na tabela,sera que os demais nao podem passar o Inter?enfim.
Que acabe somente este 2023 para podermos debater sobre 2024
Abraço irmão.",há 8 meses (editado),0,
Time pequeno é assim msm n adianta se vender,há 8 meses,0,
Bom jogo 🎉,há 8 meses,0,
O jogo foi tão bom que o juiz apitar o fim do primeiro tempo veio para os melhores momentos.,há 8 meses,17,
Com essa derrota Bragantino fica de fora da disputa do título.,há 8 meses,0,
"Outro cavalo paraguaio, para se juntar com Botafogo.",há 8 meses,0,
"A verdade é uma só, o Inter há muitos anos se apequenou a ponto de um bragantino achar que é melhor. a gente não monta time bom faz tempo...",há 8 meses,0,4
"Obrigado Inter por tirar este rato de esgoto da disputa pelo título. Time sem identidade, sem camisa, sem escudo, vendido. O dia que vencer um brasileirão será o fim do futebol como o conhecemos. Será a era dos times de franquia. Teremos o Coricola vermelho e branco do Paraná, a Ponte Pepsi, azul e branco de campinas, o Guaraná, verde e branco de campinas, o Juvenfanta laranja e branco do RS... e todos eles com escudo das empresas e não seus escudos históricos.",há 8 meses,0,
quanta encheção de linguiça num vídeo de melhores momentos (o ge nunca tinha colocado nesses vídeos o momento que o juiz apita o final do primeiro tempo). Jogo deve ter sido uma bosta,há 8 meses,0,
Boa noite a todos saudações vascainas,há 8 meses,0,
Penalti sem o cartão????,há 8 meses,0,
Bragantino só foi fogo de palha !!,há 8 meses,1,
"Pelos indícios que o Inter deu na temporada, goleada de 7 x 1 e uma boa campanha na Libertadores, demorar esse tempo pra se confirmar no campeonato é um pouco constragedor, mas nessas horas o que importa é se manter de pé, não há como negar, esse brasileirão ta sendo um dos maiores de todos os tempos e extremamente disputado em todo quesito, agora é se planejar pra 2024 e desejar boa sorte aos clubes que ainda lutam por algo 🇵🇪🙌🏼",há 8 meses (editado),22,2
🇮🇩🇮🇩🇮🇩🇮🇩,há 8 meses,1,
