text,time,votes,replies
"O Perri chutou, a bola bateu no corpo ou na mão do atacante do Cuiabá?",há 2 meses,0,
O Cuiabá vence      por 1x0,há 4 meses,0,
Valter e um goleiro bom,há 6 meses,0,
Endrick agradece,há 7 meses,0,
Foi nesse jogo que o Cuiabá deu uma loira pro Endrick,há 7 meses,0,
Foi aqui que tudo começou kkkk,há 7 meses,1,
Esse 11 aí do Botafogo q tentou a jogada desnecessária de letra é o símbolo do desabamento do Botafogo.,há 8 meses,0,
torcedor do Botafogo,há 8 meses,0,
Botafogo 😅 em 1954,há 8 meses,0,
O Botafogo perdeu o título 😂😂 aí,há 9 meses,1,
"Ninguém percebeu, no gol do Cuiabá o goleiro do botafogo chuta a bola nos braços do jogador do cuiabá, dando ainda mais a direção da bola. Isso foi mão braços solto e abertos ainda. a do botafogo também foi mão e não teve tanta direção e foi anulado e esse do cuiabá não kkkkkkk Os juizes brasileiros cada vez pior a cada ano. se não os piores juizes do futebol são brasileiros ou entram na lista dos piores. Vai ser ruim mesmo usando o VAR lá longe.",há 9 meses,0,
Será se o CHORAfogo vai entregar mesmo?,há 9 meses,0,
"Esse Cuiabá o dono disse  "" Vamos Surpreender na Série A"" é colocar nosso time entre os grandes daqui uns anos... Se continuar assim capaz um dia ganhar alguma coisa uma Copa do Brasil pode ser 💛💚",há 9 meses,1,
"bizarro essa falha do pec, esse brasileirão tá mt bom!
Golaços, jogaços, goleadas, chocolates, clássicos fodas e grandes jogadores atuando no Brasil.",há 9 meses (editado),0,
Ao analisar o a suposta mão do Pita basta observar a trajetória da bola que sai do pé do Perri subindo até o peito do atacante e não sobe ao sair do peito porque a mão dele não deixa a bola subir forçando-a de volta para baixo...,há 9 meses,0,
Assisti esse jogo.,há 9 meses,0,
Aqui foi o PONTO DE IGNIÇÃO!,há 9 meses,1,
Muito bom goleiro Valter Muito bom,há 9 meses,0,
Os cara passando a mão no fogão slk,há 9 meses,0,
1x0,há 9 meses,0,
"cuiabá fazendo história, botafogo dominando jogo, walter fazendo o impossível (se jogasse assim todo jogo deveria estar na seleção), enfim é isso, futebol um esporte extremamente imprevisível",há 9 meses,0,
"O VASCO NÃO SOMENTE ACARICIA, COMO TAMBEM TEM A MAIOR INTIMIDADE COM A LEI DA GRAVIDADE.",há 9 meses,0,
Esse marcador tá de brincadeira também kk fraco,há 9 meses,0,
Valter é goleiro de seleção.,há 9 meses,0,
O Cuiabá tem uns dos melhores sistema defensivo do Brasileirão.. se tivesse um ataque mais ofensivo e intenso com certeza seria um dos cabeças do campeonato!,há 9 meses,0,
"Nossa e um podridão esse campeonato brasileiro outro jogo roubado do botafogo, 4 pontos roubados do botafogo, CBF e mais podre que carne estragada, com var ainda nossa gasta nem 1 real com camisetas de times nem 1 real indo em porcarias de jogos, ta bom alimentar malandros para fezerem o que quer besta e quem fica torrando dinheiro com essa nojera desse campeonato.",há 9 meses,0,
"Rapaz como esse tikinho é diferenciado,  joga demais... que defesa espetacular do goleiro do Cuiabá.",há 9 meses,0,
"São Valter, muito bom goleiro, cansou de viver na reserva do Cássio (outro grande goleiro) parabéns Valter, espetacular atuação.",há 9 meses,0,
Esse Valter parabéns q goleiro bom se fosse pra um time grande era titula,há 9 meses,0,
O botafogo vai perde esse título ta vacilando muito,há 9 meses,0,
Que partida do walter,há 9 meses (editado),0,
"Vai lá, dribla dnvo kkkkkkk",há 9 meses,1,
Poxaaaaaaaaaa,há 9 meses,0,
como não anularam o gol do cuiaba? Coloque no minuto 1:45 na velocidade 0.25 e tire suas conclusoes,há 9 meses,0,5
caraio mano eu virei fã demais desse Pita aí kkkkkkkkkkkkkkkkk  isso é q é vontade,há 9 meses,0,1
Luiz Henrique fazer graça achando que o time tá goleando. Por isso fica na reserva,há 9 meses,0,
