text,time,votes,replies
SPFC,há 3 meses,0,
Vai corinthians,há 8 meses,0,
Aeeee SAo Paulo. Eu tava lá e vi ao vivo!!!!❤❤🎉,há 8 meses,0,
Tricolor / cuzeirro,há 9 meses,0,
Eu fui no estadio 😀,há 9 meses,0,
Quem é o narrador,há 9 meses,1,
"Ridiculo demais impedir um gol por causa de milimetros. Deveria ter uma margem de diferença aceitavel, deixa o futebol sem graça",há 9 meses,0,
Vamos São Paulo...ansioso para ver o elenco que disputará a LIBERTADORES ano que vem!,há 9 meses,1,
Os torcedores ainda reclamam do Rafael Cabral. Um baita de um goleiro,há 9 meses,0,
São Paulo venceu em casa mais uma.  05/11/23,há 9 meses,0,
só eu que acho que o goleiro rafael do são paulo deveria ser convocado pra seleção? o cara agarra demais,há 9 meses,0,
"Que time sem vergonha, esse tal de Cruzeiro ...já poderia estar ganhando de 3 a 0 desta draga do São Paulo ...
Vamo, São Paulo,  vamo passar batom ....kkkkkkkkkkkkkkkkkkkkkkk",há 9 meses,0,
Duas certezas: Rafael baita goleiro e James Rodrigues eh craque.,há 9 meses,1,
"Com a derrota do Cruzeiro, a disputa na parte inferior da tabela vai pegar ainda  mais fogo 🔥",há 9 meses,1,
VAMO SÃO PAULOOOOO ! 👊🏻🏟️🇾🇪,há 9 meses,1,
Tafarel é brabo no gol quer dizer Rafael ne,há 9 meses,0,
"Como esse time medíocre, elenco de série b,  conseguiu ganhar a copa do Br? 🤦🏻‍♂️",há 9 meses,1,2
"Não importa se o Luciano fez o gol, ñ tinha q ter tirado o James. Sem ele o meio d campo do spfc morreu",há 9 meses,0,
Rafael na final é melhor kaka,há 9 meses,1,
"Meu primeiro jogo assistindo no estádio, que sensação única, experiência absurda, obrigado pela vitória rapaziada! 🏟️🇾🇪",há 9 meses,6,
"Jogando bem, simples.",há 9 meses,1,
 @Butecodobrawl  🤣🤣🤣🤣🤣🤣🤣🤣,há 9 meses (editado),0,
Rafael melhor do jogo 😂,há 9 meses,0,
É Cabuloso 🦊💙,há 9 meses,1,
Cruzeiro tá querendo voltar pra Série B? Tomara que não.,há 9 meses,0,
Depois dessa partida o goleiro do são paulo merece um aumento 😂,há 9 meses,0,
Timinho do são Paulo kkkkk,há 9 meses,0,
rapaz eu nao torço pra nenhum mas que jogao,há 9 meses,0,
"RAFAEL, RAFAEL, RAFAEL, RAFAEL,  AMBOS GOLEIRO",há 9 meses,1,
AMBOS GOLEIROS CHAMA RAFAEL,há 9 meses,0,
ESTAMOS JUNTOS SEMPRE TRICOLORES DO MORUMBI,há 9 meses,2,
Milton Leite curintiano ficou triste.,há 9 meses,0,
Vms São Paulo,há 9 meses,0,
Essa camisa azua do cruzeiro lembra agora camisa numero 3 do Santos em 2012😅,há 9 meses,0,
Esse foi meu primeiro jogo assistindo o Tricolor no Morumbi. Incrível e ainda mais com a vitória ❤,há 9 meses,39,3
Coitado do cruzeiro tenho até dó... time não consegui fazer um gol seguer,há 9 meses,0,
Marias rumo a BBB,há 9 meses,0,
"Esse impedimento foi uma vergonha, ridículo!!
 Mesma linha...var lamentavel pq o juiz nem foi lá e deixaram a critério dele. ""Foi ou não?... foi!"" Tnc",há 9 meses,0,
"Não foi uma vitória convincente, mas enfim, uma vitória! Ainda quero ver meu SPFC jogando pra frente, com um ataque avassalador e uma defesa do que funciona! 🇾🇪🤩👏🏾👏🏾👏🏾",há 9 meses,31,
PESSOAL VAI QUEBRAR A CARA PQ JAMES JOGA DEMAIS,há 9 meses,0,
Se Vital é jogador profissional eu sou Astronauta,há 9 meses,0,
"Resultado mais justo seria um empate.
Mas nem sempre o futebol é justo.
Saudações azuis
💙💙",há 9 meses,0,
"Foi meu primeiro jogo também irmão, que sensação incrível. 🏟️🇾🇪 pé quente dms kkkkk",há 9 meses,5,
 @FelipeBremer_  demais kkkkkkk tmj,há 9 meses (editado),3,
Sério,há 9 meses,3,
"O Cruzeiro deu trabalho heimmmmmm. 
O James é realmente diferenciado. Parece o estilo do Ganso",há 9 meses,0,
Luciano tem q ser titular nesse time n existe ele ficar na reserva,há 9 meses,0,
Esse ataque do Cruzeiro é uma desgraça viu. Pés torto do caralho,há 9 meses,0,
Porque o Luciano não comemorou com a torcida?,há 9 meses,0,1
James Rodríguez com uma classe absurda,há 9 meses,1,
"1:32 olha isso na frente do juiz kkkk, com todo respeito a vitoria do Sao Paulo, merecido mas olha o nivel do juiz kkkk",há 9 meses,0,
Lucigol ❤🙏👏👏👏,há 9 meses,0,
"Agr esse ano tá pago, não cai mais",há 9 meses,0,
"São Paulo 1 x 0 Cruzeiro Vitória 
😂👏👏👏",há 9 meses,1,
São Paulo x Manchester City,há 9 meses,0,
James Rodrigues é craque sabe jogar,há 9 meses,1,
É são Paulo irmão,há 9 meses,0,
Cruzeiro série BBB,há 9 meses,2,
Eu estou cansado desse goleiro e desgraça da comissão técnica de bosta do cruzeiro não ver isso meu Deus,há 9 meses,0,
😊,há 9 meses,0,
Esse era um daqueles jogos que precisava vencer não importando o desempenho. E foi assim. Faltou futebol mas os tres pontos estão na conta. Agora é buscar mais 6 pontos pra não deixar a minima chance de chegar nas ultimas duas rodadas fazendo conta. E aproveitar pra colocar os caras que ainda não temos certeza pra mostrar se devem ou não ficar.,há 9 meses,1,
"ganhamos a copa do Brasil ok, porém esse time é horroroso, se nao contratar ano que vem, briga no meio da tabela",há 9 meses,0,
A narração desse cara é foda dms,há 9 meses,2,
O Cruzeiro é um timaço. Tanto que está disputando o título. Bruno Rodrigues é líder de gols e assistências no campeonato. Jogador decisivo.,há 9 meses,2,1
Boa São Paulo ajudou eu ganhar uma grana na maior cotação do mundo a Bets bola 🎉🎉🎉,há 9 meses,0,
"Porque ele quer continuar no São Paulo o ano que vem, mas o São Paulo quer vender ele. 😢",há 9 meses,0,
Disputando título?,há 9 meses,0,
TIME GRANDE NÃO CAI,há 9 meses,0,
"são Paulo,tava pedindo pra perder aí o cruzeiro vacila toma um gol ridículo desses é olha que o são Paulo new queria jogar essa defesa do cruzeiro é horrível.",há 9 meses,0,
"Toca no lucigol que é gol, mas que jogo disputado 🇾🇪",há 9 meses,0,
Crizeiro esta com sorte de time de serie B,há 9 meses,0,
