text,time,votes,replies
"Fala, torcedor! 😀O que achou da vitória do Galo?
🌟 Assine Premiere: https://gplay.la/ytgepremiere",há 1 ano,78,19
Galao ta bom veyy,há 8 meses,0,
"Cuiabayer virou Cuiarussia,kkkk",há 9 meses,0,
Umas mizera dessa,há 10 meses,0,
aí credo o galo ganhou mais uma vez aí credo,há 1 ano,1,
Atléticoooooooooo,há 1 ano,0,
Bora Botafogo ❤,há 1 ano,0,1
Eu tava aqui na Arena Pantanal esse jogo torcendo😢,há 1 ano,0,
Galo é galo fi esquecee 😍,há 1 ano,0,
Ganhar do Cuiabá é fácil…. Peraí as marias perderam em casa foi?! 😂😂😂😂😂😂😂😂😂,há 1 ano,0,1
Tinha o mesmo resultado do que Barcelona e Real Madrid,há 1 ano,0,
Não foi pênalti no Hulk 😂,há 1 ano,0,
Hulk  puxa o ataque muita visão de jogo dono das melhores assistência do Brasil,há 1 ano,0,
00:55 que saudades dessa frase 😂,há 1 ano,2,
"Esse Cuiabá é de um timinho de merda, só dá vergonha",há 1 ano,0,
"EnqueteZinha, foi pênalti?  Kkkkkkkkkkkkkkkkk Hulk pique Jaca kkkkkkkkkk meteram a mao no dourado.",há 1 ano,0,
Corinthians vai toma uma taca,há 1 ano,0,
Pavon 🦚 calando a boca de muito atleticano. Aqui é galo.🐓🦚🐓🦚,há 1 ano,0,
"Sei não viu, acho que ganhou mesmo porquê era o fraquissimo Cuiabá.",há 1 ano,1,
"ATLÉTICO-MG É UM BOM TIME, É ISSO QUE EU QUERO DOS TIMES DO BRASIL",há 1 ano,0,
Roubaram o meu Cuiabá!,há 1 ano,2,
Patético dívidas só ganhou Porq o Cuiabá deixou,há 1 ano,1,
​ @Meliodas2-2  pq vc da tanta atenção pro galo se ele é pequeno ? Pq vc se preocupa tanto ? Kkkkk,há 1 ano,1,
Galão da massa é meu time do coração ❤❤❤,há 1 ano,1,
​ @faeloliveira9058  Nem ligo pra esse timeco! Não perco meu tempo com time pequeno👃👃👃,há 1 ano,2,
 @GsXD19  odo mentiroso cruzeirense Cruzeiro já tá perdendo kkkkkkkk😂😂,há 1 ano (editado),0,
Uma bosta,há 1 ano,0,
" @Meliodas2-2  perde tempo  sim mano kkkkk


Tu tá comentando aqui pq ?


Tu assiste todos os jogos 


Sabe até quais títulos o time tem ou  não",há 1 ano (editado),1,
Sem meu pênalti num consigu,há 1 ano,0,
​ @Meliodas2-2 Ia ser 5x0 pro galo um pênalti n mão que n deu,há 1 ano,0,
 @faeloliveira9058  Quem é Bota choro??? Um Bairro do RJ??? Kk,há 1 ano,1,
 @Meliodas2-2  seu Bota choro não tem metade dos Títulos do Gigante Clube ATLÉTICO MINEIRO 😎👍🏾,há 1 ano,3,
​ @palzaoterrordananicada2395  sem o pênalti ficaria 4x3 p Cuiabá,há 1 ano,1,
​ @Meliodas2-2  Sai daqui flamenguista.,há 1 ano,0,
Pela primeira vez nesse ano o galo apresentou um futebol comvimsente.,há 1 ano,0,
​ @edsonbrito_  sai vc incomodado,há 1 ano,0,
Maior de Minas ⚫⚫,há 1 ano,1,
 @palzaoterrordananicada2395  Veiga?,há 1 ano,0,
Achei essa goleada muito importante,há 1 mês,0,
Que bota fogo que aqui é atlético Mineiro,há 1 ano,0,
😂😂😂😂,há 1 ano,0,
Prepara o lombo que o campeão voltou galão da massa terror de vcs tudo😂😂🫶🏾🐓🐓🐓🐓,há 1 ano,0,
"Só goleada!
Palmeiras 4x1 Grêmio
Santos 3x0 Bahia
Botafogo 3x0 Corinthians
Atlético mineiro 4x0 Cuiabá",há 1 ano,0,
"Sou Palmeirense,  mas Pavon joga muito",há 1 ano,0,
"Jogador começa a jogar bem , Coudet:

Vai pro banco kkkkk",há 1 ano,0,
Esse e o pavon de antigamente,há 1 ano,0,
"Vargas jogou bem, participou de 2 dos 4 gols e o pessoal não falou nada dele",há 1 ano,0,
"Galo mereceu a Vitória, mas como sempre, penalti ridículo",há 1 ano,0,
Deyverson não jogou deu nisso,há 1 ano,0,
Povon decidiu o jogo,há 1 ano,1,
"Grande Vitória,parabéns meu galo doido!",há 1 ano,0,
Todos    tem   que    jogar    bem,há 1 ano,0,
Pavon é muito bom de bola.,há 1 ano,1,
AÍ CREDO GALÃO GANHOU MAIS UMA VEZ 🎶🎶🎶🎶🎶,há 1 ano,0,
A maior mudança e a volta do Nathan Silva na zaga do galo,há 1 ano,0,
"Tem que jogar com essa intensidade também na Copa do Brasil e na Libertadores. São mata-matas. Perdeu, já era.",há 1 ano,0,
m4theu0.5,há 1 ano,0,
Hulk quase errou outro pênalti,há 1 ano,0,
Atlético Mineiro    11/05/2023,há 1 ano,0,
"vamos torcer para que este time do Atletico das Minas Belas Gerais melhore cada dia mais, boa tarde , Deus abencoe...",há 1 ano,1,
E só o técnico do galo manter esse esquema tático com 3 zagueiros e não colocar Mariano e  Rubens de titular nas laterais que o tima vai pra frente não sei o coudet não escalou o time com 3 zagueiros contra o Botafogo igual jogou contra o alianz lima,há 1 ano,0,
"Hulk como sempre desequilibrando o jogo ,jpga muito .",há 1 ano,0,
"O problema é iludir com esse jogo
Time ridículo do Cuiabá 
Bom pro Coudet somente…",há 1 ano,0,
Essa formação e a que melhor beneficia o galo pelos jogadores que tem no elenco atual.,há 1 ano,0,
Que pênalti foi esse???? Meteram a mão no Cuiabá,há 1 ano,1,1
Cui 0x4 cam,há 1 ano,0,
Hulk ta com muito folego ainda no quarto gol o pique que ele deu,há 1 ano,0,
Galooooo,há 1 ano,0,
😂 galão da massa,há 1 ano,0,
vamos Galão da massa para cima do internacional 🐓🐔.,há 1 ano,1,
"Cuiabá não pode demitir SÓ o técnico. TEM que demitir o ataque e toda essa defesa RUIM pra cacete.
Até os times de série C estão jogando mais que esses Marajás que não produz nada.",há 1 ano,1,
Tomara que o galo engrene pq to cansado desse joguinho mediano do galo,há 1 ano,0,
O time e esse Hulk Pavon Zaracho e Vargas,há 1 ano,0,
Pavo voando alto🔥🖤🤍,há 1 ano,0,
"O pavon sai antes do meio de campo, e ainda conseguiu participar da jogada,e fazer o gol, parabéns!!!",há 1 ano,4,
Que uniforme feio esse do atlético nessa partida onde venceu o poderoso Cuiaba.,há 1 ano,0,
Galo cria dms se conseguir finalizar bem da pra ganhar varios jogos,há 1 ano,0,
"Galão da massa melhor de Minas,  não tem como!",há 1 ano,1,
"Galão da massa melhor de Minas,  não tem como!",há 1 ano,0,
"O ataque do galo é  bom, comparado ao futebol que tá entregando, mas a defesa, principalmente nas laterais, parece queijo suíço.",há 1 ano,0,
Que corrida inteligente do edenilson no gol do pavon,há 1 ano,0,
Kkkkkkkkkkkk para de show ficou 0x4 chorão,há 1 ano,0,
O galo ganhou porque o Cuiabá é time fraco,há 1 ano,0,
BOAAA Galão da MÁRCIA,há 1 ano,0,
Vartletico em ação,há 1 ano,0,
técnico burro e uma merda.  Ataque tem q ter Pavon Vargas e Hulk.   O resto e japonês.,há 1 ano,0,
Já estava na hora de ganhar né kkkkk.,há 1 ano,0,
Ótimo jogo do galo !,há 1 ano,0,
Contra ataque monstro,há 1 ano,0,
"O Edenilson entrou muito confiante. Puxou o defensor para o meio e liberou pavon que fez belo gol .  fez com conhecimento . Jogo sem bola e fundamental. 
Ate vargas foi bem, correu, ajudou na marcação, e deu passe para segundo gol.
Agora Pavon foi ótimo. 
 Time com 3 atacantes e melhor",há 1 ano,2,
"Contra time fraco, fica fácil....",há 1 ano,0,
"Pavon lá na zaga chegou primeiro que o Edenilson pra fazer o gol
 Leu a jogada certinhoooo e se posicionou pra receber a bola, o Hulk entendeu quem poderia bater pro gol antes mesmo do Pavon chegar",há 1 ano,0,
esse pavón precisa de sequência pq ele tem um bom futebol e já vem mostrando isso,há 1 ano,0,
Gols saindo de jogadas bem trabalhadas . Isso é muito importante,há 1 ano,1,
se jogar assim   não tem pra ninguem,há 1 ano,0,
Ei cuiaba vai ser o 1 rebaixado do br 2023,há 1 ano (editado),0,
Da-lhe Da-lhe galoooo,há 1 ano,0,
Não tem nem um comentário dessa bosta do Cuiabá tem que trocar esse técnico e esses jogadores Nutella,há 1 ano,0,
Esse pênalti ai foi tão real quanto a famosa nota de 3 reais,há 1 ano,0,
