text,time,votes,replies
"Fala, torcedor! 🤙5 jogos e 5 vitórias do Botafogo! Fogão tá firme na briga pelo título?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,418,52
Gustavo Villani Narrando Botafogo X Corinthians,há 4 dias,0,
"Não tem como explicar o Botafogo não ter ganho o brasileiro 2023,jogando por música",há 2 meses,0,
"Como era organizado esse time pqp, muito entrosado. 😮",há 2 meses,1,
"Segovinha não é ruim não,o problema que o sucesso subiu a cabeça dele ,ele tocava bem a bola.",há 3 meses,0,
Humilhando os gambá,há 4 meses,0,
que tristeza esse time n ter sido campeão,há 4 meses,2,
Que tristeza 😢,há 5 meses,0,
"O que aconteceu com o botafogo no 2 turno, tinha tudo para ser campeao",há 6 meses,2,
❤❤❤❤❤❤ essa bola para dentro do gol Botafogo e,há 6 meses,0,
Parabéns Botatogo Patrick de Paula 🤩🤩,há 6 meses,0,
"Mano, sou corinthiano, e no dia do jogo, quando o Corinthians tomou esse terceiro gol, eu nem queria mais assistir o jogo, só paguei a tela do celular com ódio e tomei um gole de água, agr eu n consigo ver um gol parecido e não lembrar do dia que eu quase taquei meu cll na parede por causa do Corinthians kkkkk",há 7 meses,0,
Eu nunca vou aceitar que esse time virou aquele do segundo turno que isso irmão isso não pode ser verdade 😢😢😢,há 8 meses,1,
Gil Goiaba resolveu no segundo turno,há 8 meses,1,
🍿🍿🍿🍿🍿🍿🤣👍🖤,há 8 meses,1,
quem diria que esse time iria entregar o campeonato,há 8 meses,2,
Botafogo a maior pipocada,há 8 meses,2,1
muito bomm!,há 8 meses,0,
SAUDADES,há 9 meses,1,
muito bom!!,há 9 meses,0,
Corinthians é um time pequeno se viu kkkkkkkkkkkkk,há 1 ano,7,
Por mim tá.,há 1 ano,9,
Corinbosta time pequeno,há 1 ano,0,
Sim com certeza,há 1 ano,6,
Botafogo maior de São Paulo 💪,há 1 ano,3,
Botafofo tá dando sorte esse timeco vai despencar na tabela ainda,há 1 ano,8,
Gamba vai falir estádio construído com dinheiro público,há 1 ano,9,
"Sou Botafoguense, estamos no caminho, tem times mais favoritos que nós. Mais voltamos a lutar por títulos sim !!!!",há 1 ano,11,
Cortinas vai ser rebaixado 😂,há 1 ano,6,
​ @luanacam  silêncio freguês,há 1 ano,7,
Eu estou sem time agora,há 1 ano,2,
"Botafogo é cavalo Paraguaio, sempre morre a beira do caminho",há 1 ano,2,
