text,time,votes,replies
Estádio Major Couto Pereira em Curitiba,há 11 meses,0,
KKKKKKKKKKKkkkkkkkkkk.................................!!!!,há 11 meses,0,
Amo esse clube bragantino tem uma boa equipe e um técnico de altíssimo nível valeu braga e nois,há 1 ano,3,
"Bragantino tá mt bem no campeonato , e essa camisa deles é linda dms",há 1 ano,6,
É certo que o sol vai nascer amanhã e que Xoxa vai cair esse ano de novo 😂. Pouco pros coxinha!!!!,há 1 ano,0,
7777,há 1 ano,0,
"Oq foi aquele passe do juninho capixaba vei
Q maestrria",há 1 ano,1,
Ksskks porcarada se fudeu volto normal,há 1 ano,0,
"Todo jogo o verdão sendo prejudicado, todo jogo sem excessão e a poha da CBF não faz nada cara! Pow que arbitragem fracassada essa do jogo de ontem como vários outros jogos.",há 1 ano,1,2
Aaaa,há 1 ano,0,
"O cara de amarelo jogou muito pro Red Bull. Apesar do Coxa não ter jogado nada, ele influenciou o resultado do jogo ao não marcar um pênalti no último lance do jogo! Fora as cobranças de falta que ele mandava voltar ou não dava vantagem quando era para o Coxa!",há 1 ano,6,
Cadê o lance do pênalti em cima do garcez do coritiba dona globo?,há 1 ano,0,
Cor 0x1 Bra,há 1 ano,0,
"Resultado 'justos' como sempre.
Ainda ficou barato.",há 1 ano (editado),0,
"Tem que botar Matheus Gonçalves pra jogar cara , mlk jogo muita bola",há 1 ano,2,
Só faltou o empate do Coritiba pra mim ganhar 200 reais afffffff,há 1 ano,0,
Coritiba virou saf e conseguiu piorar em relação ao ano passado😂😂😂,há 1 ano,3,
venceu o maior,há 1 ano,0,
Esse time do Bragantino joga dmis pqp!!,há 1 ano,1,
Só o Fluminense mesmo pra perder pontos pra esse time patetico do coritiba,há 1 ano,0,
Mimi volta pra segundona menor do Paraná,há 1 ano,0,
" @Antibagres2024  Skksks coloca torcedor primeiro, dentro daquele canil podre e segundo CBF sempre prejudicou os times do Paraná e ninguém nunca fala nada né? Engraçado isso! Agora falar que somos os menor sksksksksksk poodle se aparecendo e não tem torcida. 🤏🤏😂😂",há 1 ano (editado),0,
Bragantino de Sorriso com a vitória fora de casa em 5° lugar no campeonato Brasileiro.,há 1 ano,3,
Roubo da arbitragem mas tambem faltou jogadores importante e sobrou ao jogadores descartáveis que sao horríveis,há 1 ano,1,
👀,há 1 ano,0,
Bom jogo,há 1 ano,0,
"Faltou o último ataque do Bragantino, Gustavinho perdeu uma grande chance!
Parabéns Braga!! Mais uma grande vitória!!",há 1 ano,0,
Não da nada...ano que vem estaremos juntos na série C.valeu coxa....😂😂😂😂😂😂,há 1 ano,0,
