text,time,votes,replies
"Goleada do Bahia! 🔴⚪🔵 Quem foi o craque do jogo?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 11 meses,109,27
Jahia e cavalo paraguaio kkkkk,há 2 meses,0,
tava lá com o meu amor nessa goleada 🥹😞,há 3 meses,0,
esse foi um dos melhores dias da minha vida. estava lá com o meu amor 🥹😞,há 3 meses,0,
"Não sou torcedor do Bahia 
Mas, o Bahia HUMILHOU o bragantino.",há 4 meses,0,
"Mano, o Bahia ficou em 16° mais eu como torcedor do Bahia, observo, que time em, Ademir e Biel correndo parece uma máquina, se pegar tem que ser no carrinho pq se não, esqueça, Cauly no meio campo, joga demais!!!! Agora essa temporada de 2024 estamos com grandes reforços, e vamos brigar bem!!!!!",há 6 meses,1,
Parabéns Red Bull Bragantino Matheus Fernandes 🤩🤩,há 6 meses,1,
"Sou santista, dar prazer ver esse bahia jogar e um time muito rápido",há 6 meses,0,
Ninguem fala mais quem jogou muito esse ano foi thaciano RC vai ter dor de cabeça pra montar esse meio em 2024,há 7 meses,0,
Eu sou santista também as bolas veias todo cagadas,há 10 meses,0,
Arena Fonte Nova em Salvador,há 11 meses,0,
sinto muito mais pra mim o bragantino entregou o jogo que time frouxo,há 11 meses,0,
Cauly bem vindo ao fogão seu time de coração ❤️,há 11 meses,0,1
Aprende Aí corinthians como goleia time pequeno kkkk,há 11 meses,0,
"Próximo jogo molezinha , foguinho no tapetinho",há 11 meses,0,1
"Bragantino jogou bem, Bahia foi cirúrgico e certeiro, vai derrubar o Bota",há 11 meses,0,1
bora baheaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,há 11 meses,0,
esse goleiro do bragantino é só chutar que é caixa kkk,há 11 meses,0,
União flaía muito obrigado baea,há 11 meses,1,
"Temos muito que melhorar ainda, não se deslimbrem com uma vitória precisamos de um pouco mais de empenho do time pra se manter na série A e conquistar cada vez mais êxitos.",há 11 meses,0,
Todos os jogadores do Bahia,há 11 meses,12,
Cauly,há 11 meses,11,
⭐️Bahia e Paiva se amam 💙🤍❤️⭐️,há 11 meses,4,
FICA PAIVA 💙🤍❤️,há 11 meses,2,
O PORTUGUÊS SOBREVIVE PORRAAA 💙🤍❤️,há 11 meses,3,
"CAULY, VICTOR HUGO, ADEMIR, MARCOS FELIPE...",há 11 meses,5,
Cauly é seleção,há 11 meses,7,
CAULY GILBERTO RATÃOOOO ADEMITO,há 11 meses,3,
 @fernandowinchester1531  Ahh meu amigo num e naum....a panelinha ta formada!!!,há 11 meses (editado),1,
Ademir,há 11 meses,0,
"Não existe craque, futebol é equipe.",há 11 meses,1,
Fooooraa PAIVA,há 11 meses,0,
Cauly joga demais,há 11 meses,1,
Ademir,há 11 meses,0,
Marcos Felipe.....esse goleiro é monstro!!!,há 11 meses,1,
Cauly sem dúvidas,há 11 meses,1,
GE Globo/ba!,há 11 meses,0,
Cauly joga facil controla bem o meio campo .,há 11 meses,0,
"Lucas 1:37 Porque para Deus nada é impossível. DEUS NOS ABENÇOE SEMPRE, IRMÃOS EM CRISTO, AMÉM?! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",há 11 meses (editado),0,
Cauly merecia uma vaga na seleção brasileira,há 11 meses,1,
Cauly e Marcos Felipe... Ademir foi bem demais também... e o zagueirão ex Palmeiras Vitor Hugo 💚💚... time do Bahia ao todo foi bem demais ontem 👏👏 ( sou Palmeirense kkk mas assisti o jogo ).,há 11 meses,0,
Cauly so nao vai pra selecao pq nao contrata jogadores do nordeste,há 11 meses,1,
"Cauly , Ademir e Rezende e o Marcão",há 11 meses,1,
caly e Marcos Felipe,há 11 meses,1,
Bahia está precisando de contratação de Zagueiros,há 11 meses,0,
"Cauly, Gilberto, Ademir,Rezende e Marcos Felipe",há 11 meses,2,
CAULY foi o craque do jogo,há 11 meses,0,
Cauly saiu do bahia não mlk,há 11 meses,0,
"tem crtz,mano?Botafogo sente no momento até falta do Tiquinho,mas é um monstro dentro de casa,e está a 18 jogos sem perder...",há 11 meses,0,
"Tem crtz mano?Botafogo é líder do campeonato Brasileiro, tá a 18 jogos sem perder,e quem joga na casa do Botafogo toma uma surra",há 11 meses,0,
Tomou de 4,há 11 meses,0,
Marcos Felipe tá em um nível de goleiro de seleção e Cauly atacante,há 11 meses,0,
Marcos felipe salvou dms,há 11 meses,0,
Boa baea,há 11 meses,0,
Thaciano ainda perdeu 2 gols praticamente feitos..,há 11 meses,0,
Red Bull Bragantino tava perdido no campo,há 11 meses,0,
Esse goleiro do Red Bull entregou todos os gols nunca vi goleiro nenhum cata assim,há 11 meses,0,
O Bahia passou o trator,há 11 meses,0,
O 1° e o 4° gol nao é possivel um goleiro profissional levar.. parece que estava com um lag gigante de tao lento pra cair na bola,há 11 meses,0,
Isso que é jogo de serie A,há 11 meses,1,
Que vitória  do bahia👏👏,há 11 meses,0,
"Esse Creitu é ruim demais, o goleiro frangueiro da desgraça!",há 11 meses,0,
"ETA QUE BAITA VITÓRIA DO BAHIA!!! JOGOU MUITO!!! ESSE 2º TURNO PROMETE 🇧🇷 ⚽🔥!!! E DESTACAR ESSE GOLEIRO MARCOS FELIPE , MUITO BOM GOLEIRO DO BAHIA!!! 

DESEJO A TODOS UMA EXCELENTE SEMANA!!! 🙏",há 11 meses,2,
O que esse goleiro do bragantino é ruim não tem explicação,há 11 meses,0,
A demora era só o time encaixar depois deses reforços o bahia é outro time,há 11 meses,0,
zaga ruim do bragantino ....,há 11 meses,0,
"Só não faz isso com o pai dele.
6x0 😂😂😂😂😂😂",há 11 meses,0,
Eu pensei que fosse somente nas Categorias de Base que o RB perdia de goleada!!😊😊,há 11 meses,3,
Sem ser chato mais o Bahia teve 4 erros de saída de bola que poderiam ter simplesmente acabado com a boa partida,há 11 meses,0,
"Ki ironia, pra sair do rebaixamento o Bahia depende de VITÓRIA.",há 11 meses,1,
Será que se o Bahia não cair Cauly Revelação do campeonato,há 11 meses,0,
"Parece que os cara do bragantino não queriam jogar uai ,todo mundo tirando o pé",há 11 meses,0,
3:12 q assistencia da poha,há 11 meses,0,
0:48 olha esse Caulydade,há 11 meses,0,
Impressionante a porcaria desse time do bragantino joga tudo contra o flamengo  ou contra times grandes e leva pea de time pequeno,há 11 meses,0,
"O setor que a gente mais tinha deficiência era a lateral direita, mas Gilberto está desempenhando um excelente papel nessa função.",há 11 meses,3,
O maior do nordeste venceuu💙♥️🤍,há 11 meses (editado),2,
Como o fortaleza perde pra esse bragantino ruim kkk,há 11 meses,0,
Bahia City tá impossível.,há 11 meses,0,
Rapaz alguém anotou essa  placa ☺️ excelente goleada do Bahia.,há 11 meses (editado),0,
Quero fora Paiva. Não mim empolgo quero ver da seguimento ao time e ver triunfos constante série B e logo ali.fora paiva,há 11 meses,0,
"Ademir jogando pra caralho,  mas os caras só falam de cauly e gilberto kk. O homem tá voando baixo",há 11 meses,0,
Bbmp 💙❤️🤍,há 11 meses,1,
"Bem d+ meu Bahia, pena que o Santos ganhou",há 11 meses,1,
Mesmo Bahia jogando bem Baraúna pegando no pé deixa o cara trabalhar imprensa de merda,há 11 meses,0,
"Marcos Felipe caiu bem nesse gol, Bahia tava precisando de um goleiro titular...❤",há 11 meses,5,
"Cauly nao fica no bahia, tem que pensar grande e vir pro flamengo.",há 11 meses,0,1
se meu Bahia joga assim todo jogo o brasileirão é certo,há 11 meses,1,
Boa vitoria do Bahia contra o bragantino pelo campeonato brasileiro da série a 2023,há 11 meses,1,
.,há 11 meses,0,
Pensar Grande  kkk ele quer contínuar jogando futebol e não  lutar em ringue  de porrada  kkkk,há 11 meses,1,
CAULY > arrascaeta,há 11 meses,3,1
"Domingo só vai dar nosso Baêa torcida tricolor de aço, Bora Baêa minha porreta 🙏🙏👏👏👏",há 11 meses,3,
Que timaço do bahia... queria que ganhasse do botafogo no final de semana que vem... mais uma partidaça do Cauly e marcos Felipe 👏👏,há 11 meses,9,
Sou Baêa ganhando é perdendo!,há 11 meses,1,
Ontem eu fui pra Fonte Nova é vi meu Baêa balançar as redes Booora Baêa minha porreta!,há 11 meses,5,
Não vi Bobô jogar mas vi Cauly. BBMP❤💙❤️💙,há 11 meses,4,
Ademir tbm evoluindo muito,há 11 meses,0,
BBMP,há 11 meses,0,
Goleirão firme: Marcos Felipe,há 11 meses,1,
"Muitos torcedores do Bahia, inclusive eu pedia muito o Acevedo no lugar de Resende, porém Acevedo errando muito na saída de bola e causando lances até de perigo de gol, belo triunfo consertar alguns detalhes e continuar nessa pegada, bbmp ❤️💙🌎",há 11 meses,0,
Era jogo pra 4 x 4. O que o bragantino perdeu de gol é um troço impressionante!,há 11 meses,0,
"Eu ainda não consigo entender como Everaldo não sabe se possicionar, primeiro 9 que eu vejo que nunca está na área... Smp fora dela",há 11 meses,0,
"Marcos Felipe tá dando a vida, viu?! Máximo",há 11 meses,1,
O que jogou Cauly ontem não ta escrito.,há 11 meses,1,
Esse time do bragantino só joga contra o Flamengo 🤔🤔🤔  Esse Braga é o time mais pipoqueiro do futebol brasileiro 🤔🤔🤔🤔,há 11 meses,0,
Marcos Felipe monstrao.,há 11 meses,1,
Bahia atropelou.    21/08/2023,há 11 meses,1,
A zebra do ano.,há 11 meses,0,2
Que triunfo !!!!,há 11 meses,0,
RAPAZ QUANDO EU ASSISTO ESSE JOGO LEMBRO O FLAMENGO PEGANDO DE 4×O DO BRAGANTINO SÓ CONSIGO IMAGINA QUE E PRA SABOTA O TÉCNICOS. COM ELENCO FORTE DE MILHÕES PEGA GOLEADA DO BRAGANTINO E CUIABA  NÃO ERA PRO MASSAGISTA TER DADO UMA PEIA ERA NO ELENCO TODO BANDO DE INRESPONSAVEL QUE PENA QUE FOI NO WUE MENOS MERECIA PORQUE O PEDRO E BANCO JOGA POUCO KKKK😂😂😂😂.,há 11 meses,1,
😂,há 3 meses,0,
"Zebra ? Kkkkkk quem é bragantino? Esse timeco nunca ganhou do Bahia jogando em Salvador, pelo amor de Deus kkkkk",há 11 meses,3,
"Vá falar merda assim lá longe . 4 x 0 foi um massacre total kkkk, provamos que somos superior a esse timeco do bragantino",há 11 meses,0,
"Defensivamente o Bahia ainda continua muito falho, o adversário sempre com muita chance de contra atacar, cruzar e dar chutes próximo a área.

Espero que nem a torcida nem o City se iludam com isso para impedir de mandar o português Paiva embora.",há 11 meses,0,
Eu digo e repito cauly e seleção,há 11 meses,0,
Kkkkk a sardinha ganhou uma,há 11 meses,0,
O Goleiro e Cauly sao os melhores do bahia,há 11 meses,0,1
Thaciano inimigo da finalização simples,há 11 meses,0,
"Que porrada o bragantino levou em… não viu a cor da bola, e olha que o Bahia tá brincando com o Z4",há 11 meses,1,
"O triunfo foi fantástico, mas o que esse time do Bahia erra na saída de bola não tá escrito. Se fosse contra um Flamengo da vida os caras não perderiam tantas chances. Tem que ver isso aí hein",há 11 meses,1,
"Desfalques do Red bul

lista completa de desfalques:

Cipriano: lesão na coxa

Eduardo Santos: cirurgia no joelho

Eduardo Sasha: lesão na coxa

Eric Ramires: lesão na coxa

Henry Mosquera: contusão no joelho

Juninho Capixaba: suspenso

Lucas Cunha: cirurgia no joelho

Nathan Camargo: lesão no joelho

Raul: cirurgia no joelho",há 11 meses,1,
Flamengo 0x4 bragantino:poxa bragantini pra que agredir;quem planta colhe viu?!//bragantino:q nada pow;vou te bater e ñ vai aconteçer nada comigo//Bahia:como é amigo??//bragantino:plantei tive q colher ne😢😢😢😢😢,há 11 meses (editado),1,
Segundo flavio prado o brantino so perde para flamengo e palmeiras 😂😂😂😂,há 11 meses,0,
Se o Bahia  vencer  o Botafogo  o campeonato  pega fogo  !,há 11 meses,3,
A defesa hoje do Bahia esteve péssima apesar de não ter levado gol. Se não fosse nosso excelente goleiro. A defesa jogou bem no jogo do Atletico. Precisa melhorar e muito a parte defensiva,há 11 meses,0,
Cauly Joga muito,há 11 meses,2,
Cauly Oliveira é craque⚪🔴🔵,há 11 meses,1,
O Massa bruta nesse jogo virou o massa fresca de tanta amassada que levou do Bahia que Sacode eles deram no Bragantino.,há 11 meses,0,
Bahia vai pega uma pedreira agora na próxima rodada.,há 11 meses,0,1
Marcos Felipe tá voando! Cauly Maestro!,há 11 meses,5,
Essee goleiro do rb fraquinho,há 11 meses,0,
BBMP,há 11 meses,0,
Se tá ruim para o Bragantino que levou de 4 a 0 imagina pra mim que acabei de perder 1000 reais na betano por ter colocado esse jogo abaixo de 2.50,há 11 meses,3,
E o Gilberto tbm,há 11 meses,0,
E mais tbm não vai ser moleza para ô Botafogo,há 11 meses,0,
Marcos Felipe agarra demais,há 11 meses,0,
Rapaz nem eu esperava esse 4x0 do bahia serio mesmo kkkkkkkkk 😂😂,há 11 meses,2,
