text,time,votes,replies
"Sou cruzeirense, mas os dois times são horríveis. Patos de Minas :face-blue-wide-eyes::body-blue-raised-arms:",há 1 mês,0,
Parabéns VASCO Série A 2024 Dimitri Payet 🇫🇷🇫🇷,há 8 meses,1,1
Vamos vencer de novo vasquin.,há 8 meses,0,
Golaço do felipe marchado,há 8 meses,0,
Golaço do cruzeiro,há 8 meses,0,
Jogo sem torcida: agora é a vez do Cruzeiro.,há 8 meses,0,
vem pra mim vasco eu adoria ver voce voltar pra mim😀🥰,há 1 ano,0,
"FLAZEIRO, FLAMENGO E CRUZEIRO CLUBES E TORCIDAS IRMÃS, CONTRA OS ADVERSÁRIOS E ANTIS",há 1 ano,0,
Se esse goleiro falhar mais 2 jogos ele tem que pegar um no lugar do ivan,há 1 ano,0,
O Gilberto no último lance 🤣🤣🤣🤣🤣🤣🤣🆒,há 1 ano,0,
Vasco ...status...num relacionamento sério com a serie B kkkkkkkkkkkkkkkk,há 1 ano,0,
"Só faltou o Vasco fazer gol, teve boas chances",há 1 ano,0,
Arerêe..😂,há 1 ano,0,
"OBS: GE, arrume o título. Pois, ontem foi a 14° rodada e não a 15°.",há 1 ano,0,
"Esse Vasco tá demais, nos trazendo Alegria.
😅😅😅😅😅😅😅",há 1 ano,2,
Jogo horrível. O importante são os 3 pontos.,há 1 ano,0,
Olha os gols perdidos incrivel,há 1 ano,0,
"Esse Atrativo do Vasco com a Série B, é demais.",há 1 ano,0,
"É SÓ CONTRATAR ATACANTE,  SEMPRE PERDE POR HUM GOL ENTÃO É PORQUE NÃO TEM ATACANTE....!!!",há 1 ano,0,
Pula que o muro ta baixo 😂,há 1 ano,0,
E eliminado pelo Nova Iguaçu kkkkkk,há 4 meses,1,
Que lutem!,há 1 ano,0,
Vasco e time de balelo kkkkkkkkk😅,há 1 ano,0,
No último lance ali do br 9. Vacilou ali deveria ter rolado a bola para trás. Numa dessa sai contra ataque,há 1 ano,0,
Parecendo o gol 100 do Rogério Ceni 🤤🔥🤫,há 1 ano,0,
"Toda vez que eu vou assistir vídeo do Vasco toca a música da SAF:
""É o Vasco 777
Vem zuar o Vasco que é a Puta da galera
Vem Zuar o Vasco que é a puta da galera
777 a série B te espera.

😂😂😂😂
Vasco já virou putaria. Ver vídeos do Vasco deveria ser proibido para menores de 18 anos kkkk",há 1 ano (editado),1,
Eu sou vascaíno e digo meu time e uma merda podre so perde kk😂,há 1 ano,0,1
Verdade o gol do Cruzeiro sua mais 💙,há 1 ano,1,
"Vamos colocar alguns jogadores do Vasco de verdade do passado, Romário, Edmundo, Juninho Pernambucano, Pedrinho, Valdir Bigode, Felipe, Mauro Galvão, todos esses aí aposentados, jogam mais q essa turma aí ruim de bola sem amor a camisa",há 1 ano,1,
Essa goleiro do Vasco é um bosta.,há 1 ano,0,
O Vasco entrará para história como o primeiro time de futebol a ser rebaixado já no primeiro turno.,há 1 ano (editado),0,
Série B,há 1 ano,0,
O Cabuloso tá de volta 💙🤍,há 1 ano,0,
"Golaço, ninguem do vasco tava esperando um chute direto.  👏🏼👏🏼",há 1 ano,2,
Golaço.,há 1 ano,0,
Eu era sócio não sou mais 😢,há 1 ano,0,
Safados,há 1 ano,0,
77q,há 1 ano,0,
771,há 1 ano,0,
71,há 1 ano,0,
71,há 1 ano,0,
"Mais msm n abandona o time, grande torcedor 👏😎",há 1 ano,0,
61,há 1 ano,0,
Tudo 71,há 1 ano,0,
15 rodada?é 14 rodada,há 1 ano,0,
Gostaria de saber porque só 2 jogadores do Vasco nessa barreira?,há 1 ano,0,
Pelo amor de Deus..o que acontece com o Vasco gente,há 1 ano,0,
Eu Lembro qd o Vasco era time Grande,há 1 ano,0,
"O ""árbitro"" no final do segundo tempo não deu acréscimos de minutos, mas uma prorrogação. Nenhum pouco tendencioso...",há 1 ano,0,
"Fácil é rir do vasco, difícil é parar de rir. 😂😂😂😂",há 1 ano (editado),0,
"Gabriel PEC você é um cara legal demais. Mais como jogador profissional de futebol, tu não sabe fazer gol mano.",há 1 ano,0,
"Meus pêsames aos vascaínos, ta com cara de rebaixamento denovo 😢",há 1 ano,0,
Serás sempre segunda divisão. O respeito aí não volta mais. VASCO da lama.,há 1 ano,0,
Tá em crise? Chamem o Atlético mg.,há 1 ano,0,
Os gestores do vasco já querem rebaixar o clube novamente estão destruindo o vasco da gama e já querem fazer isso até o fim do 1 turno e triste a torcida vai abandonar o clube se continuar assim,há 1 ano,1,
"Jogo feio, só saiu um gol no bambo.😅😅😅😅😅",há 1 ano,0,
O vasco era lenha então foi o Machado lascou o vasco,há 1 ano,1,
"Vasco jogou como nunca ,perdeu como sempre!",há 1 ano,0,
Vasco sendo o vasco 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤣🤣🤣,há 1 ano,0,
Impressionante como o Vasco da gama gosta da série B parabéns diretoria pela incompetência,há 1 ano,0,
Falta 8❤,há 1 ano,0,
Vcs vão vê a volta que  vasco vai dá 😊,há 1 ano,0,
Rumo ao Penta,há 1 ano,0,
O goleiro do Vasco e muito ruim tomar um gool desse ainda mais de longe,há 1 ano,0,
"Faz um favor pra nós vascainos,  Si considerem rebaixados é não entra mais em campo pra não passar mais vergonha",há 1 ano,0,
"Vascão ama sua amada 











Serie b",há 1 ano,0,
"Tinham que inventar a Série A/B, intermediária de passagem estre as duas séries. Assim o Vasco ia pra lá e não saía mais.",há 1 ano,0,
Golaço que fala né💙🔥,há 1 ano,6,
"nem sou vascaino, mas esse puma rodriguez é uma lesma, o cara tomou a frente dele de novo, Vasco ta muito na merda",há 1 ano,0,
Que situação terrível do Vasco. Espero que continue. 😂😂😂,há 1 ano,0,
Essa porra de time tem que reinar na serie B,há 1 ano,0,
:face-red-heart-shape:o vasco tem um amor com a serie b,há 1 ano,0,
"🎶 VAMOS CAIR, VASCOOOO🎶",há 1 ano,1,
Pqp o vasco sempre leva gol no final 😅,há 1 ano,0,
O gigantezeiro não afina pro eixo.,há 1 ano,2,
"É incrível os gols que o Vasco perdeu nesse jogo. Os kras já estão na serie B e não sabem. Parabens diretoria, SAF, vcs tão fazendo um bom trabalho. Contrataram só perna pau!",há 1 ano (editado),0,
"É impressionante como o Vasco é ridículo, um clube que já teve grandes ídolos hj viver essa draga",há 1 ano,0,
Vamo zerooo 🦊💙,há 1 ano,2,
"Se o Stenio ou Wesley tivesse feito aqueles gols contra o Inter, seriam três vitórias seguidas. Tsc tsc... É foda",há 1 ano,0,
"Sou Flamengo
E já tô sentindo dó do Vasco.
Incrível a situação ruim por tantos anos.",há 1 ano,8,
cruzeiro o maior de minas sofreu pra ganhar do menor time do rj por favor vasco caia logo porque a série b pertence a vc e a mais ninguém.,há 1 ano,1,
Vasco e penta rebaixado 😂,há 1 ano,0,
Vasco vai cair de novo normal...,há 1 ano,0,
Machado carrasco do vasquim,há 1 ano (editado),1,
U,há 1 ano,0,
Vai cair de novo! Vergonha!,há 1 ano,0,
O Leo Jardim é  um bom goleiro. Mas tá falhando em alguns gols importantes.  Deveriam testar o reserva pra ver. Essa falta ele se colocou mal. E tá pegando muito gol no canto que ele tá.,há 1 ano,0,
Eu acho que essa 777 é  666 o número da besta. Nunca vi um vasco tão ruim como depois que essa 777 assumiu.,há 1 ano,0,
Time vagabundo ! Time de canelas de pau. Tem acabar esse timeco de 3 divisão. Só envergonha a torcida.,há 1 ano,0,
Vão esperar o Vasco afundar p tomar atitude ninguém c impõe,há 1 ano,0,
A última vez que eu vi um gol de falta foi do Nenê a 4 anos atrás 😂😂😂😂😂,há 1 ano,0,
Zerooo,há 1 ano,1,
VAMOOOOOOOOOOOOOO,há 1 ano,0,
Time de sem vergonha KD a nossa força jovem,há 1 ano,0,
esse narrador é chato,há 1 ano,0,
Cruzeiro aos poucos vai subindo na tabela,há 1 ano,1,
Que triste a situação da Vasco! espero que continue,há 1 ano,0,
"Se o Vasco continuar assim a classificação para série B será antes da 10 rodada do segundo turno, a maior vergonha do futebol é o Vasco...",há 1 ano,0,
"Todo jogo é a mesma coisa, o Vasco perde as chances que aparece e leva o gol. Goleiro estava mal colocado.",há 1 ano,1,
O bandeirinha correu mais que o jogadorkk do,há 1 ano,0,
😂😂😂,há 1 ano,0,
O estádio estava vazio. Não entendi.,há 1 ano,0,1
"A torcida foi punida de não ir para o estádio depois dos acontecimentos depois do jogo contra Goiás 

Só vão voltar no returno",há 1 ano (editado),0,
"Lindo o amor entre o Vasco e a série b
O casal que nenhum divórcio é capaz de separá-los. 👏",há 1 ano (editado),9,
"A defesa do Vasco já é uma merda, aí vão lá e aumentam o tamanho do campo do próprio estádio.",há 1 ano,0,
"Essa edição ficou muito boa com o replay mais longo e detalhado, assim é melhor que continue assim😅",há 1 ano,1,
