text,time,votes,replies
Parabéns Santos Pedrinho 🤩🤩,há 6 meses,1,
O Bahia é maior que o Cruzeiro🙏,há 7 meses,0,1
2:14 não tankei esse grito kakakakakak😅,há 8 meses,1,
Jogo em que o CRUZEIRO CABULOSO mandou o time HORROROSO pra vala,há 8 meses,1,
So pra relembrar o santos e série B 2024. Santista falaram merda do cruzeiro e agora o jogo virou e o peixe se lascou .😂😂😂😂😂,há 8 meses,3,
"Santos pode cair esse ano em , o time é bizarro de fraco .",há 8 meses,2,1
"Pra vencer o Flamengo o Cruzeiro vai ter QI jogar no mesmo nível de atuação QI foi exebida contra Bragantino, Santos & América,Qi Grande atuação do grupo do Cruzeiro, precisa voltar atuar assim contra os adversários, como hj time grande pela frente ❤❤❤",há 9 meses,0,1
Parabéns cruzeiro,há 9 meses,1,
O Santos foi enterrado junto com Pelé ja era parou no tempo,há 10 meses,0,
"Cara, esse time do Cruzeiro é horrível, santos só perdeu pq também é horrível, se continuar assim, vai deixar o seleto grupo dos que nunca caíram..",há 10 meses,0,
Santos já caiu já era morreu,há 10 meses,0,
Pelé morreu e levou o futebol do Santos junto,há 10 meses,0,
Uma vaga na sala cruzeiro consegue,há 10 meses,0,1
"O Santos tem que rebaixar  mesmo, o seu melhor jogador  é o Mendossa , ai  rebaixa  mesmo.",há 10 meses,0,
"Pelo visto o Santos não aprendeu que tem que colocar um homem debaixo da barreira kkkkkkkkk, Ronaldinho mandou abraços pro Asilo Futebol Clube",há 10 meses,0,
"Meu Deus esse time do Santos tá uma vergonha ,o peso dessa camisa com esse time medíocre ,rezando aqui por milagre esse ano pra não cair.",há 10 meses,0,
Fgffdffigddyyfddyihfhohfugduydjh euu😂,há 10 meses,0,
Timezinho ridículo kkkk,há 10 meses,0,
O que narra esse Milton leite é impressionante. Monstro da loucuçao!,há 10 meses,3,
Nikao quando não está com sono se transforma em zico,há 10 meses,2,
"Maior q o Cruzeiro n é, mas com certeza é maior q um timinho q levou 4 deles.",há 7 meses,1,
CAIU! Rssss,há 8 meses,1,
VamuW QI VamuW 🤟⚡🌏🦾,há 9 meses,0,
Sula,há 10 meses,0,
A narração desse cara é demais,há 10 meses,0,
Santos vai jogar com ponte preta😅😅😅,há 10 meses,0,
QUIIIII FASE EMMMMMM,há 10 meses,0,
"Os 4 que vao ser rebaixado na sequência pode anotar 
17* Goiás  18* america mg  19* Santos 20* Coritiba",há 10 meses,0,
