text,time,votes,replies
"Grande vitória do Vasco! O Gigante da Colina vai conseguir ficar na Série A?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 10 meses,618,112
Hoje esse jogo vai se repetir,há 6 horas,0,
Esse jogo vai ficar na história volta pec,há 22 horas,0,
😂,há 1 dia,0,
Vascooooo❤🤍🖤,há 8 dias,0,
FLAMENGO,há 8 dias,0,
saudades do pec !!!!,há 2 semanas,0,
Palestro de Lionel pec,há 2 semanas,0,
😊,há 1 mês,0,
"Vasco  foi pica
 PORRA",há 1 mês,0,
TU INSISTE COM ESSA LOROTA DE TIAGO ALCÂNTARA? VÁ SE FERRAR CRLH!,há 2 meses,0,
Quem tem saudades do nosso Pec?😢,há 2 meses,0,
Vasco é muito ruim,há 3 meses,0,1
Alguem sabe o nome desse narrador ?,há 3 meses,0,
E se preparem pq esse ano vai ser pior,há 3 meses,0,
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,há 3 meses,0,
❤❤❤,há 3 meses,0,
❤❤❤,há 3 meses,0,
"E dizem que o futebol é justo, 
Os cara ganha do campeão da liberta e luta pra não ser rebaixado",há 4 meses,0,
"Vasco da gama porra 🤍🖤
Vasco teria amasado o Fluminense dnv no Carioca se aquele jogo não tivesse sido roubado",há 5 meses,1,
Vasca na lama vai cair novamente amigão,há 10 meses,12,
"Vasco nanico, só joga na retranca e contra ataque",há 10 meses,5,
"Torcida nanica, não enche estádio nem em dia de clássico 🤣🤣🤣🤣🤣🤣🤣🤣",há 10 meses,3,
Vasco tem time pra ficar na serie A,há 10 meses,38,
​​​ @luanacam TEU TIME TOMOU CREU DO MEU VASCAO 2 VEZES FIQUE CALADO 🤏🤫🤫,há 10 meses (editado),36,
"Eh, eh, eh, o Vasco é série B",há 10 meses,2,
 @luanacam  fica brava não patinha um dia vcs goleam se golearem nem vence nem o cruzeiro,há 10 meses (editado),14,
Ficaaa,há 10 meses,8,
Sim,há 10 meses,5,
O Vasco fica na série A,há 10 meses,16,
​ @luanacam fonte: confia,há 10 meses (editado),0,
Basco é time de segunda divisão igual esse rei do tapetão aí até rimo,há 10 meses,0,
Depois desse jogo tenho certeza que o Vasco fica na serie A,há 10 meses,13,
Não caiiiiiiu,há 10 meses,0,
"Vasco cai de qualquer jeito kkk só gol cagado nos erros da defesa e gol de cabeça pq os jogadores são altos,mas da mesma forma tomou 2 gols,pq a defesa é fraca e velha,além do fluminense que perdeu muitas chances,pq se o flu n perdesse as chances o Vasco não ganhava de forma alguma,o Vasco teve sorte",há 10 meses,0,
 @ilha454  que o atletico vençeu o ultimo classico de 1x0 contra o bbbzeiro fala oque vc não sabem não seu rebaixado,há 10 meses (editado),1,
"Se depender do narrador de disputar de palitinhos, e do reporter empurrar no catare ,o vasguinho já se livrou-se do rebaixamento!!",há 10 meses,0,
Não adiantou de de dana o vasco na lama ja  caiu amigos,há 10 meses,0,
Vasco pequeno vai ser Penta rebaixado nada adiantou ganhar do seu rival pequeno também o Tapetense,há 10 meses,0,
Fluputa mesmo roubando perdeu,há 10 meses,1,
