text,time,votes,replies
Parabéns internacional Igor Gomes Silva 🤩🤩,há 6 meses,1,
Voltando aqui pra dizer que o gol do pH parece o do foden contra o flu,há 7 meses,1,
"Internacional 2 x 0 Cuiabá 
Não derrota 😢🤦‍♂️

🇮🇩 Internacional 3 x 1 Grêmio 🇪🇪 
🏆 Final 🏆 

Campeão: Internacional 🇮🇩🏆

Feminino preguiçoso não derrota 2x0 🤬

Tchelo Técnico Burro Burro Burro 🐎🤬",há 8 meses,1,
Qual top 5 gols mais bonitos dessa rodada ? Eu fiz um video com o top 5 gols dessa e das outras rodadas do Brasileirão =),há 8 meses,0,
"Superman é foda, raça, explosão e gol....",há 8 meses,1,
"O Pedro Henrique jogou muito, Igual O Valência😮 me impressiona essa agilidade.",há 8 meses,2,
Valência!!!,há 8 meses,0,
"que tapa do wandershow ta maluco, ele quase sempre ta nas participacoes de gols",há 8 meses,1,
A torcida do Flamengo no sul é maior que a do inter😂😂😂,há 8 meses,0,
Choraa cuiaba,há 8 meses (editado),0,
O Cuiabá lembrou o Grêmio: Time sem mundial,há 8 meses,0,
Inter campeão de tudo!!! ❤❤❤❤❤ ...o Cuiabá não tem Mundial 😂😂😂,há 8 meses,0,
"Hoje não comemoraram se agarrando no chão 🤔
Ué  , cadê aquela empolgação gurizada   ??????",há 8 meses,0,
..,há 8 meses,0,
VAMOOOO ❤ AQUI É INTER PORRA 🇮🇩 RESPEITA KRL,há 8 meses,1,
Em 3 minutos o Pedro Henrique fez um inferno na zaga do Cuiabá,há 8 meses,0,1
Pedro Henrique merecia esse gol,há 8 meses,0,
Alan Patrick tu é gênio,há 8 meses,1,
"Onde o Inter achou o Ener?
O cara é bom de bola",há 8 meses,0,
"Inter vai tomar um sacode na arena Corinthians sábado, apostem já!

Como fzr MIL tds dias no meu canal!⤵",há 8 meses,0,1
E tava 8 meses sem fazer gol eu acho 😂,há 8 meses,1,
Sabe muito ultimos confrontos: 2a2 2a2 2a2 2a2,há 8 meses (editado),0,
😍🇦🇹,há 8 meses,0,
"""COUDET"" Bêbado Não Tem Dono!",há 8 meses,0,
"Enquanto isso, o gremio foi rebaixado 3 vezes..",há 8 meses,0,
Isto é uma vergonha o Cuiabá fazer isso com torcedor Importa sim porque o Cuiabá tem de mostrar serviço sua torcida não vergonha,há 8 meses,0,
Grêmio vai contratar Ener valência.,há 8 meses,0,
O valência vai voar ano que vem após  a pré temporada. 😊,há 8 meses,1,
E os bobão q secaram o Timão foram dormir tristinhos pq o Corinthians  ganhou mais 3 pontos kkkkkkk. Ai como o meu Corinthians incomoda muita gente 💥💥💥💥💥,há 8 meses,0,
"kkkkkk     Santo CUIABÁ,    o   time do cuiabá faz até chover  na terra do Cuiabrasa  é  igual a musica do Rei Roberto Carlos que diz: você é uma BRASA  mora......",há 8 meses,2,
Tive a honra de ver isso aí vivo e ser expulso por comemorar o gol do inter no meio do raça cuiabana,há 8 meses,1,
MISSAO CUMPRIDA CUIABA...PROXIMO ANO TEREMOS CUIABA X VASCO AQUI NA CIDADE ...NO VA A BAJAR!,há 8 meses,1,
agora nao adianta nada a vitoria o que era pra ser ficou pra tras,há 8 meses,0,
grande vitória meu colorado!!!!,há 8 meses,2,
Chupeta do Acre vamos Inter,há 8 meses,0,
Parabéns pelo titulo GANHAMOS DO CUIABA kkkkkk,há 8 meses,0,1
Pioneiro em rebaixamento no RS só tem um.,há 8 meses,0,
PH voltouuu 🔥🔥🔥,há 8 meses,1,
"Enner tá de parabéns. Erra muito gol? Sim. Mas tu preferia que fosse o Luiz Adriano? O Enner tá fazendo gol, inclusive dá para dizer que ele salvou o rabo do Coudet, que já deveria estar fora do Inter se a direção não fosse patética. Aliás, não deixem o Bostellos se reeleger.",há 8 meses,0,
Isso....que Coudet continue colocando PH na geladeira. Burro.,há 8 meses,0,
Inteeerrrrrr!!,há 8 meses,1,
"barabens inter pela vitoria meu timao de coracao uma vez inter sembre inter
colorado das glorias
orculho do brasil",há 8 meses,1,
Vai tarde Luiz suarez,há 8 meses,0,
É o internacional se escapou da zona do rebaixamento,há 8 meses,0,
Parabéns  internacional vitória 👏👏👏,há 8 meses,2,
"INTER, ainda dá pra ajudar o Botafogo 👍",há 8 meses,0,
"Se mantendo o Coudet, Inter tem tudo para incomodar em 2024",há 8 meses,0,
Ok 👍🏼,há 8 meses,1,
Inter vence fora de casa e foge da degola.  30/11/23,há 8 meses,0,
PH tava dando o sangue pra fazer esse gol.,há 8 meses,1,
"ENNER VALENCIA É DIFERENCIADO MT LONGE DE SER PERFEITO MAS É UM GRANDE JOAGADOR , NO NIVEL BR ELE JOGA MT",há 8 meses,2,
OBS: Mauricio chutou a gol🤫🤫🤫🤫🤫🤫,há 8 meses,0,
"Vi muito pouca gente falando dele, mas Pedro Henrique entrou muito bem de 9, que as vezes o enner não faz muito a função de meio de área então nada impediria de os dois jogarem juntos. PH é guerreiro, rápido e está tentando vaga. Com o alampa servindo os dois ninguém para",há 8 meses,34,1
O que esse Rene joga não tá escrito,há 8 meses,1,
Enner Valência é um craque,há 8 meses,1,
Cuiabá ganha dos times grande q disputam títulos aí perde prós desesperados 🤦🏻‍♂️ vai entender,há 8 meses,0,
Cuiabá é imprevisível,há 8 meses,1,
O inter fica mais leve agora,há 8 meses,1,
Enner Valência é craque demais matador nato,há 8 meses,1,
PEDRO HENRIQUE MERECE MUITO FICAR NO CLUBE... 💪🏻💪🏻,há 8 meses,18,
"A cada jogo que passa, o Valência só mostra que se jogasse mais 10x contra o Flu e tivesse aquelas chances não erraria 😢😢 futebol é muito injusto.",há 8 meses,1,
"Rebaixamento o caralho, isso é INTER não é grêmio...",há 8 meses,0,
Enner não é lá isso tudo . Pela libertadores perdeu gols fáceis de fazer e o Internacional foi desclassificado por isso. Parabéns pela vitória.,há 8 meses,3,
Só li verdades,há 8 meses,0,
Valência é uma lenda! Calem a boca antis,há 8 meses,0,
Sou colorado mas Que final de campeonato melancólico 😢,há 8 meses,7,2
Curitia so contrata carniça  ..  um atacante desses igual esse colombiano nao contrata  .,há 8 meses,0,
Mauricio grande jogador do colorado!!!,há 8 meses,5,
Fora Barcelos,há 8 meses,1,
❤,há 8 meses,0,
Inter querido popular está contigo 🇦🇹 🇦🇹 🇦🇹 🇦🇹,há 8 meses,1,
Dá-lhe Inter 🇲🇨,há 8 meses,9,
Tiraram onda no beira rio tá aí tomaram de volta bem feito tem que respeitar o inter,há 8 meses,1,
"Hum aviso aos secadores que disse que o Inter ia cair, nós ano que vêm mais uma vez estamos na série A. kkkkkkkkkkkk",há 8 meses,3,
Contra o Fluminense esse capeta não fez gol ..,há 8 meses,0,
COM ESSA VITÓRIA O COLORADO NÃO CAI MAIS E NEM O CUIABÁ,há 8 meses,0,
