text,time,votes,replies
"Quem diria que seria os últimos gols do Gilberto no ano 

Digo isso pq praticamente certo que o Cruzeiro não vai reintegra-lo 

É triste pq eu acreditava muito no Gilberto.",há 8 meses,1,
Gente sem nenhum  clubismo gente todo mundo sabe q o cruzeiro esta com simplismente uma das melhores se n a melhor zaga o problema é os atacantes😢,há 9 meses,2,
Literalmente Coelho vs raposa,há 1 ano,1,
Verdade Cruzeiro nunca deixe de ser um campeão 💙,há 1 ano,2,
A glr crítica o Gilberto quando a bola chegou ele guardou,há 1 ano,0,
Cruzeirooooo  o capuloso  voltouuuu🔵🔵🔵⚪⚪🦊,há 1 ano,0,
O Cruzeiro perdeu para Cuiabá na próxima volta a jogar com outro time com Cruzeiro,há 1 ano,0,
"Melhores momentos do Cruzeiro, só mostraram os Gols.",há 1 ano,0,
Sou flamengo  mas parabéns para cabuloso tá fazendo campeonato incrível ❤,há 1 ano,0,1
0:08 DEFESA MONSTRUOSA DO RAFAEL CABRAL,há 1 ano,0,
"é impressionante como o cruzeiro incomoda, ano passado o cruzeiro estava muito bem, mas eu olhava os comentarios, e tinha um monte de anti falando q n ia subir, q ia pipocar, etc... esse ano la vai no mesmo, cruzeiro bem e os cara falando q o cruzeiro vai cair... SUBESTIMEM MAIS MEU CRUZEIRO 💙💙",há 1 ano,2,
"Placar mentiroso 
América perdeu várias oportunidades",há 1 ano,0,
"AS COELHINHAS DA PLAYBOY TOMARAM 4 CENOURADAS NO R4B0 KKKKKKKKKK , VOLTEM SEMPRE FREGUESAS , LANTERNINHA VERDE KKKKKKKKKKKKKKKKKKK 😂",há 1 ano,2,
Cadê a opção não enviar mais vídeos deste canal e remover vídeo? youtuBOSTA e canal de merda.,há 1 ano,0,
Que azar do América,há 1 ano,0,
"Mds mano q defesa frágil do América mano, todas as jogadas no msm lado e o desperdício de gols......",há 1 ano,1,
Cabuloso,há 1 ano,0,
Esse América é muito azarado podia ter matado o jogo não fez se fudeu o time Cria Cria mais na hora de botar pra dentro não faz,há 1 ano,0,
O estilo que esses técnicos europeu joga é muito foda,há 1 ano,0,
"que estranho o que vem acontecendo com o América-MG, contra o SPFC bombardeou, jogou bem e tomou de 3, vendo os melhores momentos agora, parece ter jogado muito melhor e tomou 4 gols, que estranho...",há 1 ano,0,1
💪👊,há 1 ano,0,
"Desde o inicio do camp ja dava pra perceber, o ataque do América é a única coisa boa do time, a defesa é horrível.",há 8 meses,0,
"Ameriquinha está bem, só leva três gols por partida, e não sabe fazer gols.",há 1 ano,0,
Parabéns ao Time do Cruzeirp; pela grande vitória  contra o América.😄⛪🐺👏,há 1 ano,0,
