text,time,votes,replies
que golazo vitor roque. Golazo. 👏👏,há 1 mês,0,
Estádio da Serrinha em Goiânia,há 11 meses,0,
Essas porra num mostra o replay não,há 11 meses,0,
"Arbitragem BIZARRA. O árbitro marca o pênalti, mas a jogada sobraria limpa pro atacante do Goiás que poderia até marcar o gol, mas o lance é parado e o pênalti marcado é cancelado. O Goiás foi prejudicado.",há 11 meses,0,
Lo que se viene al Barça mamita,há 11 meses,0,
"Sou torcedor do Goiás des de quando   eu intendo de  futebol, tenho 40 anos e sempre foi assim, o Goiás joga contra o time e a arbitragem, até quando vamos ser roubados.",há 11 meses (editado),1,
"Pra não perder o costume, Goiás de novo garfado na cara limpa,como q essa arbitragem brasileira erra!",há 11 meses,2,
Os times de Goiás estão todos lutando pra não cair é logo tá igual Anapolina,há 11 meses,0,
ヴィトールロッキえぐすぎ,há 11 meses,0,
Pq esse atoa não espera o lance concluir? Tinha que ser preso,há 11 meses,0,
A,há 11 meses,0,
Esse mlk tem futuro,há 11 meses,0,
"Este estagiário do estagiário do retranqueiro chamado Wesley Carvalho não consegue ganhar jogos fora de casa, mesmo estando na frente e contra adversários mais fracos. Monta mal o time e os jogadores não rendem dentro de campo, o Athletico Paranaense precisa urgentemente de um bom técnico, senão é só meio de tabela no final do Brasileirão.",há 11 meses (editado),1,
"O juizão parou o lance, com a bola no pé do jogador do Goiás de frente para o gol, para dar o penalti. Depois vai ao VAR e anula, e mal anulado. Ou seja, tirou a chance de gol e ainda errou na análise do VAR. É UM ROUBO ATRÁS DO OUTRO! Depois do escândalo contra o Santos, vem isso. Toda rodada é assim.",há 11 meses,0,
Todo jogo eles roubam contra o Goias? Nesse jogo teve 2 pênaltis claros pro Goias,há 11 meses,0,
"Aqui, SOMOS GOIÁS,  SOMOS GOIANOS.  Quinto pênalti não marcado para o VERDE DA SERRA!",há 11 meses,3,
"CBF reduto de ASNOS CORRUPTÍVEIS: no final de jogo outro penal para Goiás indiscutível.  Agarraram o Magno na área: é pênalti,  juizinho de araque!",há 11 meses,0,
CBF contra o Goiás esporte clube. Ta na hora re acionar a justiça comum ao inves de chorar nos pés da CBF,há 11 meses,0,
"Melhores Momentos do jogo :

- 0:08 Pênalti pro Goiás 

- 0:22 Pênalti pro Goiás anulado


- 0:41 Falta pro Goiás 


- 0:46 Goleiro do Athletico-PR Encaixou a bola  


- 0:58 Canobbio Chuta mais o goleiro espalmar 


- 1:28 contrataque do Athletico-PR   


- 1:33 Golaço do Vitor Roque

- Primeiro tempo Athletico-PR 1 x 0 Goias ⚽️


- 2:05 ataque do Athletico-PR 

- 2:10 Defesaça do Goleiro do Goiás 


- 2:20 Escanteio pro Goiás 


- 2:30 Bola passou a Direnta do Gol do Athletico-PR 


- 2:37 Contrataque Rápido do Goiás 


- 2:47 Golaço do Goiás 


- 3:03 Fim de Jogo ⚽️Athletico-PR 1 x 1 Goiás ⚽️",há 11 meses (editado),6,
"CBF  reduto de  SACRIPANTAS: na continuidade do  penal,  gol do VERDÃO DA SERRA!",há 11 meses,0,
"O juiz não devia ter marcado o pênalti, pois quando o lance seguiu  a bola entrou e foi gol. Aí o presidente do Goiás reclama e é punido. No caso do VAR que disse que não era pênalti quem foi o prejudicado?",há 11 meses,0,
"se não marcou o penalti para o goiás, deveria ter marcado o gol, arbitragem é patética",há 11 meses,0,
Pessima edição ! Pessima pessima pessima!!! Sem nenhum replay de nenhum lance.... faz GE parecer amador 😂😂😂,há 11 meses,0,
"Tem que aprender muito com a Espn ainda, nem replay dos gols mostram. 🤦🏽‍♂️",há 11 meses,0,
Vitor Roque fã de gabigol,há 11 meses,0,
Empata com o Goiás time de série B é um abisurdo,há 11 meses,0,
O Goiás roubado de novo que juiz vagabundo,há 11 meses,0,
Golaço do Victor Roque velho.,há 11 meses,1,
