text,time,votes,replies
😂😂😂😂,há 1 mês,0,
não gostei da camisa branca do cruzeiro porque eu prefiro a tradicional azul com estrelas brancas,há 2 meses,0,
não gostei da camisa preta do Grêmio eu prefiro aquela tradicional azul preto e branco,há 2 meses,0,
Parabéns Grêmio Luis Suárez 🇺🇾🇺🇾,há 6 meses,0,
3x0 bom dia,há 9 meses,0,
Kkkkkkk gremioeeee,há 10 meses,0,
grêmio 5x0 cruzeiro goleado war  é ladrão,há 10 meses,0,
"Escândalo 
Vergonhoso 
Mafia de árbitros 
Ladrões 
Estão apostando e ganhando dinheiro com esses roubos",há 10 meses,0,
"A luta do Grêmio é para ficar na Sulamericana, apenas isso. Com toda certeza não pegaremos Libertadores e, se continuar caindo assim, talvez estejamos de novo na B no ano que vem.",há 10 meses,0,
O cruzeiro contrata Zé Ricardo treinador de série b cruzeiro vai cair de novo Zé Ricardo treinador de série b,há 10 meses,0,
💞💥🎂,há 10 meses,0,
Luiz Suárez e um pouco pro Bitelo😮😮😮😮,há 11 meses,0,
"Meu deus cara, que foi isso que aconteceu com o cruzeiro, cada dia tá pior , daqui a pouco vai fazer compania ao Vasco.. 😂😂😂😂",há 11 meses,0,
Era pra ter sido 5 nas marias kkkk,há 11 meses,0,
Nome do narrador?,há 11 meses,0,
O Grêmio não ganha dos outros adversários todos os jogos por pena.,há 11 meses,0,
Grêmio parecia o Barcelona kkk,há 11 meses,0,
Aquele Impedimento do bitello foi sacanagem kk,há 11 meses,0,
Impedimento por causa da ponta da chuteira 🤣🤣🤣 sério o futebol tá ficando bizarro de ridículo,há 11 meses,0,
Fluminense x Inter tenho certeza absoluta que gremistas estão com nós tricolores carioca .,há 11 meses,0,
Aqui é o Imortal Tricolor! 💙💙💙,há 11 meses,0,
"E ainda falam que o Grêmio é freguês do Cruzeiro, mas de 2019 pra cá só ganharam dois jogos de 1x0 ainda",há 11 meses,0,
Se vingamos do 1x0 do início do ano,há 11 meses,0,
"Finalmente o Suárez fez gol man, nn fazia desde o jogo contra o coritiba",há 11 meses,0,
Caraca cortaram a perna do jogador da linha acima pra da o impedimento.,há 11 meses,0,
🇧🇼🇧🇼🇧🇼🇧🇼🇧🇼🇧🇼🇪🇪🇪🇪💙🖤🤍,há 11 meses,0,
"Gênio é o Messi, foi Maradona,Zidane, Ronaldo fenômeno , vamos por o Ronaldo Gaúcho também ,e outros. Craque é Newmar, Arrascaeta, RC7, e tantos outros. Suárez é ótimo atacante e talvez craque.",há 11 meses,0,1
"A cruzeirada tá elegre,vai receber sorrindo o rolão preto....rsrsrs.",há 11 meses,0,
"O uniforme do grêmio está lindo  Mas falta o Branco almenos nas meias  , pra ficar o tricolor original,.",há 11 meses (editado),1,
Vamo pra cima GRÊMIO!!!!🇪🇪🇪🇪🇪🇪,há 11 meses,0,
"Sou eletricista, mas o Grêmio tá jogando muita bola",há 11 meses,0,1
Será que agora viram o Suarez? Aosjaosnkssj,há 11 meses,0,
O passe do bitelo foi 99% gol,há 11 meses,0,
"Rafael Cabral, Seu Zé Ruela, Preferiu ficar no Cruzeiro do q ir pro Atual Campeão da Copa do Brasil, Otario.",há 11 meses,1,
"Contra o Cruzeiro é um Leão.

Contra o Flamengo é um gatinho....",há 11 meses,0,1
"Pepê é Seleção, mudou o time do Grêmio.",há 11 meses,0,
"Jogo roubado contra o Grêmio, para variar: expulsão do Neres era obrigatória, pênalti em empurrão no Cristaldo (sem chamar VAR) e gol legal do Bitello (cortaram a perna do adversário na imagem rsrsr)",há 11 meses (editado),0,
Deixa Suárez sozinho é 90% gol,há 11 meses,0,
"Sou galo, mais torci para o Grêmio,tá jogando demais,tomara que seja campeão, ainda dá tempo",há 11 meses,2,
Grêmio jogou como um time em buscá do título asim que ele têm que jogar,há 11 meses,0,
Se tu tivesse acompanhado a carreira do Suárez desde a copa do mundo da áfrica 2010 veria o quanto ele é Craque. Ainda acho ele melhor que o neymar.,há 11 meses,0,
Kkkkkkkk só n entendi a parte do eletricista kkkkkkkkk,há 11 meses,0,
"Um fodase desse tamanho
✋                                      🤚",há 11 meses,1,
Qui material é esse do grémio ta show,há 11 meses,0,
Impedimento por causa da ponta da chuteira é sacanagem ...,há 11 meses,0,
GREMIO FEZ 5 PARA VALER 3,há 11 meses,0,
O CRUZEIRO ENTRAGANDO DESSE JEITO TÁ LOKO PRA VOLTAR PRA SEGUNDA DIVISÃO..,há 11 meses,0,
Grêmio massacra o cruzeiro,há 11 meses,1,
1:28 Ronaldo vai te mat4 rapazkkkkk,há 11 meses,0,
Parecia xx vídeos o cruzeiro só tomando no rabo kkkkkk,há 11 meses,2,
"O Grêmio em questão de uniforme é mais bonito na minha opinião,todos os uniformes são muito bonito.",há 11 meses,3,
Impressionante como o Renato Gaúcho recupera o grêmio rápido dms,há 11 meses,3,
"A Fifa, CBF, Comebol e demais entidades do futebol, Cartolas, jogadores, jornalistas e demais  personalidades do Futebol fazem de tudo para matar com o Futebol. O Simples eles complicam. Vamos lá: Impedimento. Para ser impedimento tem que estar com o corpo por completo a frente do adversário. Pênalti com mão na bola só se for intencional ou com os braços abertos. Braços junto ao corpo e a bola batendo no braço com o jogador de costas, jamais poderia ser pênalti. Empate em 0x0. Jamais poderia existir 0x0. Se terminar 0x0, intervalo de 5 minutos e 10 minutos a mais com 5 mim pra cada lado. Persistindo o 0x0 , decide nos pênaltis. Haveria muito mais emoção e o torcedor iria ao estádio e pagaria o ingresso com gosto, sabendo que veria bom futebol e teria emoção. Gols incríveis são anulados por causa de milímetros que só o VAR vê...O Futebol dos Cartolas não evolui ...",há 11 meses,0,
"Sou mengão, mas esse uniforme do Grêmio tá imoral. Lindo demais!",há 11 meses,27,
O macete é entrar no CT do Cruzeiro e meter bufete nesses lixos que não querem jogar,há 11 meses,0,
"sou cruzeirense n me zoem  , o cruzeiro é ruim p cacete , se eu fosse esses fdp iria ter vergonha , pqp cada um mais ruim que o outro . 


Abraços Celestes🎉",há 11 meses,1,
Esse e o gremio conpetitivo que queremos,há 11 meses,0,
QUE GOLAÇO DO SUÁREZ,há 11 meses,0,
Como que o bitello tava impedido mano,há 11 meses,0,
Esse time do Cruzeiro é horrível!!! Suárez só faz gol em time morto!! Contra os grande os zagueiros engolem ele,há 11 meses,0,
Os dois times q torço,há 11 meses,0,
🎉🎉🎉🎉🎉🎉🎉,há 11 meses,0,
"😂 Cruzeiro junta junta futebol clube, eu disse que íamos perder de 2 x 0 errei por um e perdi o bolão 😂😂😂😂 se continuar assim vamos cair literalmente falando segunda divisão ❌ a vista 😂😂😂😂😂😂",há 11 meses,1,
Cruzeiro é o inimigo do gol,há 11 meses,0,
🎉 vamos jogar com essa camisa . novamente 😊,há 11 meses,0,
Luizito tá comendo a bola 😮,há 11 meses,0,
"ESSE TIME DO CRUZEIRO ESTÁ MORTO. OS CARAS NÃO FAZEM NADA DENTRO DE CAMPO; NÃO CORREM, NÃO ARMAM, NÃO ATACAM, NÃO DEFENDEM.",há 11 meses,1,
