text,time,votes,replies
"América minúsculo,nunca ganhou nenhum título de expressão!
Campeonato brasileiro -0
Copa do Brasil -0
Sul-americana -0
Libertadores da América -0
Mundial interclubes -0
Corinthians, gigante -campeão de tudo!",há 1 ano,0,
"Danilo Avelar na zaga do timão era foda,acho quê ninguém lembra",há 1 ano,0,
Aqui de novo retornou o.....CAIU NO HORTO TA MORTO😂,há 1 ano,0,
Ki fase que tá o curintia,há 1 ano,0,
A gente deixou eles ganhar,há 1 ano,0,
Desce só mais um pouquinho 😞...,há 1 ano,0,
Estou te esperando no final do ano!! Um abraço Corinthians,há 1 ano (editado),1,
"Esses rivais assistem o jogo do Corinthians, KKKKKK",há 1 ano,0,
"Penalty roubado pro curicas, a globo não mostra nem replay",há 1 ano,1,
Pedrinho entrou bem,há 1 ano,0,
Mdc adeus Corinthians a série B espera,há 1 ano,1,1
Meteram a mão no Curintia ...mas bem feito 😂😂😂😂😂,há 1 ano,0,
Olha o coelho aprontando dê novo 😲agora á vítima foi o Corinthians Grande vitória 😆,há 1 ano,2,
volta Vitor Pereira estas perdoado :D,há 1 ano,0,
A bola bate na perna antes de tocar na mao e NENHUM canal comenta NADA sobre isso!!!! kkkkkk,há 1 ano,0,
🅱️🅱️🅱️🅱️🅱️👻👻👻👻👻👻👻👻,há 1 ano,0,
"😂😂sem comentários
O corintia levou fumo de novo kkkkk timinho ruim vai cair disso tenho certeza 😂😂",há 1 ano,0,
"Sinceramente, até o futebol do América convence mais que do Atlético... inacreditável como pode ter entregado a paçoca na CDB.",há 1 ano,2,
Ingressado pq se fosse mão do flamengo ia ser barriga né,há 1 ano,0,
"O América deveria ser processada, judiou de incapaz.",há 1 ano,1,
E com lei do ex Danillo Avelar,há 1 ano,1,
Aonde estava o juízo?,há 1 ano,0,
É essa bosta que o Neto diz que vai ser campeão da copa do Brasil??!!! 🤣🤣🤣🤣🤣🤣,há 1 ano,0,
"Essa é a realidade do time das marmitas.  Contra o Atlético-MG, foi um ""acidente de percurso """,há 1 ano,1,
Esses time verde e complicado...,há 1 ano,0,
Se vc for reparar que cara mole e esse Maycon mano,há 1 ano,0,
Mano se o Fábio ficar nessa de querer bater alto errando pênaltis que n pode vai ter que trocar o batedor ofc do corinthians ele errou na libertadores em disputas,há 1 ano,0,
"Rapaz pr jogar na defesa no Brasil os jogadores vao de que amputar os braços , porq so no Brasil dão esses pênaltis bobo",há 1 ano,0,
Só risada e alegria,há 1 ano,0,
Como que o Atlético perde para um time horroroso desse corinthians,há 1 ano,0,
"Os dois gols foi culpa do Maicon,esse cara tem que voltar para Ucrânia",há 1 ano,0,
"Veremos o próximo jogo 🤍🖤 eternamente, desgraçaaaaaaAaAaAaA!!",há 1 ano,0,
Ganha do Atlético MG pra dps perder pro América MG 😂,há 1 ano,0,
jogando assim o corinthians NÃO vai conseguir PAGAR as MARMITAS😢😢😢,há 1 ano,1,
Jogo horrível não dá pra entender vai bem na copa do Brasil e no Brasileiro essa merda,há 1 ano,0,
Tudo normal nas gaivotas kkkk,há 1 ano,0,
Time sem vergonha ! 😡,há 1 ano,0,
Como pode der ganhado do atletico mg o corinthians.o vergonha.,há 1 ano,0,
Porque o calvo Guedes nao bate os pênaltis pro Corinthians?,há 1 ano,0,
Palmeiras velozes e furiosos 2023 CURINTIA na zona 😂😂😂😂😂 de rebaixamento 😂😂😂😂😂 perder pro Meriquinha 😅😅😅😅,há 1 ano,0,
Time 100 vergonha,há 1 ano,0,
Só coudet conseguiu perder curinthia time horroroso,há 1 ano,0,
Voltamos a programação normal do pofexô,há 1 ano,0,
Yuri aberto só enganação,há 1 ano,0,
Proxeto,há 1 ano,0,
3:02 KKKKKKKKKKKKKK,há 1 ano,0,
"Jogo de 90 minutos e o vídeo não tem nem 5 minutos, qui merda.",há 1 ano,0,
Quase 1 Milhão de Pessoas assistiu a Derrota do Corinthians,há 1 ano,1,
Quem narrou esse jogo?,há 1 ano,0,1
Foda mn,há 1 ano,0,
O galo perdeu pra isso,há 1 ano,0,
Sou corintiano mais fiquei contente de ver o Danilo avelar  jogando e fazendo gol  porque não achei justo o que os lacradores moralista de merda fizeram com ele esse time com esses lacradores merece ser rebaixado  para ir lacrar na segunda divisão que é o lugar perfeito para esse tipo de gente,há 1 ano,0,
Se nao tivesse o var o america nao ea ganhar nunca kkk,há 1 ano,0,
Vou ficar so nos melhores momentos xupa 😂,há 1 ano,0,
Time perde e ganha tem q tirar essas carniça do time porra,há 1 ano,0,
Foi o inter resçussita que o América melhorou,há 1 ano,0,
Dia perfeito para um palmeirense,há 1 ano,0,
Não é porque o América é time pequeno não merece ganhar merece sim e ganhou bem e o Corinthians se abrir o olho vai pr segunda divisão sim.,há 1 ano,1,
Esse Pedro tem futuro o Corinthians tem que renovar o contrato dele quando estiver quase acabando,há 1 ano,0,
Tentou compensar um pênalti ainda kkkkkkkk pênalti dado não entra,há 1 ano,0,
curica sempre nos dando alegria continue assim,há 1 ano,1,
Rogério Corrêa,há 1 ano,1,
Kkkkkkkkkkkkkkkkkkkk tudo voltou ao normal 😎😎🤠,há 1 ano,1,
Não tem nada mais maravilhoso do q ver esse time lascado do cúrintia perdendo. 💪,há 1 ano,0,
"Parabéns Coudet e jogadores, consegiiram que o Galo, com um time mto melhor, fosse desclassificado por esse time medíocre do Corinthians, treinado pelo decadente Luxemburgo.",há 1 ano,0,
Kkkkkkkkkkkkkkk,há 1 ano,0,
Y Angel Romeroooo,há 1 ano,0,
Vai Corinthians 🍻🍻🍻,há 1 ano,0,
Parabéns América mereceu a vitoria bora ganhar o próximo pra sairmos da zona de rebaixamento....boraaa coelhao brabo....,há 1 ano,2,
"Não dar pra entender!! Um time faz um grande jogo,e reverte um resultado adverso contra o galo,mas logo em seguida joga porcaria nenhuma contra um coelho,e perde de 2×0.
Qual é o Corinthiano que ver o Corinthians fazer um jogão e passar na Copa do Brasil, e não se empolga que vai engrenar no Brasileiro?! 
Assim fiquei eu , mas,me enganei. Voltei a pensar que meu time vai brigar pra não cair.",há 1 ano,0,
Que fase tá o Corinthians,há 1 ano,1,
Danilo Avelar.  👀  😂😂😂,há 1 ano,0,
Se o gol fosse mais uns 3 metros acima o coringa tinha acertado 😂😂😂😂😂😂,há 1 ano,0,
Normal! Venceu o maior,há 1 ano,0,
"""2 a 0 pr0 America ?? So prova que  o Atlético entegou a Copa do Brasil.""",há 1 ano,0,
"Cassio levou 2 gol, time perdendo. Ainda quer tirar onda com a tentativa do atacante do gol de longe kkkkkkkkkk",há 1 ano,1,
"Enquanto tivermos esse presidentezinho ""dente de leite"" (garoto de recados do Andrés Sanches), o Corinthians continuará nessa Merda em que se encontra!!!",há 1 ano,0,
NÁO CONSIGO ENTENDER  MEU TIMÁO JOGA BEM  E DEPOIS JOGA MAL SERA Q ESTA TENDO MERCENARIO NO MEIO DO TIMÂO VAI  CORINTHIANS PORRA NÁO MATA EU DO  CORAÇAO,há 1 ano,0,
"Os times de menor expressão, jogam com muita raça e vontade, os grandes com o nome. Acordem, Corinthians, Santos, Cruzeiro, Vasco e Flu",há 1 ano,0,1
Esse Yuri Alberto é muito ruim.,há 1 ano,0,
é muito triste um time tão grande como esse passando por essa fase complicada. força goiás.,há 1 ano,42,1
Que situação essa das gayvotas espero que piore.,há 1 ano,0,
Na verdade estão afundados em dividas..,há 1 ano,0,
Goiás? É América mano,há 1 ano,0,
A bola que fabio santos bateu caiu la na cela do Daniel Alves 😂😂😂,há 1 ano,0,
"esse fabio santos e um ze carniça maluco tem 40 anos tem que se aposentar, e ridiculo",há 1 ano,0,
time filho da puta. fudeu minha aposta,há 1 ano,0,
"Cara Yuri Alberto um centroavante caro desse não dar um chute no gol, fora os gols que ele errou jogo passado contra o atlético que não ligaram porque o Corinthians classificou, esse cara tem que comer banco e dar oportunidade pros meninos da base.",há 1 ano,0,
Corinthians iludiu todo mundo quarta feira kkkkkkkkkkkk,há 1 ano,0,
Fúria independente. Cabo de st. Agostinho. 😮😮😮😮,há 1 ano,0,
COMO O ATLÉTICO MG FOI ELIMINADO POR ESSE TIME,há 1 ano,0,
Raça maldita do satanás!,há 1 ano,0,
"BEM FEITO, ESSA RAÇA DO SATANAS PERDEU DE NOVO! TOMARA QUE SEM FODA.... ENTRE ELES!",há 1 ano,0,
Quem vai ser rebaixado é vocês galinhada,há 1 ano,0,
Querem ve o São Paulo rebaixado,há 1 ano,0,
A serie B te espera curica,há 1 ano,0,
Vocês vão voltar pra casa de vocês,há 1 ano,0,
Fora Luxemburgo,há 1 ano,0,
"Resultado não mostra o que foi o jogo. Mérito do america por ter achado os dois gols, vida que segue. Quarta tem decisão de libertadores.",há 1 ano,0,
Vão morrer bando de filho da puta vai Corinthians o maior do Brasil,há 1 ano,0,
Abaixe o preço dela da pt que a gente assina,há 1 ano,0,
América MG derrubou a empolgação do Corinthians.    04/06/23,há 1 ano,0,
Corinthians é uma piada mundial 🤣🤣🤣🤣🤣🖕🖕,há 1 ano,0,
América maior que Atlético,há 1 ano,0,
Tadinho do Coringão.  SQN,há 1 ano,0,
Fabio Santos tem que se aposentar já não pode mas confiar no fultebol dele mas,há 1 ano,0,
Esse America Mineiro é uma pedra no sapato da porra kkkk,há 1 ano,2,
Tudo normal com as galinhas 🐔 😂😂😂😂,há 1 ano,0,
Quero saber de quarta só,há 1 ano,0,
"O Corinthians não pode ver um adversário de verde e branco, que o Corinthians se caga por inteiro.",há 1 ano,0,
kkkkkkkkkk😂 receba,há 1 ano,0,
América-MG e um campeão 😃😁😄🙄,há 1 ano,0,
Quando eu penso que o timão vai reagir no brasileirão🤦🏻‍♂️,há 1 ano,0,
no proximo jogo leva o gandula para jogar de centravante e deixa o yuri alberto de gandula,há 1 ano,0,
Kkkkkkk vai entender esses times os cara ganhar de time grande e quando e time pequeno os cara perder kkk,há 1 ano,1,
