text,time,votes,replies
Parabéns Fortaleza ec 🦁 🇫🇷🇫🇷,há 7 meses,1,
Alguém sabe o nome do narrador??,há 7 meses,0,
NAMORAL PORQUE NINGUÉM FALA DESSE PITTA? JOGA MT VEM PRO CABULOSO VEM!!!,há 8 meses,1,
"Pikachu joga mais do que qualquer lateral da seleção. Por isso o Diniz não dá certo na Seleção, tá sem humildade.",há 8 meses,0,
Alguem sabe o nome do narrador ???,há 8 meses,0,
O narrador falou o pika tá só kkkkk,há 8 meses,0,
Cuiabá campeão 🍻🍺🍻🍺 😞 todos os dias no jornal nacional campeão da temperatura mais alta do país 😅,há 8 meses,0,
Parabéns ao Cuiabá,há 8 meses,2,
Incrivel como o Fortaleza decaiu depois da derrota na Sulamericana,há 8 meses,0,
"Que orgulho de ser matogrossense
Mostra nós somos bons igual a outros times da série A não vejo muito futebol mais admiro demais times com menos reconhecimento e menos investimento mostrando que não só dinheiro faz time ser bom mais jogar em equipe e trabalho duro faz você time consistente ❤",há 8 meses,1,
Cuiabá chegou pra ficar,há 8 meses,0,
Da raiva só de pensar que o Corinthians caiu para o fortaleza,há 8 meses,0,
Fortaleza voltando a ser o fortaleza kk,há 8 meses,0,
O irônico é que o Deyverson joga mais que o Flaco Lopez e saiu do Palmeiras para arrumarmos o Flaco,há 8 meses,0,
É o time do coração 💚💛💚💛💚💛,há 8 meses,1,
"Centroavantes q merecem chances na seleção brasileira
Deyverson
Paulinho
V. Roque
Ml9
Endrick
T. Soares
Evanilson",há 8 meses,0,1
Picachu já merece uma convocação para seleção brasileira de futebol,há 8 meses,1,
Picanha já merece uma convocação para seleção brasileira de futebol,há 8 meses,1,
"Falando sobre o Fortaleza na final da sulamericana, penso que se o Pikachu tivesse começado o jogo, talvez, o Fortaleza tivesse até ganhado no tempo normal.",há 8 meses,2,
"Grande jogo Cuiabá, tenho que admitir, mas o que o meu leão perdeu de gol no segundo tempo não tá escrito! Quando a zika tá grande, não tem jeito.",há 8 meses,1,
P endrick ja esta na seleção agr vamos ver se ele vai jogar ou só ficar no bamco,há 8 meses,0,
"Cadê os pau no cu do liau falando que o Corinthians ia cair? Kkkkkkkkkkkkkkkk
Passamos vcs nos pontos kkkkkk",há 8 meses,0,
PAYSANDU!,há 8 meses,1,1
Valeu cu i a bá venceu um timeco que achava que seria campeão da Sula e tá levando surra... Pra baixo liaum... Série D é seu lugar...,há 8 meses,0,
Sou palmeirense sinto falta do Deyverson muito melhor que o Breno Lopes.,há 8 meses,3,
"Acabei de postar o video dos 5 GOLS MAIS BONITOS da rodada 34 do Brasileirão, confere la e veja se concorda?",há 8 meses,0,
"Se eu sou diretor do Flamengo, contrato o Deyverson. O cara joga com vontade, é polêmico e guerreiro. Vale a pena o investimento. Se o cara corre assim no Cuiabá, não vai se matar no Fla? Traz ele para revezar com Pedro. 
Mas é vascaino, e daí?
Jogou no Palmeiras,  e daí? 
O cara é profissional.",há 8 meses,0,
Se não fosse e João Ricardo seria 5.,há 8 meses,0,
Acabou o gás 😂,há 8 meses,0,
Cuiabá jogou muito essa dupla Deyvinho e Pitta tão jogando muita bola slk o Cuiabá é destaque da série A esse time vai longe e vai pra Sul-Americana pode anota aí O que acontece com o Fortaleza? depois que perdeu a Sul-Americana o time dispensou na tabela que fase hein!,há 8 meses (editado),2,
Fortaleza foi da sula pra sola😂,há 8 meses,0,
Acabou o gás do leãozinho do Paraguai,há 8 meses,0,
Pq o goleiro do Fortaleza não foi expulso?,há 8 meses,0,
Fortaleza ta no caminho certo do rebaixamento,há 8 meses,0,
.,há 8 meses,0,
O meu Corinthians ganhou do Grêmio kkkkkk 🔥🔥🔥🦅🦅.  Soares deixou a pist0l4 em casa 😂😂😂😂😂😂😂,há 8 meses,1,
A Stella está se preservando pro segundo jogo da final com o LDU por isso tá perdendo toda vez 😂😂😂😂😂,há 8 meses,1,1
Escapou de goleada,há 8 meses,0,
No começo do campeonato a mídia tudo falavam que Cuiabá ia cair tai seus cornos chifrudos,há 8 meses,0,
Galera tá pagando nesse bug aproveita pessoal! Me agradeça depois 🤝,há 8 meses,0,
"Em qualquer outro clube o Técnico Vojvoda já teria caído, um técnico imprudente que está precisando pontuar, que joga com linhas avançadas e com uma zaga que não faz marcação e sem vontade. Não dá mesmo, tá pedindo pra perder.",há 8 meses,1,
Marambaia,há 8 meses,0,
"Foda man, segurar cinco taças e um nacional é pesado, cansa muito kkkkkkkk",há 8 meses,0,
O Deivison é pra ser o camisa 9 da seleção!,há 8 meses,4,
"Podem falar o q for.
Deyvin é iluminado!
Vasco te espera pra realizar seu sonho em 2024",há 8 meses,3,
Obrigado Cuiabá!!!,há 8 meses,4,
Deyvinho ❤,há 8 meses,0,
Parabéns pela permanência dourado 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,há 8 meses,5,
"Boa vitoria do Cuiabá contra o Fortaleza, pelo campeonato brasileiro da serie a 2023.",há 8 meses,5,
"Meu Cuiabá ...já tirou mtus pontos de time grande .....
Vem se destacando. Mtus duvidaram do nosso time olha onde tá hj .🎉",há 8 meses,7,2
"Meu cuiabá 💛 o maior do Brasil 💚 permanecemos na série A... um time tão jovem sendo um exemplo no brasileiro 💚💛 vamos com tudo ano que vem, rumo a liberta",há 8 meses,7,
Deyvinho mostro,há 8 meses,1,
E o laion não tem jeito kkkkkk.,há 8 meses,0,
