text,time,votes,replies
"2:03 se o Gerson n faz o gol, o var chamava pra possível pênalti nele.
Certeza",há 2 semanas,1,
Boletim de ocorrência :DE NOVO ISSO CARA EU NÃO AGUENTO MAIS,há 1 mês,0,
O Ramon não vai fazer nois cair,há 5 meses,1,
🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,há 5 meses,0,
"Jogo que eu nunca vou esquecer, que orgulho está ao estádio vendo o meu mengão jogar , nossa até hoje não sei explicar como foi maravilhoso ver de tão perto o gol e Gerson junto de gabigol comemorando na minha frente❤🥰😍 saudades demais da emoção do Maracanã, ganhar do Vasco é bom mas vendo de perto é melhor ainda ❤😂❤😂❤",há 5 meses,0,
rossi fez bonito,há 6 meses,0,
"Fla só tenho uma coisa a dizer.....
Vai a merdA",há 6 meses,0,
"Time igual o Vasco trazer perigo para o flamengo é uma vergonha , flamengo não vai tirar para o sal desse jeito.",há 6 meses,0,
Vitória do FLAMENGO ❤,há 6 meses,0,
Muita força e garra mengau,há 6 meses,1,
Sou flamenguista mais Vasco jogou muito.jogo top,há 6 meses,0,
Grande clássico.vasco é um grande time e joga muito.parabens.apesar da derrota mais jogou demais,há 6 meses,0,
Flamengo já ganhou?,há 6 meses,0,
"Nossa eu não assisti o Jogo, mais o Vasco jogou muito , eu sou flamenguista mais o Vasco esta de parabéns.",há 6 meses,0,
😭❤️❤️😂🍁🌟👏👍♥️♥️,há 6 meses,0,
Vasco sempre joga duro com Flamengo mas sempre perde 😂😂😂😂,há 6 meses,0,
O juiz estava roubado pois a mao claramente tinha batido na mao do zagueiro. E o juiz nao deu falta,há 6 meses,0,5
Os caras dão a vida contra o Flamengo e sempre perdem kkkkkkkkkkkkkkk Tite vai dar muito nó tático ainda,há 7 meses,1,
"Vasco jogou muito bem, mas o flamengo tava abençoado nesse jogo 😅",há 7 meses,1,
Toma Vasco 😅,há 7 meses,1,
Ainda ta chorando rato,há 6 meses,0,
Em qual minuto?,há 4 meses,0,
 @Neymarff542  quando o Gabriel pec chutou e bateu na mão dele claramente o juiz roubou,há 3 meses (editado),0,
 @gabriel6262-tm4uw  mais foi em qual minuto do vídeo,há 3 meses,0,
 @gabriel6262-tm4uw  em qual minuto do vídeo,há 3 meses,0,
( ••. ❤,há 7 meses,0,
❤😂🎉xyxdddddddd,há 7 meses,0,
Otima vitória do meu mengão,há 7 meses,0,
Flamengo jogou muita bola,há 7 meses,1,
"Vasco jogou muito mais, acharam o gol",há 7 meses,1,
"MANO, QUE DEFESA DO ROSSI, JESUS, SE NÃO FOSSE ELE SERIA OUTRO JOGO",há 7 meses,2,
Clássico dos milhões e sempre espetáculo,há 8 meses,3,
Gooool do Flamengo!!!!🎉,há 8 meses,3,
