text,time,votes,replies
Oi,há 2 meses,0,
Parabéns Atlético-MG Hulk 🇧🇷🇧🇷,há 7 meses,1,
"Hoje que fui entender o significado do hino:
 ""Agora que dá a bola é o Santos😩""",há 9 meses (editado),0,
💙💙💙💙,há 9 meses,0,
Aqui e  GALO,há 9 meses,0,
Quem seco o inter toma agora fala,há 10 meses,0,
Galoo🖤🤍,há 10 meses,0,
HULK ⚽🥅,há 10 meses,0,
INTR💩💩💩💩💩🍿🍿🍿🍿🍿🍿🍿😭,há 10 meses,0,
"BINTER CAMPEÃOOOO  DA LIBERTADORES 2023🤣🤣🤣🤏🍓

APANHOU HOJE NO BEIRA LAGO CASA DE TODOS E VAI APANHAR DOMINGO DE NOVO 🤣🤣🤣",há 10 meses,0,
Ele esmaga tá....Hulk,há 10 meses,0,
Narrador fraaquinho.,há 10 meses,0,
Não sei não mais nos últimos anos o Galo foi o time que feis os gols mais bonito!,há 10 meses,0,
O Inter tava com o time reserva cara,há 10 meses,0,
"super ed continua nos dando alegria kkkkk
vamo fluzao, todo mundo bate neles, n percam essa oportunidade tbm",há 10 meses,1,
Esse igor gomes kkkkk,há 10 meses,0,
Ta foda esses jogador tem que aprende a chutar a gol tão fraco das perna poh inter pra cima seus merda,há 10 meses,0,
salsichaaaa no inter kkkkkkkk,há 10 meses,0,
Que gramado!,há 10 meses,0,
"Atlético-MG 2 x 0 Internacional Não Derrota 
GOOOOOLLLLL HULK 🤣",há 10 meses,1,
"Esse Hugo do Inter é muito invejoso,arena jogo liso dms 🙅🏼‍♂️",há 10 meses,0,
Caxias maior que o inter 😂,há 10 meses (editado),2,
"Tem gente chamando isso de bicicleta 😂😂😂😂, mds, foi legal o gol, mas bicicleta ta longe viu, cara literalmente caiu e deu uma puxadinha pra trás",há 10 meses (editado),0,
"Alegria dos morango acaba na quarta feira😂
E o enterro vai ser no Grenal😂😂😂
Fluminense 3x2
Gremio 3x1😂😂😂😂",há 10 meses,0,
Esse alan franco joga demais nunca deveria ter saído do galo é  igual o keno ano que vem tem q trazer ele o savarino e o Bernard aí entreguem as taças,há 10 meses,0,
TEM QUE ELIMINAR ESSE CAVALO QUE DEU ESSA ENTRADA NO ARANA.,há 10 meses,0,1
"Atlético mineiro o cavalo paraguaio do Brasil junto com fluminense, todo ano kk",há 10 meses,0,
Timeco sem torcida. Menor do Sul,há 10 meses,0,
"Pelo menos o jogador foi honesto após a partida e concordou com a expulsão, diferente de muitos que são desonestos e querem ficar teimando com lance que aparece para  todos ver. Mas o inter vai perder quarta feira, vão lutar depois para não cair para a série B, grêmio precisa ganhar o jogo como se fosse a vingança daquele ano que caíram, pois eles jogaram como se fosse uma final só para o grêmio cair, enfim o grêmio fez por merecer aquele ano, mas a história é outra, tomará que, o time do grêmio precisa espirito de campeão, pois estão muito perto do líder, precisam acompanhar os demais, pois o botafogo, mesmo que vença  será obrigado a ganhar todas partidas, pois o momento que eles perder 3 partidas e os times atrás que,  fizer campanha de vitórias, com certeza podem tirar o botafogo de cima da tabela.",há 10 meses,0,
Edenilsom quer tira onda????? Nem se apresenta esse chama derrota,há 10 meses,0,
"O inter estava bem, foi só o técnico do inter colocar os titulares que ja deu mer..",há 10 meses,0,
Pronto curti,há 10 meses,0,
"G⚽LD HULK!!!
G⚽LD GORGOMES!!!
UG🔺G/\NHÔ-UG🔺G/\NHÔ-UG🔺G/\NHÔ!!!!!!",há 10 meses,0,
"Entradas CRIMINOS/\S como a de hugo em /\R/\N/\ deveriam também ser punidas com multa e suspensão sem salário, caso a vítima precisasse ficar afastada. Já não basta ocorrência semelhante com ele em 2022, a qual o tirou de campo por longo tempo. Apenas a expulsão é POUC/\ para C/\V/\LOS assim...",há 10 meses (editado),0,
O Galo tá jogando bem em,há 10 meses,0,
Quem acha que o internacional passa do Fluminense na quarta dá o like,há 10 meses,0,
"Engraçado é que todos os times que estão na semi da libertadores perderam nessa rodada do campeonato brasileiro, até o boca perdeu de 2 a 0,no super clássico argentino, contra o River playte",há 10 meses,1,
"Igor Gomes pede passagem no Time titular do Atlético mineiro, abre o olho Felipão",há 10 meses,0,
