text,time,votes,replies
0:43 Ninguém percebeu a mão ali n?,há 4 meses (editado),1,
Esse jogo foi bem no dia do meu aniversario 🇧🇼,há 6 meses,1,
Parabéns Grêmio Luis Suárez 🇺🇾🇺🇾,há 6 meses,0,
"O cara era um coadjuvante no Barcelona, craque reinando no Brasileiro. O velho mordedor Suarez",há 9 meses,0,
Vamo Grêmio,há 11 meses,0,
Arena do Grêmio em Porto Alegre,há 11 meses,0,
Suarez jogando contra o Cuiabá kkkkk,há 11 meses,0,
Deyvison não é o botão,há 11 meses,1,
Taquepariu 2:26,há 11 meses,0,
Porto alegre. poder público precisa dar um jeito no intorno da arena. Tem eleicoes vindo aí....comfisque o dinheiro da oas...,há 11 meses,0,
Que golaço seria aquele chapéu do Suarez!,há 11 meses,0,
"volte pra serie b q  eh seu lugar cuiaba, time fracoco",há 11 meses,0,
"LUIZITO SUÁREZ É MONSTRO JOGA DEMAIS!!! TEM VISÃO DE JOGO, É JOGADOR DE UM TOQUE NA BOLA, QUE JOGA PRA FRENTE!!! MONSTRO LUIZITO!!! CAIU MUITO BEM COM A CAMISA DO GRÊMIO!!! ⚽🔥",há 11 meses,1,
Que honra poder ver o Suarez jogando pelo Grêmio maior contratação da história do futebol do sul !,há 11 meses,2,4
"Suarez é matador , muito bom ver ele jogar aqui no futebol brasileiro! 🇪🇪🇪🇪",há 11 meses,1,
Cuiaba é muito ruim 😂😂😂,há 11 meses,0,
O Cuiabá precisa ver os vídeos dos jogos da série C pra aprender a ter garra e determinação. São jogos que vale o acesso a série B que não tem bobeira e nem desmotivação.,há 11 meses,1,
Grêmio vence em casa mais uma.   04/09/23,há 11 meses,0,
💙🔫🇧🇼,há 11 meses (editado),0,
Quem está feliz com a Vitória do Grêmio curte AQUI 👍,há 11 meses,3,
ganhou o que ?,há 11 meses,0,
" @andredede9980  foi campeão estadual, recuperou o time levando a 3 posição do brasileirão, semifinal de copa do Brasil, fora que por peso de nome e mídia não a comparações, o maior nome já contratado da história do futebol no sul do país",há 11 meses (editado),0,
 @alan-wp9tp  aí aí e agora vai sair com a mão na frente outra atrás,há 11 meses (editado),0,
 @andredede9980  q papo furado mlk,há 11 meses (editado),0,
O cara queimou a língua legal kkk criticou o Suarez e ele fez o gol segundos depois 😂😂,há 11 meses,0,
Contemplem o prazer de ver Luis Suares  jogar  só isso,há 11 meses,0,
1:35 o mano q tocou pro deyverson achou q tinha sido gol kkkkkk,há 11 meses,0,
Suarez épico antes de sair do grêmio já deixa saudades seria bom se ficasse pois pôde jogar ums três anos ainda 💙🖤💙,há 11 meses,8,
"Putz, mas daí é fácil né. Um frango do goleiro e um gol contra 😒",há 11 meses,0,2
Tem comentarista meia boca torcendo pra Soares embora kkk e uma vergonha,há 11 meses,0,
Esse Cuiabá só joga contra o Flamengo kkkkkk 😂kkkkkkkk,há 11 meses,0,
Boooraaaa Grêmio 💙💙💙🇪🇪🇪🇪🇪🇪,há 11 meses,0,
Vlw apena viajar quase 500 km e toma um banho de chuva vamos grêmio,há 11 meses,0,
Vc e minha inspiração de viver,há 11 meses,0,
Te amo grêmio ◉⁠‿⁠◉,há 11 meses,0,
Jogo certo que o Grêmio ia ganhar,há 11 meses,0,
O deyverson só aparece contra o Flamengo 😂,há 11 meses,0,
Kkkkkk,há 11 meses,0,
"Suárez é craque demais, dá assistência, faz gols e ajuda o Gremio a ganhar os jogos, espero que ele fique ano que vem.",há 11 meses,13,
"Depois que o trouxa do Deyverson foi no programa mostrar a tática do time, nunca mas ganhou 😂😂😂😂😂",há 11 meses,0,
Goleiro ajudando o Joelito Soares.,há 11 meses,0,
Esse Luiz Soares é uma traqueira livrando de suas mordidas já sai ganhando. Affff,há 11 meses,0,
O BBBremio esta surpreendendo nesse campeonato,há 11 meses,0,
"Cadê aquele Cuiabá que jogou contra o flamengo? Que cada jogador por 2 ... porque não continua jogando com aquela garra de vontade ganhar, há se eu disse o presidente desse clube dispensava a metade desse jogadores, contra um joga com vontade de ganhar e outras com vontade de perder afff Cadê o Deivison o craque de um jogo só.???",há 11 meses,0,
