text,time,votes,replies
Quem segura o Botafogo??,há 11 meses,869,123
Alguém lembra quantos pontos o Lucas Perry fez no Cartola nesse jogo?,há 4 semanas,0,
triste,há 1 mês,0,
Isso aí,há 3 meses,0,
RODAD,há 5 meses,0,
Parabéns Botatogo Patrick de Paula 🤩🤩,há 6 meses,1,
como esse time não foi campeão,há 7 meses,1,
Última vitória em casa,há 7 meses,0,
Houve um tempo em que o Botafogo não tomava gol nos acréscimos 😂,há 8 meses,1,
"NO INICIO DO MÊS DE SETEMBRO DE 2023. EU DISSE QUE O BOTAFOGO, NAO  TEM ELENCO PARA SER CAMPEAO BRASILEIRO, MESMO OS OUTROS  TIMES ESTANDO FRACO. ENTRAMOS  NO MÊS DE NOVEMBRO DE 2023. SERÁ QUE O PALMEIRAS VAI CONSEGUIR? PORQUE O BOTAFOGO JÁ ERA...",há 9 meses,0,2
VALENTINA ❤,há 9 meses,0,2
muito bom!!,há 9 meses,0,
3x0,há 9 meses,0,
joga muitooo!,há 9 meses,0,
O Bahia tomou 3 mas tá começando a se encaixar,há 9 meses,0,
Botafogo tem que ser o campeão,há 9 meses,0,
"Acho que esse gol do Luis Henrique, a jogada completa, desde a arrancada do Hugo do campo de defesa, o passe absurdo que ele deu e o gol com drible no goleiro, foi o gol mais bonito do botafogo esse ano, quem sabe o gol mais bonito do campeonato ate agora.",há 9 meses,1,
Vai botafogo,há 10 meses,0,
Pena  que  o Palmeiras  e   o  grêmio  não  estão aproveitando   as derrotas  do  Botafogo,há 10 meses,0,
O Botafogo   vai  ser  campeão   dos  sonhos,há 10 meses,0,
NINGUÉM!,há 11 meses,44,
"O Palmeiras vai ultrapassar o faísca na última rodada, pode anotar ✍️",há 11 meses,20,
Meu p4u,há 11 meses,2,
"parabéns fogão pela ótima campanha, espero que façam uma goleada no flabosta ⚪⚫⚪⚫",há 11 meses (editado),68,
 @ian_sep666 que palmeiras vai ser o Vasco pode crer 😂,há 11 meses (editado),18,
Ninguém segura o Botafogo e com certeza é o futuro campeão brasileiro 👏👏🎉🎉,há 11 meses,26,
Não conseguiram nem no Allianz!,há 11 meses,21,
​ @DeividSouza04 minha cueca vermelha 😂😂😂,há 11 meses (editado),3,
​ @joaogomes0 pelo jeito vai ser campeão brasileiro 🎉,há 11 meses (editado),8,
O AVAÍ DE EDUARDO BARROCA ☝️😎💙🤍,há 11 meses,6,
Botafogo caminha passos largos pro título brasileiro,há 11 meses,11,
Ninguém,há 11 meses,3,
"No Campeonato Brasileiro 2023, ninguém segura o Botafogo.",há 11 meses,14,
