text,time,votes,replies
⚽Gol mais bonito?,há 1 ano,963,160
O que esse Vasco jogava era horrível o São Paulo perdeu a oportunidade de vingar 2001,há 3 horas,0,
GABREI E Pedro,há 6 dias,0,
O gol mais bonito que eu nunca vi na minha vida,há 2 semanas,0,
Odinei Ribeiro narrando São Paulo X Vasco 2023,há 3 semanas,0,
"Alguém dps de Vasco 4 x 1 são Paulo, lembrou desse jogo?",há 1 mês,7,1
Bom dia,há 1 mês,0,
"Esse gol foi uma comédia! Se quiser trocar de vídeo e aprender programação para mudar de vida, meu canal está disponível!",há 1 mês,1,
"Esse Vasco do Barbieri era horrivel kkkkk, tanto q qm fez os gols do time foi o Barros e o Galarza KKKKKKKKKKKKKK",há 3 meses,0,
o vasco  nao  deve  sorte  nese  jogo eu  sou  vascain,há 4 meses,0,
Saudade quando o homi brocava!!!,há 6 meses,0,
Sompaulo  ta  ganhando 😍😈,há 6 meses,0,
Que orgulho de dizer que eu estava nesse jogo e assisti o único gol do Beraldo com a camisa do São Paulo!! 🇾🇪,há 7 meses,0,1
Qual nome desse narrador ?,há 7 meses,0,
vamo sao paulo,há 7 meses,0,
Vasco é freguês de todos o time safado.,há 7 meses,1,
Iffoffififkffifififjfjfifjffijdfjfjfjfjfjdfjfdijfjjffjfkffjfjffjfjfjfjffjhfjtfkfjfkf,há 8 meses,0,
:yt::yt::yt::yt:,há 8 meses,0,
Que golaço do Nestor mano,há 9 meses,1,
Será que tem outra cacetada hj,há 10 meses,0,1
O gol do Nestor,há 1 ano (editado),128,
Segundo do Nestor,há 1 ano,73,
Nestor po,há 1 ano,5,
​@edi bi rebaixado parabens,há 1 ano (editado),43,
Nenhum só gol cagado,há 1 ano,5,
Nestor,há 1 ano,5,
​ @carlinbr5759  tri rebaixado,há 1 ano,11,
Nestor,há 1 ano,2,
Nestor,há 1 ano,1,
"Achei muito lindo o gol do Calleri
Mais o do Nestor foi louco❤❤
Ganhamos mais uma 🎉🎉",há 1 ano (editado),6,
Flamengo 6a1 Corinthians,há 1 ano,3,
Nestor,há 1 ano,1,
Nestor,há 1 ano,1,
Do Nestor,há 1 ano,1,
Nesto,há 1 ano,1,
Nestor,há 1 ano,2,
Nestor,há 1 ano,1,
Gol do nestor ❤️🖤🤍,há 1 ano,1,
Nestor,há 1 ano,1,
Nestor,há 1 ano,1,
​@edi  Só no sonho kkk,há 1 ano (editado),2,
" @luanacam  FINÍSSIMA VOCÊ...VOTOU NO JANONES, NÉ?",há 1 ano,1,
Nestor,há 1 ano,1,
"Gol do Nestor, com certeza",há 1 ano,1,
​ @luanacam Sem galinheiro aqui.,há 1 ano (editado),1,
Nestor,há 1 ano,1,
"​ @carlinbr5759 tu desse moral pra um gremista mesmo? Nossa pensei que vc fosse São Paulo pow aqui pra discutir assim tem que comparar Santos, Flamengo Corinthians ou palmeiras pow que mesmo sendo rivais não passa menos vergonha que o grêmio se eu engano tem 2 ou 3 brasileiro kkkk",há 1 ano (editado),5,
Nestor,há 1 ano,0,
​ @luanacam  igual vc que nasceu pateticana,há 1 ano,0,
O do Nestor,há 1 ano,2,
O do Nestor,há 1 ano,0,
O gol do Nestor foi bonito 😀👍,há 1 ano,0,
 @luanacam  depressiva,há 1 ano,0,
Nestor certamente,há 1 ano,0,
@@user-qq7ir5hk1m que?KSKSKSKSKAKA,há 1 ano (editado),0,
​@@user-qq7ir5hk1m Sem mundial nem a fifa re reconhece menor do sul,há 1 ano (editado),0,
Nestor,há 1 ano,0,
@edi time rebaixado n e grande São Paulo maior time do Brasil,há 1 ano (editado),2,
Nestor e Galarza,há 1 ano,0,
Gol do Nestor,há 1 ano,0,
Nestor,há 1 ano,0,
Nestor,há 1 ano,0,
Nestor,há 1 ano,0,
​@edi são paulo  tá jogando vôlei agr,há 1 ano (editado),2,
​ @carlinbr5759  tri*,há 1 ano,1,
​@@user-qq7ir5hk1mnão é nem o maior do  Estado kkkk,há 1 ano (editado),1,
@edi kkkkkkkkkkkkkkkkk São Paulo tem tantos mundiais quanto o Grêmio tem rebaixamentos,há 1 ano (editado),2,
Nestor,há 1 ano,0,
​@edi grêmio barueri nunca ganhou mundial.,há 1 ano (editado),0,
Gol do calleri,há 1 ano,0,
"​ @luanacam sem meu pênalti não consigo 😭😭😭..






Patético mg",há 1 ano (editado),0,
Nestor,há 1 ano,0,
" @luanacam  igual do seu bunda de silicone  ""hulk""",há 1 ano (editado),0,
Nestor tirou o jogador do Vasco para merda 😂,há 1 ano,0,
@@user-qq7ir5hk1m confia po,há 1 ano (editado),1,
Merecida a vitória. A melhor torcida do país.,há 1 ano,0,
​@edi kkkkkk,há 1 ano (editado),1,
​@@user-qq7ir5hk1mimortal rebaixado,há 1 ano (editado),2,
Segundo 😊,há 1 ano,0,
Nestor,há 1 ano,0,
​ @luanacam  pelo menos não foi preciso um pênalti pra ganhar o jogo 😂😂,há 1 ano,0,
Vasco rebaixado 🅱️,há 1 ano,0,
Não sei o gol mais bonito.. só sei que esses gramados reduzidos é um caos ...,há 1 ano,0,
"​​@edi KKKKKKK, ou melhor, BBB",há 1 ano (editado),2,
Eita o gol do Nestor ganhou,há 1 ano,0,
Do nestor,há 1 ano,0,
​@edi Gaymio,há 1 ano (editado),1,
 @luanacam  mais cagado que seu time não kkk,há 1 ano,0,
Do calleri jogada coletiva,há 1 ano,0,
"​@edi a gente tem de mundial o que vocês tem de rebaixamento, fica quieto ai",há 1 ano (editado),1,
Nestor,há 1 ano,0,
Nestor óbvio,há 1 ano,0,
Legal são Paulo ganhou finalmente jogou bem mesmo Vasco perdeu novamente,há 1 ano,0,
Agora estou sem time hoje mas graças times brasileiros não faz ideia como está falando sem clube te verdade pelo amor de Deus eu fiquei feliz por são Paulo vitória continua sem time hoje kkkkk,há 1 ano,0,
​@edi foudaçe,há 1 ano (editado),0,
 @luanacam  Torce pro menor de minas sai daí,há 1 ano,0,
São Trikas é tão pequeno que não tem Copa do Brasil,há 1 ano,0,
​ @carlinbr5759  correção tri,há 1 ano (editado),0,
​ @luanacam  kkkkk aí meu Deus,há 1 ano,0,
Nestor,há 1 ano,0,
Nestor,há 1 ano,0,
"​ @luanacam  ixiii, oque o galo de macumba tá fazendo aqui 😂😂😂😂",há 1 ano,0,
Sim! Vou ficar só nos melhores momentos . Obrigado por postar 😊,há 1 ano,0,
Nestor,há 1 ano,0,
As trinkas  do ganha 30 minutos de acréscimo,há 1 ano,0,
Gol do nestor,há 1 ano,0,
@@user-qq7ir5hk1m nunca foi,há 1 ano (editado),1,
nestor óbvio,há 1 ano,0,
​ @brincarejogar  ingual o do messi no boateng,há 1 ano,0,
"​@edi 😂😂😂😂😂
1) nunca foi rebaixado
2) base melhor
3) 3ª maior torcida do Brasil
4) 3 libertas e 3 mundiais
5) maior n⁰ de brasileiros, sendo 3 seguidos.
Acho q é óbvio q o São Paulo é o maior do Brasil",há 1 ano (editado),1,
Minha cueca kkkkk,há 1 ano,0,
Nestor,há 1 ano,0,
​ @luanacam só gol kagado e o do Nestor kkkkkkk MDS MN,há 1 ano (editado),0,
Nestor.,há 1 ano,0,
@edi puta merda kkkkkkkkkkkkkk,há 1 ano (editado),0,
nestor,há 1 ano,0,
​ @luanacam  cagado é o atlético ter ganho uma liberta kkk,há 1 ano,0,
Nestor Messi da silva😂,há 1 ano,0,
@edi grêmio rebaixado time de série b,há 1 ano (editado),1,
O segundo gol do São Paulo (Rodrigo Nestor).,há 1 ano,0,
​ @luanacam  sem meu pênalti eu n consigo 😢,há 1 ano,0,
​ @Pedro_corinthians  tá mt otimistas em,há 1 ano,0,
O Gol do Nestor,há 1 ano,0,
Nestor,há 1 ano,0,
Nestor,há 1 ano,0,
 @Pedro_corinthians  flamengo 7 X 0 curinthia fora os ameaço,há 1 ano,0,
Nestor,há 1 ano,0,
​@edi 🤣,há 1 ano (editado),0,
Nestor e do Galarza,há 1 ano,0,
"O último lance q n entrou 
Goleiro inimigo do entretenimento",há 1 ano,0,
Nestor,há 1 ano,0,
​ @luanacam  cagado? Esse entende de futebol,há 1 ano,0,
Nestor,há 1 ano,0,
os jogadores do vasssscooo,há 1 ano,0,
"Entrando na fila do pedido de desculpas para o Rodrigo Nestor em 3, 2, 1...",há 1 ano,0,
Galarza,há 1 ano,0,
Galarza sem dúvida QUEM ME MARCAR PARA ME DIZER O CONTRARIO É PCCENTO,há 1 ano,0,
"Entrando na fila do pedido de desculpas para o Rodrigo Nestor em 3, 2, 1...",há 1 ano,0,
Nestor sem dúvidas,há 1 ano,0,
@edi da onde esse time ?,há 1 ano (editado),0,
​ @luanacam  fica chupando dedinho,há 1 ano,0,
Do galazo Ceila o nome mas o dele foi bonito,há 1 ano,0,
 @fabriciohernan9012  100% dos são paulinos tão nessa fila kkkkk,há 1 ano,1,
" @Dante54213  a fila deve dar volta no Morumbi, kk",há 1 ano,0,
 @Radxin9822   Eu tbb pensei nisso kkk,há 1 ano (editado),0,
caleri,há 1 ano,0,
@edi piada,há 1 ano (editado),0,
@edi o menor kkk,há 1 ano (editado),0,
" @UmBernardo  já viu a fase do corinthians? O time foi amassado pro galo, o time tá no z4, o mínimo é tomar uma goleada.",há 1 ano,0,
​ @carlinbr5759  tri**,há 1 ano,0,
Galaza,há 1 ano,0,
O do Nestor! Trabalhou esse gol desde o meio de campo! 🤩👏🏽👏🏽👏🏽👏🏽,há 1 ano,0,
 @luanacam  sai dae galinhada freguês das Marias.,há 1 ano,0,
 @isaquemartins1110  tri mundial. Idiota kkkkk,há 1 ano,0,
​ @luanacam pelo menos nos ganhou do Vasco diferente de vcs perderam pro Vasco de 2x1,há 1 ano (editado),0,
​ @luanacam  tô achando q vc NN torce pra nenhum time todos os resumos vc tá,há 1 ano,0,
"Um GTS q meu pai tinha, lindo carro 👍",há 1 ano,0,
Nestor😁🇾🇪🇾🇪🇾🇪,há 1 ano,0,
O gol do  Nestor,há 1 ano,0,
O golaço do São Paulo porque o São Paulo é ótimo porque sabe fazer muitos gols nas partidas,há 1 ano,0,
Nestor,há 1 ano,0,
Nestor❤,há 1 ano,0,
​ @brincarejogar  😮😮j😮j😊ĺ😂ĺ de 😂😂😂❤❤❤❤😊😮😮😊😊😂😂😂😂😂😂😂❤❤❤❤,há 1 ano,1,
nestor,há 1 ano,0,
Nestor,há 1 ano,0,
@@edi109Não e São Paulo tri campeão mundial e nunca foi rebaixado 😎😎,há 1 ano (editado),0,
​@joaodias1090 3:54 3:54 3:54,há 1 ano,0,
3:54 3:54 3:54,há 1 ano,0,
​@joaodias1090,há 1 ano,0,
​ 3:54 3:54 3:54 3:54,há 1 ano,0,
"Nestor, Calleri",há 11 meses,0,
Nestor,há 11 meses,0,
Nestor,há 10 meses,0,
Jfjcsjckdjkcghghhfmmkhhjxwvdgfjkxkz,há 10 meses,0,
​ @brincarejogar bcbmvczxihjo,há 10 meses (editado),0,
Dtenugfoe0eregeegp3hwfnfodrdbdoeodgddbbfed0rfedbtuihdfeeeee0egednd,há 9 meses,0,
"🎉❤🎉❤🎉🎉❤😊🎉❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤🎉



Kakao😅😅😅😅😊😊😊
Pkwj
Ka
😊😊😊😊😊😊❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉",há 9 meses,0,
"Opalallwllkskalwkso
L❤lalA4kqoq
Mais
S🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
🎉🎉🎉🎉
🎉
🎉
🎉
🎉
🎉
🎉
🎉
🎉
🎉
🎉",há 9 meses,0,
​ @luanacam mlk Vc Torce pro Atlético Mg,há 8 meses (editado),0,
​ @luanacam joga melhor do que tu,há 2 semanas,0,
Eu kkk,há 1 mês,0,
"Eu tbm arquibancada oeste, ao lado da torcida do vasco",há 6 meses,0,
Não sei mas quero muito que o meu rival Vice da Gama se afunde,há 10 meses,0,
o beraldo tocando o gado na hr do gol KKKKKK,há 10 meses,1,
CAMPEÃO DA COPA DO BRASIL ❤,há 10 meses,0,
Vasco e meu time de coração mas vamos concordar que ele nao teria chance com o sao paulo kk,há 10 meses,0,
Vasco descontou o 4x2 no fluminense kkkk,há 10 meses,1,
São Paulo joga muito,há 10 meses,0,
"O Rafael tá no São Paulo a nem um ano e me fez mas feliz do que fez Jandrei, Felipe Alves e Volpi",há 11 meses,2,
Aí credo ❤,há 11 meses,0,
Quando o São Paulo foi chegar no contratack eu vi o cara dando um empurrão no jogador do Vasco,há 1 ano,0,
São Paulo  2 x 1 athetico-pr e a Vitória do conrthians de amanhã,há 1 ano,2,
Vai ter Globo esporte  de amanhã 22.06.2023,há 1 ano,1,
"ENCOSTA     NO      CALLERI    QUE     E      
GOL",há 1 ano,0,
Ndvmp,há 1 ano,0,
""" São Paulo faz 4 gols e derrota o Vasco no jogo! São Paulo 4 x 2 Vasco da Gama"" mesmos resultados de 4 a 2",há 1 ano,1,1
CALERI,há 1 ano,0,
AVANTEEE MEU TRICOLOOOOOR RUMO AO TÍTULO!!!😄☺☺                                                                                                                       O São Paulo com Dorival Júnior é outro nível! Algum vascaíno assistindo esse vídeo depois da derrota?😅😆🤣,há 1 ano,0,2
Blancos blancos a ganar,há 1 ano,1,
Sao paulo f.c a ganar,há 1 ano,1,
Mano o vasco tem que mandar esse treinador embora hoje. E contratar uns tres jogadores. Pq se num for assim e serie B novamente,há 1 ano,0,
SAO PAULO ESTA VOLTANDO A SER O GIGANTE TITAN!!!!,há 1 ano,5,
Agora revendo os gols tenho convicção que o Vasco é o time dos trapalhões. Olha o segundo gol do São Paulo kkk o cara chuta a bola no companheiro 2 vezes. No quarto gol o cara toma um chapéu e só acompanha o Michel Araujo. Vamo tricolorr,há 1 ano,0,
Tinha jogo do Galo contra o Coritiba ganhou de 2 a 1 e o cartão vermelho entre os dois times foram expulsos,há 1 ano,0,
"Eu, por mais que tenha sido uma derrota foi um jogão",há 1 ano,0,
Quatrunnn,há 1 mês,0,
"Esse Bambu tomou todos os dribles possíveis. Pqp, zagueiro ruim do caraio",há 1 ano,0,
a comemoração maluca do beraldo e uma das melhores q ja vi,há 1 ano,0,
Time ridículo esse time do Vasco,há 1 ano,0,
peidei varias vezes,há 1 ano,1,
SÃO PAULO 🔴⚪⚫,há 1 ano,1,
🔴⚪⚫,há 1 ano,1,
Meu timeee🎉🎉🎉🎉❤❤❤😊😢,há 1 ano,0,
Sou vascaíno e tenho que confessar. São Paulo briga pra não cair,há 1 ano,0,
Vasco parece  um carro velho que quando chega no meio do caminho bate o motor já estão na degola de novo 😂😂😂,há 1 ano,0,
que  chocolate  paulista   em  cima  dos  vascainos,há 1 ano,1,
Aqui é são Paulo respeita krlh ❤,há 1 ano,0,
Foi lindo cara,há 1 ano,0,
